subject,commercial_att_30s,commercial_aribnb_30s,commercial_carscom_30s,commercial_cookies_30s,commercial_dominos_30s,commercial_doritos_30s,commercial_google_pixel_30s,commercial_jersey_mikes_30s,commercial_lego_30s,commercial_milk_30s,commercial_progressive_30s,commercial_publix_30s,commercial_puma_30s,commercial_meta_quest_2_30s,commercial_starbucks_30s,commercial_hr_block_30s,commercial_under_armour_30s,commercial_expedia_30s,health_alzheimers_30s,health_stroke_30s,health_alcohol_30s,health_drunk_driving_30s,health_diet_30s,health_kidney_30s,health_mantherapy_30s,health_fitness_30s,health_prediabetes_30s,health_vaping_30s,health_covid_vaccine_30s,health_weight_30s,,distractor_related_milk_30s,distractor_related_nike,distractor_related_sony,distractor_related_covid_vaccine_30s,distractor_related_stroke_30s,,distractor_unrelated_pare_technologies,distractor_unrelated_ahmc,distractor_unrelated_brain_30s,distractor_unrelated_beauty,distractor_unrelated_iedg
sub001,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,,0,0,0,1,0,,0,0,0,0,0
sub002,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,,0,0,0,1,1,,0,0,0,0,0
sub003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,0,1,0,,0,0,0,1,0
sub004,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,,0,0,0,1,0,,0,0,0,0,0
sub005,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,,0,1,0,1,0,,0,0,0,0,0
sub006,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,,1,0,0,0,0,,0,0,0,0,0
sub007,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,,0,0,0,0,0,,0,0,0,0,0
sub008,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,0,0,1,0,0,,0,0,0,0,0
sub009,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,,0,0,0,1,0,,0,0,0,0,0
sub010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,,0,0,0,0,0,,0,0,0,0,0
sub011,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,,1,0,0,1,0,,0,0,0,0,0
sub012,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,,0,0,0,0,0,,0,0,0,0,0
sub013,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,1,,1,0,0,0,0
sub014,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,,0,0,1,1,0,,0,0,0,0,0
sub015,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,,0,1,0,1,0,,0,0,1,0,0
sub016,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,,0,1,0,1,0,,0,0,0,1,0
sub017,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,,0,0,0,1,0,,0,0,0,0,0
sub018,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,0,,0,0,0,0,0
sub019,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,0,,0,0,0,0,0
sub020,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,,0,0,0,1,0,,0,0,0,0,0
sub021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,,0,0,0,0,0
sub022,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,0,0,0,0,0,,0,0,0,0,0
sub023,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,,0,1,0,1,1,,1,0,1,0,1
sub024,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,,1,0,0,1,0,,1,0,0,0,0
sub025,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,,0,0,0,1,0,,0,0,0,0,0
sub026,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,0,0,1,0,,0,0,0,0,0
sub027,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,0,1,1,,0,0,0,0,0
sub028,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,,0,0,0,1,0,,0,0,0,0,0
