seconds 	point x 	point y 	point z 	position x	position y	position z	pupil diameter	flag    	

0.96    	0.08    	0.53    	3.31    	0.20    	1.16    	-0.01   	3.56    	video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/welcome.mp4	
1.13    	0.04    	0.88    	3.40    	0.20    	1.16    	-0.01   	3.65    	-       	
1.19    	0.58    	0.80    	-0.34   	0.20    	1.16    	-0.01   	0.00    	gaze started: p_4_2	
1.23    	0.58    	0.80    	-0.34   	0.20    	1.16    	-0.01   	0.00    	-       	
1.29    	0.08    	0.93    	3.40    	0.20    	1.16    	-0.01   	3.80    	-       	
1.34    	0.08    	0.97    	3.40    	0.20    	1.16    	-0.01   	3.70    	gaze started: p_4_2	
1.39    	0.16    	1.01    	3.40    	0.20    	1.16    	-0.01   	3.58    	-       	
1.44    	0.13    	1.01    	3.40    	0.20    	1.16    	-0.01   	3.58    	gaze started: p_4_3	
1.49    	0.39    	1.67    	3.40    	0.20    	1.16    	-0.01   	3.67    	gaze started: p_4_2	
1.54    	0.52    	1.84    	3.40    	0.20    	1.16    	-0.01   	3.70    	gaze started: p_3_3	
1.59    	0.51    	1.82    	3.40    	0.20    	1.16    	-0.01   	3.75    	gaze started: p_2_3	
1.63    	0.51    	1.82    	3.40    	0.20    	1.16    	-0.01   	3.78    	-       	
1.69    	1.05    	2.07    	3.40    	0.20    	1.16    	-0.02   	4.00    	-       	
1.73    	1.10    	2.10    	3.40    	0.20    	1.16    	-0.02   	4.01    	gaze started: p_2_4	
1.79    	1.09    	2.08    	3.40    	0.20    	1.16    	-0.02   	4.05    	-       	
1.84    	1.08    	2.09    	3.40    	0.20    	1.17    	-0.02   	4.09    	-       	
1.91    	0.61    	1.77    	3.40    	0.20    	1.17    	-0.02   	4.16    	-       	
1.96    	-0.34   	1.06    	3.40    	0.20    	1.17    	-0.02   	4.11    	gaze started: p_3_3	
2.01    	0.58    	0.79    	-0.33   	0.20    	1.17    	-0.02   	0.00    	gaze started: p_4_2	
2.06    	0.58    	0.79    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
2.11    	0.58    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
2.16    	-0.10   	0.53    	3.10    	0.20    	1.17    	-0.02   	3.81    	-       	
2.22    	-0.10   	0.53    	3.03    	0.20    	1.17    	-0.02   	4.12    	-       	
2.27    	-0.14   	0.53    	3.23    	0.20    	1.17    	-0.02   	4.12    	-       	
2.32    	-0.30   	0.89    	3.40    	0.20    	1.17    	-0.02   	4.19    	-       	
2.37    	-0.16   	0.86    	3.46    	0.20    	1.17    	-0.02   	4.15    	gaze started: p_4_2	
2.41    	-0.25   	0.88    	3.40    	0.20    	1.17    	-0.02   	4.00    	-       	
2.46    	0.75    	1.34    	3.46    	0.20    	1.17    	-0.02   	3.73    	gaze started: p_4_2	
2.51    	0.65    	1.28    	3.40    	0.20    	1.17    	-0.02   	3.53    	-       	
2.56    	0.61    	1.26    	3.40    	0.20    	1.17    	-0.02   	3.42    	gaze started: p_4_3	
2.61    	0.61    	1.25    	3.40    	0.20    	1.17    	-0.02   	3.33    	-       	
2.65    	0.62    	1.26    	3.40    	0.20    	1.17    	-0.02   	3.27    	-       	
2.70    	0.03    	1.34    	3.46    	0.20    	1.17    	-0.02   	3.05    	-       	
2.74    	0.01    	1.34    	3.40    	0.20    	1.17    	-0.02   	3.04    	-       	
2.80    	0.03    	1.31    	3.40    	0.20    	1.17    	-0.02   	2.98    	gaze started: p_3_2	
2.85    	0.03    	1.31    	3.40    	0.20    	1.17    	-0.02   	2.97    	gaze started: p_4_2	
2.90    	0.03    	1.31    	3.40    	0.20    	1.17    	-0.02   	2.94    	-       	
2.96    	0.02    	1.31    	3.40    	0.20    	1.17    	-0.02   	2.93    	-       	
3.01    	0.02    	1.31    	3.40    	0.20    	1.17    	-0.02   	2.93    	-       	
3.06    	0.02    	1.31    	3.40    	0.20    	1.17    	-0.02   	2.93    	-       	
3.11    	0.03    	1.31    	3.40    	0.20    	1.17    	-0.02   	2.95    	gaze fixated: p_4_2	
3.16    	0.02    	1.32    	3.40    	0.20    	1.17    	-0.02   	3.01    	-       	
3.21    	0.07    	1.33    	3.46    	0.20    	1.17    	-0.02   	3.04    	-       	
3.26    	0.58    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	gaze ended: p_4_2	
3.31    	0.58    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
3.36    	0.58    	0.80    	-0.33   	0.20    	1.16    	-0.02   	0.00    	-       	
3.41    	0.13    	1.38    	3.46    	0.20    	1.16    	-0.02   	3.07    	-       	
3.46    	0.15    	1.41    	3.40    	0.20    	1.16    	-0.02   	3.18    	-       	
3.51    	0.16    	1.40    	3.40    	0.20    	1.16    	-0.02   	3.17    	gaze started: p_3_3	
3.55    	0.01    	1.71    	3.40    	0.20    	1.16    	-0.02   	3.31    	-       	
3.61    	0.04    	1.70    	3.40    	0.20    	1.16    	-0.02   	3.33    	gaze started: p_3_2	
3.65    	0.04    	1.73    	3.40    	0.20    	1.16    	-0.01   	3.36    	-       	
3.71    	0.05    	1.76    	3.40    	0.20    	1.16    	-0.01   	3.36    	-       	
3.76    	0.04    	1.77    	3.40    	0.20    	1.16    	-0.01   	3.40    	-       	
3.81    	0.04    	1.94    	3.40    	0.20    	1.16    	-0.02   	3.49    	-       	
3.87    	0.01    	1.94    	3.40    	0.20    	1.16    	-0.02   	3.54    	gaze started: p_2_2	
3.92    	0.02    	1.95    	3.40    	0.20    	1.16    	-0.02   	3.56    	-       	
3.97    	-0.08   	2.06    	3.40    	0.20    	1.16    	-0.02   	3.73    	-       	
4.02    	-0.19   	2.10    	3.40    	0.20    	1.16    	-0.02   	3.74    	-       	
4.07    	-0.18   	2.10    	3.40    	0.20    	1.16    	-0.02   	3.76    	-       	
4.12    	-0.16   	2.11    	3.40    	0.20    	1.16    	-0.02   	3.71    	gaze fixated: p_2_2	
4.17    	0.46    	2.12    	3.40    	0.20    	1.17    	-0.02   	3.72    	-       	
4.21    	0.46    	2.12    	3.40    	0.20    	1.17    	-0.02   	3.68    	gaze started: p_2_3	
4.26    	0.44    	2.13    	3.40    	0.20    	1.17    	-0.02   	3.62    	-       	
4.32    	0.47    	2.16    	3.40    	0.20    	1.17    	-0.02   	3.56    	-       	
4.37    	0.56    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
4.42    	0.56    	0.79    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
4.47    	0.56    	0.79    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
4.52    	0.21    	1.96    	3.40    	0.20    	1.17    	-0.02   	3.51    	-       	
4.57    	0.23    	1.96    	3.40    	0.20    	1.17    	-0.02   	3.57    	gaze started: p_2_3	
4.62    	0.23    	1.94    	3.40    	0.20    	1.17    	-0.02   	3.61    	-       	
4.67    	0.15    	2.06    	3.40    	0.20    	1.17    	-0.02   	3.72    	-       	
4.72    	0.12    	2.07    	3.40    	0.20    	1.17    	-0.02   	3.80    	-       	
4.77    	0.13    	2.06    	3.40    	0.20    	1.17    	-0.02   	3.76    	gaze started: p_2_2	
4.82    	0.14    	2.08    	3.46    	0.20    	1.17    	-0.02   	3.73    	-       	
4.87    	-0.11   	2.13    	3.40    	0.20    	1.17    	-0.02   	3.61    	-       	
4.92    	-0.15   	2.15    	3.40    	0.20    	1.17    	-0.02   	3.61    	gaze started: p_2_2	
4.97    	-0.16   	2.16    	3.40    	0.20    	1.17    	-0.02   	3.63    	-       	
5.02    	0.31    	2.10    	3.40    	0.20    	1.17    	-0.02   	3.68    	-       	
5.07    	0.35    	2.08    	3.40    	0.20    	1.17    	-0.02   	3.68    	gaze started: p_2_3	
5.12    	0.35    	2.08    	3.40    	0.20    	1.17    	-0.02   	3.70    	-       	
5.17    	0.17    	1.85    	3.40    	0.20    	1.17    	-0.02   	3.69    	-       	
5.22    	0.17    	1.84    	3.40    	0.20    	1.17    	-0.02   	3.73    	-       	
5.27    	0.20    	1.83    	3.40    	0.20    	1.17    	-0.02   	3.70    	-       	
5.32    	0.57    	0.79    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
5.37    	0.57    	0.79    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
5.42    	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
5.47    	0.57    	0.79    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
5.52    	0.23    	1.56    	3.40    	0.20    	1.17    	-0.02   	3.36    	-       	
5.57    	0.20    	1.55    	3.40    	0.20    	1.17    	-0.02   	3.39    	gaze started: p_3_3	
5.62    	0.20    	1.55    	3.40    	0.20    	1.17    	-0.02   	3.38    	-       	
5.67    	0.19    	1.55    	3.40    	0.20    	1.17    	-0.02   	3.41    	-       	
5.72    	0.22    	1.13    	3.40    	0.20    	1.17    	-0.01   	3.27    	-       	
5.78    	0.25    	0.39    	2.94    	0.20    	1.17    	-0.01   	3.06    	gaze started: p_4_3	
5.83    	0.26    	0.38    	2.94    	0.20    	1.16    	-0.01   	3.04    	-       	
5.89    	0.27    	0.39    	2.94    	0.20    	1.16    	-0.01   	2.98    	-       	
5.95    	0.27    	0.38    	2.94    	0.20    	1.16    	-0.01   	2.94    	-       	
6.02    	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
6.07    	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
6.11    	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
6.16    	0.56    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
6.20    	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
6.26    	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
6.30    	0.57    	0.80    	-0.33   	0.20    	1.16    	-0.02   	0.00    	-       	
6.35    	0.18    	1.51    	3.40    	0.20    	1.16    	-0.02   	3.25    	-       	
6.40    	0.20    	1.43    	3.40    	0.20    	1.16    	-0.02   	3.26    	gaze started: p_3_3	
6.45    	0.18    	1.45    	3.40    	0.20    	1.16    	-0.02   	3.24    	-       	
6.49    	0.18    	1.43    	3.40    	0.20    	1.16    	-0.02   	3.26    	-       	
6.55    	0.22    	1.60    	3.40    	0.20    	1.16    	-0.02   	3.30    	-       	
6.59    	0.21    	1.67    	3.40    	0.20    	1.16    	-0.02   	3.30    	-       	
6.63    	0.22    	1.66    	3.40    	0.20    	1.16    	-0.02   	3.22    	-       	
6.68    	0.22    	1.66    	3.40    	0.20    	1.16    	-0.02   	3.19    	gaze fixated: p_3_3	
6.72    	0.20    	1.67    	3.40    	0.20    	1.16    	-0.02   	3.16    	-       	
6.77    	0.14    	1.36    	3.40    	0.20    	1.16    	-0.02   	3.05    	-       	
6.81    	-0.01   	0.53    	2.93    	0.20    	1.16    	-0.02   	2.91    	-       	
6.87    	0.01    	0.51    	2.93    	0.20    	1.16    	-0.02   	2.94    	gaze ended: p_3_3	
6.92    	-0.01   	0.50    	2.93    	0.20    	1.16    	-0.02   	2.94    	-       	
6.97    	0.57    	0.80    	-0.33   	0.20    	1.16    	-0.02   	0.00    	-       	
7.02    	0.57    	0.80    	-0.33   	0.20    	1.16    	-0.02   	0.00    	-       	
7.07    	0.57    	0.80    	-0.34   	0.20    	1.16    	-0.02   	0.00    	-       	
7.12    	0.57    	0.80    	-0.34   	0.20    	1.16    	-0.02   	0.00    	-       	
7.16    	0.57    	0.80    	-0.34   	0.20    	1.16    	-0.02   	0.00    	-       	
7.21    	0.57    	0.80    	-0.34   	0.20    	1.16    	-0.02   	0.00    	-       	
7.25    	0.57    	0.80    	-0.34   	0.20    	1.16    	-0.02   	0.00    	-       	
7.31    	0.57    	0.80    	-0.34   	0.20    	1.16    	-0.02   	0.00    	-       	
7.36    	0.57    	0.80    	-0.34   	0.20    	1.16    	-0.02   	0.00    	-       	
7.41    	0.15    	1.00    	3.40    	0.20    	1.16    	-0.02   	3.42    	-       	
7.46    	0.15    	1.00    	3.40    	0.20    	1.16    	-0.02   	3.43    	gaze started: p_4_3	
7.51    	0.14    	0.96    	3.46    	0.20    	1.16    	-0.02   	3.41    	-       	
7.56    	0.13    	1.12    	3.40    	0.20    	1.16    	-0.02   	3.38    	-       	
7.61    	0.13    	1.39    	3.46    	0.20    	1.16    	-0.02   	3.28    	gaze started: p_4_2	
7.65    	0.11    	1.39    	3.40    	0.20    	1.16    	-0.01   	3.26    	-       	
7.70    	0.11    	1.40    	3.40    	0.20    	1.16    	-0.01   	3.20    	gaze started: p_3_2	
7.74    	0.13    	1.40    	3.40    	0.20    	1.16    	-0.01   	3.20    	-       	
7.79    	0.18    	1.64    	3.40    	0.20    	1.16    	-0.01   	3.23    	-       	
7.83    	0.22    	1.64    	3.40    	0.20    	1.16    	-0.01   	3.19    	gaze started: p_3_3	
7.91    	0.19    	1.65    	3.40    	0.20    	1.16    	-0.01   	3.22    	-       	
7.96    	0.20    	1.66    	3.40    	0.20    	1.16    	-0.01   	3.25    	-       	
8.01    	0.19    	1.67    	3.40    	0.20    	1.16    	-0.02   	3.25    	-       	
8.05    	0.19    	1.67    	3.40    	0.20    	1.16    	-0.02   	3.26    	-       	
8.11    	0.20    	1.67    	3.40    	0.20    	1.16    	-0.02   	3.27    	gaze fixated: p_3_3	
8.16    	0.20    	1.67    	3.40    	0.20    	1.16    	-0.02   	3.27    	-       	
8.21    	0.06    	1.41    	3.40    	0.20    	1.16    	-0.02   	3.36    	-       	
8.25    	0.03    	1.40    	3.40    	0.20    	1.16    	-0.02   	3.36    	gaze started: p_3_2	
8.30    	0.03    	1.42    	3.40    	0.20    	1.17    	-0.02   	3.39    	-       	
8.34    	0.04    	1.42    	3.40    	0.20    	1.17    	-0.02   	3.41    	-       	
8.39    	0.05    	1.42    	3.40    	0.20    	1.17    	-0.02   	3.43    	-       	
8.43    	0.21    	1.83    	3.40    	0.20    	1.17    	-0.02   	3.50    	-       	
8.49    	0.24    	1.82    	3.46    	0.20    	1.17    	-0.02   	3.42    	gaze started: p_2_3	
8.54    	0.23    	1.82    	3.40    	0.20    	1.17    	-0.02   	3.37    	-       	
8.59    	0.23    	1.82    	3.40    	0.20    	1.17    	-0.02   	3.32    	gaze started: p_2_3	
8.63    	0.23    	1.82    	3.40    	0.20    	1.17    	-0.02   	3.23    	-       	
8.69    	0.23    	1.87    	3.40    	0.20    	1.17    	-0.02   	3.15    	-       	
8.73    	0.22    	1.87    	3.40    	0.20    	1.17    	-0.02   	3.15    	-       	
8.79    	0.23    	1.88    	3.40    	0.20    	1.17    	-0.02   	3.14    	-       	
8.84    	0.22    	1.88    	3.40    	0.20    	1.17    	-0.02   	3.14    	gaze fixated: p_2_3	
8.92    	0.21    	1.88    	3.40    	0.20    	1.17    	-0.02   	3.19    	-       	
8.98    	0.23    	1.88    	3.40    	0.20    	1.17    	-0.02   	3.22    	-       	
9.05    	0.23    	1.87    	3.40    	0.20    	1.17    	-0.02   	3.25    	-       	
9.11    	0.23    	1.87    	3.40    	0.20    	1.17    	-0.02   	3.26    	-       	
9.19    	0.22    	1.86    	3.40    	0.20    	1.17    	-0.02   	3.26    	-       	
9.25    	0.22    	1.86    	3.40    	0.20    	1.17    	-0.02   	3.20    	-       	
9.32    	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
9.38    	0.22    	1.94    	3.40    	0.20    	1.17    	-0.02   	3.20    	gaze ended: p_2_3	
9.43    	0.23    	1.86    	3.40    	0.20    	1.17    	-0.02   	3.22    	gaze started: p_2_3	
9.47    	0.22    	1.88    	3.40    	0.20    	1.17    	-0.02   	3.16    	-       	
9.52    	0.21    	1.88    	3.40    	0.20    	1.17    	-0.02   	3.20    	-       	
9.57    	0.24    	1.89    	3.40    	0.20    	1.17    	-0.02   	3.20    	-       	
9.62    	0.23    	1.88    	3.40    	0.20    	1.17    	-0.02   	3.23    	-       	
9.67    	0.23    	1.87    	3.40    	0.20    	1.17    	-0.02   	3.22    	-       	
9.72    	0.22    	1.87    	3.40    	0.20    	1.17    	-0.02   	3.17    	gaze fixated: p_2_3	
9.76    	0.23    	1.86    	3.40    	0.20    	1.17    	-0.02   	3.15    	-       	
9.81    	0.24    	1.86    	3.40    	0.20    	1.17    	-0.02   	3.13    	-       	
9.86    	0.24    	1.86    	3.40    	0.20    	1.17    	-0.02   	3.14    	-       	
9.91    	0.96    	1.00    	3.40    	0.20    	1.17    	-0.02   	3.19    	-       	
9.95    	0.91    	1.01    	3.40    	0.20    	1.17    	-0.02   	3.20    	gaze started: p_4_3	
10.01   	0.92    	0.97    	3.40    	0.20    	1.17    	-0.02   	3.29    	-       	
10.05   	0.92    	0.95    	3.40    	0.20    	1.17    	-0.02   	3.34    	-       	
10.11   	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
10.15   	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
10.20   	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
10.24   	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
10.29   	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
10.33   	0.27    	1.52    	3.40    	0.20    	1.17    	-0.02   	3.67    	-       	
10.39   	0.24    	1.49    	3.40    	0.20    	1.17    	-0.02   	3.65    	gaze started: p_3_3	
10.43   	0.22    	1.49    	3.40    	0.20    	1.17    	-0.02   	3.71    	-       	
10.48   	0.22    	1.49    	3.40    	0.20    	1.17    	-0.02   	3.75    	-       	
10.52   	0.48    	2.24    	3.40    	0.20    	1.17    	-0.02   	3.88    	-       	
10.58   	0.52    	2.18    	3.40    	0.20    	1.17    	-0.02   	3.97    	gaze started: p_2_3	
10.63   	0.50    	2.19    	3.40    	0.20    	1.17    	-0.02   	3.93    	-       	
10.69   	0.53    	2.28    	3.40    	0.20    	1.17    	-0.02   	3.97    	-       	
10.74   	0.52    	2.28    	3.40    	0.20    	1.17    	-0.02   	3.99    	gaze started: p_1_3	
10.79   	0.53    	2.31    	3.40    	0.20    	1.17    	-0.02   	4.00    	-       	
10.83   	0.54    	2.31    	3.40    	0.20    	1.17    	-0.02   	4.01    	-       	
10.89   	0.55    	2.29    	3.40    	0.20    	1.17    	-0.02   	4.03    	-       	
10.94   	0.54    	2.27    	3.40    	0.20    	1.17    	-0.02   	4.06    	-       	
11.00   	0.53    	2.29    	3.46    	0.20    	1.17    	-0.02   	4.08    	gaze fixated: p_1_3	
11.04   	0.52    	2.26    	3.40    	0.20    	1.17    	-0.02   	4.04    	gaze ended: p_1_3	
11.10   	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	gaze started: p_2_3	
11.14   	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
11.19   	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
11.23   	0.48    	2.05    	3.40    	0.20    	1.17    	-0.02   	3.79    	-       	
11.29   	0.48    	2.04    	3.40    	0.20    	1.17    	-0.02   	3.71    	gaze started: p_2_3	
11.34   	0.48    	2.02    	3.40    	0.20    	1.17    	-0.02   	3.73    	-       	
11.39   	0.48    	2.29    	3.46    	0.20    	1.17    	-0.02   	3.87    	-       	
11.43   	0.49    	2.29    	3.40    	0.20    	1.17    	-0.02   	3.88    	-       	
11.49   	0.49    	2.30    	3.40    	0.20    	1.17    	-0.02   	3.89    	gaze started: p_1_3	
11.54   	0.50    	2.29    	3.40    	0.20    	1.17    	-0.02   	3.87    	-       	
11.60   	0.48    	2.29    	3.40    	0.20    	1.17    	-0.02   	3.87    	-       	
11.64   	-0.02   	2.35    	3.40    	0.20    	1.17    	-0.02   	3.82    	-       	
11.70   	-0.20   	2.36    	3.40    	0.20    	1.17    	-0.02   	3.91    	gaze started: p_1_2	
11.75   	-0.21   	2.36    	3.40    	0.20    	1.17    	-0.02   	3.93    	-       	
11.80   	-0.20   	2.36    	3.40    	0.20    	1.17    	-0.02   	3.99    	-       	
11.85   	-0.20   	2.35    	3.40    	0.20    	1.17    	-0.02   	4.01    	-       	
11.93   	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
11.98   	0.57    	0.80    	-0.33   	0.20    	1.17    	-0.02   	0.00    	-       	
12.03   	0.56    	2.22    	3.40    	0.20    	1.17    	-0.02   	4.07    	-       	
12.08   	0.47    	2.23    	3.40    	0.20    	1.17    	-0.02   	4.05    	gaze started: p_2_3	
12.13   	0.52    	2.18    	3.40    	0.20    	1.17    	-0.01   	4.12    	-       	
12.18   	0.50    	2.18    	3.40    	0.20    	1.17    	-0.01   	4.11    	-       	
12.22   	0.51    	2.18    	3.40    	0.20    	1.17    	-0.01   	4.10    	-       	
12.26   	0.50    	2.18    	3.40    	0.20    	1.17    	-0.01   	4.11    	-       	
12.31   	0.50    	2.18    	3.40    	0.20    	1.17    	-0.01   	4.11    	-       	
