time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.58,2.13,3.4,2.95,gaze started: p_2_2
0.05,-0.59,2.15,3.4,2.95,-       
0.1,-0.61,2.17,3.4,2.98,-       
0.15,-0.6,2.18,3.4,3.08,-       
0.2,-0.59,2.18,3.4,3.1,-       
0.25,-0.55,2.17,3.4,3.28,-       
0.3,-0.4,1.88,3.4,3.29,-       
0.35,-0.25,1.99,3.4,3.34,-       
0.4,-0.29,1.96,3.4,3.36,-       
0.45,-0.42,1.88,3.4,3.4,-       
0.5,-0.8,1.67,3.4,3.34,gaze started: p_3_1
0.55,-0.87,1.6,3.4,3.44,-       
0.6,-0.83,1.6,3.4,3.43,-       
0.65,-0.82,1.61,3.4,3.45,-       
0.7,-0.82,1.63,3.4,3.48,-       
0.75,-0.82,1.64,3.4,3.51,-       
0.8,-0.42,1.61,3.4,3.64,-       
0.85,-0.39,1.63,3.4,3.6,-       
0.9,-0.39,1.62,3.4,3.61,-       
0.95,-0.4,1.63,3.4,3.61,-       
1.0,-0.39,1.62,3.4,3.63,-       
1.05,0.28,1.58,3.4,3.52,-       
1.1,0.41,1.69,3.4,3.3,-       
1.15,0.4,1.72,3.4,3.13,-       
1.2,0.41,1.68,3.4,3.0,-       
1.25,0.4,1.68,3.4,2.87,-       
1.3,0.38,1.67,3.4,2.73,-       
1.35,0.37,1.68,3.4,2.59,-       
1.4,0.38,1.67,3.4,2.53,-       
1.45,0.32,1.66,3.4,2.41,-       
1.5,-0.22,1.75,3.4,2.31,-       
1.55,-0.12,1.74,3.4,2.31,-       
1.6,-0.13,1.75,3.4,2.32,-       
1.65,-0.12,1.75,3.4,2.31,-       
1.7,-0.13,1.75,3.4,2.28,-       
1.75,-0.13,1.75,3.4,2.27,gaze fixated: p_3_2
1.8,-0.16,1.75,3.4,2.25,-       
1.85,-0.16,1.74,3.4,2.25,-       
1.9,-0.15,1.73,3.4,2.24,-       
1.95,-0.14,1.74,3.4,2.24,-       
2.0,-0.15,1.75,3.4,2.24,-       
2.05,1.47,0.46,-0.14,,-       
2.1,1.47,0.46,-0.14,,-       
2.15,1.47,0.46,-0.14,,-       
2.2,1.47,0.46,-0.14,,-       
2.25,1.47,0.46,-0.14,,-       
2.3,0.24,1.82,3.4,2.47,gaze started: p_3_3
2.35,0.2,1.74,3.4,2.44,-       
2.4,0.19,1.74,3.4,2.48,-       
2.45,0.05,1.81,3.46,2.61,-       
2.5,-0.23,1.88,3.4,2.65,-       
2.55,-0.23,1.88,3.4,2.65,-       
2.6,-0.21,1.88,3.4,2.67,-       
2.65,-0.09,1.93,3.4,2.66,-       
2.7,-0.1,1.92,3.4,2.66,-       
2.75,-0.22,1.84,3.4,2.62,-       
2.8,-0.08,1.73,3.4,2.56,gaze started: p_3_2
2.85,-0.04,1.62,3.4,2.52,-       
2.9,0.0,1.66,3.4,2.55,-       
2.95,-0.0,1.66,3.4,2.55,-       
3.0,0.09,1.6,3.4,2.54,-       
3.05,0.07,1.5,3.4,2.65,-       
3.1,0.06,1.51,3.4,2.66,-       
3.15,0.06,1.52,3.4,2.67,-       
3.2,0.08,1.53,3.4,2.7,-       
3.25,0.08,1.53,3.4,2.71,-       
3.3,-0.03,1.5,3.4,2.8,-       
3.35,-0.04,1.51,3.4,2.78,-       
3.4,-0.03,1.49,3.4,2.77,-       
3.45,-0.04,1.5,3.4,2.77,-       
3.5,-0.03,1.51,3.4,2.77,-       
3.55,-0.15,1.54,3.4,2.79,-       
3.6,-0.15,1.49,3.4,2.78,-       
3.65,1.46,0.46,-0.14,,-       
3.7,1.46,0.46,-0.14,,-       
3.75,1.46,0.46,-0.14,,-       
3.8,1.46,0.46,-0.14,,-       
3.85,1.46,0.46,-0.14,,-       
3.9,1.46,0.46,-0.14,,-       
3.95,1.46,0.46,-0.15,,-       
4.0,-0.07,1.55,3.4,2.86,-       
4.05,-0.05,1.5,3.4,2.87,gaze started: p_3_2
4.1,-0.03,1.56,3.4,2.98,-       
4.15,-0.03,1.56,3.4,2.98,-       
4.2,0.17,1.77,3.4,2.81,-       
4.25,0.17,1.71,3.4,2.77,-       
4.3,0.15,1.75,3.4,2.75,-       
4.35,0.17,1.75,3.4,2.7,-       
4.4,1.47,0.46,-0.14,,gaze started: p_3_2
4.45,1.46,0.46,-0.15,,-       
4.5,1.46,0.46,-0.15,,-       
4.55,1.46,0.46,-0.15,,-       
4.6,1.46,0.46,-0.15,,-       
4.65,1.46,0.46,-0.15,,-       
4.7,0.0,1.82,3.4,2.72,-       
4.75,0.0,1.82,3.4,2.72,-       
4.8,0.02,1.81,3.4,2.74,gaze started: p_2_2
4.85,0.03,1.82,3.4,2.85,-       
4.9,0.02,1.8,3.46,2.86,-       
4.95,0.02,1.8,3.46,2.86,-       
5.0,0.01,1.8,3.46,2.83,-       
5.05,0.0,1.8,3.46,2.78,-       
5.1,0.0,1.8,3.46,2.75,-       
5.15,-0.01,1.79,3.4,2.73,-       
5.2,-0.28,1.55,3.4,2.66,gaze started: p_3_2
5.25,-0.28,1.55,3.4,2.66,gaze started: p_3_2
5.3,-0.24,1.58,3.4,2.67,-       
5.35,-0.24,1.59,3.4,2.67,-       
5.4,-0.24,1.59,3.4,2.69,-       
5.45,-0.26,1.59,3.4,2.72,-       
5.5,-0.27,1.59,3.4,2.73,-       
5.55,-0.28,1.57,3.4,2.74,-       
5.6,-0.33,1.64,3.4,2.74,-       
5.65,-0.38,1.67,3.4,2.7,-       
5.7,-0.38,1.66,3.4,2.69,-       
5.75,-0.38,1.66,3.4,2.68,-       
5.8,-0.36,1.67,3.4,2.66,-       
5.85,-0.37,1.67,3.4,2.65,-       
5.9,-0.38,1.65,3.4,2.64,-       
5.95,-0.32,1.69,3.4,2.68,-       
6.0,-0.31,1.69,3.4,2.64,-       
6.05,-0.32,1.7,3.4,2.64,-       
6.1,-0.33,1.7,3.4,2.63,-       
6.15,-0.32,1.7,3.4,2.63,-       
6.2,-0.32,1.7,3.4,2.63,-       
6.25,-0.33,1.71,3.4,2.61,-       
6.3,-0.36,1.68,3.4,2.61,-       
6.35,-0.33,1.7,3.4,2.62,-       
6.4,-0.32,1.7,3.4,2.63,-       
6.45,-0.32,1.71,3.4,2.63,-       
6.5,-0.37,1.72,3.4,2.66,-       
6.55,-0.37,1.72,3.4,2.65,-       
6.6,-0.4,1.71,3.4,2.65,-       
6.65,-0.4,1.71,3.4,2.65,-       
6.7,-0.06,1.82,3.4,2.79,-       
6.75,0.08,1.85,3.4,2.77,-       
6.8,0.04,1.78,3.4,2.75,-       
6.85,0.04,1.78,3.4,2.73,-       
6.9,0.05,1.78,3.4,2.73,-       
6.95,0.05,1.77,3.4,2.71,-       
7.0,0.05,1.79,3.4,2.74,-       
7.05,1.46,0.47,-0.15,,-       
7.1,1.46,0.46,-0.15,,-       
7.15,1.46,0.46,-0.15,,-       
7.2,1.46,0.46,-0.15,,-       
7.25,1.46,0.46,-0.15,,-       
7.3,0.1,1.94,3.4,2.62,-       
7.35,0.1,1.94,3.4,2.62,-       
7.4,0.08,1.91,3.4,2.59,gaze started: p_2_2
7.45,0.13,1.89,3.4,2.63,-       
7.5,0.18,1.89,3.4,2.62,-       
7.55,0.18,1.89,3.4,2.62,-       
7.6,1.46,0.46,-0.15,,gaze started: p_2_3
7.65,1.46,0.46,-0.16,,-       
7.7,1.45,0.46,-0.16,,-       
7.75,1.44,0.46,-0.17,,-       
7.8,1.44,0.46,-0.17,,-       
7.85,1.43,0.46,-0.19,,-       
7.9,1.42,0.46,-0.21,,-       
7.95,1.41,0.46,-0.22,,-       
8.0,-0.04,2.0,3.4,2.83,-       
8.05,-0.04,2.0,3.4,2.83,-       
8.1,0.07,1.97,3.4,2.85,gaze started: p_2_2
8.15,0.13,1.94,3.46,2.93,-       
8.2,1.4,0.42,-0.24,,-       
8.25,1.4,0.39,-0.25,,-       
8.3,1.4,0.36,-0.26,,-       
8.35,1.4,0.36,-0.26,,-       
8.4,1.39,0.36,-0.27,,-       
8.45,0.17,1.99,3.4,2.82,-       
8.5,0.09,1.93,3.4,2.73,gaze started: p_2_3
8.55,0.16,1.95,3.4,2.78,gaze started: p_2_2
8.6,0.16,1.95,3.4,2.78,gaze started: p_2_2
8.65,0.13,1.92,3.46,2.81,gaze started: p_2_3
8.7,0.16,1.96,3.4,2.86,-       
8.75,0.15,1.95,3.4,2.82,gaze started: p_2_3
8.8,0.15,1.95,3.4,2.81,-       
8.85,0.15,1.95,3.4,2.81,-       
8.9,0.15,1.94,3.4,2.8,-       
8.95,0.15,1.96,3.4,2.79,-       
9.0,0.11,1.94,3.4,2.79,-       
9.05,0.09,1.94,3.4,2.8,gaze started: p_2_2
9.1,0.09,1.94,3.4,2.8,gaze started: p_2_2
9.15,0.09,1.99,3.4,2.82,-       
9.2,0.01,1.83,3.4,2.78,-       
9.25,-0.57,2.03,3.4,2.8,-       
9.3,-0.47,2.04,3.4,2.8,-       
9.35,-0.47,2.06,3.4,2.83,gaze fixated: p_2_2
9.4,-0.47,2.06,3.4,2.83,gaze fixated: p_2_2
9.45,-0.47,2.06,3.4,2.86,-       
9.5,-0.52,2.07,3.4,2.9,-       
9.55,-0.68,2.39,3.4,3.0,-       
9.6,-0.68,2.38,3.4,3.02,gaze started: p_1_2
9.65,-0.68,2.38,3.4,3.02,gaze started: p_1_2
9.7,-0.72,2.32,3.46,3.04,-       
9.75,-0.73,2.3,3.46,3.06,-       
9.8,-0.74,2.28,3.4,3.06,-       
9.85,-0.72,2.28,3.4,3.06,gaze started: p_1_1
9.9,-0.72,2.28,3.4,3.06,gaze started: p_1_1
9.95,-0.72,2.26,3.46,3.06,-       
10.0,-0.7,2.23,3.4,3.01,-       
10.05,-0.74,2.3,3.4,3.1,gaze started: p_2_1
10.1,-0.73,2.2,3.4,2.94,gaze started: p_1_1
10.15,-0.59,2.35,3.4,3.09,gaze started: p_2_1
10.2,-0.75,2.49,3.4,3.15,-       
10.25,-0.57,2.47,3.4,3.2,-       
10.3,-0.73,2.38,3.4,3.2,-       
10.35,-0.72,2.33,3.46,3.14,-       
10.4,-0.71,2.31,3.4,3.18,-       
10.45,-0.66,2.33,3.4,3.21,-       
10.5,-0.63,2.34,3.4,3.25,-       
10.55,-0.36,2.41,3.4,3.37,-       
10.6,-0.41,2.37,3.4,3.34,-       
10.65,-0.45,2.38,3.4,3.32,-       
10.7,-0.48,2.36,3.4,3.24,-       
10.75,-0.45,2.47,3.4,3.23,-       
10.8,-1.25,2.48,3.4,3.16,-       
10.85,-1.37,2.68,3.4,3.15,-       
10.9,-1.26,2.66,3.4,3.26,-       
10.95,-1.26,2.63,3.4,3.1,-       
