time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.43,1.84,3.4,3.28,gaze started: p_2_3
0.05,0.43,1.84,3.4,3.28,gaze started: p_2_3
0.1,0.42,1.86,3.4,3.34,-       
0.15,0.43,1.86,3.4,3.38,-       
0.2,0.39,1.83,3.4,3.38,-       
0.25,0.39,1.83,3.4,3.38,-       
0.3,1.19,0.36,-0.13,,gaze fixated: p_2_3
0.35,1.19,0.36,-0.13,,gaze ended: p_2_3
0.4,1.2,0.36,-0.14,,-       
0.45,1.17,2.07,3.4,3.38,-       
0.5,1.18,2.14,3.4,3.41,gaze started: p_2_4
0.55,1.18,2.14,3.4,3.41,gaze started: p_2_4
0.6,1.23,2.17,3.4,3.63,-       
0.65,1.2,0.36,-0.14,,-       
0.7,1.2,0.36,-0.14,,-       
0.75,1.2,0.36,-0.14,,-       
0.8,1.2,0.36,-0.14,,-       
0.85,1.2,0.36,-0.14,,-       
0.9,1.19,0.36,-0.14,,-       
0.95,0.05,1.52,3.4,3.7,-       
1.0,0.05,1.52,3.4,3.7,-       
1.05,0.07,1.54,3.4,3.69,gaze started: p_3_2
1.1,0.51,1.65,3.4,3.81,-       
1.15,0.6,1.71,3.4,3.87,gaze started: p_3_3
1.2,0.6,1.71,3.4,3.87,gaze started: p_3_3
1.25,0.42,1.56,3.4,3.71,-       
1.3,1.2,0.36,-0.14,,-       
1.35,1.2,0.36,-0.14,,-       
1.4,1.2,0.36,-0.14,,-       
1.45,0.06,1.7,3.4,3.6,-       
1.5,0.06,1.7,3.4,3.6,-       
1.55,0.07,1.66,3.4,3.3,gaze started: p_3_2
1.6,0.5,1.64,3.4,3.09,-       
1.65,0.51,1.67,3.4,2.96,gaze started: p_3_3
1.7,0.45,1.7,3.4,2.87,-       
1.75,0.45,1.7,3.4,2.87,-       
1.8,-0.06,1.85,3.4,2.78,-       
1.85,-0.02,1.79,3.4,2.66,gaze started: p_2_2
1.9,0.02,1.76,3.4,2.64,gaze started: p_3_2
1.95,1.21,0.36,-0.15,,-       
2.0,1.21,0.36,-0.15,,-       
2.05,1.21,0.36,-0.15,,-       
2.1,1.21,0.36,-0.15,,-       
2.15,1.21,0.36,-0.15,,-       
2.2,1.21,0.36,-0.15,,-       
2.25,0.64,1.7,3.4,2.77,-       
2.3,0.64,1.72,3.4,2.8,gaze started: p_3_3
2.35,0.49,1.75,3.4,2.74,-       
2.4,0.1,1.72,3.4,2.61,-       
2.45,0.16,1.71,3.4,2.66,gaze started: p_3_2
2.5,0.16,1.71,3.4,2.66,gaze started: p_3_2
2.55,0.14,1.74,3.46,2.67,gaze started: p_3_3
2.6,0.14,1.74,3.46,2.68,-       
2.65,0.16,1.74,3.4,2.67,-       
2.7,-0.29,1.95,3.4,2.59,gaze started: p_3_3
2.75,-0.29,1.95,3.4,2.59,gaze started: p_3_3
2.8,-0.23,2.01,3.4,2.62,gaze started: p_2_2
2.85,-0.23,2.01,3.4,2.62,-       
2.9,-0.22,2.01,3.4,2.54,-       
2.95,0.39,2.26,3.4,2.66,-       
3.0,0.39,2.26,3.4,2.66,-       
3.05,0.43,2.37,3.4,2.76,gaze started: p_2_3
3.1,0.47,2.33,3.4,2.76,gaze started: p_1_3
3.15,0.44,2.32,3.4,2.82,-       
3.2,0.44,2.32,3.4,2.82,-       
3.25,-0.06,2.08,3.4,2.77,-       
3.3,-0.12,2.09,3.4,2.79,gaze started: p_2_2
3.35,-0.09,2.1,3.4,2.83,-       
3.4,-0.1,2.1,3.4,2.87,-       
3.45,-0.1,2.1,3.4,2.87,-       
3.5,-0.08,2.11,3.4,2.91,-       
3.55,-0.08,2.11,3.4,2.93,-       
3.6,0.22,2.1,3.4,2.85,gaze fixated: p_2_2
3.65,0.44,2.1,3.4,2.88,gaze started: p_2_3
3.7,0.44,2.1,3.4,2.88,gaze started: p_2_3
3.75,0.39,2.09,3.4,2.89,-       
3.8,0.41,2.08,3.4,2.95,-       
3.85,0.39,2.1,3.4,3.01,-       
3.9,0.09,1.94,3.4,3.04,gaze fixated: p_2_3
3.95,-0.0,1.88,3.4,2.98,gaze started: p_2_2
4.0,-0.0,1.88,3.4,2.98,gaze started: p_2_2
4.05,-0.01,1.89,3.4,3.0,-       
4.1,-0.08,1.92,3.4,3.39,-       
4.15,1.2,0.36,-0.15,,-       
4.2,1.2,0.36,-0.15,,-       
4.25,1.2,0.36,-0.15,,-       
4.3,1.2,0.36,-0.15,,-       
4.35,0.39,1.44,3.4,2.72,-       
4.4,0.26,1.58,3.4,2.91,gaze started: p_3_3
4.45,0.25,1.63,3.4,3.02,-       
4.5,0.25,1.63,3.4,3.02,-       
4.55,0.16,1.68,3.4,2.96,-       
4.6,0.18,1.68,3.4,2.99,-       
4.65,1.2,0.36,-0.15,,-       
4.7,1.2,0.36,-0.15,,-       
4.75,1.2,0.36,-0.15,,-       
4.8,1.2,0.36,-0.15,,-       
4.85,1.2,0.36,-0.15,,-       
4.9,1.2,0.36,-0.15,,-       
4.95,1.2,0.36,-0.15,,-       
5.0,0.68,1.58,3.4,2.92,-       
5.05,0.68,1.58,3.4,2.92,-       
5.1,0.39,1.59,3.4,2.74,gaze started: p_3_3
5.15,0.03,1.73,3.4,2.85,-       
5.2,0.12,1.74,3.4,2.9,gaze started: p_3_2
5.25,0.08,1.78,3.4,2.92,-       
5.3,0.08,1.78,3.4,2.92,-       
5.35,0.06,1.79,3.4,2.93,-       
5.4,-0.88,1.25,3.4,2.92,-       
5.45,-1.26,0.9,3.4,2.89,gaze started: p_4_1
5.5,-1.22,0.98,3.4,2.77,-       
5.55,-1.22,0.98,3.4,2.77,-       
5.6,-1.25,0.98,3.4,2.8,-       
5.65,-1.01,1.01,3.4,2.82,-       
5.7,0.13,1.71,3.4,2.79,gaze fixated: p_4_1
5.75,0.13,1.71,3.4,2.79,gaze fixated: p_4_1
5.8,0.11,1.77,3.4,2.8,gaze started: p_3_2
5.85,0.11,1.81,3.46,2.87,-       
5.9,0.28,1.66,3.4,2.69,-       
5.95,1.22,0.36,-0.16,,gaze started: p_3_3
6.0,1.23,0.36,-0.16,,-       
6.05,1.23,0.36,-0.16,,-       
