time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.24,0.36,-0.29,,-       
0.05,1.24,0.36,-0.29,,-       
0.1,1.23,0.36,-0.3,,-       
0.15,0.05,1.61,3.4,4.18,-       
0.2,1.24,0.36,-0.29,,gaze started: p_3_2
0.25,1.24,0.36,-0.3,,-       
0.3,1.24,0.36,-0.3,,-       
0.35,1.24,0.36,-0.3,,-       
0.4,-0.12,1.68,3.4,4.1,-       
0.45,-0.14,1.74,3.4,3.95,gaze started: p_3_2
0.5,1.24,0.36,-0.3,,-       
0.55,1.24,0.36,-0.29,,-       
0.6,1.24,0.36,-0.29,,-       
0.65,1.24,0.36,-0.3,,-       
0.7,-0.12,1.53,3.4,3.86,-       
0.75,-0.18,1.6,3.4,3.89,gaze started: p_3_2
0.8,-0.18,1.6,3.4,3.89,gaze started: p_3_2
0.85,-0.02,1.77,3.4,3.99,-       
0.9,0.68,1.5,3.4,3.66,-       
0.95,0.62,1.47,3.4,3.62,gaze started: p_3_3
1.0,0.63,1.49,3.4,3.55,-       
1.05,0.66,1.53,3.4,3.33,-       
1.1,0.66,1.53,3.4,3.33,-       
1.15,0.63,1.55,3.4,3.16,-       
1.2,0.46,1.39,3.4,2.74,gaze fixated: p_3_3
1.25,1.24,0.36,-0.3,,-       
1.3,1.24,0.36,-0.3,,gaze ended: p_3_3
1.35,1.24,0.36,-0.3,,gaze ended: p_3_3
1.4,1.24,0.36,-0.3,,-       
1.45,-0.08,1.82,3.4,2.81,-       
1.5,-0.04,1.81,3.4,2.71,gaze started: p_2_2
1.55,-0.11,1.85,3.4,2.69,-       
1.6,-0.11,1.85,3.4,2.69,-       
1.65,-0.13,1.85,3.4,2.76,-       
1.7,0.05,1.87,3.4,2.86,-       
1.75,0.33,1.9,3.4,2.85,gaze fixated: p_2_2
1.8,0.33,1.9,3.4,2.85,gaze fixated: p_2_2
1.85,0.32,1.88,3.4,2.85,gaze started: p_2_3
1.9,0.39,1.88,3.4,2.82,-       
1.95,0.31,1.81,3.46,2.72,-       
2.0,1.24,0.36,-0.3,,-       
2.05,1.24,0.36,-0.3,,-       
2.1,1.24,0.36,-0.3,,-       
2.15,1.24,0.36,-0.29,,-       
2.2,-0.05,2.0,3.4,2.89,-       
2.25,-0.04,1.98,3.4,2.9,gaze started: p_2_2
2.3,-0.04,1.98,3.4,2.9,gaze started: p_2_2
2.35,-0.07,1.95,3.4,2.9,-       
2.4,-0.3,2.05,3.4,2.91,-       
2.45,-0.3,2.09,3.4,2.95,-       
2.5,-0.3,2.09,3.4,2.95,-       
2.55,-0.29,2.09,3.4,2.94,gaze fixated: p_2_2
2.6,0.28,2.06,3.4,2.84,-       
2.65,0.22,2.14,3.4,2.81,gaze started: p_2_3
2.7,0.22,2.14,3.4,2.81,gaze started: p_2_3
2.75,0.22,2.15,3.4,2.82,-       
2.8,0.45,2.15,3.4,2.89,-       
2.85,0.46,2.15,3.4,2.88,-       
2.9,0.45,2.16,3.4,2.88,gaze fixated: p_2_3
2.95,0.14,1.94,3.46,2.81,-       
3.0,0.14,1.94,3.46,2.81,-       
3.05,0.03,1.82,3.4,2.87,gaze ended: p_2_3
3.1,0.0,1.82,3.4,2.87,gaze started: p_2_2
3.15,-0.01,1.84,3.4,2.89,-       
3.2,0.01,1.83,3.4,2.92,-       
3.25,0.39,1.82,3.4,3.05,-       
3.3,0.39,1.82,3.4,3.05,-       
3.35,0.36,1.88,3.4,3.0,gaze started: p_2_3
3.4,0.36,1.88,3.4,3.01,-       
3.45,0.37,1.88,3.4,3.02,-       
3.5,0.18,1.72,3.4,3.14,-       
3.55,0.18,1.72,3.4,3.14,-       
3.6,0.23,1.54,3.4,3.05,gaze started: p_3_3
3.65,0.2,1.6,3.4,3.06,-       
3.7,0.17,1.64,3.4,3.11,-       
3.75,0.17,1.64,3.4,3.11,-       
3.8,0.25,1.78,3.4,3.03,-       
3.85,0.25,1.81,3.46,2.95,gaze fixated: p_3_3
3.9,1.23,0.36,-0.29,,gaze ended: p_3_3
3.95,1.23,0.36,-0.29,,-       
4.0,1.23,0.36,-0.29,,-       
4.05,1.23,0.36,-0.29,,-       
4.1,1.23,0.36,-0.29,,-       
4.15,1.23,0.36,-0.29,,-       
4.2,1.23,0.36,-0.29,,-       
4.25,1.23,0.36,-0.29,,-       
4.3,1.23,0.36,-0.29,,-       
4.35,1.23,0.36,-0.29,,-       
4.4,1.23,0.36,-0.29,,-       
4.45,1.23,0.36,-0.3,,-       
4.5,1.23,0.36,-0.3,,-       
4.55,1.23,0.36,-0.3,,-       
4.6,1.23,0.36,-0.3,,-       
4.65,0.08,0.38,2.94,3.04,-       
4.7,-0.15,0.53,2.93,2.81,-       
4.75,-0.15,0.53,2.93,2.81,-       
4.8,-0.29,0.56,3.57,3.14,-       
4.85,-0.22,0.53,3.18,3.03,-       
4.9,0.31,0.53,3.27,3.09,-       
4.95,0.55,0.53,3.22,3.09,-       
5.0,0.55,0.53,3.22,3.09,-       
5.05,0.53,0.53,3.18,3.04,-       
5.1,0.45,0.53,3.09,2.81,-       
5.15,-0.22,0.53,3.0,2.79,-       
5.2,-0.24,0.53,3.06,2.76,-       
5.25,1.24,0.36,-0.3,,-       
5.3,1.24,0.36,-0.3,,-       
5.35,1.24,0.36,-0.3,,-       
5.4,1.24,0.36,-0.3,,-       
5.45,1.24,0.36,-0.3,,-       
5.5,0.37,1.19,3.4,2.57,-       
5.55,0.37,1.19,3.4,2.57,-       
5.6,0.31,1.32,3.4,2.75,gaze started: p_4_3
5.65,0.32,1.35,3.4,2.79,-       
5.7,0.35,1.34,3.46,2.83,gaze started: p_3_3
5.75,0.29,1.37,3.4,2.85,-       
5.8,0.29,1.37,3.4,2.85,-       
5.85,0.24,1.59,3.4,2.7,gaze started: p_3_3
5.9,0.33,1.58,3.4,2.74,-       
5.95,0.28,1.51,3.4,2.34,-       
6.0,1.24,0.36,-0.3,,-       
6.05,1.24,0.36,-0.3,,-       
6.1,1.24,0.36,-0.31,,-       
6.15,1.24,0.36,-0.3,,-       
6.2,1.24,0.36,-0.3,,-       
6.25,1.24,0.36,-0.3,,-       
6.3,1.24,0.36,-0.3,,-       
6.35,-0.26,0.53,3.52,2.62,-       
6.4,-0.03,0.71,3.57,2.72,-       
6.45,0.33,0.99,3.4,2.67,-       
6.5,0.29,1.08,3.4,2.69,gaze started: p_4_3
6.55,0.34,0.92,3.4,2.74,-       
6.6,0.34,0.92,3.4,2.74,-       
6.65,0.34,0.93,3.4,2.75,-       
6.7,0.34,0.92,3.4,2.71,-       
6.75,0.34,0.92,3.4,2.69,gaze fixated: p_4_3
6.8,0.34,0.92,3.4,2.69,gaze fixated: p_4_3
6.85,0.33,0.92,3.4,2.67,-       
6.9,0.34,0.93,3.4,2.65,-       
6.95,0.18,0.9,3.4,2.45,-       
7.0,-0.01,0.69,3.57,2.42,-       
7.05,-0.01,0.69,3.57,2.42,-       
7.1,0.12,0.75,3.57,2.48,gaze ended: p_4_3
7.15,-0.42,0.53,3.28,2.61,-       
7.2,-0.39,0.53,3.18,2.58,-       
7.25,-0.42,0.53,3.17,2.63,-       
7.3,-0.42,0.53,3.17,2.63,-       
7.35,-0.44,0.53,3.28,2.67,-       
7.4,-0.02,0.91,3.4,2.6,-       
