time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.2,0.36,0.12,,-       
0.05,1.2,0.36,0.12,,-       
0.1,-0.08,1.55,3.4,3.69,-       
0.15,1.19,0.36,0.07,,gaze started: p_3_2
0.2,1.19,0.36,0.02,,-       
0.25,1.19,0.36,-0.04,,-       
0.3,1.19,0.36,-0.04,,-       
0.35,0.52,1.6,3.4,4.24,-       
0.4,0.52,1.53,3.4,4.3,gaze started: p_3_3
0.45,0.49,1.52,3.4,4.37,-       
0.5,0.49,1.52,3.4,4.37,-       
0.55,0.6,1.47,3.4,4.36,-       
0.6,0.58,1.51,3.4,4.24,-       
0.65,0.56,1.56,3.4,4.02,gaze fixated: p_3_3
0.7,0.56,1.56,3.4,4.02,gaze fixated: p_3_3
0.75,0.55,1.58,3.4,3.81,-       
0.8,0.58,1.6,3.4,3.64,-       
0.85,0.48,1.64,3.4,3.4,-       
0.9,1.19,0.36,-0.19,,-       
0.95,1.19,0.36,-0.19,,-       
1.0,1.19,0.36,-0.19,,gaze ended: p_3_3
1.05,1.19,0.36,-0.19,,-       
1.1,1.2,0.36,-0.19,,-       
1.15,1.19,0.36,-0.19,,-       
1.2,1.19,0.36,-0.19,,-       
1.25,1.19,0.36,-0.19,,-       
1.3,0.25,1.56,3.4,2.81,-       
1.35,0.25,1.57,3.4,2.86,gaze started: p_3_3
1.4,0.25,1.57,3.4,2.86,gaze started: p_3_3
1.45,0.39,1.57,3.4,2.93,-       
1.5,0.34,1.58,3.4,3.02,-       
1.55,0.33,1.59,3.4,3.0,-       
1.6,0.33,1.59,3.4,3.0,-       
1.65,0.25,1.95,3.4,2.93,gaze fixated: p_3_3
1.7,0.19,1.89,3.4,2.87,gaze started: p_2_3
1.75,0.02,1.98,3.4,2.78,-       
1.8,0.02,1.98,3.4,2.78,-       
1.85,-0.14,2.05,3.4,2.6,gaze started: p_2_2
1.9,-0.14,2.08,3.4,2.57,-       
1.95,-0.15,2.09,3.4,2.55,-       
2.0,-0.11,2.01,3.4,2.55,-       
2.05,-0.11,2.01,3.4,2.55,-       
2.1,-0.06,2.1,3.4,2.56,gaze fixated: p_2_2
2.15,0.39,2.2,3.4,2.79,-       
2.2,0.38,2.2,3.4,2.78,gaze started: p_2_3
2.25,0.41,2.16,3.4,2.79,-       
2.3,0.41,2.16,3.4,2.79,-       
2.35,0.4,2.14,3.4,2.82,-       
2.4,-0.02,2.1,3.4,2.62,-       
2.45,-0.04,2.04,3.4,2.62,gaze started: p_2_2
2.5,-0.04,2.04,3.4,2.62,gaze started: p_2_2
2.55,-0.05,2.08,3.4,2.6,-       
2.6,-0.04,2.06,3.4,2.62,-       
2.65,-0.07,2.09,3.4,2.65,-       
2.7,-0.07,2.09,3.4,2.65,-       
2.75,0.22,2.29,3.4,2.85,gaze fixated: p_2_2
2.8,0.24,2.24,3.4,2.83,gaze started: p_1_3
2.85,0.25,2.22,3.4,2.83,gaze started: p_2_3
2.9,0.25,2.22,3.4,2.83,gaze started: p_2_3
2.95,0.34,2.24,3.4,3.0,-       
3.0,0.53,2.26,3.4,3.04,-       
3.05,0.52,2.22,3.4,3.05,-       
3.1,-0.0,1.99,3.4,3.19,gaze fixated: p_2_3
3.15,-0.0,1.99,3.4,3.19,gaze fixated: p_2_3
3.2,0.08,1.94,3.4,3.11,gaze started: p_2_2
3.25,0.01,1.91,3.4,3.11,-       
3.3,0.04,1.91,3.4,3.11,-       
3.35,0.04,1.91,3.4,3.11,-       
3.4,1.17,0.36,-0.17,,-       
3.45,1.17,0.36,-0.17,,-       
3.5,1.17,0.36,-0.17,,-       
3.55,1.17,0.36,-0.17,,-       
3.6,0.14,1.88,3.46,3.01,-       
3.65,0.15,1.85,3.4,3.09,-       
3.7,0.15,1.85,3.4,3.09,-       
3.75,1.18,0.36,-0.17,,gaze started: p_2_3
3.8,1.18,0.36,-0.18,,-       
3.85,1.18,0.36,-0.17,,-       
3.9,1.18,0.36,-0.18,,-       
3.95,1.18,0.36,-0.18,,-       
4.0,0.17,1.72,3.4,2.68,-       
4.05,0.29,1.82,3.4,2.92,gaze started: p_3_3
4.1,0.23,1.82,3.4,2.95,gaze started: p_2_3
4.15,0.21,1.82,3.4,2.99,-       
4.2,0.21,1.82,3.4,2.99,-       
4.25,0.18,1.83,3.4,3.1,-       
4.3,0.15,1.83,3.4,3.16,-       
4.35,0.17,1.83,3.4,3.15,gaze fixated: p_2_3
4.4,0.17,1.83,3.4,3.15,gaze fixated: p_2_3
4.45,0.16,1.83,3.4,3.12,-       
4.5,0.17,1.83,3.4,3.07,-       
4.55,0.14,1.82,3.4,3.05,-       
4.6,0.14,1.82,3.4,3.05,-       
4.65,0.16,1.82,3.4,3.07,-       
4.7,0.18,1.83,3.4,2.93,-       
4.75,1.19,0.36,-0.18,,-       
4.8,1.19,0.36,-0.18,,-       
4.85,1.19,0.36,-0.17,,gaze ended: p_2_3
4.9,1.19,0.36,-0.18,,-       
4.95,1.19,0.36,-0.17,,-       
5.0,0.21,1.82,3.46,2.73,-       
5.05,0.21,1.82,3.46,2.73,-       
5.1,0.26,1.75,3.4,2.88,-       
5.15,0.18,1.91,3.4,2.94,gaze started: p_3_3
5.2,0.19,1.89,3.4,3.05,gaze started: p_2_3
5.25,0.17,1.86,3.4,3.09,-       
5.3,0.17,1.86,3.4,3.09,-       
5.35,0.16,1.86,3.4,3.11,-       
5.4,0.16,1.94,3.4,3.05,-       
5.45,0.17,1.9,3.4,3.02,gaze fixated: p_2_3
5.5,0.17,1.9,3.4,3.02,gaze fixated: p_2_3
5.55,0.17,1.81,3.4,2.94,-       
5.6,0.19,1.81,3.46,2.94,-       
5.65,0.19,1.84,3.4,2.92,gaze ended: p_2_3
5.7,0.21,1.88,3.4,2.88,gaze started: p_2_3
5.75,0.21,1.88,3.4,2.88,gaze started: p_2_3
5.8,0.18,1.85,3.4,2.82,-       
5.85,0.15,1.85,3.4,2.79,-       
5.9,0.18,1.88,3.4,2.83,-       
5.95,0.21,1.87,3.4,2.84,-       
6.0,0.21,1.87,3.4,2.84,-       
6.05,0.2,1.85,3.4,2.83,gaze fixated: p_2_3
6.1,0.19,1.85,3.4,2.84,-       
6.15,0.19,1.86,3.4,2.82,-       
6.2,0.21,1.85,3.4,2.82,-       
6.25,0.17,1.87,3.4,2.79,-       
6.3,0.17,1.87,3.4,2.79,-       
6.35,0.23,1.84,3.4,2.79,-       
6.4,0.24,1.91,3.4,2.79,-       
6.45,0.28,1.91,3.4,2.81,-       
6.5,0.28,1.91,3.4,2.81,-       
6.55,0.29,1.91,3.4,2.84,-       
6.6,0.21,1.79,3.4,2.86,-       
6.65,0.11,1.84,3.4,2.84,gaze started: p_3_3
6.7,0.11,1.84,3.4,2.84,gaze started: p_3_3
6.75,0.14,1.86,3.4,2.83,gaze started: p_2_2
6.8,-0.02,1.46,3.4,2.44,gaze started: p_2_3
6.85,1.2,0.36,-0.16,,gaze started: p_3_2
6.9,1.2,0.36,-0.16,,-       
6.95,1.2,0.36,-0.16,,-       
7.0,0.18,1.88,3.4,2.54,-       
7.05,0.16,1.92,3.4,2.72,gaze started: p_2_3
7.1,0.28,1.9,3.4,2.63,-       
7.15,0.13,1.94,3.4,2.65,-       
