time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.18,2.18,3.4,4.55,-       
0.05,-0.18,2.18,3.4,4.55,-       
0.1,-0.17,2.19,3.4,4.56,-       
0.15,-0.17,2.19,3.4,4.56,-       
0.2,-0.18,2.19,3.4,4.59,-       
0.25,-0.18,2.18,3.4,4.61,-       
0.3,-0.18,2.18,3.4,4.61,-       
0.35,-0.18,2.18,3.4,4.65,-       
0.4,-0.2,2.17,3.4,4.68,-       
0.45,-0.2,2.17,3.4,4.68,-       
0.5,-0.17,2.04,3.4,4.63,-       
0.55,0.97,0.82,-1.06,,-       
0.6,0.97,0.82,-1.06,,-       
0.65,0.97,0.82,-1.06,,gaze ended: p_2_2
0.7,0.97,0.82,-1.06,,-       
0.75,0.97,0.82,-1.06,,-       
0.8,0.96,0.82,-1.06,,-       
0.85,-0.31,1.75,3.4,4.86,-       
0.9,-0.31,1.75,3.4,4.86,-       
0.95,-0.46,1.7,3.4,4.8,gaze started: p_3_2
1.0,-0.34,1.66,3.4,4.69,-       
1.05,-0.34,1.66,3.4,4.69,-       
1.1,-0.36,1.68,3.4,4.47,-       
1.15,-0.36,1.68,3.4,4.47,-       
1.2,-0.33,1.69,3.4,4.07,-       
1.25,-0.32,1.71,3.4,3.84,gaze fixated: p_3_2
1.3,-0.32,1.71,3.4,3.84,gaze fixated: p_3_2
1.35,-0.32,1.72,3.4,3.65,-       
1.4,-0.31,1.71,3.4,3.45,-       
1.45,-0.31,1.71,3.4,3.45,-       
1.5,-0.3,1.7,3.4,3.35,-       
1.55,-0.35,1.7,3.4,3.26,-       
1.6,-0.35,1.7,3.4,3.26,-       
1.65,-0.32,1.71,3.4,3.19,-       
1.7,-0.36,1.7,3.4,3.12,-       
1.75,-0.36,1.7,3.4,3.12,-       
1.8,-0.31,1.7,3.4,3.08,-       
1.85,-0.32,1.7,3.4,3.02,-       
1.9,-0.32,1.7,3.4,3.02,-       
1.95,-0.38,1.68,3.4,3.02,-       
2.0,-0.32,1.7,3.4,2.99,-       
2.05,-0.32,1.7,3.4,2.99,-       
2.1,-0.32,1.71,3.4,2.97,-       
2.15,-0.32,1.71,3.4,2.97,-       
2.2,-0.32,1.7,3.4,3.0,-       
2.25,-0.33,1.71,3.4,3.04,-       
2.3,-0.33,1.71,3.4,3.04,-       
2.35,-0.32,1.71,3.4,3.07,-       
2.4,-0.35,1.69,3.4,3.1,-       
2.45,-0.35,1.69,3.4,3.1,-       
2.5,-0.31,1.7,3.4,3.1,-       
2.55,-0.3,1.7,3.4,3.12,-       
2.6,-0.3,1.7,3.4,3.12,-       
2.65,-0.3,1.7,3.4,3.14,-       
2.7,-0.32,1.71,3.4,3.15,-       
2.75,-0.32,1.71,3.4,3.15,-       
2.8,-0.31,1.71,3.4,3.17,-       
2.85,-0.31,1.71,3.4,3.18,-       
2.9,-0.31,1.71,3.4,3.18,-       
2.95,-0.31,1.71,3.4,3.19,-       
3.0,-0.3,1.71,3.4,3.22,-       
3.05,-0.3,1.71,3.4,3.22,-       
3.1,-0.31,1.71,3.4,3.22,-       
3.15,-0.32,1.69,3.4,3.2,-       
3.2,-0.32,1.69,3.4,3.2,-       
3.25,-0.29,1.7,3.4,3.17,-       
3.3,-0.32,1.7,3.4,3.19,-       
3.35,-0.32,1.7,3.4,3.19,-       
3.4,-0.3,1.71,3.4,3.2,-       
3.45,-0.3,1.72,3.4,3.2,-       
3.5,-0.3,1.72,3.4,3.2,-       
3.55,-0.29,1.71,3.4,3.21,-       
3.6,-0.29,1.71,3.4,3.21,-       
3.65,-0.28,1.71,3.4,3.21,-       
3.7,-0.29,1.71,3.4,3.23,-       
3.75,-0.29,1.71,3.4,3.23,-       
3.8,-0.28,1.72,3.4,3.23,-       
3.85,-0.32,1.69,3.4,3.22,-       
3.9,-0.27,1.71,3.4,3.19,-       
3.95,-0.27,1.71,3.4,3.19,-       
4.0,-0.33,1.71,3.4,3.21,-       
4.05,-0.32,1.69,3.4,3.17,-       
4.1,-0.32,1.69,3.4,3.17,-       
4.15,-0.28,1.71,3.4,3.03,-       
4.2,-0.28,1.71,3.4,3.03,-       
4.25,-0.29,1.7,3.4,2.98,-       
4.3,-0.29,1.71,3.4,2.99,-       
4.35,-0.29,1.71,3.4,2.99,-       
4.4,-0.29,1.71,3.4,2.99,-       
4.45,-0.28,1.71,3.4,2.99,-       
4.5,-0.28,1.71,3.4,2.99,-       
4.55,-0.28,1.71,3.4,3.0,-       
4.6,-0.27,1.72,3.4,3.03,-       
4.65,-0.27,1.72,3.4,3.03,-       
4.7,-0.27,1.71,3.4,2.99,-       
4.75,-0.28,1.71,3.4,3.01,-       
4.8,-0.28,1.71,3.4,3.01,-       
4.85,-0.26,1.72,3.4,3.05,-       
4.9,-0.26,1.71,3.4,3.11,-       
4.95,-0.26,1.71,3.4,3.11,-       
5.0,-0.26,1.72,3.4,3.12,-       
5.05,-0.26,1.72,3.4,3.11,-       
5.1,-0.26,1.72,3.4,3.11,-       
5.15,-0.25,1.72,3.4,3.11,-       
5.2,-0.25,1.71,3.4,3.14,-       
5.25,-0.25,1.71,3.4,3.14,-       
5.3,-0.25,1.71,3.4,3.13,-       
5.35,-0.25,1.71,3.4,3.13,-       
5.4,-0.25,1.71,3.4,3.13,-       
5.45,-0.25,1.7,3.4,3.14,-       
5.5,-0.25,1.71,3.4,3.16,-       
5.55,-0.25,1.71,3.4,3.16,-       
5.6,-0.25,1.71,3.4,3.17,-       
5.65,-0.25,1.71,3.4,3.18,-       
5.7,-0.25,1.71,3.4,3.18,-       
5.75,-0.25,1.71,3.4,3.21,-       
5.8,-0.25,1.71,3.4,3.21,-       
5.85,-0.24,1.72,3.4,3.2,-       
5.9,-0.23,1.72,3.4,3.19,-       
5.95,-0.23,1.72,3.4,3.19,-       
6.0,-0.23,1.72,3.4,3.21,-       
6.05,-0.24,1.72,3.4,3.2,-       
6.1,-0.24,1.72,3.4,3.2,-       
6.15,-0.23,1.72,3.4,3.2,-       
6.2,-0.24,1.72,3.4,3.18,-       
6.25,-0.24,1.72,3.4,3.18,-       
6.3,-0.24,1.73,3.4,3.19,-       
6.35,-0.25,1.73,3.4,3.22,-       
6.4,-0.25,1.73,3.4,3.22,-       
6.45,-0.24,1.73,3.4,3.23,-       
6.5,-0.24,1.73,3.4,3.24,-       
6.55,-0.24,1.73,3.4,3.24,-       
6.6,-0.24,1.74,3.4,3.25,-       
6.65,-0.24,1.74,3.4,3.29,-       
6.7,-0.24,1.74,3.4,3.29,-       
6.75,-0.24,1.74,3.4,3.29,-       
6.8,-0.24,1.74,3.4,3.29,-       
6.85,-0.25,1.73,3.4,3.29,-       
6.9,-0.25,1.74,3.4,3.3,-       
6.95,-0.25,1.74,3.4,3.3,-       
7.0,-0.25,1.74,3.4,3.3,-       
7.05,-0.24,1.74,3.4,3.27,-       
7.1,-0.24,1.74,3.4,3.27,-       
7.15,-0.24,1.73,3.4,3.21,-       
7.2,-0.24,1.74,3.4,3.13,-       
7.25,-0.24,1.74,3.4,3.13,-       
7.3,-0.25,1.74,3.4,3.11,-       
7.35,-0.24,1.75,3.4,3.09,-       
7.4,-0.24,1.75,3.4,3.09,-       
7.45,-0.24,1.75,3.4,3.07,-       
7.5,-0.23,1.76,3.4,3.04,-       
7.55,-0.23,1.76,3.4,3.04,-       
7.6,-0.23,1.76,3.4,3.05,-       
7.65,-0.24,1.76,3.4,3.03,-       
7.7,-0.24,1.76,3.4,3.05,-       
7.75,-0.24,1.76,3.4,3.05,-       
7.8,-0.24,1.76,3.4,3.05,-       
7.85,-0.23,1.76,3.4,3.07,-       
7.9,-0.23,1.76,3.4,3.07,-       
7.95,-0.24,1.76,3.4,3.08,-       
8.0,-0.24,1.76,3.4,3.08,-       
8.05,-0.24,1.76,3.4,3.08,-       
8.1,-0.24,1.76,3.4,3.1,-       
8.15,-0.24,1.76,3.4,3.1,-       
8.2,-0.24,1.76,3.4,3.1,-       
8.25,-0.24,1.76,3.4,3.1,-       
8.3,-0.23,1.76,3.4,3.13,-       
8.35,-0.23,1.76,3.4,3.13,-       
8.4,-0.22,1.77,3.4,3.16,-       
8.45,-0.23,1.77,3.4,3.15,-       
8.5,-0.23,1.77,3.4,3.15,-       
8.55,-0.23,1.77,3.4,3.16,-       
8.6,-0.23,1.77,3.4,3.16,-       
8.65,-0.23,1.77,3.4,3.16,-       
8.7,-0.19,1.8,3.46,3.17,-       
8.75,-0.19,1.79,3.4,3.18,gaze ended: p_3_2
8.8,-0.19,1.79,3.4,3.18,gaze ended: p_3_2
8.85,-0.25,1.77,3.4,3.16,gaze started: p_3_2
8.9,-0.25,1.77,3.4,3.17,-       
8.95,-0.25,1.77,3.4,3.17,-       
9.0,-0.26,1.76,3.4,3.18,-       
9.05,-0.25,1.76,3.4,3.18,-       
9.1,-0.25,1.76,3.4,3.18,-       
9.15,-0.17,1.8,3.46,3.21,gaze fixated: p_3_2
9.2,-0.24,1.77,3.4,3.3,gaze ended: p_3_2
9.25,-0.24,1.77,3.4,3.3,gaze ended: p_3_2
