time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.23,1.32,3.46,4.39,-       
0.05,-0.23,1.32,3.46,4.39,-       
0.1,-0.26,1.38,3.4,4.39,-       
0.15,-0.23,1.35,3.4,4.4,gaze started: p_3_2
0.2,-0.24,1.38,3.4,4.35,-       
0.25,1.04,0.82,-1.02,,-       
0.3,1.04,0.82,-1.02,,-       
0.35,1.04,0.82,-1.02,,-       
0.4,1.04,0.82,-1.02,,-       
0.45,1.04,0.82,-1.02,,-       
0.5,1.04,0.82,-1.02,,-       
0.55,1.04,0.82,-1.02,,-       
0.6,1.04,0.82,-1.02,,-       
0.65,-0.03,1.63,3.4,4.28,-       
0.7,0.02,1.7,3.4,4.39,gaze started: p_3_2
0.75,-0.01,1.7,3.4,4.42,-       
0.8,-0.01,1.7,3.4,4.42,-       
0.85,-0.02,1.65,3.4,4.42,-       
0.9,-0.06,1.77,3.4,4.45,-       
0.95,-0.04,1.78,3.4,4.49,gaze fixated: p_3_2
1.0,-0.04,1.79,3.4,4.57,-       
1.05,-0.04,1.79,3.4,4.57,-       
1.1,-0.04,1.79,3.4,4.57,-       
1.15,-0.05,1.8,3.46,4.36,-       
1.2,-0.05,1.81,3.46,4.0,gaze ended: p_3_2
1.25,-0.05,1.81,3.46,3.73,-       
1.3,-0.05,1.81,3.46,3.73,-       
1.35,-0.06,1.8,3.46,3.48,-       
1.4,-0.05,1.78,3.4,3.28,-       
1.45,-0.07,1.77,3.4,3.15,gaze started: p_3_2
1.5,-0.07,1.78,3.4,3.06,-       
1.55,-0.07,1.78,3.4,3.06,-       
1.6,-0.06,1.78,3.4,2.98,-       
1.65,-0.08,1.8,3.46,2.95,-       
1.7,-0.08,1.8,3.46,2.91,-       
1.75,-0.07,1.78,3.4,2.9,-       
1.8,-0.07,1.79,3.4,2.88,gaze started: p_3_2
1.85,-0.07,1.79,3.4,2.88,gaze started: p_3_2
1.9,-0.07,1.81,3.4,2.86,-       
1.95,-0.07,1.81,3.46,2.83,gaze started: p_2_2
2.0,-0.07,1.81,3.46,2.82,-       
2.05,-0.07,1.81,3.46,2.82,-       
2.1,-0.08,1.81,3.4,2.81,-       
2.15,-0.08,1.81,3.4,2.8,gaze started: p_2_2
2.2,-0.02,1.81,3.46,2.82,-       
2.25,-0.1,1.85,3.4,2.84,-       
2.3,-0.1,1.85,3.4,2.84,-       
2.35,0.12,2.07,3.4,2.84,gaze started: p_2_2
2.4,-0.06,2.08,3.4,2.9,-       
2.45,0.03,2.06,3.4,2.9,-       
2.5,0.03,2.04,3.4,2.93,-       
2.55,0.03,2.04,3.4,2.93,-       
2.6,0.03,2.05,3.4,2.98,-       
2.65,0.4,2.17,3.4,3.1,gaze fixated: p_2_2
2.7,0.43,2.16,3.4,3.12,gaze started: p_2_3
2.75,0.43,2.16,3.4,3.12,-       
2.8,0.42,2.16,3.4,3.12,-       
2.85,0.42,2.16,3.4,3.12,-       
2.9,0.12,2.15,3.4,3.16,-       
2.95,-0.22,2.16,3.4,3.13,gaze started: p_2_2
3.0,-0.22,2.16,3.4,3.13,gaze started: p_2_2
3.05,-0.13,2.13,3.4,3.14,-       
3.1,-0.12,2.14,3.4,3.14,-       
3.15,0.31,1.97,3.4,3.12,-       
3.2,0.31,1.97,3.4,3.12,-       
3.25,0.29,1.99,3.4,3.17,gaze started: p_2_3
3.3,0.29,1.98,3.4,3.16,-       
3.35,0.29,1.98,3.4,3.16,-       
3.4,0.29,1.98,3.4,3.17,-       
3.45,0.29,1.98,3.4,3.19,-       
3.5,0.28,1.98,3.4,3.22,gaze fixated: p_2_3
3.55,0.28,1.98,3.4,3.23,-       
3.6,0.28,1.98,3.4,3.26,-       
3.65,0.28,1.98,3.4,3.26,-       
3.7,0.28,1.98,3.4,3.26,-       
3.75,0.28,1.98,3.4,3.3,-       
3.8,0.28,1.98,3.4,3.32,-       
3.85,0.06,1.7,3.4,3.32,-       
3.9,0.06,1.7,3.4,3.32,-       
3.95,-0.0,1.59,3.4,3.27,gaze started: p_3_2
4.0,0.07,1.59,3.4,3.29,-       
4.05,0.06,1.6,3.4,3.29,-       
4.1,0.06,1.6,3.4,3.29,-       
4.15,0.06,1.6,3.4,3.27,-       
4.2,0.05,1.59,3.4,3.21,gaze fixated: p_3_2
4.25,0.05,1.58,3.4,3.11,-       
4.3,0.05,1.58,3.4,3.11,-       
4.35,0.04,1.59,3.4,3.04,-       
4.4,-0.01,1.61,3.4,3.0,-       
4.45,0.0,1.61,3.4,2.93,-       
4.5,0.08,1.59,3.4,2.9,-       
4.55,0.08,1.59,3.4,2.87,-       
4.6,0.08,1.59,3.4,2.87,-       
4.65,0.01,1.62,3.4,2.86,-       
4.7,0.11,1.79,3.4,2.86,-       
4.75,0.06,1.9,3.4,2.93,-       
4.8,0.14,1.86,3.46,2.92,gaze started: p_2_2
4.85,0.04,1.9,3.4,2.93,-       
4.9,0.04,1.9,3.4,2.93,-       
4.95,0.11,1.85,3.4,2.93,gaze started: p_2_2
5.0,0.1,1.85,3.4,2.92,-       
5.05,0.1,1.86,3.4,2.94,-       
5.1,0.11,1.84,3.4,2.96,-       
5.15,0.11,1.84,3.4,2.96,-       
5.2,0.11,1.85,3.4,2.96,gaze fixated: p_2_2
5.25,0.11,1.84,3.4,2.94,-       
5.3,0.11,1.84,3.4,2.94,-       
5.35,0.11,1.84,3.4,2.94,-       
5.4,0.05,1.89,3.4,2.95,-       
5.45,0.15,1.87,3.4,2.94,-       
5.5,0.15,1.87,3.4,2.94,gaze started: p_2_3
5.55,0.14,1.87,3.4,2.95,-       
5.6,0.14,1.87,3.4,2.95,-       
5.65,0.15,1.86,3.4,2.96,-       
5.7,0.15,1.87,3.4,2.93,-       
5.75,0.15,1.88,3.4,2.91,-       
5.8,0.16,1.9,3.4,2.91,gaze fixated: p_2_3
5.85,0.16,1.9,3.4,2.91,gaze fixated: p_2_3
5.9,0.16,1.89,3.4,2.9,-       
5.95,0.15,1.89,3.4,2.9,-       
6.0,0.14,1.89,3.4,2.91,-       
6.05,0.14,1.88,3.4,2.89,-       
6.1,0.14,1.88,3.4,2.89,-       
6.15,0.16,1.89,3.4,2.93,-       
6.2,0.15,1.89,3.4,2.93,-       
6.25,0.15,1.89,3.4,2.93,-       
6.3,0.14,1.88,3.46,2.92,-       
6.35,0.14,1.88,3.4,2.95,gaze ended: p_2_3
6.4,0.15,1.88,3.4,2.97,gaze started: p_2_3
6.45,0.15,1.87,3.4,2.96,-       
6.5,0.15,1.87,3.4,2.96,-       
6.55,0.15,1.88,3.4,2.98,-       
6.6,0.15,1.88,3.4,3.0,-       
6.65,0.16,1.88,3.4,3.01,-       
6.7,0.15,1.88,3.4,3.01,gaze fixated: p_2_3
6.75,0.15,1.88,3.4,3.01,gaze fixated: p_2_3
6.8,0.15,1.88,3.4,3.04,-       
6.85,0.14,1.88,3.4,3.04,-       
6.9,0.18,1.86,3.4,3.03,-       
6.95,0.16,1.87,3.4,3.02,-       
7.0,0.15,1.87,3.4,3.01,-       
7.05,0.15,1.87,3.4,3.0,-       
7.1,0.15,1.87,3.4,3.0,-       
7.15,0.16,1.87,3.4,2.96,-       
7.2,0.16,1.87,3.4,2.96,-       
7.25,0.15,1.86,3.4,2.95,-       
7.3,0.14,1.87,3.46,2.94,-       
7.35,0.14,1.88,3.46,2.92,gaze ended: p_2_3
7.4,0.14,1.88,3.46,2.92,gaze ended: p_2_3
7.45,0.17,1.87,3.4,2.9,-       
7.5,0.13,1.88,3.4,2.89,gaze started: p_2_3
7.55,0.13,1.89,3.4,2.88,gaze started: p_2_2
7.6,0.13,1.89,3.4,2.87,-       
7.65,0.16,1.87,3.4,2.86,-       
7.7,0.16,1.87,3.4,2.86,-       
7.75,0.14,1.88,3.4,2.85,gaze started: p_2_3
7.8,0.13,1.88,3.4,2.87,-       
7.85,0.14,1.88,3.46,2.9,gaze started: p_2_2
7.9,0.16,1.86,3.4,2.9,-       
7.95,0.12,1.87,3.4,2.92,gaze started: p_2_3
8.0,0.12,1.87,3.4,2.92,gaze started: p_2_3
8.05,0.12,1.86,3.4,2.94,gaze started: p_2_2
8.1,0.12,1.87,3.4,2.97,-       
8.15,0.14,1.87,3.46,2.96,-       
8.2,0.14,1.87,3.46,2.96,-       
8.25,0.14,1.88,3.46,2.96,-       
8.3,0.13,1.87,3.4,2.97,-       
8.35,0.13,1.87,3.46,2.98,gaze started: p_2_2
8.4,0.13,1.88,3.4,3.01,-       
8.45,0.13,1.88,3.4,3.01,-       
8.5,0.13,1.88,3.4,3.03,gaze started: p_2_2
8.55,0.12,1.89,3.4,3.04,-       
8.6,0.12,1.89,3.4,3.07,-       
8.65,0.11,1.89,3.4,3.07,-       
8.7,0.16,1.88,3.4,3.08,-       
8.75,0.16,1.88,3.4,3.08,-       
8.8,0.13,1.89,3.4,3.11,gaze started: p_2_3
8.85,0.12,1.9,3.4,3.12,gaze started: p_2_2
8.9,0.12,1.89,3.4,3.12,-       
8.95,0.11,1.89,3.4,3.11,-       
9.0,0.11,1.89,3.4,3.11,-       
9.05,0.13,1.87,3.4,3.11,-       
9.1,0.12,1.89,3.4,3.12,-       
9.15,0.12,1.88,3.4,3.13,gaze fixated: p_2_2
9.2,0.12,1.88,3.4,3.15,-       
9.25,0.12,1.88,3.4,3.15,-       
9.3,0.14,1.87,3.46,3.19,-       
9.35,0.13,1.86,3.4,3.2,gaze ended: p_2_2
9.4,0.13,1.87,3.4,3.25,gaze started: p_2_2
9.45,0.13,1.87,3.4,3.25,gaze started: p_2_2
9.5,0.14,1.88,3.46,3.35,-       
9.55,0.14,1.89,3.46,3.42,-       
9.6,0.16,1.9,3.4,3.55,-       
9.65,0.23,1.85,3.4,3.6,gaze started: p_2_3
9.7,0.24,1.85,3.4,3.64,-       
9.75,0.24,1.85,3.4,3.64,-       
