time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.61,0.83,-0.37,,-       
0.05,0.61,0.83,-0.37,,-       
0.1,0.61,0.83,-0.37,,-       
0.15,0.61,2.17,3.4,3.02,-       
0.2,0.61,2.17,3.4,3.02,-       
0.25,0.58,2.17,3.4,2.96,gaze started: p_2_3
0.3,0.57,2.15,3.4,2.98,-       
0.35,0.61,2.13,3.4,2.96,-       
0.4,0.02,2.09,3.4,2.99,-       
0.45,0.02,2.09,3.4,2.99,-       
0.5,0.04,2.11,3.4,3.03,gaze started: p_2_2
0.55,0.04,2.07,3.4,3.05,-       
0.6,0.03,2.08,3.4,3.04,-       
0.65,0.03,2.08,3.4,3.04,-       
0.7,0.05,2.05,3.4,3.05,-       
0.75,0.01,2.07,3.4,3.07,gaze fixated: p_2_2
0.8,0.01,2.07,3.4,3.07,gaze fixated: p_2_2
0.85,-0.05,1.92,3.4,3.1,-       
0.9,-0.33,1.91,3.4,3.19,-       
0.95,-0.33,1.91,3.4,3.19,-       
1.0,-0.36,1.96,3.4,3.2,-       
1.05,-0.36,1.97,3.4,3.19,-       
1.1,-0.3,1.86,3.4,3.12,-       
1.15,0.49,1.66,3.4,2.71,-       
1.2,0.49,1.66,3.4,2.71,-       
1.25,0.34,1.67,3.4,2.58,gaze started: p_3_3
1.3,0.31,1.67,3.4,2.49,-       
1.35,0.29,1.67,3.4,2.4,-       
1.4,0.28,1.68,3.4,2.35,-       
1.45,0.28,1.68,3.4,2.35,-       
1.5,0.29,1.67,3.4,2.25,gaze fixated: p_3_3
1.55,0.28,1.67,3.4,2.19,-       
1.6,0.28,1.67,3.4,2.19,-       
1.65,0.28,1.66,3.4,2.16,-       
1.7,0.27,1.64,3.4,2.14,-       
1.75,0.26,1.62,3.4,2.11,-       
1.8,0.27,1.63,3.4,2.08,-       
1.85,0.27,1.63,3.4,2.08,-       
1.9,0.28,1.63,3.4,2.07,-       
1.95,0.22,1.69,3.4,2.14,-       
2.0,-0.02,1.96,3.4,2.01,-       
2.05,-0.02,1.96,3.4,2.01,-       
2.1,-0.01,1.96,3.4,2.03,gaze started: p_2_2
2.15,-0.03,1.95,3.4,2.03,-       
2.2,-0.08,2.02,3.4,2.02,-       
2.25,-0.08,2.02,3.4,2.02,-       
2.3,-0.08,2.02,3.4,2.01,-       
2.35,0.35,2.05,3.4,2.01,gaze fixated: p_2_2
2.4,0.32,2.06,3.4,2.05,gaze started: p_2_3
2.45,0.32,2.06,3.4,2.05,gaze started: p_2_3
2.5,0.31,2.06,3.4,2.07,-       
2.55,0.31,2.07,3.4,2.14,-       
2.6,0.29,2.06,3.4,2.16,-       
2.65,0.15,2.05,3.4,2.25,gaze fixated: p_2_3
2.7,-0.13,1.89,3.4,2.28,-       
2.75,-0.13,1.89,3.4,2.28,-       
2.8,-0.12,1.9,3.4,2.28,gaze started: p_2_2
2.85,-0.1,1.9,3.4,2.31,-       
2.9,-0.02,1.91,3.4,2.41,-       
2.95,-0.02,1.91,3.4,2.41,-       
3.0,0.33,1.82,3.46,2.36,-       
3.05,0.33,1.81,3.46,2.37,-       
3.1,0.32,1.79,3.4,2.38,-       
3.15,0.32,1.79,3.4,2.38,-       
3.2,0.0,1.6,3.4,2.37,gaze started: p_3_3
3.25,0.07,1.56,3.4,2.41,gaze started: p_3_2
3.3,0.07,1.56,3.4,2.41,gaze started: p_3_2
3.35,0.09,1.55,3.4,2.4,-       
3.4,0.09,1.54,3.4,2.37,-       
3.45,0.58,0.84,-0.4,,-       
3.5,0.58,0.84,-0.4,,-       
3.55,0.58,0.84,-0.4,,-       
3.6,0.58,0.84,-0.4,,-       
3.65,0.58,0.84,-0.4,,-       
3.7,0.58,0.84,-0.4,,-       
3.75,0.18,1.87,3.4,2.3,-       
3.8,0.22,1.88,3.4,2.26,gaze started: p_2_3
3.85,-0.1,2.06,3.4,2.35,-       
3.9,-0.1,2.06,3.4,2.35,-       
3.95,-0.08,2.07,3.4,2.34,gaze started: p_2_2
4.0,-0.21,2.03,3.4,2.37,-       
4.05,0.14,1.82,3.46,2.32,-       
4.1,0.14,1.82,3.46,2.32,-       
4.15,0.19,1.86,3.4,2.34,-       
4.2,0.59,0.84,-0.41,,gaze started: p_2_3
4.25,0.59,0.84,-0.41,,-       
4.3,0.59,0.84,-0.41,,-       
4.35,0.59,0.84,-0.41,,-       
4.4,0.25,1.78,3.4,2.24,-       
4.45,0.19,1.81,3.4,2.24,gaze started: p_3_3
4.5,0.19,1.81,3.4,2.24,gaze started: p_3_3
4.55,0.18,1.81,3.46,2.28,gaze started: p_2_3
4.6,0.17,1.79,3.4,2.3,-       
4.65,0.15,1.78,3.4,2.35,gaze started: p_3_3
4.7,0.13,1.78,3.4,2.4,-       
4.75,0.13,1.78,3.4,2.4,-       
4.8,0.11,1.77,3.4,2.43,gaze started: p_3_2
4.85,0.08,1.79,3.4,2.44,-       
4.9,0.08,1.78,3.4,2.47,-       
4.95,0.09,1.76,3.4,2.47,-       
5.0,0.09,1.76,3.4,2.47,-       
5.05,0.07,1.76,3.4,2.45,gaze fixated: p_3_2
5.1,0.08,1.76,3.4,2.45,-       
5.15,0.17,1.74,3.4,2.43,-       
5.2,0.59,0.84,-0.4,,gaze started: p_3_3
5.25,0.59,0.84,-0.4,,gaze started: p_3_3
5.3,0.59,0.84,-0.4,,-       
5.35,0.59,0.84,-0.4,,-       
5.4,-0.77,1.95,3.4,2.4,-       
5.45,-0.77,1.95,3.4,2.4,-       
5.5,-0.64,1.97,3.4,2.43,gaze started: p_2_1
5.55,-0.59,1.97,3.4,2.44,gaze started: p_2_2
5.6,-0.2,1.89,3.4,2.56,-       
5.65,-0.2,1.89,3.4,2.56,-       
5.7,0.13,1.77,3.46,2.54,-       
5.75,0.19,1.78,3.4,2.53,-       
5.8,0.18,1.8,3.46,2.55,gaze started: p_3_3
5.85,0.16,1.81,3.46,2.55,-       
5.9,0.16,1.81,3.46,2.55,-       
5.95,0.17,1.78,3.4,2.53,-       
6.0,0.16,1.78,3.4,2.5,gaze started: p_3_3
6.05,0.16,1.76,3.4,2.45,-       
6.1,0.17,1.76,3.4,2.43,-       
6.15,0.17,1.76,3.4,2.43,-       
6.2,0.15,1.75,3.4,2.41,-       
6.25,0.15,1.74,3.4,2.4,-       
6.3,0.14,1.73,3.4,2.37,gaze fixated: p_3_3
6.35,0.13,1.74,3.4,2.37,-       
6.4,0.13,1.74,3.4,2.37,-       
6.45,0.18,1.78,3.4,2.44,gaze started: p_3_2
6.5,0.59,0.84,-0.4,,gaze started: p_3_3
6.55,0.59,0.84,-0.4,,-       
6.6,0.59,0.84,-0.4,,-       
6.65,-0.49,1.86,3.4,2.46,-       
6.7,-0.36,1.88,3.4,2.45,gaze started: p_2_2
6.75,-0.36,1.88,3.4,2.45,gaze started: p_2_2
6.8,-0.45,1.86,3.4,2.41,-       
6.85,-0.1,1.9,3.4,2.51,-       
6.9,0.23,1.82,3.4,2.45,-       
6.95,0.23,1.82,3.4,2.45,-       
7.0,0.1,1.82,3.4,2.46,gaze started: p_2_3
7.05,0.09,1.83,3.4,2.46,gaze started: p_2_2
7.1,0.15,1.82,3.4,2.45,-       
7.15,0.16,1.81,3.46,2.4,gaze started: p_2_3
7.2,0.16,1.81,3.46,2.4,gaze started: p_2_3
7.25,0.15,1.81,3.46,2.39,-       
7.3,0.14,1.82,3.46,2.37,-       
7.35,0.14,1.81,3.46,2.36,-       
7.4,0.15,1.81,3.46,2.34,-       
7.45,0.15,1.81,3.46,2.34,-       
7.5,0.15,1.81,3.46,2.32,-       
7.55,0.15,1.79,3.4,2.29,-       
7.6,0.15,1.79,3.4,2.29,-       
7.65,0.15,1.79,3.4,2.27,gaze started: p_3_3
7.7,0.14,1.78,3.4,2.26,-       
7.75,0.13,1.79,3.4,2.26,-       
7.8,0.12,1.78,3.4,2.26,gaze started: p_3_2
7.85,0.12,1.78,3.4,2.26,gaze started: p_3_2
7.9,0.11,1.78,3.4,2.24,-       
7.95,0.11,1.78,3.4,2.25,-       
8.0,0.11,1.78,3.4,2.25,-       
8.05,0.15,1.79,3.4,2.24,-       
8.1,0.14,1.8,3.46,2.25,gaze started: p_3_3
8.15,0.08,1.79,3.4,2.25,-       
8.2,0.08,1.79,3.4,2.25,-       
8.25,0.08,1.78,3.4,2.27,gaze started: p_3_2
8.3,0.09,1.78,3.4,2.26,-       
8.35,0.09,1.79,3.4,2.24,-       
8.4,0.09,1.79,3.4,2.24,-       
8.45,0.09,1.8,3.46,2.24,-       
8.5,0.1,1.79,3.4,2.24,-       
8.55,0.1,1.79,3.4,2.24,-       
8.6,0.09,1.79,3.4,2.22,gaze started: p_3_2
8.65,0.6,0.84,-0.39,,-       
8.7,0.6,0.84,-0.39,,-       
8.75,0.6,0.84,-0.39,,-       
8.8,0.59,0.84,-0.39,,-       
8.85,-0.54,1.85,3.4,2.2,-       
8.9,-0.54,1.85,3.4,2.2,-       
8.95,-0.51,1.82,3.4,2.19,gaze started: p_2_2
9.0,-0.56,1.83,3.4,2.18,-       
9.05,-0.56,1.84,3.4,2.17,-       
9.1,-0.5,1.81,3.4,2.23,-       
9.15,-0.5,1.81,3.4,2.23,-       
9.2,-0.5,1.81,3.46,2.26,gaze fixated: p_2_2
9.25,-0.5,1.81,3.46,2.3,gaze ended: p_2_2
9.3,-0.51,1.81,3.46,2.33,-       
9.35,-0.51,1.81,3.46,2.33,-       
9.4,-0.49,1.79,3.4,2.39,-       
9.45,-0.5,1.82,3.4,2.4,gaze started: p_3_2
9.5,-0.5,1.81,3.4,2.45,gaze started: p_2_2
9.55,-0.56,1.81,3.46,2.46,-       
9.6,-0.52,1.82,3.4,2.42,-       
9.65,-0.52,1.82,3.4,2.42,-       
9.7,0.6,0.84,-0.4,,gaze started: p_2_2
9.75,0.6,0.84,-0.4,,-       
9.8,0.6,0.84,-0.4,,-       
9.85,0.6,0.84,-0.4,,-       
9.9,-0.1,2.09,3.4,2.64,-       
9.95,0.05,2.24,3.4,2.75,gaze started: p_2_2
10.0,-0.03,2.11,3.4,2.71,-       
10.05,-0.04,2.06,3.4,2.74,-       
10.1,-0.04,2.06,3.4,2.74,-       
10.15,-0.07,2.07,3.4,2.75,-       
10.2,-0.18,2.08,3.4,2.76,gaze fixated: p_2_2
10.25,-0.23,2.05,3.4,2.77,-       
10.3,-0.23,2.05,3.4,2.77,-       
10.35,-0.23,2.03,3.4,2.78,-       
10.4,-0.2,2.03,3.4,2.8,-       
10.45,-0.16,2.03,3.4,2.81,-       
10.5,-0.16,2.03,3.4,2.81,-       
10.55,-0.19,2.03,3.4,2.8,-       
10.6,-0.19,2.04,3.4,2.82,-       
10.65,-0.19,2.05,3.4,2.82,-       
10.7,-0.27,2.01,3.4,2.82,-       
10.75,-0.27,2.01,3.4,2.82,-       
10.8,-0.26,2.01,3.4,2.84,-       
10.85,-0.23,2.07,3.4,2.85,-       
10.9,-0.26,2.07,3.4,2.87,-       
10.95,-0.26,2.07,3.4,2.87,-       
11.0,-0.21,2.06,3.4,2.89,-       
11.05,-0.19,1.98,3.4,2.9,-       
11.1,-0.19,1.98,3.4,2.9,-       
11.15,-0.16,1.87,3.4,2.92,-       
11.2,-0.1,1.85,3.4,2.85,-       
11.25,-0.08,1.84,3.4,2.81,-       
11.3,-0.08,1.84,3.4,2.81,-       
11.35,-0.08,1.83,3.4,2.74,-       
11.4,-0.07,1.82,3.4,2.7,-       
11.45,-0.07,1.83,3.4,2.67,-       
11.5,-0.42,1.89,3.4,2.68,-       
11.55,-0.42,1.89,3.4,2.68,-       
11.6,-0.62,1.98,3.4,2.68,-       
11.65,-0.64,1.94,3.4,2.72,-       
11.7,-0.55,1.98,3.4,2.73,-       
11.75,-0.47,1.92,3.4,2.83,-       
11.8,-0.47,1.92,3.4,2.83,-       
11.85,-0.12,1.94,3.4,2.81,-       
11.9,-0.03,1.95,3.4,2.79,-       
11.95,-0.03,1.95,3.4,2.79,-       
12.0,0.16,1.91,3.4,2.56,-       
12.05,0.59,0.84,-0.4,,gaze started: p_2_3
12.1,0.59,0.84,-0.4,,-       
12.15,0.59,0.84,-0.4,,-       
12.2,-0.04,2.02,3.4,2.49,-       
12.25,-0.04,2.02,3.4,2.49,-       
12.3,-0.05,2.0,3.4,2.49,gaze started: p_2_2
12.35,0.06,1.99,3.4,2.54,-       
12.4,0.04,1.95,3.4,2.55,-       
12.45,-0.0,1.94,3.4,2.6,-       
12.5,0.03,1.95,3.4,2.64,-       
12.55,0.03,1.95,3.4,2.64,-       
12.6,-0.42,1.97,3.4,2.8,gaze fixated: p_2_2
12.65,-0.21,2.11,3.4,2.81,-       
12.7,-0.18,2.07,3.4,2.78,-       
12.75,-0.18,2.07,3.4,2.78,-       
12.8,-0.14,2.08,3.4,2.8,-       
12.85,0.1,1.99,3.4,2.75,-       
12.9,0.03,1.95,3.4,2.78,-       
12.95,0.03,1.95,3.4,2.78,-       
13.0,0.14,1.98,3.46,2.8,-       
13.05,0.26,1.98,3.4,2.79,gaze ended: p_2_2
13.1,0.15,1.96,3.4,2.8,gaze started: p_2_3
13.15,0.16,1.96,3.4,2.79,-       
13.2,0.16,1.96,3.4,2.79,-       
13.25,0.14,1.96,3.4,2.79,-       
13.3,0.21,1.95,3.4,2.82,-       
13.35,0.22,1.89,3.4,2.83,-       
