time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.32,2.09,3.4,4.4,-       
0.05,-0.32,2.09,3.4,4.4,-       
0.1,-0.46,2.13,3.4,4.4,gaze started: p_2_2
0.15,-0.4,2.11,3.4,4.4,-       
0.2,0.62,0.36,-0.11,,-       
0.25,0.62,0.36,-0.11,,-       
0.3,0.62,0.36,-0.11,,-       
0.35,0.62,0.36,-0.11,,-       
0.4,0.62,0.36,-0.11,,-       
0.45,0.62,0.36,-0.11,,-       
0.5,0.62,0.36,-0.11,,-       
0.55,0.62,0.36,-0.11,,-       
0.6,0.62,0.36,-0.1,,-       
0.65,0.62,0.36,-0.11,,-       
0.7,0.62,0.36,-0.11,,-       
0.75,0.62,0.36,-0.11,,-       
0.8,-0.38,1.82,3.4,4.73,-       
0.85,-0.35,1.83,3.4,4.76,gaze started: p_2_2
0.9,-0.33,1.84,3.4,4.76,-       
0.95,-0.33,1.84,3.4,4.76,-       
1.0,-0.27,1.84,3.4,4.77,-       
1.05,0.13,1.78,3.4,4.64,-       
1.1,0.13,1.78,3.4,4.64,-       
1.15,0.13,1.77,3.4,4.48,gaze started: p_3_2
1.2,0.15,1.78,3.4,4.23,-       
1.25,0.16,1.81,3.46,3.89,gaze started: p_3_3
1.3,0.16,1.81,3.46,3.89,gaze started: p_3_3
1.35,0.16,1.81,3.46,3.6,-       
1.4,0.16,1.81,3.4,3.45,-       
1.45,0.16,1.81,3.4,3.45,-       
1.5,0.15,1.83,3.4,3.36,gaze started: p_2_3
1.55,-0.08,1.75,3.4,3.13,-       
1.6,-0.08,1.65,3.4,3.14,gaze started: p_3_2
1.65,-0.08,1.65,3.4,3.14,gaze started: p_3_2
1.7,-0.04,1.63,3.4,3.12,-       
1.75,-0.06,1.65,3.4,3.1,-       
1.8,-0.04,1.64,3.4,3.09,-       
1.85,-0.04,1.64,3.4,3.09,-       
1.9,-0.02,1.64,3.4,3.08,gaze fixated: p_3_2
1.95,-0.02,1.64,3.4,3.08,-       
2.0,-0.02,1.64,3.4,3.08,-       
2.05,0.13,1.85,3.4,3.14,-       
2.1,0.13,1.87,3.4,3.15,gaze started: p_2_2
2.15,0.13,1.87,3.4,3.15,gaze started: p_2_2
2.2,0.12,1.88,3.4,3.19,-       
2.25,0.12,1.87,3.4,3.2,-       
2.3,0.12,1.87,3.4,3.2,-       
2.35,0.62,0.36,-0.11,,-       
2.4,0.62,0.36,-0.11,,-       
2.45,0.62,0.36,-0.11,,-       
2.5,0.62,0.36,-0.11,,-       
2.55,0.62,0.36,-0.11,,-       
2.6,0.61,0.36,-0.11,,-       
2.65,-0.05,1.82,3.4,3.31,-       
2.7,-0.05,1.82,3.4,3.31,-       
2.75,-0.01,1.81,3.4,3.34,gaze started: p_2_2
2.8,-0.01,1.81,3.4,3.42,-       
2.85,-0.01,1.81,3.4,3.42,-       
2.9,0.45,1.67,3.4,3.58,-       
2.95,0.39,1.73,3.4,3.66,gaze started: p_3_3
3.0,0.41,1.71,3.4,3.7,-       
3.05,0.41,1.71,3.4,3.7,-       
3.1,-0.02,1.85,3.4,3.85,-       
3.15,-0.06,1.82,3.4,3.81,gaze started: p_2_2
3.2,-0.06,1.82,3.4,3.81,gaze started: p_2_2
3.25,-0.1,1.85,3.4,3.81,-       
3.3,-0.11,1.87,3.4,3.81,-       
3.35,-0.07,1.86,3.4,3.79,-       
3.4,-0.07,1.86,3.4,3.79,-       
3.45,0.32,1.87,3.4,3.76,gaze fixated: p_2_2
3.5,0.27,1.94,3.4,3.77,gaze started: p_2_3
3.55,0.27,1.94,3.4,3.77,gaze started: p_2_3
3.6,0.27,1.94,3.4,3.78,-       
3.65,0.29,1.93,3.4,3.79,-       
3.7,-0.07,1.82,3.4,3.8,-       
3.75,-0.07,1.82,3.4,3.8,-       
3.8,-0.09,1.82,3.46,3.79,gaze started: p_2_2
3.85,-0.14,1.84,3.4,3.81,-       
3.9,-0.14,1.85,3.4,3.84,gaze started: p_2_2
3.95,-0.14,1.85,3.4,3.84,gaze started: p_2_2
4.0,-0.13,1.85,3.4,3.93,-       
4.05,-0.14,1.84,3.4,3.96,-       
4.1,-0.14,1.84,3.4,3.96,-       
4.15,-0.14,1.82,3.4,3.88,-       
4.2,-1.15,0.89,3.4,3.75,gaze fixated: p_2_2
4.25,-1.15,0.89,3.4,3.75,gaze fixated: p_2_2
4.3,-1.34,0.63,3.38,3.75,gaze started: p_4_1
4.35,-1.32,0.63,3.38,3.7,-       
4.4,-1.32,0.63,3.38,3.7,-       
4.45,-1.33,0.66,3.42,3.64,-       
4.5,-1.38,0.63,3.38,3.63,-       
4.55,-1.48,0.56,3.38,3.63,-       
4.6,-1.48,0.56,3.38,3.63,-       
4.65,-1.49,0.57,3.38,3.62,-       
4.7,-1.49,0.57,3.38,3.62,-       
4.75,-1.49,0.56,3.38,3.6,-       
4.8,-1.49,0.56,3.38,3.6,-       
4.85,-1.48,0.56,3.38,3.57,-       
4.9,-1.48,0.57,3.38,3.59,-       
4.95,-1.48,0.57,3.38,3.59,-       
5.0,-0.24,1.28,3.4,3.7,-       
5.05,-0.05,1.53,3.4,3.44,gaze started: p_4_2
5.1,-0.01,1.54,3.4,3.68,gaze started: p_3_2
5.15,-0.01,1.54,3.4,3.68,gaze started: p_3_2
5.2,0.09,1.49,3.4,3.67,-       
5.25,-0.01,1.54,3.4,3.64,-       
5.3,-0.01,1.54,3.4,3.64,-       
5.35,0.61,0.36,-0.12,,-       
5.4,0.61,0.36,-0.12,,-       
5.45,0.61,0.36,-0.12,,-       
5.5,0.61,0.36,-0.12,,-       
5.55,0.61,0.36,-0.12,,-       
5.6,-0.06,1.0,3.4,3.46,-       
5.65,-0.06,1.0,3.4,3.46,-       
5.7,-0.01,1.0,3.4,3.55,gaze started: p_4_2
5.75,-0.02,0.97,3.4,3.52,-       
5.8,0.88,1.16,3.4,3.59,-       
5.85,0.88,1.16,3.4,3.59,-       
5.9,0.81,1.04,3.4,3.49,gaze started: p_4_3
5.95,0.84,1.06,3.4,3.56,-       
6.0,0.84,1.06,3.4,3.56,-       
6.05,0.22,1.56,3.4,3.7,-       
6.1,0.17,1.58,3.4,3.68,gaze started: p_3_3
6.15,0.17,1.58,3.4,3.68,gaze started: p_3_3
6.2,0.2,1.59,3.4,3.7,-       
6.25,0.18,1.6,3.4,3.67,-       
6.3,0.17,1.6,3.4,3.64,-       
6.35,0.17,1.6,3.4,3.64,-       
6.4,0.18,1.6,3.4,3.64,gaze fixated: p_3_3
6.45,0.17,1.6,3.4,3.63,-       
6.5,0.17,1.6,3.4,3.63,-       
6.55,0.17,1.6,3.4,3.61,-       
6.6,0.18,1.61,3.4,3.61,-       
6.65,0.18,1.61,3.4,3.61,-       
6.7,0.18,1.61,3.4,3.61,-       
6.75,0.17,1.6,3.4,3.61,-       
6.8,0.18,1.6,3.4,3.62,-       
6.85,0.18,1.6,3.4,3.64,-       
6.9,0.18,1.6,3.4,3.64,-       
6.95,0.17,1.6,3.4,3.66,-       
7.0,0.18,1.59,3.4,3.68,-       
7.05,-0.08,1.73,3.4,3.61,-       
7.1,-0.08,1.73,3.4,3.61,-       
7.15,-0.11,1.79,3.4,3.62,gaze started: p_3_2
7.2,-0.16,1.85,3.4,3.59,-       
7.25,-0.16,1.85,3.4,3.59,-       
7.3,-0.34,1.83,3.4,3.53,gaze started: p_2_2
7.35,-0.55,1.63,3.4,3.42,-       
7.4,-1.38,0.73,3.57,3.37,gaze started: p_3_2
7.45,-1.38,0.73,3.57,3.37,gaze started: p_3_2
7.5,-1.41,0.8,3.57,3.41,-       
7.55,-1.3,0.83,3.37,3.39,-       
7.6,-1.41,0.81,3.57,3.37,-       
7.65,-1.41,0.81,3.57,3.37,-       
7.7,-1.41,0.78,3.57,3.37,-       
7.75,0.07,0.98,3.4,3.35,-       
7.8,0.09,1.0,3.4,3.4,gaze started: p_4_2
7.85,0.09,1.0,3.4,3.4,gaze started: p_4_2
7.9,0.07,0.99,3.4,3.41,-       
7.95,0.06,0.99,3.4,3.42,-       
8.0,1.19,0.91,3.4,3.42,-       
8.05,1.19,0.91,3.4,3.42,-       
8.1,1.25,0.92,3.4,3.43,gaze started: p_4_4
8.15,1.23,0.93,3.4,3.38,-       
8.2,1.14,0.94,3.4,3.46,-       
8.25,1.14,0.94,3.4,3.46,-       
8.3,0.13,1.79,3.4,3.35,-       
8.35,0.01,1.9,3.4,3.46,gaze started: p_3_2
8.4,0.01,1.9,3.4,3.46,gaze started: p_3_2
8.45,0.07,1.87,3.4,3.45,gaze started: p_2_2
8.5,0.05,1.87,3.4,3.44,-       
8.55,0.05,1.87,3.4,3.44,-       
8.6,0.07,1.87,3.4,3.42,-       
8.65,0.08,1.87,3.4,3.42,-       
8.7,0.06,1.88,3.4,3.42,gaze fixated: p_2_2
8.75,0.06,1.88,3.4,3.42,gaze fixated: p_2_2
8.8,0.07,1.88,3.4,3.44,-       
8.85,0.06,1.88,3.4,3.45,-       
8.9,0.08,1.88,3.4,3.44,-       
8.95,0.08,1.88,3.4,3.44,-       
9.0,0.06,1.89,3.4,3.39,-       
9.05,0.06,1.9,3.4,3.35,-       
9.1,0.09,1.88,3.4,3.3,-       
9.15,0.09,1.88,3.4,3.3,-       
9.2,0.07,1.89,3.4,3.29,-       
9.25,0.1,1.74,3.4,3.29,-       
9.3,0.11,1.64,3.4,3.35,gaze started: p_3_2
9.35,0.11,1.64,3.4,3.35,gaze started: p_3_2
