time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.63,0.36,-0.12,,-       
0.05,0.63,0.36,-0.13,,-       
0.1,0.63,0.36,-0.13,,-       
0.15,0.24,1.83,3.4,4.36,-       
0.2,0.03,1.85,3.4,4.34,gaze started: p_2_3
0.25,0.06,1.88,3.4,4.31,gaze started: p_2_2
0.3,0.12,1.87,3.4,4.31,-       
0.35,0.12,1.87,3.4,4.31,-       
0.4,0.11,1.87,3.4,4.33,-       
0.45,0.12,1.88,3.4,4.36,-       
0.5,0.12,1.87,3.4,4.38,-       
0.55,0.12,1.87,3.4,4.39,gaze fixated: p_2_2
0.6,0.13,1.87,3.4,4.37,-       
0.65,0.15,1.86,3.4,4.37,-       
0.7,0.38,1.68,3.4,4.38,gaze started: p_2_3
0.75,0.47,1.61,3.4,4.13,gaze started: p_3_3
0.8,0.53,1.59,3.4,3.97,-       
0.85,0.53,1.58,3.4,3.84,-       
0.9,0.53,1.58,3.4,3.84,-       
0.95,0.54,1.56,3.4,3.6,-       
1.0,0.54,1.57,3.4,3.45,-       
1.05,0.54,1.58,3.4,3.28,gaze fixated: p_3_3
1.1,0.54,1.57,3.4,3.19,-       
1.15,0.52,1.57,3.4,3.03,-       
1.2,0.24,1.69,3.4,2.95,-       
1.25,0.24,1.69,3.4,2.95,-       
1.3,-0.34,1.95,3.4,2.93,-       
1.35,-0.26,1.94,3.4,2.91,gaze started: p_2_2
1.4,-0.29,1.94,3.4,2.88,-       
1.45,-0.33,1.96,3.4,2.85,-       
1.5,-0.3,1.96,3.4,2.81,-       
1.55,-0.27,1.95,3.4,2.77,-       
1.6,-0.25,1.94,3.4,2.77,gaze fixated: p_2_2
1.65,0.02,1.61,3.4,2.66,-       
1.7,0.09,1.48,3.4,2.69,gaze started: p_3_2
1.75,0.12,1.48,3.4,2.69,-       
1.8,0.12,1.48,3.4,2.69,-       
1.85,0.62,0.36,-0.16,,-       
1.9,0.63,0.36,-0.16,,-       
1.95,0.64,0.36,-0.17,,-       
2.0,0.65,0.36,-0.19,,-       
2.05,0.65,0.36,-0.19,,-       
2.1,0.67,2.04,3.4,2.9,-       
2.15,0.68,1.96,3.4,2.96,gaze started: p_2_3
2.2,0.65,2.01,3.4,3.0,-       
2.25,0.65,2.01,3.4,3.0,-       
2.3,0.63,0.36,-0.18,,-       
2.35,0.63,0.36,-0.19,,-       
2.4,0.63,0.36,-0.21,,-       
2.45,0.63,0.36,-0.22,,-       
2.5,0.6,0.4,-0.21,,-       
2.55,0.57,0.45,-0.2,,-       
2.6,0.57,0.46,-0.2,,-       
2.65,0.58,0.44,-0.2,,-       
2.7,0.6,0.43,-0.21,,-       
2.75,0.05,1.82,3.46,3.34,-       
2.8,-0.03,1.83,3.4,3.61,-       
2.85,-0.06,1.78,3.4,3.56,gaze started: p_2_2
2.9,-0.06,1.78,3.4,3.56,gaze started: p_2_2
2.95,-0.34,1.98,3.4,3.67,gaze started: p_3_2
3.0,-0.46,2.05,3.4,3.67,gaze started: p_2_2
3.05,-0.39,2.12,3.4,3.67,-       
3.1,-0.4,2.08,3.4,3.63,-       
3.15,-0.4,2.06,3.4,3.58,-       
3.2,0.19,2.06,3.4,3.53,-       
3.25,0.19,2.06,3.4,3.53,-       
3.3,0.35,2.13,3.4,3.56,gaze started: p_2_3
3.35,0.34,2.13,3.4,3.57,-       
3.4,0.37,2.11,3.4,3.57,-       
3.45,0.36,2.1,3.4,3.56,-       
3.5,0.36,2.09,3.4,3.57,-       
3.55,0.37,2.08,3.4,3.57,gaze fixated: p_2_3
3.6,-0.04,1.98,3.4,3.5,-       
3.65,-0.09,1.96,3.4,3.48,gaze started: p_2_2
3.7,-0.11,1.96,3.4,3.48,-       
3.75,-0.03,1.92,3.4,3.51,-       
3.8,0.55,0.36,-0.15,,-       
3.85,0.55,0.36,-0.15,,-       
3.9,0.55,0.36,-0.15,,-       
3.95,0.55,0.36,-0.15,,-       
4.0,0.54,0.36,-0.15,,-       
4.05,0.54,0.36,-0.16,,-       
4.1,0.55,0.36,-0.16,,-       
4.15,0.55,0.36,-0.15,,-       
4.2,0.56,0.36,-0.16,,-       
4.25,0.56,0.36,-0.16,,-       
4.3,0.25,1.73,3.4,3.47,-       
4.35,0.15,1.72,3.4,3.56,gaze started: p_3_3
4.4,0.3,1.7,3.4,3.59,-       
4.45,0.23,1.71,3.4,3.63,-       
4.5,0.19,1.72,3.4,3.69,-       
4.55,0.57,0.36,-0.16,,-       
4.6,0.58,0.36,-0.17,,-       
4.65,0.58,0.36,-0.16,,-       
4.7,0.59,0.36,-0.16,,-       
4.75,0.59,0.36,-0.17,,-       
4.8,0.59,0.36,-0.17,,-       
4.85,0.58,0.36,-0.17,,-       
4.9,0.58,0.36,-0.17,,-       
4.95,-0.87,2.66,3.4,3.82,-       
5.0,-1.05,2.35,3.4,3.58,gaze started: p_1_1
5.05,-1.03,2.37,3.4,3.66,-       
5.1,-1.03,2.36,3.4,3.68,-       
5.15,-1.04,2.36,3.4,3.7,-       
5.2,-1.03,2.36,3.4,3.73,-       
5.25,-1.03,2.36,3.4,3.73,-       
5.3,-1.01,2.37,3.4,3.74,gaze fixated: p_1_1
5.35,-1.0,2.37,3.4,3.77,-       
5.4,-1.96,2.67,3.57,3.83,-       
5.45,-1.96,2.64,3.57,3.81,gaze ended: p_1_1
5.5,-1.97,2.66,3.57,3.81,-       
5.55,-2.03,2.68,3.57,3.82,-       
5.6,-1.99,2.7,3.57,3.86,-       
5.65,0.61,0.36,-0.13,,-       
5.7,0.61,0.36,-0.13,,-       
5.75,0.61,0.36,-0.14,,-       
5.8,0.61,0.36,-0.14,,-       
5.85,0.61,0.36,-0.14,,-       
5.9,-0.07,2.06,3.4,3.65,-       
5.95,-0.08,2.06,3.4,3.73,gaze started: p_2_2
6.0,-0.08,2.06,3.4,3.73,gaze started: p_2_2
6.05,0.01,2.03,3.4,3.7,-       
6.1,-0.04,2.01,3.4,3.72,-       
6.15,-0.89,2.2,3.4,3.77,-       
6.2,-1.0,2.21,3.4,3.67,gaze started: p_2_1
6.25,-1.03,2.22,3.4,3.66,-       
6.3,-1.0,2.2,3.4,3.64,-       
6.35,-1.05,2.17,3.4,3.57,-       
6.4,0.61,0.36,-0.15,,-       
6.45,0.61,0.36,-0.15,,-       
6.5,0.61,0.36,-0.15,,-       
6.55,0.61,0.36,-0.15,,-       
6.6,0.61,0.36,-0.15,,-       
6.65,0.61,0.36,-0.15,,-       
6.7,0.02,1.89,3.4,3.55,-       
6.75,0.14,1.84,3.4,3.53,gaze started: p_2_2
6.8,0.2,1.79,3.4,3.54,gaze started: p_2_3
6.85,0.17,1.82,3.46,3.58,gaze started: p_3_3
6.9,0.18,1.81,3.4,3.59,-       
6.95,0.19,1.82,3.46,3.58,gaze started: p_2_3
7.0,0.2,1.82,3.46,3.54,-       
7.05,0.2,1.82,3.46,3.47,-       
7.1,0.2,1.82,3.46,3.42,-       
7.15,0.2,1.82,3.46,3.36,-       
7.2,0.2,1.82,3.46,3.36,-       
7.25,0.2,1.79,3.4,3.32,-       
7.3,0.17,1.82,3.46,3.28,gaze started: p_3_3
7.35,0.17,1.82,3.4,3.24,-       
7.4,0.18,1.81,3.4,3.2,gaze started: p_2_3
7.45,0.18,1.81,3.4,3.17,-       
7.5,0.13,1.83,3.4,3.17,-       
7.55,0.17,1.82,3.4,3.16,gaze started: p_2_2
7.6,0.18,1.81,3.4,3.17,gaze started: p_2_3
7.65,0.18,1.81,3.4,3.19,-       
7.7,0.19,1.81,3.4,3.21,-       
7.75,0.18,1.82,3.4,3.23,-       
7.8,0.1,1.84,3.4,3.24,-       
7.85,0.1,1.84,3.4,3.24,-       
7.9,0.14,1.84,3.46,3.26,gaze started: p_2_2
7.95,0.14,1.84,3.46,3.27,-       
8.0,0.14,1.84,3.46,3.28,-       
8.05,0.19,1.82,3.46,3.27,-       
8.1,0.13,1.82,3.4,3.26,-       
8.15,0.18,1.82,3.46,3.24,gaze started: p_2_2
