time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.57,0.36,-0.05,,-       
0.05,0.57,0.36,-0.05,,gaze ended: p_3_3
0.1,0.57,0.36,-0.05,,-       
0.15,0.57,0.36,-0.05,,-       
0.2,0.57,0.36,-0.05,,-       
0.25,-0.47,0.72,3.57,4.39,-       
0.3,-0.53,0.73,3.57,4.43,-       
0.35,-0.48,0.82,3.57,4.46,-       
0.4,-0.48,0.81,3.57,4.44,-       
0.45,-0.48,0.82,3.57,4.46,-       
0.5,-0.47,0.85,3.57,4.44,-       
0.55,-0.5,0.81,3.57,4.39,-       
0.6,-0.48,0.83,3.57,4.46,-       
0.65,0.09,1.12,3.4,4.19,-       
0.7,0.04,1.25,3.4,4.2,gaze started: p_4_2
0.75,0.05,1.32,3.4,3.97,-       
0.8,0.05,1.32,3.4,3.97,-       
0.85,0.05,1.32,3.4,3.97,-       
0.9,0.05,1.32,3.4,3.97,-       
0.95,0.05,1.32,3.4,3.97,-       
1.0,0.05,1.32,3.4,3.97,-       
1.05,0.05,1.32,3.4,3.97,-       
1.1,0.05,1.32,3.4,3.97,-       
1.15,0.05,1.32,3.4,3.97,-       
1.2,0.05,1.32,3.4,3.97,-       
1.25,0.05,1.32,3.4,3.97,-       
1.3,-1.41,0.85,3.57,3.1,gaze fixated: p_4_2
1.35,-1.28,0.88,3.4,3.06,gaze ended: p_4_2
1.4,-1.28,0.88,3.4,3.06,gaze ended: p_4_2
1.45,0.13,1.44,3.4,3.05,gaze started: p_4_1
1.5,0.06,1.42,3.4,2.93,gaze started: p_3_2
1.55,0.06,1.42,3.4,2.9,-       
1.6,0.06,1.42,3.4,2.89,-       
1.65,0.06,1.43,3.4,2.87,-       
1.7,0.06,1.43,3.4,2.83,-       
1.75,-0.19,1.45,3.4,2.81,gaze fixated: p_3_2
1.8,-0.67,1.36,3.4,2.85,-       
1.85,-0.68,1.35,3.4,2.91,-       
1.9,-0.68,1.35,3.4,2.91,-       
1.95,-0.88,1.23,3.4,3.04,-       
2.0,-1.53,0.81,3.57,3.28,gaze started: p_4_1
2.05,-1.59,0.77,3.53,3.24,-       
2.1,-1.59,0.78,3.51,3.3,-       
2.15,-1.61,0.77,3.57,3.39,-       
2.2,-1.55,0.77,3.46,3.46,-       
2.25,-1.55,0.76,3.45,3.58,-       
2.3,-0.47,1.16,3.4,3.69,-       
2.35,0.04,1.38,3.4,3.68,gaze started: p_4_2
2.4,-0.02,1.37,3.4,3.66,gaze started: p_3_2
2.45,-0.02,1.37,3.4,3.66,-       
2.5,-0.0,1.37,3.4,3.69,-       
2.55,0.0,1.36,3.4,3.71,-       
2.6,-0.01,1.37,3.4,3.77,-       
2.65,0.0,1.37,3.4,3.83,gaze fixated: p_3_2
2.7,-0.0,1.35,3.4,3.81,-       
2.75,0.43,1.48,3.4,3.64,-       
2.8,0.49,1.53,3.4,3.45,gaze started: p_3_3
2.85,0.49,1.53,3.4,3.45,gaze started: p_3_3
2.9,0.49,1.51,3.4,3.25,-       
2.95,0.5,1.52,3.4,3.17,-       
3.0,0.5,1.52,3.4,3.03,-       
3.05,0.5,1.53,3.4,2.9,-       
3.1,0.08,1.76,3.4,2.75,gaze fixated: p_3_3
3.15,-0.07,1.84,3.4,2.77,gaze started: p_3_2
3.2,-0.02,1.83,3.4,2.72,gaze started: p_2_2
3.25,-0.01,1.83,3.4,2.71,-       
3.3,0.12,2.0,3.4,2.65,-       
3.35,0.12,2.01,3.4,2.67,-       
3.4,0.15,2.01,3.4,2.63,-       
3.45,0.18,2.0,3.4,2.64,gaze started: p_2_3
3.5,0.2,1.98,3.4,2.64,-       
3.55,0.19,1.97,3.4,2.65,-       
3.6,0.22,1.98,3.4,2.68,-       
3.65,0.2,1.99,3.4,2.69,-       
3.7,0.15,1.93,3.4,2.74,gaze fixated: p_2_3
3.75,0.01,1.77,3.4,2.82,-       
3.8,0.03,1.78,3.4,2.78,gaze started: p_3_2
3.85,0.06,1.78,3.4,2.79,-       
3.9,0.08,1.81,3.46,2.81,-       
3.95,0.08,1.81,3.46,2.84,-       
4.0,0.2,1.54,3.4,2.94,-       
4.05,0.17,1.52,3.4,2.94,gaze started: p_3_3
