time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.52,2.38,3.4,3.6,-       
0.05,-0.53,2.36,3.4,3.6,-       
0.1,-0.53,2.36,3.4,3.6,-       
0.15,-0.53,2.36,3.4,3.6,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_drunk driving_30s_50nd.mp4
0.2,-0.53,2.36,3.4,3.6,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_drunk driving_30s_50nd.mp4
0.25,-0.53,2.36,3.4,3.6,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_drunk driving_30s_50nd.mp4
0.3,-0.52,2.36,3.4,3.59,-       
0.35,-0.52,2.37,3.4,3.61,-       
0.4,-0.52,2.37,3.4,3.6,-       
0.45,-0.52,2.37,3.4,3.6,-       
0.5,-0.53,2.36,3.4,3.63,-       
0.55,-0.53,2.37,3.4,3.64,-       
0.6,-0.53,2.38,3.4,3.67,-       
0.65,-0.53,2.38,3.4,3.69,-       
0.7,-0.53,2.38,3.4,3.69,-       
0.75,-0.54,2.38,3.4,3.7,-       
0.8,-0.54,2.38,3.4,3.72,-       
0.85,-0.53,2.37,3.4,3.75,-       
0.9,-0.54,2.37,3.4,3.79,-       
0.95,-0.54,2.37,3.4,3.79,-       
1.0,-0.54,2.37,3.4,3.78,-       
1.05,-0.56,2.29,3.46,3.54,-       
1.1,0.6,0.75,-0.3,,gaze ended: p_1_2
1.15,0.6,0.75,-0.3,,-       
1.2,0.6,0.75,-0.3,,-       
1.25,0.6,0.75,-0.3,,-       
1.3,0.6,0.75,-0.3,,-       
1.35,-0.06,2.24,3.4,3.64,-       
1.4,-0.04,2.3,3.4,3.67,gaze started: p_1_2
1.45,-0.04,2.31,3.4,3.67,-       
1.5,-0.03,2.31,3.4,3.68,-       
1.55,-0.04,2.31,3.4,3.68,-       
1.6,-0.05,2.31,3.4,3.67,-       
1.65,-0.05,2.31,3.4,3.68,-       
1.7,-0.04,2.31,3.4,3.7,gaze fixated: p_1_2
1.75,-0.34,2.31,3.4,3.68,-       
1.8,-0.51,2.34,3.4,3.75,-       
1.85,-0.5,2.34,3.4,3.75,-       
1.9,-0.5,2.34,3.4,3.77,-       
1.95,-0.53,2.38,3.4,3.79,-       
2.0,-0.54,2.38,3.4,3.78,-       
2.05,-0.54,2.39,3.4,3.76,-       
2.1,-0.54,2.4,3.4,3.74,-       
2.15,-0.54,2.38,3.4,3.71,-       
2.2,-0.55,2.38,3.4,3.7,-       
2.25,-0.52,2.4,3.4,3.71,-       
2.3,-0.47,2.35,3.4,3.64,-       
2.35,-0.47,2.35,3.4,3.65,-       
2.4,-0.46,2.35,3.4,3.65,-       
2.45,-0.28,2.18,3.4,3.63,-       
2.5,0.03,2.06,3.4,3.64,-       
2.55,0.0,2.05,3.4,3.63,-       
2.6,0.01,2.05,3.4,3.65,-       
2.65,0.01,2.04,3.4,3.67,-       
2.7,0.04,2.05,3.4,3.69,-       
2.75,-0.02,2.05,3.4,3.7,gaze fixated: p_2_2
2.8,-0.01,2.05,3.4,3.71,-       
2.85,-0.0,2.05,3.4,3.7,-       
2.9,-0.13,2.14,3.4,3.69,-       
2.95,-0.49,2.35,3.4,3.69,-       
3.0,-0.52,2.3,3.4,3.71,-       
3.05,-0.51,2.3,3.4,3.73,-       
3.1,-0.52,2.3,3.4,3.73,-       
3.15,-0.51,2.33,3.4,3.73,-       
3.2,-0.51,2.33,3.4,3.7,-       
3.25,-0.5,2.34,3.4,3.7,gaze fixated: p_1_2
3.3,-0.5,2.34,3.4,3.7,-       
3.35,-0.5,2.35,3.4,3.7,-       
3.4,-0.54,2.2,3.4,3.44,-       
3.45,0.6,0.75,-0.3,,gaze started: p_2_2
3.5,0.59,0.75,-0.3,,-       
3.55,0.59,0.75,-0.3,,-       
3.6,0.36,0.72,3.57,3.52,-       
3.65,0.28,0.92,3.4,3.6,-       
3.7,0.26,1.03,3.4,3.67,gaze started: p_4_3
3.75,0.27,0.99,3.4,3.7,-       
3.8,-0.34,0.53,3.16,3.94,-       
3.85,-0.35,0.53,3.2,3.94,-       
3.9,-0.33,0.53,3.15,3.99,-       
3.95,-0.35,0.53,3.15,3.99,-       
4.0,-0.33,0.53,3.1,3.98,-       
4.05,-0.32,0.53,3.07,3.99,-       
4.1,-0.32,0.53,3.08,3.97,-       
4.15,-0.33,0.53,3.1,3.95,-       
4.2,-0.22,0.78,3.57,3.77,-       
4.25,-0.21,0.84,3.57,3.76,-       
4.3,-0.19,0.86,3.46,3.75,-       
