time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.12,1.72,3.4,4.55,-       
0.05,-0.12,1.72,3.4,4.56,-       
0.1,-0.13,1.73,3.4,4.58,-       
0.15,-0.13,1.72,3.4,4.59,-       
0.2,0.28,1.68,3.4,4.62,-       
0.25,0.83,0.64,-0.28,,gaze started: p_3_3
0.3,0.82,0.64,-0.28,,-       
0.35,0.82,0.64,-0.28,,-       
0.4,0.82,0.64,-0.28,,-       
0.45,0.82,0.65,-0.28,,-       
0.5,0.64,1.59,3.4,4.15,-       
0.55,0.69,1.69,3.4,4.55,gaze started: p_3_3
0.6,0.64,1.73,3.4,4.53,-       
0.65,0.67,1.73,3.4,4.54,-       
0.7,0.67,1.73,3.4,4.54,-       
0.75,0.67,1.73,3.4,4.54,-       
0.8,0.67,1.73,3.4,4.54,-       
0.85,0.67,1.73,3.4,4.54,-       
0.9,0.67,1.73,3.4,4.54,-       
0.95,0.67,1.73,3.4,4.54,-       
1.0,0.67,1.73,3.4,4.54,-       
1.05,0.67,1.73,3.4,4.54,-       
1.1,0.67,1.73,3.4,4.54,-       
1.15,0.67,1.73,3.4,4.54,-       
1.2,-0.43,1.69,3.4,4.7,gaze fixated: p_3_3
1.25,-0.43,1.69,3.4,4.7,gaze fixated: p_3_3
1.3,-0.41,1.69,3.4,4.7,gaze started: p_3_2
1.35,-0.39,1.7,3.4,4.7,-       
1.4,-0.17,1.78,3.4,4.66,-       
1.45,-0.13,1.76,3.4,4.63,-       
1.5,-0.18,1.72,3.4,4.65,-       
1.55,0.69,1.94,3.4,4.65,gaze fixated: p_3_2
1.6,0.9,1.58,3.4,3.58,gaze started: p_2_3
1.65,0.81,0.65,-0.27,,gaze started: p_3_3
1.7,1.64,2.62,3.4,4.65,-       
1.75,1.61,2.6,3.4,4.65,gaze started: p_1_4
1.8,1.62,2.62,3.4,4.65,-       
1.85,1.61,2.61,3.4,4.65,-       
1.9,1.63,2.67,3.4,4.67,-       
1.95,1.64,2.71,3.4,4.69,-       
2.0,1.65,2.68,3.4,4.68,gaze fixated: p_1_4
2.05,1.66,2.68,3.4,4.69,-       
2.1,1.66,2.67,3.4,4.7,-       
2.15,1.66,2.67,3.4,4.7,-       
2.2,1.64,2.68,3.4,4.7,-       
2.25,1.63,2.7,3.4,4.71,-       
2.3,1.04,2.5,3.4,4.7,-       
2.35,0.61,2.4,3.4,4.69,-       
2.4,0.59,2.34,3.4,4.68,gaze started: p_1_3
2.45,0.82,0.64,-0.27,,-       
2.5,0.81,0.64,-0.27,,-       
2.55,0.81,0.64,-0.27,,-       
2.6,0.81,0.64,-0.27,,-       
2.65,0.81,0.64,-0.27,,-       
2.7,0.82,0.64,-0.27,,-       
2.75,0.04,1.66,3.4,4.36,-       
2.8,0.42,1.54,3.4,4.12,gaze started: p_3_2
2.85,0.46,1.59,3.4,3.94,gaze started: p_3_3
2.9,0.44,1.58,3.4,3.8,-       
2.95,0.43,1.58,3.4,3.7,-       
3.0,0.44,1.58,3.4,3.49,-       
3.05,0.43,1.59,3.4,3.29,-       
3.1,0.43,1.59,3.4,3.19,gaze fixated: p_3_3
3.15,0.42,1.6,3.4,3.0,-       
3.2,-0.11,1.89,3.4,2.97,-       
3.25,-0.27,1.84,3.4,2.9,gaze started: p_2_2
3.3,-0.24,1.87,3.4,2.88,-       
3.35,-0.23,1.86,3.4,2.85,-       
3.4,-0.23,1.87,3.4,2.83,-       
3.45,-0.22,1.88,3.4,2.8,-       
3.5,-0.21,1.89,3.4,2.79,gaze fixated: p_2_2
3.55,-0.24,1.91,3.4,2.82,-       
3.6,-0.37,2.14,3.4,2.89,-       
3.65,-0.36,2.13,3.4,2.91,-       
3.7,-0.34,2.14,3.4,2.93,-       
3.75,-0.38,2.05,3.4,2.88,-       
3.8,0.82,0.64,-0.27,,-       
3.85,0.82,0.64,-0.27,,gaze ended: p_2_2
3.9,0.82,0.64,-0.27,,-       
3.95,0.83,0.64,-0.27,,-       
4.0,-0.23,2.12,3.4,3.35,-       
4.05,-0.15,2.12,3.4,3.35,gaze started: p_2_2
4.1,-0.15,2.14,3.4,3.37,-       
4.15,0.06,2.11,3.4,3.53,-       
4.2,0.06,2.11,3.4,3.53,-       
4.25,0.17,2.11,3.4,3.49,-       
4.3,0.14,2.13,3.46,3.52,gaze started: p_2_3
4.35,0.15,2.1,3.4,3.53,-       
4.4,0.16,2.1,3.4,3.49,gaze started: p_2_3
4.45,0.81,0.64,-0.27,,-       
4.5,0.81,0.64,-0.27,,-       
4.55,0.81,0.64,-0.27,,-       
4.6,0.81,0.64,-0.27,,-       
4.65,0.81,0.64,-0.27,,-       
4.7,0.48,1.9,3.4,3.55,-       
4.75,0.47,1.93,3.4,3.62,gaze started: p_2_3
4.8,0.81,0.64,-0.27,,-       
4.85,0.81,0.64,-0.27,,-       
4.9,0.81,0.64,-0.27,,-       
4.95,0.82,0.64,-0.27,,-       
5.0,0.82,0.64,-0.27,,-       
5.05,0.82,0.64,-0.27,,-       
5.1,-0.31,1.92,3.4,3.63,-       
5.15,-0.11,2.03,3.4,3.53,gaze started: p_2_2
5.2,-0.06,2.02,3.4,3.59,-       
5.25,-0.1,1.94,3.4,3.59,-       
5.3,-0.1,1.95,3.4,3.62,-       
5.35,-0.12,1.91,3.4,3.65,-       
5.4,0.82,0.64,-0.27,,gaze fixated: p_2_2
5.45,0.82,0.64,-0.27,,gaze ended: p_2_2
5.5,0.81,0.64,-0.27,,-       
5.55,0.81,0.64,-0.27,,-       
5.6,0.82,0.64,-0.27,,-       
5.65,-0.08,2.02,3.4,3.43,-       
5.7,-0.04,2.06,3.4,3.46,gaze started: p_2_2
5.75,-0.07,2.04,3.4,3.46,-       
5.8,-0.02,1.99,3.4,3.47,-       
5.85,0.81,0.64,-0.27,,-       
5.9,0.81,0.64,-0.27,,-       
5.95,0.81,0.64,-0.27,,-       
6.0,0.82,0.64,-0.27,,-       
6.05,0.82,0.64,-0.27,,-       
6.1,0.82,0.64,-0.27,,-       
6.15,0.82,0.64,-0.27,,-       
6.2,0.82,0.64,-0.27,,-       
6.25,0.23,1.61,3.4,3.24,-       
6.3,0.13,1.49,3.4,3.14,gaze started: p_3_3
6.35,0.81,0.64,-0.27,,gaze started: p_3_2
6.4,0.81,0.64,-0.27,,-       
6.45,0.81,0.64,-0.27,,-       
6.5,0.81,0.64,-0.27,,-       
6.55,0.81,0.64,-0.27,,-       
6.6,0.05,1.66,3.4,3.34,-       
6.65,0.11,1.67,3.4,3.35,gaze started: p_3_2
6.7,0.13,1.73,3.4,3.39,-       
6.75,0.13,1.73,3.4,3.39,-       
6.8,0.13,1.74,3.4,3.42,-       
6.85,0.13,1.74,3.4,3.43,-       
6.9,0.11,1.73,3.4,3.33,gaze fixated: p_3_2
6.95,0.84,0.64,-0.27,,-       
7.0,0.84,0.64,-0.27,,gaze ended: p_3_2
7.05,0.83,0.64,-0.27,,-       
7.1,0.83,0.64,-0.27,,-       
7.15,0.83,0.64,-0.27,,-       
7.2,0.19,1.75,3.4,3.15,-       
7.25,0.08,1.74,3.4,3.17,gaze started: p_3_3
7.3,0.11,1.74,3.4,3.18,gaze started: p_3_2
7.35,0.13,1.78,3.4,3.21,-       
7.4,0.13,1.78,3.4,3.26,-       
7.45,0.13,1.79,3.46,3.32,-       
7.5,0.15,1.81,3.46,3.31,-       
7.55,0.13,1.8,3.46,3.29,-       
7.6,0.12,1.78,3.4,3.25,-       
