time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.45,2.12,3.4,5.05,gaze fixated: p_2_2
0.05,-0.44,2.11,3.4,4.88,-       
0.1,-0.44,2.11,3.4,4.88,-       
0.15,-0.46,2.11,3.4,4.67,-       
0.2,-0.46,2.12,3.4,4.44,-       
0.25,-0.45,2.11,3.4,4.29,-       
0.3,-0.45,2.11,3.4,4.29,-       
0.35,-0.45,2.11,3.4,4.29,-       
0.4,-0.45,2.11,3.4,4.29,-       
0.45,-0.45,2.11,3.4,4.29,-       
0.5,-0.45,2.11,3.4,4.29,-       
0.55,-0.45,2.11,3.4,4.29,-       
0.6,-0.45,2.11,3.4,4.29,-       
0.65,-0.45,2.11,3.4,4.29,-       
0.7,-0.45,2.11,3.4,4.29,-       
0.75,-0.47,2.13,3.4,3.87,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_100.mp4
0.8,-0.47,2.13,3.4,3.87,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_100.mp4
0.85,-0.47,2.15,3.4,3.87,-       
0.9,-0.46,2.15,3.4,3.88,-       
0.95,-0.42,2.13,3.4,3.88,-       
1.0,-0.43,2.14,3.4,3.88,-       
1.05,-0.41,2.07,3.4,3.79,-       
1.1,1.13,0.53,-0.4,,-       
1.15,1.13,0.53,-0.4,,gaze ended: p_2_2
1.2,1.13,0.53,-0.4,,gaze ended: p_2_2
1.25,1.13,0.53,-0.4,,-       
1.3,1.13,0.53,-0.4,,-       
1.35,-0.5,2.12,3.4,3.69,-       
1.4,-0.42,2.09,3.4,3.87,gaze started: p_2_2
1.45,-0.46,2.13,3.4,3.93,-       
1.5,-0.43,2.12,3.4,3.98,-       
1.55,-0.39,2.12,3.4,4.03,-       
1.6,-0.4,2.1,3.4,4.09,-       
1.65,-0.42,2.1,3.4,4.14,gaze fixated: p_2_2
1.7,-0.38,2.07,3.4,4.18,-       
1.75,-0.41,2.09,3.4,4.27,-       
1.8,-0.34,1.78,3.4,4.39,-       
1.85,-0.28,1.75,3.4,4.39,gaze started: p_3_2
1.9,-0.29,1.74,3.4,4.41,-       
1.95,-0.29,1.74,3.4,4.41,-       
2.0,-0.3,1.74,3.4,4.44,-       
2.05,-0.29,1.74,3.4,4.45,-       
2.1,-0.29,1.73,3.4,4.46,-       
2.15,-0.29,1.72,3.4,4.47,gaze fixated: p_3_2
2.2,-0.28,1.74,3.4,4.4,-       
2.25,-0.28,1.73,3.4,4.04,-       
2.3,-0.28,1.71,3.4,3.88,-       
2.35,-0.28,1.72,3.4,3.76,-       
2.4,-0.28,1.72,3.4,3.76,-       
2.45,-0.27,1.72,3.4,3.51,-       
2.5,-0.26,1.72,3.4,3.4,-       
2.55,-0.27,1.73,3.4,3.23,-       
2.6,-0.28,1.74,3.4,3.09,-       
2.65,-0.27,1.73,3.4,3.02,-       
2.7,-0.27,1.73,3.4,2.98,-       
2.75,-0.28,1.74,3.4,2.94,-       
2.8,-0.27,1.74,3.4,2.92,-       
2.85,-0.27,1.74,3.4,2.91,-       
2.9,-0.27,1.75,3.4,2.9,-       
2.95,-0.27,1.75,3.4,2.91,-       
3.0,-0.27,1.74,3.4,2.92,-       
3.05,-0.27,1.74,3.4,2.94,-       
3.1,-0.26,1.74,3.4,2.98,-       
3.15,-0.26,1.74,3.4,2.98,-       
3.2,-0.26,1.74,3.4,3.03,-       
3.25,-0.27,1.74,3.4,3.09,-       
3.3,-0.26,1.74,3.4,3.13,-       
3.35,-0.26,1.74,3.4,3.14,-       
3.4,-0.27,1.74,3.4,3.21,-       
3.45,-0.27,1.74,3.4,3.24,-       
3.5,-0.27,1.74,3.4,3.29,-       
3.55,1.12,0.54,-0.4,,-       
3.6,1.12,0.54,-0.4,,-       
3.65,1.12,0.55,-0.4,,gaze ended: p_3_2
3.7,1.12,0.55,-0.4,,-       
3.75,1.12,0.55,-0.4,,-       
3.8,1.12,0.55,-0.4,,-       
3.85,1.12,0.55,-0.4,,-       
3.9,1.12,0.55,-0.4,,-       
3.95,0.26,1.58,3.4,3.67,-       
4.0,0.33,1.65,3.4,3.93,gaze started: p_3_3
4.05,0.33,1.65,3.4,3.93,gaze started: p_3_3
4.1,0.36,1.68,3.4,3.9,-       
4.15,0.34,1.64,3.4,3.86,-       
4.2,0.34,1.62,3.4,3.8,-       
4.25,0.36,1.61,3.4,3.77,-       
4.3,0.36,1.62,3.4,3.75,gaze fixated: p_3_3
4.35,0.36,1.61,3.4,3.72,-       
4.4,0.36,1.6,3.4,3.75,-       
4.45,0.34,1.6,3.4,3.77,-       
4.5,0.35,1.59,3.4,3.79,-       
4.55,0.36,1.58,3.4,3.85,-       
