time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.21,2.18,3.4,3.72,-       
0.05,-0.21,2.18,3.4,3.72,-       
0.1,0.08,1.86,3.4,3.68,-       
0.15,0.08,1.87,3.4,3.72,-       
0.2,0.08,1.87,3.4,3.72,-       
0.25,0.08,1.87,3.4,3.72,-       
0.3,0.08,1.87,3.4,3.72,-       
0.35,0.08,1.87,3.4,3.72,-       
0.4,0.08,1.87,3.4,3.72,-       
0.45,0.08,1.87,3.4,3.72,-       
0.5,0.08,1.87,3.4,3.72,-       
0.55,0.08,1.87,3.4,3.72,-       
0.6,0.08,1.87,3.4,3.72,-       
0.65,0.98,0.7,-0.46,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_diet_30s_100.mp4
0.7,0.98,0.71,-0.46,,gaze ended: p_2_2
0.75,0.98,0.71,-0.46,,gaze ended: p_2_2
0.8,0.98,0.71,-0.46,,-       
0.85,0.98,0.71,-0.46,,-       
0.9,0.98,0.71,-0.46,,-       
0.95,-0.58,2.15,3.4,3.66,-       
1.0,-0.39,2.2,3.4,3.91,gaze started: p_2_2
1.05,-0.42,2.2,3.4,3.92,-       
1.1,-0.32,2.11,3.4,3.93,-       
1.15,-0.36,2.12,3.4,3.96,-       
1.2,-0.36,2.13,3.4,4.01,-       
1.25,-0.26,2.11,3.4,4.12,gaze fixated: p_2_2
1.3,-0.03,1.9,3.4,4.13,-       
1.35,-0.06,1.95,3.4,4.17,-       
1.4,-0.06,1.95,3.4,4.17,-       
1.45,-0.04,1.93,3.4,4.17,-       
1.5,-0.04,1.93,3.4,4.21,-       
1.55,-0.04,1.92,3.4,4.26,-       
1.6,-0.05,1.92,3.4,4.27,-       
1.65,-0.05,1.91,3.4,4.3,-       
1.7,-0.04,1.91,3.4,4.3,-       
1.75,-0.04,1.91,3.4,4.3,-       
1.8,-0.05,1.9,3.4,4.3,-       
1.85,-0.05,1.9,3.4,4.32,-       
1.9,-0.04,1.89,3.4,4.33,-       
1.95,-0.05,1.89,3.4,4.34,-       
2.0,-0.02,1.86,3.4,4.36,-       
2.05,0.31,1.73,3.4,4.11,-       
2.1,0.31,1.73,3.4,4.11,-       
2.15,0.35,1.71,3.4,3.9,gaze started: p_3_3
2.2,0.38,1.72,3.4,3.77,-       
2.25,0.38,1.72,3.4,3.58,-       
2.3,0.39,1.72,3.4,3.4,-       
2.35,0.39,1.72,3.4,3.25,-       
2.4,0.38,1.72,3.4,3.02,gaze fixated: p_3_3
2.45,0.97,0.71,-0.46,,-       
2.5,0.97,0.71,-0.46,,gaze ended: p_3_3
2.55,0.97,0.71,-0.46,,gaze ended: p_3_3
2.6,0.97,0.71,-0.46,,-       
2.65,0.97,0.71,-0.46,,-       
2.7,-0.33,1.95,3.4,2.68,-       
2.75,-0.26,1.93,3.4,2.77,gaze started: p_2_2
2.8,-0.18,1.9,3.4,2.79,-       
2.85,-0.23,1.95,3.4,2.84,-       
2.9,-0.14,2.0,3.4,2.86,-       
2.95,-0.14,2.0,3.4,2.86,-       
3.0,-0.09,1.98,3.4,2.86,-       
3.05,-0.07,1.98,3.4,2.86,gaze fixated: p_2_2
3.1,-0.07,1.98,3.4,2.85,-       
3.15,0.09,2.03,3.4,2.82,-       
3.2,0.13,1.98,3.4,2.84,-       
3.25,0.97,0.72,-0.47,,-       
3.3,0.97,0.72,-0.47,,gaze ended: p_2_2
3.35,0.97,0.72,-0.47,,-       
3.4,0.97,0.72,-0.47,,-       
3.45,0.97,0.72,-0.47,,-       
3.5,0.09,1.88,3.4,2.95,-       
3.55,0.11,1.93,3.4,3.05,gaze started: p_2_2
3.6,0.14,1.91,3.4,3.05,-       
3.65,0.17,1.88,3.4,3.11,gaze started: p_2_3
3.7,0.14,1.97,3.46,3.23,-       
3.75,0.15,2.13,3.4,3.28,-       
3.8,0.22,2.09,3.4,3.29,gaze started: p_2_3
3.85,0.22,2.08,3.4,3.32,-       
3.9,0.19,2.08,3.4,3.35,-       
3.95,0.19,2.08,3.4,3.35,-       
4.0,0.2,2.08,3.4,3.4,-       
4.05,0.2,2.08,3.4,3.48,-       
4.1,0.2,2.06,3.4,3.52,gaze fixated: p_2_3
4.15,0.08,1.86,3.4,3.6,-       
4.2,0.11,1.85,3.4,3.59,gaze started: p_2_2
4.25,0.09,1.85,3.4,3.6,-       
4.3,0.1,1.85,3.4,3.61,-       
4.35,0.1,1.85,3.4,3.61,-       
4.4,0.04,1.87,3.4,3.62,-       
4.45,0.96,0.72,-0.47,,-       
4.5,0.96,0.72,-0.47,,-       
4.55,0.96,0.72,-0.47,,-       
4.6,0.96,0.72,-0.47,,-       
4.65,0.96,0.72,-0.47,,-       
4.7,0.97,0.72,-0.47,,-       
4.75,0.97,0.72,-0.47,,-       
4.8,0.08,1.83,3.4,3.78,-       
4.85,0.09,1.75,3.4,3.81,gaze started: p_2_2
4.9,0.07,1.71,3.4,3.84,gaze started: p_3_2
4.95,0.07,1.71,3.4,3.84,gaze started: p_3_2
5.0,0.08,1.7,3.4,3.84,-       
5.05,0.09,1.69,3.4,3.8,-       
5.1,0.08,1.73,3.4,3.86,-       
5.15,0.97,0.72,-0.47,,-       
5.2,0.97,0.72,-0.47,,-       
5.25,0.97,0.72,-0.47,,-       
5.3,0.97,0.72,-0.47,,-       
5.35,0.97,0.72,-0.47,,-       
5.4,0.06,1.84,3.4,3.33,-       
5.45,0.11,1.87,3.4,3.37,gaze started: p_2_2
5.5,0.08,1.86,3.4,3.3,-       
5.55,0.17,1.83,3.4,3.36,-       
5.6,0.11,1.84,3.4,3.38,gaze started: p_2_3
5.65,0.15,1.83,3.4,3.4,gaze started: p_2_2
5.7,0.19,1.82,3.4,3.4,gaze started: p_2_3
5.75,0.18,1.81,3.4,3.34,-       
5.8,0.23,1.81,3.4,3.19,-       
5.85,0.21,1.82,3.4,3.16,-       
5.9,0.21,1.82,3.4,3.14,-       
5.95,0.15,1.85,3.4,3.12,gaze fixated: p_2_3
6.0,0.21,1.82,3.4,3.13,-       
6.05,0.21,1.82,3.4,3.13,-       
6.1,0.21,1.82,3.4,3.16,-       
6.15,0.21,1.83,3.4,3.18,-       
6.2,0.21,1.82,3.4,3.24,-       
6.25,0.16,1.79,3.4,3.22,-       
6.3,0.97,0.72,-0.47,,gaze started: p_3_3
6.35,0.97,0.72,-0.47,,-       
6.4,0.97,0.72,-0.47,,-       
6.45,0.97,0.72,-0.47,,-       
6.5,0.97,0.72,-0.47,,-       
6.55,0.97,0.72,-0.47,,-       
6.6,0.23,1.83,3.4,3.37,-       
6.65,0.23,1.83,3.4,3.44,gaze started: p_2_3
6.7,0.23,1.82,3.4,3.49,-       
6.75,0.23,1.82,3.4,3.49,-       
6.8,0.17,1.81,3.46,3.56,-       
6.85,0.14,1.81,3.4,3.53,-       
6.9,0.16,1.82,3.4,3.47,gaze started: p_2_3
