time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.42,0.76,3.57,3.69,-       
0.05,-0.42,0.76,3.57,3.69,-       
0.1,-0.42,0.76,3.57,3.69,-       
0.15,-0.42,0.76,3.57,3.69,-       
0.2,-0.42,0.76,3.57,3.69,-       
0.25,-0.42,0.76,3.57,3.69,-       
0.3,-0.42,0.76,3.57,3.69,-       
0.35,-0.42,0.76,3.57,3.69,-       
0.4,-0.42,0.76,3.57,3.69,-       
0.45,-0.42,0.76,3.57,3.69,-       
0.5,-0.42,0.76,3.57,3.69,-       
0.55,-0.17,0.53,3.09,3.64,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_puma_30s_50nd.mp4
0.6,-0.17,0.53,3.09,3.64,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_puma_30s_50nd.mp4
0.65,-0.17,0.53,3.09,3.64,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_puma_30s_50nd.mp4
0.7,-0.17,0.53,3.09,3.64,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_puma_30s_50nd.mp4
0.75,-0.15,0.53,3.02,3.57,-       
0.8,-0.14,0.53,3.01,3.55,-       
0.85,-0.16,0.53,3.03,3.56,-       
0.9,-0.17,0.53,3.06,3.57,-       
0.95,-0.18,0.53,3.09,3.57,-       
1.0,-0.18,0.53,3.09,3.57,-       
1.05,-0.27,0.83,3.57,3.67,-       
1.1,-0.16,0.9,3.4,3.68,-       
1.15,-0.19,0.82,3.57,3.64,gaze started: p_4_2
1.2,-0.19,0.88,3.4,3.66,-       
1.25,-0.18,0.9,3.4,3.68,gaze started: p_4_2
1.3,-0.17,0.9,3.4,3.67,-       
1.35,-0.18,0.91,3.4,3.69,-       
1.4,-0.18,0.91,3.4,3.67,-       
1.45,-0.18,0.91,3.4,3.69,-       
1.5,-0.16,1.11,3.4,3.74,gaze fixated: p_4_2
1.55,0.9,0.85,-0.54,,-       
1.6,0.9,0.85,-0.53,,gaze ended: p_4_2
1.65,0.9,0.85,-0.53,,-       
1.7,0.9,0.85,-0.53,,-       
1.75,0.89,0.85,-0.53,,-       
1.8,0.9,0.85,-0.53,,-       
1.85,0.9,0.85,-0.53,,-       
1.9,0.9,0.85,-0.53,,-       
1.95,0.89,0.85,-0.53,,-       
2.0,0.9,0.85,-0.53,,-       
2.05,0.65,1.73,3.4,3.89,-       
2.1,0.67,1.7,3.4,3.73,gaze started: p_3_3
2.15,0.68,1.71,3.4,3.68,-       
2.2,0.68,1.68,3.4,3.5,-       
2.25,0.65,1.65,3.4,3.34,-       
2.3,0.64,1.65,3.4,3.17,-       
2.35,0.19,1.7,3.4,2.84,gaze fixated: p_3_3
2.4,0.05,1.72,3.4,2.88,-       
2.45,0.08,1.72,3.4,2.75,gaze started: p_3_2
2.5,0.9,0.86,-0.54,,-       
2.55,0.9,0.85,-0.54,,-       
2.6,0.9,0.85,-0.53,,-       
2.65,0.9,0.85,-0.54,,-       
2.7,0.9,0.85,-0.53,,-       
2.75,0.9,0.85,-0.54,,-       
2.8,-0.09,1.93,3.4,2.64,-       
2.85,-0.01,1.92,3.4,2.61,gaze started: p_2_2
2.9,0.11,1.91,3.4,2.63,-       
2.95,-0.01,2.06,3.4,2.56,-       
3.0,0.05,2.07,3.4,2.65,-       
3.05,-0.11,2.09,3.4,2.69,-       
3.1,-0.06,2.08,3.4,2.68,gaze fixated: p_2_2
3.15,-0.03,2.08,3.4,2.68,-       
3.2,-0.03,2.08,3.4,2.68,-       
3.25,0.12,1.81,3.4,2.72,-       
3.3,0.1,1.8,3.46,2.73,-       
3.35,0.1,1.78,3.4,2.72,gaze ended: p_2_2
3.4,0.11,1.79,3.4,2.69,gaze started: p_3_2
3.45,0.1,1.8,3.46,2.69,-       
3.5,0.11,1.8,3.46,2.68,-       
3.55,0.11,1.8,3.46,2.67,-       
3.6,0.11,1.8,3.46,2.66,-       
3.65,0.11,1.8,3.46,2.66,-       
3.7,0.09,1.8,3.46,2.62,-       
3.75,0.09,1.8,3.46,2.62,-       
3.8,0.1,1.8,3.46,2.61,-       
3.85,0.1,1.8,3.46,2.61,-       
3.9,0.1,1.8,3.46,2.58,-       
3.95,0.1,1.8,3.46,2.58,-       
4.0,0.11,1.8,3.46,2.56,-       
4.05,0.11,1.8,3.46,2.56,-       
4.1,0.1,1.81,3.46,2.54,-       
4.15,0.1,1.81,3.46,2.54,-       
4.2,0.11,1.8,3.46,2.55,-       
4.25,0.1,1.81,3.46,2.54,-       
4.3,0.11,1.81,3.4,2.56,-       
4.35,0.12,1.81,3.4,2.58,gaze started: p_2_2
4.4,0.11,1.81,3.46,2.6,-       
4.45,0.11,1.81,3.4,2.64,-       
4.5,0.12,1.81,3.4,2.67,gaze started: p_2_2
4.55,0.11,1.81,3.4,2.68,-       
4.6,0.11,1.81,3.4,2.71,-       
4.65,0.12,1.8,3.46,2.72,-       
4.7,0.11,1.8,3.46,2.72,-       
4.75,0.11,1.8,3.46,2.72,-       
4.8,0.11,1.8,3.46,2.74,-       
4.85,0.11,1.8,3.46,2.75,-       
4.9,0.11,1.79,3.4,2.75,-       
4.95,0.11,1.79,3.4,2.75,gaze started: p_3_2
5.0,0.1,1.8,3.46,2.75,-       
5.05,0.1,1.79,3.4,2.75,-       
5.1,0.11,1.79,3.4,2.74,gaze started: p_3_2
5.15,0.1,1.8,3.46,2.7,-       
5.2,0.09,1.81,3.46,2.69,-       
5.25,0.1,1.81,3.46,2.67,-       
5.3,0.1,1.8,3.46,2.64,-       
5.35,0.1,1.8,3.46,2.64,-       
5.4,0.1,1.8,3.46,2.65,-       
5.45,0.07,1.79,3.4,2.65,-       
5.5,0.09,1.79,3.4,2.66,gaze started: p_3_2
5.55,0.1,1.77,3.4,2.68,-       
5.6,0.1,1.77,3.4,2.71,-       
5.65,0.1,1.77,3.4,2.73,-       
5.7,0.1,1.76,3.4,2.74,-       
5.75,0.11,1.77,3.4,2.78,gaze fixated: p_3_2
5.8,0.1,1.77,3.4,2.79,-       
5.85,0.11,1.76,3.4,2.82,-       
5.9,0.1,1.78,3.4,2.83,-       
5.95,0.11,1.78,3.4,2.86,-       
6.0,0.11,1.77,3.4,2.86,-       
6.05,0.11,1.76,3.4,2.86,-       
6.1,0.11,1.76,3.4,2.88,-       
6.15,0.11,1.76,3.4,2.88,-       
6.2,0.11,1.77,3.4,2.87,-       
6.25,0.11,1.76,3.4,2.86,-       
6.3,0.1,1.76,3.4,2.86,-       
6.35,0.11,1.76,3.4,2.91,-       
6.4,0.11,1.76,3.4,2.91,-       
6.45,0.11,1.76,3.4,2.94,-       
6.5,0.11,1.76,3.4,2.96,-       
6.55,0.11,1.76,3.4,2.97,-       
6.6,0.11,1.76,3.4,2.97,-       
6.65,0.11,1.76,3.4,2.96,-       
6.7,0.11,1.76,3.4,2.96,-       
6.75,0.11,1.76,3.4,2.94,-       
6.8,0.11,1.77,3.4,2.91,-       
6.85,0.11,1.77,3.4,2.92,-       
6.9,0.1,1.76,3.4,2.94,-       
6.95,0.1,1.77,3.4,2.93,-       
7.0,0.11,1.77,3.4,2.92,-       
7.05,0.11,1.78,3.4,2.92,-       
