time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.39,1.96,3.4,3.19,-       
0.05,-0.39,1.96,3.4,3.19,-       
0.1,-0.41,2.36,3.4,3.19,gaze started: p_1_2
0.15,-0.4,2.33,3.4,3.24,-       
0.2,-0.6,2.3,3.4,3.26,-       
0.25,0.98,0.72,-0.47,,-       
0.3,0.98,0.72,-0.47,,-       
0.35,0.98,0.72,-0.47,,-       
0.4,-0.66,2.23,3.4,3.06,-       
0.45,-0.71,2.27,3.46,3.11,gaze started: p_2_2
0.5,-0.69,2.32,3.4,3.16,-       
0.55,-0.69,2.34,3.4,3.2,gaze started: p_1_2
0.6,-0.69,2.34,3.4,3.21,-       
0.65,-0.69,2.34,3.4,3.23,-       
0.7,-0.67,2.28,3.46,3.2,-       
0.75,-0.64,2.24,3.4,3.21,-       
0.8,-0.64,2.24,3.4,3.21,-       
0.85,-0.64,2.24,3.4,3.21,-       
0.9,-0.64,2.24,3.4,3.21,-       
0.95,-0.64,2.24,3.4,3.21,-       
1.0,-0.64,2.24,3.4,3.21,-       
1.05,-0.64,2.24,3.4,3.21,-       
1.1,-0.64,2.24,3.4,3.21,-       
1.15,-0.64,2.24,3.4,3.21,-       
1.2,-0.64,2.24,3.4,3.21,-       
1.25,-0.53,2.19,3.4,3.15,gaze started: p_2_2
1.3,-0.54,2.2,3.4,3.14,-       
1.35,-0.54,2.2,3.4,3.14,-       
1.4,-0.54,2.2,3.4,3.15,-       
1.45,-0.53,2.2,3.4,3.17,-       
1.5,-0.53,2.2,3.4,3.18,-       
1.55,-0.53,2.2,3.4,3.19,gaze fixated: p_2_2
1.6,-0.47,2.19,3.4,3.25,-       
1.65,-0.2,1.94,3.4,3.26,-       
1.7,-0.13,1.9,3.4,3.3,-       
1.75,-0.13,1.9,3.4,3.31,-       
1.8,-0.11,1.92,3.4,3.37,-       
1.85,-0.11,1.92,3.4,3.37,-       
1.9,0.97,0.71,-0.46,,-       
1.95,0.97,0.71,-0.46,,gaze ended: p_2_2
2.0,0.97,0.71,-0.46,,-       
2.05,0.97,0.72,-0.47,,-       
2.1,0.97,0.71,-0.46,,-       
2.15,-1.22,1.66,3.4,3.38,gaze started: p_2_1
2.2,-1.44,1.15,3.4,3.47,gaze started: p_3_1
2.25,-1.43,1.21,3.4,3.47,gaze started: p_4_1
2.3,-1.42,1.21,3.4,3.48,-       
2.35,-1.44,1.21,3.4,3.48,-       
2.4,-1.23,1.09,3.4,3.46,-       
2.45,-1.23,1.09,3.4,3.46,-       
2.5,-0.78,0.89,3.4,3.47,gaze fixated: p_4_1
2.55,-0.77,0.89,3.4,3.45,-       
2.6,-0.77,0.89,3.4,3.43,-       
2.65,-0.01,1.23,3.4,3.29,-       
2.7,-0.01,1.23,3.4,3.29,-       
2.75,0.96,0.72,-0.47,,gaze started: p_4_2
2.8,0.96,0.72,-0.47,,-       
2.85,0.96,0.72,-0.47,,-       
2.9,0.96,0.73,-0.47,,-       
2.95,0.96,0.72,-0.47,,-       
3.0,0.97,0.72,-0.47,,-       
3.05,0.11,1.79,3.4,2.65,-       
3.1,0.0,1.75,3.4,2.63,gaze started: p_3_2
3.15,0.01,1.75,3.4,2.57,-       
3.2,-0.02,1.74,3.4,2.58,-       
3.25,-0.01,1.71,3.4,2.54,-       
3.3,-0.01,1.71,3.4,2.54,-       
3.35,0.96,0.72,-0.47,,-       
3.4,0.96,0.72,-0.47,,-       
3.45,0.96,0.72,-0.47,,-       
3.5,0.95,0.72,-0.47,,-       
3.55,0.94,0.73,-0.47,,-       
3.6,0.94,0.73,-0.47,,-       
3.65,0.94,0.73,-0.47,,-       
3.7,0.94,0.72,-0.47,,-       
3.75,0.93,0.72,-0.47,,-       
3.8,0.92,0.73,-0.47,,-       
3.85,-0.25,1.98,3.4,2.73,-       
3.9,-0.25,1.98,3.4,2.81,gaze started: p_2_2
3.95,-0.26,1.98,3.4,2.88,-       
4.0,-0.24,2.0,3.4,2.89,-       
4.05,-0.25,1.99,3.4,2.89,-       
4.1,-0.26,1.98,3.4,2.81,-       
4.15,0.92,0.74,-0.47,,gaze fixated: p_2_2
4.2,0.92,0.73,-0.47,,gaze ended: p_2_2
4.25,0.93,0.72,-0.47,,-       
4.3,0.93,0.72,-0.47,,-       
4.35,0.93,0.73,-0.47,,-       
4.4,0.93,0.74,-0.47,,-       
4.45,0.93,0.74,-0.47,,-       
4.5,-0.21,2.09,3.4,3.13,-       
4.55,-0.16,2.0,3.4,3.06,gaze started: p_2_2
4.6,-0.16,2.0,3.4,3.09,-       
4.65,0.06,1.99,3.4,3.13,-       
4.7,0.21,2.01,3.4,3.18,-       
4.75,0.22,2.01,3.4,3.15,gaze started: p_2_3
4.8,0.23,2.01,3.4,3.14,-       
4.85,0.23,1.99,3.4,3.13,-       
4.9,0.22,2.01,3.4,3.13,-       
4.95,-0.15,1.97,3.4,3.18,-       
5.0,-0.17,1.95,3.4,3.22,gaze started: p_2_2
5.05,-0.17,1.96,3.4,3.24,-       
5.1,-0.17,1.96,3.4,3.24,-       
5.15,-0.16,1.96,3.4,3.26,-       
5.2,-0.17,1.96,3.4,3.29,-       
5.25,-0.18,1.96,3.4,3.32,gaze fixated: p_2_2
5.3,-0.17,1.97,3.4,3.33,-       
5.35,-0.16,1.98,3.4,3.35,-       
5.4,-0.16,1.97,3.4,3.36,-       
5.45,-0.24,2.02,3.4,3.41,-       
5.5,-0.35,2.08,3.4,3.39,-       
5.55,-0.34,2.08,3.4,3.41,-       
5.6,-0.32,2.08,3.4,3.44,-       
5.65,-0.31,2.07,3.4,3.49,-       
5.7,0.08,1.89,3.4,3.59,-       
5.75,0.1,1.86,3.4,3.53,-       
5.8,0.1,1.86,3.4,3.52,-       
5.85,0.1,1.87,3.4,3.48,-       
5.9,0.1,1.87,3.4,3.46,-       
5.95,0.1,1.87,3.4,3.42,-       
6.0,0.1,1.87,3.4,3.39,-       
6.05,0.11,1.86,3.4,3.36,-       
6.1,0.11,1.87,3.4,3.34,-       
6.15,0.11,1.88,3.4,3.33,-       
6.2,0.11,1.87,3.4,3.34,-       
