time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.05,1.38,3.4,2.65,-       
0.05,0.05,1.38,3.4,2.65,-       
0.1,0.08,1.38,3.4,2.67,gaze started: p_3_2
0.15,0.08,1.36,3.4,2.66,-       
0.2,0.11,1.4,3.4,2.63,-       
0.25,0.11,1.4,3.4,2.62,-       
0.3,0.1,1.39,3.4,2.61,-       
0.35,0.1,1.4,3.4,2.61,gaze fixated: p_3_2
0.4,0.08,1.29,3.4,2.51,-       
0.45,0.08,1.27,3.4,2.51,gaze started: p_4_2
0.5,0.07,1.27,3.4,2.56,-       
0.55,0.07,1.28,3.4,2.55,-       
0.6,0.9,0.78,-0.49,,-       
0.65,0.91,0.78,-0.49,,-       
0.7,0.9,0.78,-0.49,,-       
0.75,0.91,0.78,-0.49,,-       
0.8,0.91,0.78,-0.49,,-       
0.85,0.91,0.78,-0.49,,-       
0.9,0.91,0.78,-0.49,,-       
0.95,0.91,0.78,-0.49,,-       
1.0,0.91,0.78,-0.49,,-       
1.05,0.91,0.78,-0.49,,-       
1.1,0.91,0.78,-0.49,,-       
1.15,0.91,0.78,-0.49,,-       
1.2,0.91,0.78,-0.49,,-       
1.25,0.91,0.78,-0.49,,-       
1.3,-0.04,2.12,3.4,2.52,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_kidney_30s_100.mp4
1.35,-0.05,2.13,3.4,2.54,gaze started: p_2_2
1.4,-0.06,2.13,3.4,2.56,-       
1.45,-0.06,2.12,3.4,2.52,-       
1.5,-0.06,2.12,3.4,2.48,-       
1.55,-0.13,2.12,3.4,2.45,-       
1.6,-0.07,2.11,3.4,2.46,gaze fixated: p_2_2
1.65,-0.09,2.12,3.4,2.46,-       
1.7,-0.14,2.12,3.4,2.51,-       
1.75,-0.03,2.08,3.4,2.54,-       
1.8,0.91,0.78,-0.49,,-       
1.85,0.91,0.78,-0.49,,gaze ended: p_2_2
1.9,0.91,0.78,-0.49,,-       
1.95,0.91,0.78,-0.49,,-       
2.0,0.91,0.78,-0.49,,-       
2.05,0.09,2.02,3.4,2.67,-       
2.1,0.07,2.08,3.4,2.71,gaze started: p_2_2
2.15,0.01,2.09,3.4,2.73,-       
2.2,-0.14,2.08,3.4,2.73,-       
2.25,-0.08,1.97,3.4,2.76,-       
2.3,-0.03,1.94,3.4,2.79,-       
2.35,-0.03,1.93,3.4,2.8,gaze fixated: p_2_2
2.4,-0.0,1.93,3.4,2.87,-       
2.45,0.91,0.78,-0.49,,-       
2.5,0.91,0.78,-0.49,,gaze ended: p_2_2
2.55,0.91,0.78,-0.49,,-       
2.6,0.91,0.78,-0.49,,-       
2.65,0.91,0.79,-0.49,,-       
2.7,0.91,0.79,-0.49,,-       
2.75,0.91,0.79,-0.49,,-       
2.8,-0.06,1.91,3.4,2.97,-       
2.85,0.04,1.84,3.4,2.88,gaze started: p_2_2
2.9,0.53,1.75,3.4,2.89,-       
2.95,0.47,1.69,3.4,2.8,gaze started: p_3_3
3.0,0.42,1.75,3.4,2.74,-       
3.05,0.29,1.7,3.4,2.51,-       
3.1,0.28,1.71,3.4,2.43,-       
3.15,0.28,1.71,3.4,2.43,-       
3.2,0.28,1.71,3.4,2.4,-       
3.25,0.28,1.71,3.4,2.38,gaze fixated: p_3_3
3.3,0.23,1.72,3.4,2.36,-       
3.35,-0.09,1.81,3.4,2.33,gaze started: p_2_2
3.4,-0.1,1.81,3.46,2.33,-       
3.45,-0.1,1.81,3.46,2.32,-       
3.5,0.91,0.79,-0.49,,-       
3.55,0.91,0.79,-0.49,,-       
3.6,0.91,0.79,-0.49,,-       
3.65,0.91,0.79,-0.49,,-       
3.7,0.91,0.79,-0.49,,-       
3.75,0.91,0.79,-0.49,,-       
3.8,0.91,0.79,-0.49,,-       
3.85,-0.18,1.88,3.4,2.34,-       
3.9,-0.18,1.89,3.4,2.37,gaze started: p_2_2
3.95,-0.1,1.9,3.4,2.47,-       
4.0,-0.11,1.89,3.4,2.45,-       
4.05,-0.1,1.88,3.4,2.42,-       
4.1,0.91,0.79,-0.49,,-       
4.15,0.91,0.79,-0.49,,-       
4.2,0.91,0.79,-0.49,,-       
4.25,0.91,0.79,-0.49,,-       
4.3,0.91,0.79,-0.49,,-       
4.35,0.91,0.79,-0.49,,-       
4.4,0.21,2.11,3.4,2.56,-       
4.45,0.23,2.1,3.4,2.51,gaze started: p_2_3
4.5,0.27,2.12,3.4,2.51,-       
4.55,0.26,2.08,3.4,2.46,-       
4.6,0.24,2.1,3.4,2.52,-       
4.65,0.05,1.96,3.4,2.53,-       
4.7,-0.02,1.95,3.4,2.51,gaze started: p_2_2
4.75,-0.02,1.96,3.4,2.51,-       
4.8,0.01,1.95,3.4,2.48,-       
4.85,-0.04,1.88,3.4,2.43,-       
4.9,-0.08,1.89,3.4,2.49,-       
4.95,0.03,1.9,3.4,2.5,-       
5.0,0.03,1.9,3.4,2.51,gaze fixated: p_2_2
5.05,0.04,1.9,3.4,2.53,-       
5.1,0.06,1.82,3.4,2.57,-       
5.15,0.1,1.75,3.4,2.61,-       
5.2,0.11,1.74,3.4,2.63,gaze started: p_3_2
5.25,0.11,1.74,3.4,2.64,-       
5.3,0.11,1.74,3.4,2.67,-       
5.35,-0.01,1.65,3.4,2.71,-       
