time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.31,2.22,3.4,3.9,gaze started: p_2_2
0.05,-0.29,2.24,3.4,4.01,-       
0.1,-0.31,2.23,3.4,3.99,-       
0.15,-0.24,2.09,3.4,3.91,-       
0.2,-0.3,2.19,3.4,4.05,-       
0.25,-0.3,2.32,3.4,4.18,-       
0.3,1.02,0.74,-0.47,,gaze started: p_1_2
0.35,1.02,0.74,-0.47,,-       
0.4,1.02,0.74,-0.47,,-       
0.45,1.02,0.74,-0.47,,-       
0.5,1.02,0.74,-0.47,,-       
0.55,1.02,0.74,-0.47,,-       
0.6,-0.83,2.42,3.4,4.4,-       
0.65,-0.83,2.42,3.4,4.4,-       
0.7,-0.83,2.42,3.4,4.4,-       
0.75,-0.83,2.42,3.4,4.4,-       
0.8,-0.83,2.42,3.4,4.4,-       
0.85,-0.83,2.42,3.4,4.4,-       
0.9,-0.83,2.42,3.4,4.4,-       
0.95,-0.83,2.42,3.4,4.4,-       
1.0,-0.83,2.42,3.4,4.4,-       
1.05,-0.83,2.42,3.4,4.4,-       
1.1,-0.59,2.23,3.4,3.64,gaze started: p_2_2
1.15,-0.59,2.23,3.4,3.64,gaze started: p_2_2
1.2,-0.55,2.18,3.4,3.47,-       
1.25,-0.55,2.18,3.4,3.47,-       
1.3,-0.56,2.11,3.4,3.32,-       
1.35,-0.56,2.11,3.4,3.32,-       
1.4,-0.46,2.23,3.4,3.33,gaze fixated: p_2_2
1.45,-0.46,2.23,3.4,3.33,gaze fixated: p_2_2
1.5,-0.15,2.09,3.4,3.13,-       
1.55,-0.15,2.09,3.4,3.13,-       
1.6,0.18,2.08,3.4,3.18,-       
1.65,0.18,2.08,3.4,3.18,-       
1.7,0.16,2.04,3.4,3.34,gaze started: p_2_2
1.75,0.25,2.09,3.4,3.31,gaze started: p_2_3
1.8,0.11,2.0,3.4,3.31,-       
1.85,0.2,2.05,3.4,3.35,gaze started: p_2_2
1.9,0.18,2.04,3.4,3.42,gaze started: p_2_3
1.95,0.13,2.01,3.4,3.46,-       
2.0,0.16,2.03,3.4,3.48,gaze started: p_2_2
2.05,0.19,2.04,3.4,3.5,gaze started: p_2_3
2.1,0.27,2.07,3.4,3.56,-       
2.15,0.26,2.07,3.4,3.57,-       
2.2,0.26,2.09,3.4,3.62,-       
2.25,0.19,2.03,3.4,3.69,-       
2.3,0.2,2.04,3.4,3.69,gaze fixated: p_2_3
2.35,0.21,2.06,3.4,3.72,-       
2.4,0.27,2.08,3.4,3.75,-       
2.45,0.26,2.07,3.4,3.77,-       
2.5,0.25,2.08,3.4,3.76,-       
2.55,0.16,2.02,3.4,3.76,-       
2.6,0.15,2.01,3.4,3.67,-       
2.65,0.16,2.01,3.4,3.51,-       
2.7,0.15,2.01,3.4,3.35,-       
2.75,0.13,2.0,3.4,3.21,-       
2.8,0.14,2.0,3.4,3.11,gaze started: p_2_2
2.85,0.15,2.0,3.4,3.04,gaze started: p_2_3
2.9,0.18,2.01,3.4,2.87,-       
2.95,0.13,1.99,3.4,2.87,-       
3.0,0.12,2.02,3.4,2.87,gaze started: p_2_2
3.05,0.03,1.94,3.4,2.83,-       
3.1,-0.02,1.95,3.4,2.93,-       
3.15,-0.03,1.93,3.4,2.76,-       
3.2,-0.09,1.95,3.4,2.81,-       
3.25,-0.09,1.95,3.4,2.82,gaze fixated: p_2_2
3.3,-0.08,1.97,3.4,2.88,-       
3.35,-0.08,1.96,3.4,2.83,-       
3.4,-0.07,1.95,3.4,2.81,-       
3.45,-0.08,1.96,3.4,2.8,-       
3.5,-0.06,1.93,3.4,2.75,-       
3.55,0.0,1.94,3.4,2.85,-       
3.6,-0.02,1.9,3.4,2.82,-       
3.65,-0.02,1.91,3.4,2.79,-       
3.7,-0.03,1.91,3.4,2.8,-       
3.75,0.03,1.97,3.4,2.88,-       
3.8,0.03,1.98,3.4,2.89,-       
3.85,0.07,1.95,3.4,2.87,-       
