time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.03,0.86,-0.56,,-       
0.05,-0.62,2.18,3.4,6.04,-       
0.1,-0.52,2.31,3.4,6.0,gaze started: p_2_2
0.15,-0.52,2.35,3.4,6.05,gaze started: p_1_2
0.2,-0.53,2.38,3.4,6.06,-       
0.25,-0.54,2.38,3.4,6.08,-       
0.3,-0.54,2.39,3.4,6.06,-       
0.35,-0.54,2.39,3.4,6.07,-       
0.4,-0.54,2.39,3.4,6.07,-       
0.45,-0.54,2.4,3.4,6.08,-       
0.5,-0.54,2.4,3.4,6.08,-       
0.55,-0.54,2.4,3.4,6.08,-       
0.6,-0.54,2.4,3.4,6.08,-       
0.65,-0.54,2.4,3.4,6.08,-       
0.7,-0.54,2.4,3.4,6.08,-       
0.75,-0.54,2.4,3.4,6.08,-       
0.8,-0.54,2.4,3.4,6.08,-       
0.85,-0.54,2.4,3.4,6.08,-       
0.9,-0.54,2.4,3.4,6.08,-       
0.95,-0.54,2.4,3.4,6.08,-       
1.0,-0.54,2.4,3.4,6.08,-       
1.05,-0.54,2.4,3.4,6.08,-       
1.1,-0.42,2.38,3.4,6.03,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_vaping_30s_50wd.mp4
1.15,-0.42,2.4,3.4,6.04,-       
1.2,-0.43,2.41,3.4,6.05,-       
1.25,-0.43,2.4,3.4,6.03,-       
1.3,-0.43,2.39,3.4,6.02,-       
1.35,-0.42,2.32,3.4,6.05,-       
1.4,1.02,0.86,-0.54,,-       
1.45,1.02,0.86,-0.54,,gaze ended: p_1_2
1.5,1.01,0.86,-0.54,,-       
1.55,1.02,0.85,-0.54,,-       
1.6,1.02,0.85,-0.54,,-       
1.65,-0.45,1.11,3.4,5.93,-       
1.7,-0.46,1.16,3.4,5.93,gaze started: p_4_2
1.75,-0.48,1.14,3.4,5.96,-       
1.8,-0.5,1.14,3.4,5.97,-       
1.85,-0.48,0.82,3.57,5.73,-       
1.9,-0.35,0.53,3.53,5.88,-       
1.95,-0.38,0.53,3.45,5.89,-       
2.0,-0.37,0.53,3.42,5.88,-       
2.05,-0.37,0.53,3.43,5.85,-       
2.1,-0.38,0.53,3.48,5.83,-       
2.15,-0.38,0.53,3.46,5.81,-       
2.2,-0.37,0.53,3.44,5.78,-       
2.25,-0.36,0.53,3.44,5.75,-       
2.3,-0.37,0.53,3.42,5.66,-       
2.35,-0.37,0.53,3.42,5.66,-       
2.4,-0.37,0.53,3.4,5.61,-       
2.45,-0.37,0.53,3.41,5.6,-       
2.5,-0.4,0.54,3.57,5.61,-       
