time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.7,2.17,3.4,3.45,-       
0.05,-0.7,2.17,3.4,3.45,-       
0.1,-0.67,2.2,3.4,3.44,gaze started: p_2_1
0.15,-0.66,2.19,3.4,3.47,gaze started: p_2_2
0.2,-0.65,2.21,3.4,3.47,-       
0.25,-0.67,2.22,3.4,3.51,-       
0.3,-0.65,2.26,3.4,3.54,-       
0.35,-0.64,2.25,3.4,3.56,-       
0.4,-0.65,2.25,3.4,3.56,gaze fixated: p_2_2
0.45,-0.65,2.24,3.4,3.57,-       
0.5,-0.66,2.24,3.4,3.57,-       
0.55,-0.64,2.24,3.4,3.5,-       
0.6,-0.42,2.17,3.4,3.39,-       
0.65,-0.36,2.32,3.4,3.42,-       
0.7,-0.36,2.32,3.4,3.42,-       
0.75,-0.36,2.32,3.4,3.42,-       
0.8,-0.36,2.32,3.4,3.42,-       
0.85,-0.36,2.32,3.4,3.42,-       
0.9,-0.36,2.32,3.4,3.42,-       
0.95,-0.36,2.32,3.4,3.42,-       
1.0,-0.36,2.32,3.4,3.42,-       
1.05,-0.36,2.32,3.4,3.42,-       
1.1,-0.36,2.32,3.4,3.42,-       
1.15,-0.36,2.32,3.4,3.42,-       
1.2,-0.59,2.34,3.4,3.38,gaze started: p_1_2
1.25,-0.58,2.3,3.4,3.37,-       
1.3,-0.56,2.3,3.4,3.35,-       
1.35,-0.56,2.3,3.4,3.35,-       
1.4,-0.55,2.3,3.4,3.35,-       
1.45,-0.56,2.29,3.4,3.33,gaze fixated: p_1_2
1.5,-0.56,2.28,3.4,3.33,-       
1.55,-0.58,2.19,3.4,3.32,-       
1.6,-0.35,1.82,3.4,3.4,-       
1.65,-0.35,1.82,3.4,3.4,-       
1.7,-0.37,1.6,3.4,3.35,gaze started: p_3_2
1.75,-0.37,1.6,3.4,3.35,gaze started: p_3_2
1.8,-0.37,1.63,3.4,3.41,-       
1.85,-0.36,1.69,3.4,3.51,-       
1.9,0.89,0.81,-0.5,,-       
1.95,0.89,0.81,-0.5,,-       
2.0,0.89,0.81,-0.5,,-       
2.05,0.89,0.81,-0.5,,-       
2.1,0.89,0.81,-0.5,,-       
2.15,0.89,0.81,-0.5,,-       
2.2,0.89,0.81,-0.5,,-       
2.25,0.89,0.81,-0.5,,-       
2.3,-0.37,0.4,2.94,3.46,-       
2.35,-0.37,0.4,2.94,3.46,-       
2.4,-0.39,0.29,2.94,3.35,-       
2.45,-0.47,0.34,2.94,3.56,-       
