time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.04,2.08,3.4,4.84,-       
0.05,0.05,2.07,3.4,4.84,-       
0.1,0.33,1.9,3.4,4.85,-       
0.15,0.3,1.92,3.4,4.84,gaze started: p_2_3
0.2,0.5,1.85,3.4,4.87,-       
0.25,0.5,1.85,3.4,4.87,-       
0.3,0.5,1.85,3.4,4.87,-       
0.35,0.5,1.85,3.4,4.87,-       
0.4,0.5,1.85,3.4,4.87,-       
0.45,0.5,1.85,3.4,4.87,-       
0.5,0.5,1.85,3.4,4.87,-       
0.55,0.5,1.85,3.4,4.87,-       
0.6,0.5,1.85,3.4,4.87,-       
0.65,0.5,1.85,3.4,4.87,-       
0.7,0.29,1.75,3.4,4.81,gaze fixated: p_2_3
0.75,0.29,1.74,3.4,4.82,gaze started: p_3_3
0.8,0.38,1.67,3.4,4.85,-       
0.85,-0.1,1.46,3.4,4.72,-       
0.9,-0.17,1.48,3.4,4.82,gaze started: p_3_2
0.95,-0.17,1.46,3.4,4.81,-       
1.0,0.19,1.49,3.4,4.9,-       
1.05,0.24,1.54,3.4,4.91,gaze started: p_3_3
1.1,0.15,1.59,3.4,4.91,-       
1.15,0.17,1.58,3.4,4.91,-       
1.2,0.19,1.56,3.4,4.91,-       
1.25,0.05,1.65,3.4,4.9,-       
1.3,-0.45,1.77,3.4,4.93,gaze started: p_3_2
1.35,-0.26,1.68,3.4,4.95,-       
1.4,-0.32,1.71,3.4,4.99,-       
1.45,0.24,1.95,3.4,4.95,-       
1.5,0.75,0.56,-0.2,,gaze started: p_2_3
1.55,0.75,0.56,-0.2,,-       
1.6,0.75,0.56,-0.2,,-       
1.65,0.28,2.24,3.4,5.05,-       
1.7,0.26,2.34,3.4,5.13,gaze started: p_2_3
1.75,0.35,2.25,3.4,5.09,gaze started: p_1_3
1.8,0.33,2.28,3.4,5.1,gaze started: p_2_3
1.85,-0.06,2.18,3.4,5.09,-       
1.9,-0.21,2.14,3.4,5.06,gaze started: p_2_2
1.95,-0.13,2.09,3.4,5.06,-       
2.0,-0.13,2.07,3.4,5.05,-       
2.05,-0.14,2.07,3.4,5.04,-       
2.1,0.03,1.98,3.4,5.0,-       
2.15,0.55,1.78,3.4,4.85,gaze fixated: p_2_2
2.2,0.58,1.76,3.4,4.62,gaze started: p_3_3
2.25,0.48,1.78,3.4,4.51,-       
2.3,0.49,1.78,3.4,4.45,-       
2.35,0.47,1.77,3.4,4.27,-       
2.4,0.48,1.76,3.4,4.1,-       
2.45,0.49,1.76,3.4,3.95,-       
2.5,0.49,1.76,3.4,3.82,gaze fixated: p_3_3
2.55,0.48,1.77,3.4,3.76,-       
2.6,0.44,1.79,3.4,3.69,-       
2.65,0.49,1.76,3.4,3.66,-       
2.7,0.49,1.76,3.4,3.61,-       
2.75,0.5,1.75,3.4,3.55,-       
2.8,0.48,1.75,3.4,3.57,-       
2.85,0.47,1.75,3.4,3.57,-       
2.9,0.48,1.74,3.4,3.58,-       
2.95,0.48,1.74,3.4,3.58,-       
3.0,0.46,1.75,3.4,3.57,-       
3.05,0.26,1.7,3.4,3.59,-       
3.1,0.42,1.63,3.4,3.59,-       
3.15,0.32,1.66,3.4,3.59,-       
3.2,0.32,1.67,3.4,3.58,-       
3.25,0.3,1.67,3.4,3.56,-       
3.3,0.28,1.66,3.4,3.56,-       
3.35,0.29,1.67,3.4,3.56,-       
3.4,0.3,1.65,3.4,3.57,-       
3.45,0.3,1.66,3.4,3.59,-       
3.5,0.35,1.62,3.4,3.63,-       
3.55,0.28,1.66,3.4,3.66,-       
3.6,0.29,1.65,3.4,3.72,-       
3.65,0.24,1.56,3.4,3.68,-       
3.7,0.16,1.62,3.4,3.69,-       
3.75,0.16,1.61,3.4,3.69,-       
3.8,0.14,1.62,3.46,3.68,-       
3.85,0.75,0.55,-0.2,,-       
3.9,0.75,0.56,-0.2,,-       
3.95,0.74,0.56,-0.2,,-       
4.0,0.75,0.56,-0.2,,-       
4.05,0.35,1.95,3.4,3.67,-       
4.1,0.18,2.04,3.4,3.66,gaze started: p_2_3
4.15,0.28,1.98,3.4,3.69,-       
4.2,0.28,1.97,3.4,3.62,-       
4.25,0.28,1.98,3.4,3.62,-       
4.3,0.29,1.96,3.4,3.6,-       
4.35,0.1,1.92,3.4,3.56,-       
4.4,0.11,1.93,3.4,3.46,gaze started: p_2_2
4.45,0.14,1.93,3.46,3.46,-       
4.5,0.13,1.89,3.4,3.49,-       
4.55,0.2,1.81,3.4,3.49,gaze started: p_2_3
4.6,0.18,1.82,3.46,3.48,-       
4.65,0.25,1.75,3.4,3.48,-       
4.7,0.27,1.74,3.4,3.48,gaze started: p_3_3
4.75,0.23,1.77,3.4,3.47,-       
4.8,0.23,1.77,3.4,3.44,-       
4.85,0.21,1.77,3.4,3.44,-       
4.9,0.26,1.73,3.4,3.44,-       
4.95,0.27,1.72,3.4,3.46,-       
5.0,0.28,1.72,3.4,3.46,gaze fixated: p_3_3
5.05,0.27,1.72,3.4,3.46,-       
5.1,0.26,1.72,3.4,3.46,-       
5.15,0.25,1.74,3.4,3.46,-       
5.2,0.28,1.73,3.4,3.44,-       
5.25,0.26,1.71,3.4,3.39,-       
5.3,0.24,1.69,3.4,3.34,-       
5.35,0.23,1.69,3.4,3.32,-       
5.4,0.24,1.67,3.4,3.31,-       
5.45,0.29,1.65,3.4,3.31,-       
5.5,0.3,1.66,3.4,3.3,-       
5.55,0.28,1.71,3.4,3.29,-       
5.6,0.29,1.72,3.4,3.3,-       
5.65,0.27,1.75,3.4,3.29,-       
5.7,0.14,1.77,3.4,3.31,-       
5.75,0.17,1.74,3.4,3.23,-       
5.8,0.21,1.7,3.4,3.24,-       
5.85,0.21,1.69,3.4,3.25,-       
5.9,0.21,1.71,3.4,3.27,-       
5.95,0.21,1.7,3.4,3.3,-       
6.0,0.22,1.7,3.4,3.33,-       
6.05,0.19,1.72,3.4,3.35,-       
6.1,0.2,1.72,3.4,3.34,-       
6.15,0.2,1.71,3.4,3.35,-       
6.2,0.2,1.71,3.4,3.36,-       
6.25,0.19,1.71,3.4,3.38,-       
6.3,0.13,1.77,3.4,3.38,-       
6.35,0.18,1.74,3.4,3.41,gaze started: p_3_3
6.4,0.18,1.74,3.4,3.46,-       
6.45,0.22,1.71,3.4,3.49,-       
6.5,0.12,1.75,3.4,3.53,-       
6.55,0.2,1.71,3.4,3.55,gaze started: p_3_2
6.6,0.2,1.71,3.4,3.55,gaze started: p_3_3
6.65,0.14,1.72,3.46,3.55,-       
