time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.17,2.16,3.4,4.34,-       
0.05,-0.34,2.21,3.4,4.35,-       
0.1,-0.33,2.2,3.4,4.45,-       
0.15,-0.33,2.17,3.4,4.39,-       
0.2,-0.35,2.17,3.4,4.39,gaze fixated: p_2_2
0.25,-0.3,2.04,3.4,4.39,-       
0.3,-0.32,2.08,3.4,4.39,-       
0.35,-0.32,2.06,3.4,4.38,-       
0.4,-0.33,2.04,3.4,4.37,-       
0.45,-0.33,2.04,3.4,4.37,-       
0.5,-0.33,2.04,3.4,4.37,-       
0.55,-0.33,2.04,3.4,4.37,-       
0.6,-0.33,2.04,3.4,4.37,-       
0.65,-0.33,2.04,3.4,4.37,-       
0.7,-0.33,2.04,3.4,4.37,-       
0.75,-0.33,2.04,3.4,4.37,-       
0.8,-0.33,2.04,3.4,4.37,-       
0.85,-0.33,2.04,3.4,4.37,-       
0.9,-0.33,2.04,3.4,4.37,-       
0.95,0.75,0.54,-0.19,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_cookies_30s_100.mp4
1.0,0.75,0.54,-0.19,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_cookies_30s_100.mp4
1.05,0.75,0.54,-0.19,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_cookies_30s_100.mp4
1.1,-0.44,2.15,3.4,4.2,gaze ended: p_2_2
1.15,-0.44,2.15,3.4,4.18,gaze started: p_2_2
1.2,-0.45,2.11,3.4,4.16,-       
1.25,-0.45,2.18,3.4,4.12,-       
1.3,-0.44,2.09,3.4,4.09,-       
1.35,-0.09,2.09,3.4,4.01,-       
1.4,0.05,2.11,3.4,4.05,-       
1.45,-0.07,1.88,3.4,4.05,gaze fixated: p_2_2
1.5,0.3,1.76,3.4,3.9,-       
1.55,0.42,1.66,3.4,3.93,gaze started: p_3_3
1.6,0.46,1.69,3.4,3.94,-       
1.65,0.42,1.68,3.4,3.94,-       
1.7,0.42,1.68,3.4,3.95,-       
1.75,0.44,1.68,3.4,3.97,-       
1.8,0.74,0.54,-0.19,,-       
1.85,0.74,0.54,-0.19,,-       
1.9,0.74,0.54,-0.19,,-       
1.95,0.74,0.54,-0.19,,-       
2.0,0.27,1.9,3.4,4.02,-       
2.05,0.35,1.94,3.4,4.02,gaze started: p_2_3
2.1,0.29,1.91,3.4,4.02,-       
2.15,0.3,1.92,3.4,4.04,-       
2.2,0.32,1.94,3.4,4.05,-       
2.25,0.31,1.93,3.4,4.06,-       
2.3,0.3,1.92,3.4,4.08,-       
2.35,0.29,1.91,3.4,4.09,gaze fixated: p_2_3
2.4,0.53,1.53,3.4,3.79,-       
2.45,0.55,1.56,3.4,3.61,gaze started: p_3_3
2.5,0.55,1.56,3.4,3.44,-       
2.55,0.55,1.55,3.4,3.32,-       
2.6,0.54,1.55,3.4,3.14,-       
2.65,0.55,1.56,3.4,2.98,-       
2.7,0.31,1.57,3.4,2.7,gaze fixated: p_3_3
2.75,0.23,1.58,3.4,2.61,-       
2.8,0.24,1.58,3.4,2.58,-       
2.85,0.27,1.57,3.4,2.56,-       
2.9,0.27,1.56,3.4,2.49,-       
2.95,0.25,1.57,3.4,2.46,-       
3.0,0.26,1.57,3.4,2.41,-       
3.05,0.25,1.57,3.4,2.4,-       
3.1,0.31,1.55,3.4,2.37,-       
3.15,0.29,1.55,3.4,2.36,-       
3.2,0.26,1.56,3.4,2.37,-       
3.25,0.27,1.56,3.4,2.39,-       
3.3,0.02,1.62,3.4,2.41,-       
3.35,0.74,0.54,-0.19,,gaze started: p_3_2
3.4,0.74,0.54,-0.19,,-       
3.45,0.74,0.54,-0.19,,-       
3.5,0.74,0.54,-0.19,,-       
3.55,0.75,0.54,-0.19,,-       
3.6,0.04,1.68,3.4,2.71,-       
3.65,-0.0,1.71,3.4,2.69,gaze started: p_3_2
3.7,0.2,1.73,3.4,2.73,-       
3.75,0.11,1.69,3.4,2.76,gaze started: p_3_3
3.8,0.15,1.71,3.4,2.85,gaze started: p_3_2
3.85,0.11,1.7,3.4,2.92,gaze started: p_3_3
3.9,0.1,1.7,3.4,2.94,gaze started: p_3_2
3.95,0.1,1.7,3.4,2.96,-       
4.0,0.1,1.71,3.4,2.99,-       
4.05,0.11,1.72,3.4,2.99,-       
4.1,0.12,1.75,3.4,3.0,-       
4.15,0.18,1.76,3.4,2.99,-       
4.2,0.18,1.77,3.4,2.97,gaze started: p_3_3
4.25,0.18,1.77,3.4,2.94,-       
4.3,0.19,1.77,3.4,2.91,-       
4.35,0.12,1.74,3.4,2.86,-       
4.4,0.07,1.57,3.4,2.72,gaze started: p_3_2
4.45,0.09,1.56,3.4,2.72,-       
4.5,0.14,1.56,3.4,2.67,-       
4.55,0.15,1.57,3.4,2.64,gaze started: p_3_3
4.6,0.15,1.56,3.4,2.6,-       
4.65,0.17,1.56,3.4,2.58,-       
4.7,0.18,1.56,3.4,2.58,-       
4.75,0.16,1.52,3.4,2.67,-       
4.8,0.24,1.5,3.4,2.66,-       
4.85,0.27,1.5,3.4,2.68,gaze fixated: p_3_3
4.9,0.21,1.53,3.4,2.72,-       
4.95,0.25,1.55,3.4,2.76,-       
5.0,0.22,1.53,3.4,2.85,-       
5.05,0.21,1.53,3.4,2.87,-       
5.1,0.15,1.9,3.4,3.03,-       
5.15,0.12,1.92,3.4,3.06,gaze started: p_2_3
5.2,-0.05,1.86,3.4,3.07,gaze started: p_2_2
5.25,-0.05,1.86,3.4,3.05,-       
5.3,0.01,1.87,3.4,3.03,-       
5.35,0.08,1.89,3.4,2.95,-       
5.4,0.09,1.79,3.4,2.87,-       
5.45,0.19,1.82,3.4,2.85,gaze started: p_3_2
5.5,0.19,1.82,3.4,2.84,gaze started: p_2_3
5.55,0.2,1.82,3.46,2.8,-       
5.6,0.19,1.79,3.4,2.77,-       
5.65,0.2,1.79,3.4,2.74,gaze started: p_3_3
5.7,0.29,1.66,3.4,2.76,-       
5.75,0.38,1.61,3.4,2.73,-       
5.8,0.37,1.62,3.4,2.72,-       
5.85,0.38,1.62,3.4,2.72,-       
5.9,0.39,1.62,3.4,2.72,-       
5.95,0.41,1.63,3.4,2.74,gaze fixated: p_3_3
6.0,0.4,1.63,3.4,2.75,-       
6.05,0.46,1.65,3.4,2.81,-       
6.1,0.46,1.65,3.4,2.81,-       
6.15,0.46,1.65,3.4,2.81,-       
6.2,0.72,0.55,-0.19,,-       
6.25,0.72,0.55,-0.2,,gaze ended: p_3_3
6.3,0.72,0.55,-0.19,,-       
6.35,0.72,0.55,-0.19,,-       
6.4,0.26,1.76,3.4,3.05,-       
6.45,0.27,1.76,3.4,3.08,gaze started: p_3_3
6.5,0.36,1.72,3.4,3.11,-       
6.55,0.35,1.72,3.4,3.15,-       
6.6,0.36,1.69,3.4,3.15,-       
6.65,0.24,1.77,3.4,3.26,-       
6.7,0.73,0.55,-0.2,,gaze fixated: p_3_3
6.75,0.73,0.55,-0.2,,gaze ended: p_3_3
6.8,0.73,0.55,-0.2,,-       
6.85,0.73,0.55,-0.2,,-       
6.9,0.73,0.55,-0.2,,-       
6.95,0.73,0.55,-0.2,,-       
7.0,0.72,0.55,-0.2,,-       
7.05,0.73,0.55,-0.2,,-       
7.1,0.21,1.75,3.4,3.25,-       
7.15,0.22,1.75,3.4,3.25,gaze started: p_3_3
