time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.38,2.54,3.4,5.24,-       
0.05,-0.38,2.54,3.4,5.27,-       
0.1,-0.38,2.55,3.4,5.26,-       
0.15,-0.37,2.55,3.4,5.26,-       
0.2,-0.37,2.55,3.4,5.27,-       
0.25,-0.37,2.55,3.4,5.29,-       
0.3,-0.38,2.56,3.4,5.31,-       
0.35,-0.39,2.56,3.4,5.32,-       
0.4,-0.39,2.56,3.4,5.32,-       
0.45,-0.39,2.56,3.4,5.32,-       
0.5,-0.39,2.56,3.4,5.32,-       
0.55,-0.39,2.56,3.4,5.32,-       
0.6,-0.39,2.56,3.4,5.32,-       
0.65,-0.39,2.56,3.4,5.32,-       
0.7,-0.39,2.56,3.4,5.32,-       
0.75,-0.39,2.56,3.4,5.32,-       
0.8,-0.39,2.56,3.4,5.31,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alcohol_30s_50nd.mp4
0.85,-0.38,2.56,3.4,5.31,-       
0.9,-0.38,2.57,3.4,5.3,-       
0.95,-0.38,2.57,3.4,5.29,-       
1.0,-0.38,2.57,3.4,5.29,-       
1.05,-0.37,2.56,3.4,5.29,-       
1.1,-0.32,2.46,3.4,5.26,-       
1.15,-0.29,2.36,3.4,5.28,-       
1.2,-0.29,2.3,3.4,5.24,-       
1.25,-0.31,2.33,3.4,5.22,-       
1.3,-0.31,2.33,3.4,5.22,-       
1.35,-0.31,2.32,3.4,5.22,-       
1.4,-0.31,2.32,3.4,5.22,-       
1.45,-0.31,2.33,3.4,5.21,-       
1.5,-0.3,2.33,3.4,5.2,-       
1.55,-0.3,2.33,3.4,5.17,-       
1.6,-0.3,2.33,3.4,5.16,-       
1.65,-0.3,2.32,3.4,5.14,-       
1.7,-0.3,2.32,3.4,5.14,-       
1.75,-0.3,2.33,3.4,5.13,-       
1.8,-0.3,2.32,3.4,5.13,-       
1.85,-0.3,2.33,3.4,5.14,-       
1.9,-0.3,2.33,3.4,5.14,-       
1.95,-0.3,2.33,3.4,5.14,-       
2.0,-0.07,2.14,3.4,5.19,-       
2.05,-0.05,2.12,3.4,5.13,gaze started: p_2_2
2.1,-0.04,2.12,3.4,5.12,-       
2.15,-0.03,2.11,3.4,5.13,-       
2.2,0.58,1.73,3.4,4.91,-       
2.25,0.59,1.68,3.4,4.7,gaze started: p_3_3
2.3,0.59,1.67,3.4,4.52,-       
2.35,0.59,1.67,3.4,4.39,-       
2.4,0.57,1.67,3.4,4.22,-       
2.45,0.57,1.67,3.4,3.87,-       
2.5,0.57,1.67,3.4,3.69,gaze fixated: p_3_3
2.55,0.56,1.66,3.4,3.57,-       
2.6,0.57,1.66,3.4,3.43,-       
2.65,0.58,1.67,3.4,3.29,-       
2.7,-0.02,1.92,3.4,3.13,-       
2.75,-0.08,1.94,3.4,3.18,gaze started: p_2_2
2.8,-0.07,1.96,3.4,3.14,-       
2.85,-0.08,1.94,3.4,3.12,-       
2.9,-0.06,1.94,3.4,3.11,-       
2.95,-0.06,1.95,3.4,3.06,-       
3.0,-0.06,1.96,3.4,3.05,gaze fixated: p_2_2
3.05,-0.06,1.96,3.4,3.04,-       
3.1,-0.06,1.95,3.4,3.04,-       
3.15,-0.06,1.95,3.4,3.06,-       
3.2,-0.06,1.95,3.4,3.08,-       
3.25,-0.06,1.96,3.4,3.12,-       
3.3,-0.06,1.96,3.4,3.12,-       
3.35,-0.07,1.96,3.4,3.12,-       
3.4,-0.07,1.96,3.4,3.12,-       
3.45,-0.06,1.96,3.4,3.15,-       
3.5,-0.06,1.96,3.4,3.15,-       
3.55,-0.06,1.97,3.4,3.18,-       
3.6,-0.06,1.98,3.4,3.24,-       
3.65,-0.06,1.98,3.4,3.28,-       
3.7,-0.05,1.97,3.4,3.32,-       
3.75,-0.05,1.98,3.4,3.36,-       
