time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.41,2.29,3.46,4.19,-       
0.05,-0.4,2.28,3.46,4.19,-       
0.1,-0.41,2.26,3.4,4.18,-       
0.15,0.78,0.55,-0.2,,gaze started: p_2_2
0.2,0.78,0.55,-0.2,,-       
0.25,0.78,0.55,-0.2,,-       
0.3,0.78,0.55,-0.2,,-       
0.35,0.78,0.55,-0.2,,-       
0.4,0.78,0.55,-0.2,,-       
0.45,0.78,0.55,-0.2,,-       
0.5,0.78,0.55,-0.2,,-       
0.55,0.78,0.55,-0.2,,-       
0.6,0.78,0.55,-0.2,,-       
0.65,0.78,0.55,-0.2,,-       
0.7,0.78,0.55,-0.2,,-       
0.75,0.78,0.55,-0.2,,-       
0.8,0.78,0.55,-0.2,,-       
0.85,0.78,0.55,-0.2,,-       
0.9,0.78,0.55,-0.2,,-       
0.95,0.78,0.55,-0.2,,-       
1.0,0.78,0.55,-0.2,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_progressive_30s_100.mp4
1.05,-0.28,1.9,3.4,4.44,-       
1.1,-0.33,1.91,3.4,4.39,gaze started: p_2_2
1.15,-0.38,1.9,3.4,4.39,-       
1.2,-0.32,1.89,3.4,4.4,-       
1.25,-0.32,1.9,3.4,4.41,-       
1.3,-0.35,1.88,3.4,4.2,-       
1.35,0.78,0.55,-0.2,,gaze fixated: p_2_2
1.4,0.78,0.55,-0.2,,gaze ended: p_2_2
1.45,0.78,0.55,-0.2,,-       
1.5,0.78,0.55,-0.2,,-       
1.55,0.78,0.55,-0.2,,-       
1.6,-0.29,1.67,3.4,4.28,-       
1.65,-0.39,1.6,3.4,4.33,gaze started: p_3_2
1.7,-1.1,1.0,3.4,4.28,-       
1.75,-1.23,0.9,3.4,4.29,gaze started: p_4_1
1.8,-1.22,0.9,3.4,4.28,-       
1.85,-1.21,0.91,3.4,4.28,-       
1.9,-1.2,0.9,3.4,4.27,-       
1.95,-1.2,0.9,3.4,4.27,-       
2.0,-1.18,0.9,3.4,4.32,-       
2.05,-0.28,1.44,3.4,4.31,gaze fixated: p_4_1
2.1,-0.1,1.47,3.4,4.37,gaze started: p_3_2
2.15,-0.12,1.53,3.4,4.38,-       
2.2,-0.1,1.5,3.4,4.38,-       
2.25,-0.12,1.52,3.4,4.39,-       
2.3,-0.12,1.52,3.4,4.39,-       
2.35,-0.1,1.53,3.4,4.43,gaze fixated: p_3_2
2.4,-0.09,1.51,3.4,4.42,-       
2.45,-0.09,1.51,3.4,4.39,-       
2.5,-0.08,1.51,3.4,4.2,-       
2.55,-0.09,1.53,3.4,3.99,-       
2.6,-0.1,1.53,3.4,3.76,-       
2.65,-0.1,1.55,3.4,3.49,-       
2.7,-0.1,1.54,3.4,3.28,-       
2.75,-0.09,1.54,3.4,3.18,-       
2.8,-0.06,1.52,3.4,3.03,-       
2.85,-0.11,1.53,3.4,2.94,-       
2.9,-0.13,1.54,3.4,2.86,-       
2.95,-0.12,1.54,3.4,2.8,-       
3.0,-0.13,1.53,3.4,2.76,-       
3.05,-0.12,1.54,3.4,2.72,-       
3.1,-0.12,1.53,3.4,2.71,-       
3.15,-0.12,1.54,3.4,2.69,-       
3.2,-0.12,1.54,3.4,2.68,-       
3.25,-0.12,1.54,3.4,2.67,-       
3.3,-0.13,1.54,3.4,2.66,-       
3.35,-0.13,1.54,3.4,2.65,-       
3.4,-0.13,1.54,3.4,2.65,-       
3.45,-0.12,1.54,3.4,2.65,-       
3.5,-0.12,1.54,3.4,2.66,-       
3.55,-0.13,1.54,3.4,2.68,-       
3.6,-0.2,1.54,3.4,2.73,-       
3.65,-0.13,1.53,3.4,2.76,-       
3.7,-0.13,1.53,3.4,2.78,-       
3.75,-0.14,1.52,3.4,2.82,-       
3.8,-0.13,1.52,3.4,2.85,-       
3.85,-0.13,1.52,3.4,2.89,-       
3.9,-0.13,1.52,3.4,2.92,-       
3.95,-0.18,1.54,3.4,2.95,-       
4.0,-0.19,1.54,3.4,2.97,-       
4.05,-0.13,1.53,3.4,2.98,-       
4.1,-0.2,1.53,3.4,3.02,-       
4.15,-0.15,1.53,3.4,3.04,-       
4.2,-0.19,1.53,3.4,3.05,-       
4.25,-0.13,1.53,3.4,3.08,-       
4.3,-0.13,1.53,3.4,3.1,-       
4.35,-0.13,1.53,3.4,3.12,-       
4.4,-0.12,1.53,3.4,3.15,-       
4.45,-0.13,1.53,3.4,3.18,-       
4.5,-0.13,1.53,3.4,3.2,-       
4.55,-0.13,1.53,3.4,3.28,-       
4.6,-0.13,1.53,3.4,3.28,-       
4.65,-0.13,1.53,3.4,3.3,-       
4.7,-0.12,1.54,3.4,3.34,-       
4.75,-0.12,1.54,3.4,3.4,-       
4.8,-0.11,1.53,3.4,3.43,-       
4.85,-0.11,1.53,3.4,3.44,-       
4.9,-0.12,1.53,3.4,3.46,-       
4.95,-0.12,1.53,3.4,3.51,-       
5.0,-0.12,1.54,3.4,3.53,-       
5.05,-0.12,1.54,3.4,3.54,-       
5.1,-0.12,1.55,3.4,3.55,-       
5.15,-0.12,1.54,3.4,3.56,-       
5.2,-0.12,1.54,3.4,3.58,-       
5.25,-0.12,1.54,3.4,3.56,-       
5.3,-0.12,1.55,3.4,3.57,-       
5.35,-0.11,1.54,3.4,3.57,-       
5.4,-0.12,1.54,3.4,3.57,-       
5.45,-0.12,1.55,3.4,3.55,-       
5.5,-0.12,1.55,3.4,3.53,-       
5.55,-0.11,1.55,3.4,3.48,-       
5.6,-0.12,1.55,3.4,3.44,-       
5.65,-0.13,1.56,3.4,3.38,-       
5.7,-0.13,1.56,3.4,3.32,-       
5.75,-0.12,1.56,3.4,3.22,-       
5.8,-0.12,1.55,3.4,3.11,-       
5.85,-0.13,1.54,3.4,3.09,-       
5.9,-0.13,1.54,3.4,3.07,-       
5.95,-0.13,1.54,3.4,3.04,-       
6.0,-0.2,1.53,3.4,3.01,-       
6.05,-0.17,1.53,3.4,2.98,-       
6.1,-0.13,1.53,3.4,2.96,-       
6.15,-0.13,1.53,3.4,2.96,-       
6.2,-0.13,1.53,3.4,2.98,-       
6.25,-0.13,1.53,3.4,2.98,-       
6.3,-0.13,1.53,3.4,2.98,-       
6.35,-0.13,1.53,3.4,2.99,-       
6.4,-0.14,1.53,3.4,3.0,-       
6.45,-0.13,1.53,3.4,3.01,-       
6.5,-0.13,1.53,3.4,3.02,-       
6.55,-0.13,1.53,3.4,3.02,-       
6.6,-0.14,1.54,3.4,3.02,-       
6.65,-0.14,1.53,3.4,3.01,-       
6.7,-0.13,1.53,3.4,3.0,-       
6.75,-0.14,1.53,3.4,2.99,-       
6.8,-0.14,1.53,3.4,2.98,-       
6.85,-0.14,1.53,3.4,2.98,-       
6.9,-0.13,1.52,3.4,3.01,-       
6.95,-0.13,1.52,3.4,3.01,-       
7.0,-0.13,1.52,3.4,3.0,-       
7.05,-0.13,1.51,3.4,2.99,-       
7.1,-0.13,1.52,3.4,2.99,-       
7.15,-0.13,1.51,3.4,2.99,-       
7.2,-0.14,1.51,3.4,2.97,-       
7.25,-0.14,1.51,3.4,2.98,-       
7.3,-0.14,1.52,3.4,2.97,-       
7.35,-0.14,1.52,3.4,2.95,-       
7.4,-0.13,1.52,3.4,2.92,-       
7.45,-0.13,1.52,3.4,2.91,-       
7.5,-0.13,1.52,3.4,2.89,-       
7.55,-0.12,1.52,3.4,2.88,-       
7.6,-0.13,1.53,3.4,2.9,-       
7.65,-0.09,1.53,3.4,2.88,-       
7.7,-0.13,1.52,3.4,2.86,-       
7.75,-0.14,1.53,3.4,2.86,-       
7.8,-0.13,1.53,3.4,2.84,-       
7.85,-0.13,1.53,3.4,2.84,-       
7.9,-0.12,1.53,3.4,2.86,-       
7.95,-0.13,1.53,3.4,2.87,-       
8.0,-0.12,1.53,3.4,2.88,-       
8.05,-0.12,1.53,3.4,2.89,-       
8.1,-0.12,1.52,3.4,2.89,-       
8.15,-0.12,1.52,3.4,2.9,-       
8.2,-0.13,1.52,3.4,2.92,-       
8.25,-0.13,1.52,3.4,2.92,-       
8.3,-0.13,1.53,3.4,2.95,-       
8.35,-0.13,1.52,3.4,2.96,-       
8.4,-0.12,1.52,3.4,2.96,-       
8.45,-0.13,1.52,3.4,2.96,-       
8.5,-0.13,1.52,3.4,2.95,-       
8.55,-0.12,1.52,3.4,2.92,-       
8.6,-0.12,1.52,3.4,2.88,-       
8.65,-0.12,1.52,3.4,2.86,-       
8.7,-0.13,1.52,3.4,2.83,-       
8.75,-0.12,1.52,3.4,2.79,-       
8.8,-0.12,1.52,3.4,2.74,-       
8.85,-0.11,1.51,3.4,2.7,-       
8.9,-0.11,1.51,3.4,2.7,-       
8.95,-0.12,1.52,3.4,2.69,-       
9.0,-0.12,1.51,3.4,2.67,-       
9.05,-0.13,1.51,3.4,2.67,-       
9.1,-0.13,1.51,3.4,2.66,-       
9.15,-0.13,1.51,3.4,2.65,-       
9.2,-0.13,1.51,3.4,2.65,-       
9.25,-0.12,1.51,3.4,2.65,-       
9.3,-0.12,1.5,3.4,2.67,-       
9.35,-0.11,1.51,3.4,2.69,-       
9.4,-0.12,1.51,3.4,2.68,-       
9.45,-0.11,1.51,3.4,2.69,-       
9.5,-0.11,1.5,3.4,2.68,-       
9.55,-0.11,1.5,3.4,2.68,-       
9.6,-0.11,1.5,3.4,2.68,-       
9.65,-0.12,1.5,3.4,2.67,-       
9.7,-0.11,1.5,3.4,2.68,-       
