time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.64,2.2,3.4,3.92,-       
0.05,-0.63,2.19,3.4,3.97,-       
0.1,-0.43,2.12,3.4,4.12,-       
0.15,-0.11,1.9,3.4,4.15,-       
0.2,-0.06,1.89,3.4,4.11,-       
0.25,-0.08,1.91,3.4,4.13,-       
0.3,-0.01,1.89,3.4,4.15,-       
0.35,-0.05,1.89,3.4,4.18,-       
0.4,-0.02,1.87,3.4,4.21,-       
0.45,0.78,0.53,-0.19,,-       
0.5,0.78,0.53,-0.19,,-       
0.55,0.78,0.53,-0.19,,-       
0.6,0.78,0.53,-0.19,,-       
0.65,0.78,0.53,-0.19,,-       
0.7,0.78,0.53,-0.19,,-       
0.75,0.78,0.53,-0.19,,-       
0.8,0.78,0.53,-0.19,,-       
0.85,0.78,0.53,-0.19,,-       
0.9,0.78,0.53,-0.19,,-       
0.95,-0.45,2.18,3.4,4.31,gaze ended: p_2_2
1.0,-0.38,2.29,3.4,4.46,gaze started: p_2_2
1.05,-0.39,2.29,3.46,4.43,gaze started: p_1_2
1.1,-0.47,2.22,3.4,4.41,-       
1.15,-0.45,2.23,3.4,4.41,gaze started: p_2_2
1.2,-0.42,2.23,3.4,4.41,-       
1.25,-0.43,2.22,3.4,4.41,-       
1.3,-0.44,2.21,3.4,4.41,-       
1.35,-0.43,2.22,3.4,4.4,-       
1.4,-0.44,2.22,3.4,4.42,gaze fixated: p_2_2
1.45,-0.47,2.22,3.4,4.43,-       
1.5,-0.47,2.21,3.4,4.44,-       
1.55,-0.5,2.18,3.4,4.12,-       
1.6,0.78,0.53,-0.19,,-       
1.65,0.78,0.53,-0.19,,gaze ended: p_2_2
1.7,0.78,0.53,-0.19,,-       
1.75,0.78,0.53,-0.19,,-       
1.8,0.78,0.54,-0.19,,-       
1.85,0.78,0.54,-0.19,,-       
1.9,0.77,0.54,-0.19,,-       
1.95,0.77,0.54,-0.19,,-       
2.0,-1.23,0.74,3.57,4.11,-       
2.05,-1.2,0.86,3.46,4.4,-       
2.1,-1.19,0.72,3.57,4.43,-       
2.15,-1.2,0.74,3.57,4.44,-       
2.2,-1.18,0.77,3.57,4.48,-       
2.25,-0.64,1.09,3.4,4.4,-       
2.3,0.78,0.55,-0.2,,gaze started: p_4_2
2.35,0.77,0.55,-0.2,,-       
2.4,0.77,0.55,-0.2,,-       
2.45,0.76,0.56,-0.2,,-       
2.5,0.75,0.57,-0.2,,-       
