time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.4,2.09,3.4,3.94,gaze started: p_1_2
0.05,-0.41,2.1,3.4,3.98,gaze started: p_2_2
0.1,-0.61,2.39,3.4,4.08,-       
0.15,-0.6,2.37,3.4,4.06,gaze started: p_1_2
0.2,-0.6,2.37,3.4,4.06,gaze started: p_1_2
0.25,-0.6,2.37,3.4,4.06,gaze started: p_1_2
0.3,-0.6,2.37,3.4,4.06,gaze started: p_1_2
0.35,-0.6,2.37,3.4,4.06,gaze started: p_1_2
0.4,-0.6,2.37,3.4,4.06,gaze started: p_1_2
0.45,-0.6,2.37,3.4,4.06,gaze started: p_1_2
0.5,-0.6,2.37,3.4,4.06,gaze started: p_1_2
0.55,-0.6,2.37,3.4,4.06,gaze started: p_1_2
0.6,-0.6,2.37,3.4,4.06,gaze started: p_1_2
0.65,-0.6,2.37,3.4,4.06,gaze started: p_1_2
0.7,-0.54,2.12,3.4,4.19,gaze fixated: p_1_2
0.75,-0.54,2.12,3.4,4.19,gaze fixated: p_1_2
0.8,-0.54,2.12,3.4,4.19,gaze fixated: p_1_2
0.85,-0.55,2.1,3.4,4.23,gaze started: p_2_2
0.9,-0.54,2.1,3.4,4.25,-       
0.95,-0.55,2.1,3.4,4.25,-       
1.0,-0.55,2.1,3.4,4.25,-       
1.05,-0.56,2.1,3.4,4.24,gaze fixated: p_2_2
1.1,-0.56,2.1,3.4,4.25,-       
1.15,-0.56,2.09,3.4,4.25,-       
1.2,-0.05,1.22,3.4,4.15,-       
1.25,-0.04,1.04,3.4,4.12,gaze started: p_4_2
1.3,-0.03,1.03,3.4,4.14,-       
1.35,-0.02,1.01,3.4,4.13,-       
1.4,0.1,0.99,3.4,4.16,-       
1.45,0.05,0.99,3.4,4.17,-       
1.5,-0.01,1.0,3.4,4.24,gaze fixated: p_4_2
1.55,0.13,1.0,3.4,4.27,-       
1.6,0.13,0.99,3.4,4.28,-       
1.65,0.12,0.99,3.4,4.3,-       
1.7,0.03,0.98,3.4,4.32,-       
1.75,0.07,0.99,3.4,4.33,-       
1.8,0.07,0.99,3.4,4.33,-       
1.85,0.19,0.98,3.4,4.35,-       
1.9,0.06,0.99,3.4,4.35,gaze started: p_4_3
1.95,0.06,0.99,3.4,4.38,gaze started: p_4_2
2.0,0.06,0.99,3.4,4.38,-       
2.05,0.05,0.99,3.4,4.39,-       
2.1,0.06,1.0,3.4,4.39,-       
2.15,0.06,1.0,3.4,4.38,-       
2.2,0.08,0.99,3.4,4.29,gaze fixated: p_4_2
2.25,0.07,0.99,3.4,4.04,-       
2.3,0.07,0.99,3.4,3.67,-       
2.35,0.07,0.98,3.4,3.4,-       
2.4,0.05,0.98,3.4,3.15,-       
2.45,0.05,0.98,3.4,3.04,-       
2.5,0.05,0.97,3.4,2.99,-       
2.55,0.07,0.96,3.4,2.97,-       
2.6,0.08,0.96,3.4,2.92,-       
2.65,0.05,0.96,3.4,2.91,-       
2.7,0.07,0.95,3.4,2.92,-       
2.75,0.07,0.95,3.4,2.92,-       
2.8,0.07,0.96,3.4,2.93,-       
2.85,0.05,0.96,3.4,2.94,-       
2.9,0.07,0.95,3.4,2.95,-       
2.95,0.08,0.95,3.4,2.98,-       
3.0,0.08,0.94,3.4,2.98,-       
3.05,0.09,0.93,3.4,2.99,-       
3.1,0.09,0.94,3.4,3.01,-       
3.15,0.1,0.94,3.4,3.05,-       
3.2,0.07,0.95,3.4,3.06,-       
3.25,0.09,0.93,3.4,3.09,-       
3.3,0.1,0.93,3.4,3.11,-       
3.35,0.1,0.93,3.4,3.11,-       
3.4,0.0,0.97,3.4,3.13,-       
3.45,0.09,0.91,3.4,3.14,-       
3.5,0.03,0.94,3.4,3.14,-       
3.55,0.05,0.94,3.4,3.15,-       
3.6,0.05,0.94,3.4,3.15,-       
3.65,0.04,0.94,3.4,3.14,-       
3.7,0.04,0.94,3.4,3.13,-       
3.75,0.06,0.9,3.4,3.15,-       
3.8,0.05,0.93,3.4,3.17,-       
3.85,-0.0,0.98,3.4,3.17,-       
3.9,0.0,0.98,3.4,3.18,-       
3.95,0.06,0.95,3.4,3.21,-       
4.0,0.07,0.94,3.4,3.21,-       
4.05,0.07,0.95,3.4,3.21,-       
4.1,0.06,0.96,3.4,3.22,-       
