time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.05,1.98,3.4,3.46,-       
0.05,-0.08,2.04,3.4,3.48,-       
0.1,-0.08,2.04,3.4,3.48,-       
0.15,0.04,2.01,3.4,3.54,gaze fixated: p_2_2
0.2,0.19,2.02,3.4,3.53,-       
0.25,0.15,1.95,3.4,3.52,gaze started: p_2_3
0.3,0.15,1.95,3.4,3.52,gaze started: p_2_3
0.35,0.14,1.96,3.4,3.51,-       
0.4,0.14,1.96,3.4,3.51,-       
0.45,0.14,1.96,3.4,3.51,-       
0.5,0.14,1.96,3.4,3.51,-       
0.55,0.14,1.96,3.4,3.51,-       
0.6,0.14,1.96,3.4,3.51,-       
0.65,0.14,1.96,3.4,3.51,-       
0.7,0.14,1.96,3.4,3.51,-       
0.75,0.14,1.96,3.4,3.51,-       
0.8,0.4,1.84,3.4,3.61,gaze fixated: p_2_3
0.85,0.4,1.86,3.4,3.62,-       
0.9,0.32,1.83,3.4,3.61,-       
0.95,0.39,1.87,3.4,3.6,-       
1.0,0.39,1.87,3.4,3.6,-       
1.05,0.38,1.87,3.4,3.59,-       
1.1,0.38,1.88,3.4,3.61,-       
1.15,0.22,1.59,3.4,3.5,-       
1.2,-0.1,1.13,3.4,3.58,gaze started: p_3_3
1.25,-0.03,1.18,3.4,3.52,gaze started: p_4_2
1.3,0.02,1.2,3.4,3.52,-       
1.35,-0.08,1.18,3.4,3.53,-       
1.4,-0.09,1.18,3.4,3.52,-       
1.45,-0.42,0.76,3.57,3.53,-       
1.5,-0.45,0.72,3.57,3.56,-       
1.55,-0.44,0.73,3.57,3.57,-       
1.6,-0.44,0.76,3.57,3.59,-       
1.65,-0.46,0.72,3.57,3.7,-       
1.7,-0.44,0.71,3.57,3.65,-       
1.75,-1.38,0.53,3.05,3.87,-       
1.8,-1.57,0.57,3.37,3.97,-       
1.85,-1.58,0.55,3.37,3.97,-       
1.9,-1.55,0.57,3.37,3.98,-       
1.95,-1.53,0.59,3.37,3.99,-       
2.0,-1.53,0.58,3.37,4.01,-       
2.05,-1.53,0.58,3.37,4.01,-       
2.1,-1.51,0.59,3.37,4.02,-       
2.15,-1.14,0.99,3.4,3.95,-       
2.2,0.32,1.81,3.46,3.89,gaze started: p_4_1
2.25,0.38,1.64,3.4,3.63,-       
2.3,0.26,1.52,3.4,3.47,gaze started: p_3_3
2.35,0.21,1.56,3.4,3.26,-       
2.4,0.33,1.59,3.4,3.15,-       
2.45,0.35,1.61,3.4,3.0,-       
2.5,0.24,1.57,3.4,2.8,-       
2.55,0.31,1.55,3.4,2.64,gaze fixated: p_3_3
2.6,0.3,1.55,3.4,2.52,-       
2.65,0.28,1.54,3.4,2.42,-       
2.7,0.22,1.55,3.4,2.34,-       
2.75,0.21,1.55,3.4,2.3,-       
2.8,0.21,1.55,3.4,2.29,-       
2.85,0.21,1.54,3.4,2.28,-       
