time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.59,2.18,3.4,4.48,-       
0.05,-0.59,2.18,3.4,4.48,-       
0.1,-0.58,2.18,3.4,4.47,gaze fixated: p_2_2
0.15,-0.63,2.16,3.4,4.45,-       
0.2,-0.71,2.19,3.46,4.41,-       
0.25,-0.63,2.14,3.4,4.44,gaze ended: p_2_2
0.3,-0.63,2.1,3.4,4.11,gaze started: p_2_2
0.35,0.61,0.55,-0.22,,-       
0.4,0.61,0.55,-0.22,,-       
0.45,0.61,0.55,-0.22,,-       
0.5,-0.65,1.99,3.4,4.13,-       
0.55,-0.65,1.99,3.4,4.13,-       
0.6,-0.71,2.04,3.46,4.42,gaze started: p_2_2
0.65,-0.71,2.04,3.46,4.42,gaze started: p_2_2
0.7,-0.71,2.04,3.46,4.42,gaze started: p_2_2
0.75,-0.71,2.04,3.46,4.42,gaze started: p_2_2
0.8,-0.71,2.04,3.46,4.42,gaze started: p_2_2
0.85,-0.71,2.04,3.46,4.42,gaze started: p_2_2
0.9,-0.71,2.04,3.46,4.42,gaze started: p_2_2
0.95,-0.71,2.04,3.46,4.42,gaze started: p_2_2
1.0,-0.71,2.04,3.46,4.42,gaze started: p_2_2
1.05,-0.71,2.04,3.46,4.42,gaze started: p_2_2
1.1,-0.88,1.9,3.4,4.35,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_meta_quest_2_30s_50nd.mp4
1.15,-0.88,1.9,3.4,4.35,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_meta_quest_2_30s_50nd.mp4
1.2,-0.88,1.94,3.4,4.37,gaze started: p_2_1
1.25,-0.79,1.89,3.4,4.36,-       
1.3,-0.68,1.88,3.4,4.36,-       
1.35,-0.76,1.9,3.4,4.33,gaze started: p_2_2
1.4,-0.76,1.9,3.4,4.33,gaze started: p_2_2
1.45,-0.72,1.9,3.46,4.29,gaze started: p_2_1
1.5,-0.66,1.95,3.4,4.21,-       
1.55,0.61,0.55,-0.22,,gaze started: p_2_2
1.6,0.61,0.55,-0.22,,-       
1.65,0.61,0.55,-0.22,,-       
1.7,0.6,0.55,-0.22,,-       
1.75,0.6,0.55,-0.22,,-       
1.8,0.14,1.57,3.46,4.16,-       
1.85,0.09,1.56,3.4,4.36,-       
1.9,0.07,1.56,3.4,4.35,gaze started: p_3_2
1.95,0.07,1.56,3.4,4.35,gaze started: p_3_2
2.0,-0.04,1.54,3.4,4.35,-       
2.05,-0.09,1.63,3.4,4.45,-       
2.1,-0.06,1.63,3.4,4.47,-       
2.15,-0.06,1.62,3.4,4.5,-       
2.2,-0.06,1.62,3.4,4.5,-       
2.25,-0.11,1.7,3.4,4.55,gaze fixated: p_3_2
2.3,-0.08,1.78,3.4,4.59,-       
2.35,-0.04,1.76,3.4,4.59,-       
2.4,-0.04,1.76,3.4,4.59,-       
2.45,-0.11,1.84,3.4,4.69,-       
2.5,0.58,0.6,-0.24,,gaze started: p_2_2
2.55,0.57,0.6,-0.24,,-       
2.6,0.61,1.54,3.4,3.86,-       
2.65,0.59,1.53,3.4,3.68,gaze started: p_3_3
2.7,0.59,1.53,3.4,3.68,gaze started: p_3_3
2.75,0.59,1.54,3.4,3.53,-       
2.8,0.58,1.55,3.4,3.39,-       
2.85,0.59,1.57,3.4,3.28,-       
2.9,0.6,1.6,3.4,3.25,-       
2.95,0.59,1.6,3.4,3.21,gaze fixated: p_3_3
3.0,0.59,1.6,3.4,3.16,-       
3.05,0.59,1.6,3.4,3.16,-       
3.1,0.56,0.63,-0.25,,-       
3.15,0.56,0.63,-0.25,,gaze ended: p_3_3
3.2,0.56,0.63,-0.25,,-       
3.25,0.18,2.0,3.4,2.86,-       
3.3,0.18,2.0,3.4,2.86,-       
3.35,-0.04,1.94,3.4,3.17,gaze started: p_2_3
3.4,-0.03,1.96,3.4,3.17,gaze started: p_2_2
3.45,-0.03,1.96,3.4,3.17,gaze started: p_2_2
3.5,0.01,1.97,3.4,3.21,-       
3.55,-0.01,1.96,3.4,3.25,-       
3.6,0.04,1.77,3.4,3.47,-       
3.65,0.06,1.68,3.4,3.49,gaze started: p_3_2
3.7,0.17,1.64,3.4,3.5,-       
3.75,0.18,1.64,3.4,3.52,gaze started: p_3_3
3.8,0.18,1.64,3.4,3.52,gaze started: p_3_3
3.85,0.17,1.61,3.4,3.55,-       
3.9,0.56,0.63,-0.25,,-       
3.95,0.55,0.63,-0.25,,-       
4.0,0.56,0.63,-0.25,,-       
4.05,0.56,0.63,-0.25,,-       
4.1,0.38,1.91,3.4,3.66,-       
4.15,0.32,1.9,3.4,3.71,gaze started: p_2_3
4.2,0.32,1.91,3.4,3.76,-       
4.25,0.31,1.91,3.4,3.79,-       
