time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.14,1.79,3.4,4.52,-       
0.05,-0.14,1.79,3.4,4.52,-       
0.1,-0.12,1.75,3.4,4.49,gaze started: p_3_2
0.15,-0.11,1.78,3.4,4.53,-       
0.2,-0.21,1.79,3.4,4.52,-       
0.25,-0.21,1.79,3.4,4.52,-       
0.3,-0.36,1.85,3.4,4.52,-       
0.35,-0.36,1.85,3.4,4.52,-       
0.4,-0.36,1.85,3.4,4.52,-       
0.45,-0.36,1.85,3.4,4.52,-       
0.5,-0.36,1.85,3.4,4.52,-       
0.55,-0.36,1.85,3.4,4.52,-       
0.6,-0.36,1.85,3.4,4.52,-       
0.65,-0.36,1.85,3.4,4.52,-       
0.7,-0.36,1.85,3.4,4.52,-       
0.75,-0.36,1.85,3.4,4.52,-       
0.8,0.82,1.77,3.4,4.75,gaze started: p_2_2
0.85,0.82,1.77,3.4,4.75,gaze started: p_2_2
0.9,0.82,1.77,3.4,4.75,gaze started: p_2_2
0.95,0.82,1.77,3.4,4.75,gaze started: p_2_2
1.0,0.53,0.69,-0.28,,gaze started: p_3_3
1.05,1.16,1.03,3.4,4.61,-       
1.1,1.07,1.01,3.4,4.67,gaze started: p_4_4
1.15,1.09,0.98,3.4,4.67,-       
1.2,1.08,0.99,3.4,4.7,-       
1.25,1.08,0.99,3.4,4.7,-       
1.3,1.08,0.93,3.4,4.57,-       
1.35,0.53,0.69,-0.28,,-       
1.4,0.53,0.69,-0.28,,-       
1.45,0.53,0.69,-0.28,,-       
1.5,0.53,0.69,-0.28,,-       
1.55,-0.35,1.59,3.4,4.66,-       
1.6,-0.36,1.59,3.4,4.74,gaze started: p_3_2
1.65,-0.44,1.55,3.4,4.78,-       
1.7,-0.53,1.55,3.4,4.82,-       
1.75,-0.53,1.55,3.4,4.82,-       
1.8,-0.49,1.55,3.4,4.84,-       
1.85,-0.48,1.55,3.4,4.84,-       
1.9,-0.3,1.63,3.4,4.78,gaze fixated: p_3_2
1.95,-0.29,1.63,3.4,4.79,-       
2.0,-0.29,1.63,3.4,4.79,-       
2.05,-0.28,1.64,3.4,4.81,-       
2.1,-0.25,1.58,3.4,4.78,-       
2.15,-0.09,1.71,3.4,4.76,-       
2.2,0.52,0.69,-0.27,,-       
2.25,0.52,0.69,-0.27,,-       
2.3,0.18,1.43,3.4,4.54,gaze ended: p_3_2
2.35,0.05,1.46,3.4,4.28,gaze started: p_3_3
2.4,0.08,1.53,3.4,4.15,gaze started: p_3_2
