time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.57,0.76,-0.3,,-       
0.05,0.57,0.76,-0.3,,-       
0.1,0.03,1.67,3.4,2.85,-       
0.15,0.17,1.65,3.4,2.91,gaze started: p_3_2
0.2,0.12,1.67,3.4,2.92,gaze started: p_3_3
0.25,0.09,1.67,3.4,2.95,gaze started: p_3_2
0.3,0.23,1.73,3.4,2.96,-       
0.35,0.23,1.73,3.4,2.98,gaze started: p_3_3
0.4,0.21,1.7,3.4,2.94,-       
0.45,0.24,1.72,3.4,2.86,-       
0.5,0.38,1.72,3.4,2.71,-       
0.55,0.37,1.74,3.4,2.75,-       
0.6,0.37,1.74,3.4,2.75,-       
0.65,0.33,1.74,3.4,2.73,-       
0.7,0.33,1.74,3.4,2.73,-       
0.75,0.33,1.74,3.4,2.73,-       
0.8,0.33,1.74,3.4,2.73,-       
0.85,0.33,1.74,3.4,2.73,-       
0.9,0.33,1.74,3.4,2.73,-       
0.95,0.33,1.74,3.4,2.73,-       
1.0,0.33,1.74,3.4,2.73,-       
1.05,0.33,1.74,3.4,2.73,-       
1.1,0.33,1.74,3.4,2.73,-       
1.15,0.56,1.78,3.4,2.76,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_doritos_30s_50wd.mp4
1.2,0.35,1.81,3.4,2.72,-       
1.25,0.3,1.84,3.4,2.75,gaze started: p_2_3
1.3,0.24,1.86,3.4,2.74,-       
1.35,0.25,1.86,3.4,2.77,-       
1.4,0.24,1.86,3.4,2.79,-       
1.45,0.29,1.83,3.4,2.82,-       
1.5,0.19,1.86,3.4,2.82,gaze fixated: p_2_3
1.55,0.19,1.86,3.4,2.82,gaze fixated: p_2_3
1.6,0.24,1.84,3.4,2.83,-       
1.65,0.28,1.87,3.4,2.89,-       
1.7,0.57,0.76,-0.3,,-       
1.75,0.57,0.76,-0.3,,gaze ended: p_2_3
1.8,0.57,0.76,-0.3,,-       
1.85,0.57,0.76,-0.3,,-       
1.9,0.3,1.73,3.4,3.25,-       
1.95,0.3,1.75,3.4,3.26,gaze started: p_3_3
2.0,0.23,1.73,3.4,3.31,-       
2.05,0.22,1.74,3.4,3.32,-       
2.1,0.25,1.72,3.4,3.37,-       
2.15,0.25,1.72,3.4,3.42,-       
2.2,0.27,1.72,3.4,3.46,-       
2.25,0.27,1.74,3.4,3.5,gaze fixated: p_3_3
2.3,0.24,1.74,3.4,3.55,-       
2.35,0.2,1.75,3.4,3.56,-       
2.4,0.22,1.74,3.4,3.59,-       
2.45,0.22,1.75,3.4,3.67,-       
2.5,0.22,1.74,3.4,3.67,-       
2.55,0.23,1.72,3.4,3.7,-       
2.6,0.23,1.72,3.4,3.7,-       
2.65,0.23,1.71,3.4,3.67,-       
2.7,0.18,1.73,3.4,3.05,-       
2.75,0.29,1.78,3.4,2.82,-       
2.8,0.13,1.85,3.4,2.63,-       
2.85,0.15,1.86,3.4,2.5,gaze started: p_2_2
2.9,0.15,1.84,3.4,2.43,gaze started: p_2_3
2.95,0.12,1.83,3.4,2.41,-       
3.0,0.13,1.83,3.4,2.36,gaze started: p_2_2
3.05,0.08,1.84,3.4,2.33,-       
3.1,0.07,1.85,3.4,2.33,-       
3.15,0.07,1.84,3.4,2.31,-       
3.2,0.12,1.84,3.4,2.31,-       
3.25,0.13,1.83,3.4,2.3,-       
3.3,0.1,1.83,3.4,2.29,gaze fixated: p_2_2
3.35,0.1,1.83,3.4,2.28,-       
3.4,0.1,1.83,3.4,2.28,-       
3.45,0.1,1.83,3.4,2.27,-       
3.5,0.1,1.84,3.4,2.26,-       
3.55,0.1,1.84,3.4,2.27,-       
3.6,0.1,1.84,3.4,2.27,-       
3.65,0.1,1.83,3.4,2.28,-       
3.7,0.1,1.84,3.4,2.28,-       
3.75,0.1,1.84,3.4,2.28,-       
3.8,0.09,1.83,3.4,2.3,-       
3.85,0.09,1.83,3.4,2.33,-       
3.9,0.21,2.09,3.4,2.38,-       
3.95,0.18,2.1,3.4,2.45,gaze started: p_2_3
4.0,0.29,2.09,3.4,2.5,-       
