time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.2,1.23,3.4,3.77,-       
0.05,0.2,1.23,3.4,3.77,-       
0.1,0.17,1.24,3.4,3.85,-       
0.15,0.17,1.24,3.4,3.85,-       
0.2,-0.34,1.75,3.4,3.81,-       
0.25,-0.34,1.75,3.4,3.81,-       
0.3,-0.34,1.75,3.4,3.81,-       
0.35,-0.34,1.75,3.4,3.81,-       
0.4,-0.34,1.75,3.4,3.81,-       
0.45,-0.34,1.75,3.4,3.81,-       
0.5,-0.34,1.75,3.4,3.81,-       
0.55,-0.34,1.75,3.4,3.81,-       
0.6,-0.34,1.75,3.4,3.81,-       
0.65,-0.34,1.75,3.4,3.81,-       
0.7,-0.56,2.33,3.4,3.69,gaze started: p_3_2
0.75,-0.57,2.35,3.4,3.7,gaze started: p_1_2
0.8,-0.57,2.35,3.4,3.73,-       
0.85,-0.58,2.35,3.4,3.76,-       
0.9,-0.57,2.34,3.4,3.79,-       
0.95,-0.58,2.36,3.4,3.89,-       
1.0,0.12,2.1,3.4,3.9,-       
1.05,0.65,0.78,-0.31,,gaze started: p_2_2
1.1,0.65,0.78,-0.31,,-       
1.15,0.65,0.78,-0.31,,-       
1.2,0.65,0.78,-0.31,,-       
1.25,0.2,1.67,3.4,4.12,-       
1.3,0.19,1.66,3.4,4.07,gaze started: p_3_3
1.35,0.12,1.69,3.4,4.15,-       
1.4,0.16,1.67,3.4,4.15,gaze started: p_3_2
1.45,0.14,1.68,3.4,4.17,gaze started: p_3_3
1.5,0.16,1.67,3.4,4.23,-       
1.55,0.17,1.67,3.4,4.27,-       
1.6,0.12,1.7,3.4,4.3,-       
1.65,0.16,1.68,3.4,4.31,gaze started: p_3_2
1.7,0.15,1.68,3.4,4.32,gaze started: p_3_3
1.75,0.16,1.67,3.4,4.34,-       
1.8,0.16,1.68,3.4,4.36,-       
1.85,0.15,1.68,3.4,4.37,-       
1.9,0.08,1.71,3.4,4.35,-       
1.95,0.08,1.71,3.4,4.36,gaze started: p_3_2
2.0,0.08,1.71,3.4,4.37,-       
2.05,0.08,1.71,3.4,4.37,-       
2.1,0.06,1.71,3.4,4.37,-       
2.15,0.55,1.72,3.4,4.04,-       
2.2,0.56,1.69,3.4,3.76,gaze started: p_3_3
2.25,0.56,1.68,3.4,3.68,-       
2.3,0.57,1.68,3.4,3.51,-       
2.35,0.57,1.68,3.4,3.32,-       
2.4,0.59,1.68,3.4,3.15,-       
2.45,0.59,1.68,3.4,3.15,-       
2.5,0.59,1.68,3.4,3.07,gaze fixated: p_3_3
2.55,0.58,1.69,3.4,2.99,-       
2.6,0.56,1.68,3.4,2.93,-       
2.65,0.57,1.67,3.4,2.91,-       
2.7,0.49,1.68,3.4,2.88,-       
2.75,0.51,1.68,3.4,2.86,-       
2.8,0.65,0.78,-0.31,,-       
2.85,0.65,0.78,-0.31,,gaze ended: p_3_3
2.9,0.65,0.78,-0.31,,-       
2.95,0.65,0.78,-0.31,,-       
