time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.21,1.87,3.4,3.97,gaze started: p_2_3
0.05,0.29,1.85,3.4,3.91,-       
0.1,0.26,1.85,3.4,3.89,-       
0.15,0.28,1.85,3.4,3.86,-       
0.2,0.28,1.85,3.4,3.79,-       
0.25,0.27,1.85,3.4,3.81,gaze fixated: p_2_3
0.3,0.3,1.85,3.4,3.81,-       
0.35,-0.01,1.81,3.46,3.82,gaze ended: p_2_3
0.4,-0.04,1.81,3.46,3.82,-       
0.45,0.06,1.81,3.46,3.81,-       
0.5,0.06,1.81,3.46,3.8,-       
0.55,0.05,1.81,3.46,3.79,-       
0.6,0.02,1.8,3.46,3.78,-       
0.65,0.02,1.8,3.46,3.78,-       
0.7,0.02,1.8,3.46,3.78,-       
0.75,0.02,1.8,3.46,3.78,-       
0.8,0.02,1.8,3.46,3.78,-       
0.85,0.02,1.8,3.46,3.78,-       
0.9,0.02,1.8,3.46,3.78,-       
0.95,0.02,1.8,3.46,3.78,-       
1.0,0.02,1.8,3.46,3.78,-       
1.05,0.13,1.84,3.4,3.72,gaze started: p_2_2
1.1,0.12,1.84,3.4,3.69,-       
1.15,0.12,1.83,3.4,3.67,-       
1.2,0.11,1.84,3.4,3.69,-       
1.25,0.19,1.88,3.4,3.75,-       
1.3,0.64,0.8,-0.33,,-       
1.35,0.64,0.8,-0.33,,-       
1.4,0.63,0.8,-0.33,,-       
1.45,0.63,0.8,-0.33,,-       
1.5,0.63,0.8,-0.33,,-       
1.55,0.21,1.82,3.4,3.95,-       
1.6,0.07,1.78,3.4,3.91,-       
1.65,0.39,1.72,3.4,3.95,-       
1.7,0.79,1.66,3.4,4.08,-       
1.75,0.87,1.64,3.4,4.08,-       
1.8,0.87,1.63,3.4,4.08,-       
1.85,0.87,1.63,3.4,4.06,-       
1.9,0.87,1.62,3.4,4.06,-       
1.95,0.86,1.63,3.4,4.08,-       
2.0,0.85,1.64,3.4,4.12,-       
2.05,0.86,1.64,3.4,4.14,-       
2.1,0.85,1.63,3.4,4.15,-       
2.15,0.84,1.63,3.4,4.15,-       
2.2,0.84,1.63,3.4,4.15,-       
2.25,0.84,1.64,3.4,4.15,-       
2.3,0.85,1.65,3.4,4.16,-       
2.35,0.3,1.61,3.4,4.22,-       
2.4,0.12,1.62,3.4,4.18,-       
2.45,0.15,1.61,3.4,3.97,gaze started: p_3_3
2.5,0.21,1.61,3.4,3.76,-       
2.55,0.22,1.61,3.4,3.5,-       
2.6,0.19,1.61,3.4,3.35,-       
2.65,0.17,1.62,3.4,3.18,-       
2.7,0.18,1.62,3.4,3.03,gaze fixated: p_3_3
2.75,0.2,1.62,3.4,2.91,-       
2.8,0.2,1.62,3.4,2.87,-       
2.85,0.11,1.62,3.4,2.82,-       
2.9,0.21,1.63,3.4,2.8,-       
2.95,0.21,1.63,3.4,2.8,-       
3.0,0.19,1.63,3.4,2.79,-       
3.05,0.19,1.63,3.4,2.79,-       
3.1,0.17,1.63,3.4,2.79,-       
3.15,0.2,1.63,3.4,2.79,gaze fixated: p_3_3
3.2,0.18,1.62,3.4,2.81,-       
3.25,0.17,1.62,3.4,2.82,-       
3.3,0.12,1.62,3.4,2.81,-       
3.35,0.16,1.63,3.4,2.81,-       
3.4,0.15,1.63,3.4,2.81,-       
3.45,0.18,1.64,3.4,2.84,-       
3.5,0.18,1.64,3.4,2.87,-       
3.55,0.19,1.64,3.4,2.91,-       
3.6,0.18,1.64,3.4,2.94,-       
3.65,0.17,1.64,3.4,2.99,-       
3.7,0.18,1.64,3.4,3.04,-       
3.75,0.18,1.64,3.4,3.1,-       
3.8,0.18,1.64,3.4,3.14,-       
3.85,0.18,1.64,3.4,3.14,-       
3.9,0.18,1.64,3.4,3.13,-       
3.95,0.18,1.64,3.4,3.12,-       
4.0,0.18,1.64,3.4,3.13,-       
4.05,0.18,1.65,3.4,3.14,-       
4.1,0.18,1.64,3.4,3.16,-       
4.15,0.18,1.64,3.4,3.19,-       
4.2,0.16,1.64,3.4,3.26,-       
4.25,0.12,1.63,3.4,3.31,-       
4.3,0.19,1.64,3.4,3.39,-       
4.35,0.14,1.63,3.4,3.41,-       
4.4,0.18,1.63,3.4,3.41,-       
4.45,0.19,1.63,3.4,3.43,-       
4.5,0.17,1.63,3.4,3.44,-       
4.55,0.2,1.64,3.4,3.46,-       
4.6,0.19,1.64,3.4,3.46,-       
4.65,0.18,1.64,3.4,3.48,gaze fixated: p_3_3
4.7,0.17,1.64,3.4,3.48,-       
4.75,0.18,1.64,3.4,3.52,-       
4.8,0.17,1.64,3.4,3.53,-       
4.85,0.18,1.64,3.4,3.53,-       
4.9,0.18,1.64,3.4,3.54,-       
4.95,0.46,1.5,3.4,3.47,-       
5.0,0.46,1.48,3.4,3.51,-       
5.05,0.48,1.48,3.4,3.55,-       
5.1,0.48,1.47,3.4,3.55,-       
5.15,0.48,1.48,3.4,3.57,-       
5.2,0.48,1.47,3.4,3.61,-       
5.25,0.4,2.2,3.4,3.64,-       
5.3,0.43,2.19,3.4,3.64,-       
5.35,0.5,2.18,3.4,3.58,-       
5.4,0.48,2.18,3.4,3.54,-       
5.45,0.49,2.17,3.4,3.46,-       
5.5,-0.17,2.24,3.4,3.45,-       
5.55,-0.06,2.29,3.46,3.37,-       
5.6,-0.02,2.28,3.4,3.36,-       
5.65,0.0,2.28,3.4,3.35,-       
5.7,0.05,2.3,3.4,3.33,-       
5.75,-0.08,2.29,3.46,3.28,-       
5.8,-0.04,2.28,3.4,3.26,-       
5.85,-0.04,2.28,3.4,3.21,-       
5.9,0.05,2.28,3.4,3.19,-       
5.95,0.63,0.8,-0.33,,-       
6.0,0.64,0.8,-0.33,,-       
6.05,0.22,1.88,3.4,3.21,-       
6.1,0.27,1.96,3.4,3.4,-       
6.15,0.03,1.87,3.4,3.34,-       
6.2,0.07,1.89,3.4,3.4,-       
6.25,0.05,1.89,3.4,3.4,-       
6.3,0.11,1.88,3.4,3.4,-       
6.35,0.08,1.87,3.4,3.38,-       
6.4,0.16,1.87,3.4,3.33,gaze started: p_2_3
6.45,0.15,1.87,3.4,3.28,-       
6.5,0.08,1.87,3.4,3.24,-       
6.55,0.13,1.87,3.4,3.26,-       
6.6,0.15,1.88,3.4,3.26,-       
6.65,0.14,1.88,3.46,3.26,-       
6.7,0.12,1.87,3.4,3.26,-       
6.75,0.1,1.87,3.4,3.3,-       
6.8,0.09,1.87,3.4,3.34,-       
6.85,0.13,1.88,3.4,3.36,-       
6.9,0.14,1.88,3.4,3.4,-       
6.95,0.15,1.88,3.4,3.42,-       
7.0,0.15,1.88,3.4,3.44,-       
7.05,0.13,1.89,3.46,3.48,-       
7.1,0.14,1.88,3.46,3.49,-       
7.15,0.13,1.88,3.46,3.51,-       
7.2,0.14,1.88,3.46,3.53,-       
7.25,0.16,1.88,3.4,3.54,-       
7.3,0.15,1.88,3.4,3.56,-       
7.35,0.15,1.88,3.4,3.58,-       
7.4,0.15,1.88,3.4,3.6,-       
7.45,0.16,1.88,3.4,3.63,-       
7.5,0.16,1.88,3.4,3.63,-       
7.55,0.15,1.88,3.4,3.64,-       
7.6,0.15,1.88,3.4,3.62,-       
7.65,0.15,1.88,3.4,3.6,-       
7.7,0.16,1.87,3.4,3.59,-       
7.75,0.15,1.87,3.4,3.58,-       
7.8,0.14,1.88,3.46,3.61,-       
7.85,0.1,1.88,3.4,3.62,-       
7.9,0.14,1.9,3.46,3.64,-       
7.95,0.16,1.89,3.4,3.64,-       
8.0,0.16,1.89,3.4,3.64,-       
8.05,0.16,1.89,3.4,3.67,-       
8.1,0.14,1.89,3.4,3.69,-       
8.15,0.14,1.9,3.46,3.69,-       
8.2,0.14,1.89,3.4,3.7,gaze started: p_2_3
8.25,0.15,1.89,3.4,3.7,gaze started: p_2_3
8.3,0.14,1.89,3.4,3.72,-       
8.35,0.14,1.9,3.46,3.74,-       
8.4,0.06,1.91,3.4,3.78,-       
8.45,0.11,1.91,3.4,3.8,-       
8.5,0.16,1.91,3.4,3.78,-       
8.55,0.16,1.91,3.4,3.74,-       
8.6,0.14,1.9,3.4,3.61,-       
8.65,0.12,1.89,3.4,3.56,-       
8.7,0.14,1.9,3.46,3.46,-       
8.75,0.12,1.89,3.4,3.39,-       
8.8,0.14,1.89,3.4,3.36,-       
8.85,0.15,1.89,3.4,3.35,-       
8.9,0.13,1.89,3.4,3.37,-       
8.95,0.13,1.89,3.4,3.4,-       
9.0,0.14,1.9,3.46,3.44,-       
9.05,0.15,1.89,3.4,3.45,-       
9.1,0.14,1.9,3.46,3.46,-       
9.15,0.14,1.9,3.46,3.46,-       
