time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.7,1.91,3.4,4.68,-       
0.05,0.69,1.91,3.4,4.68,-       
0.1,0.07,1.91,3.4,4.68,-       
0.15,-0.19,1.96,3.4,4.72,-       
0.2,-0.15,1.97,3.4,4.73,-       
0.25,-0.1,1.95,3.4,4.73,-       
0.3,-0.15,2.25,3.4,4.7,-       
0.35,-0.13,2.24,3.4,4.7,-       
0.4,-0.11,2.23,3.4,4.68,-       
0.45,-0.14,2.23,3.4,4.67,-       
0.5,-0.12,2.23,3.4,4.66,-       
0.55,-0.12,2.23,3.4,4.64,-       
0.6,-0.13,2.23,3.4,4.64,-       
0.65,-0.13,2.23,3.4,4.64,-       
0.7,-0.13,2.23,3.4,4.64,-       
0.75,-0.13,2.23,3.4,4.64,-       
0.8,-0.13,2.23,3.4,4.64,-       
0.85,-0.13,2.23,3.4,4.64,-       
0.9,-0.13,2.23,3.4,4.64,-       
0.95,-0.13,2.23,3.4,4.64,-       
1.0,-0.13,2.23,3.4,4.64,-       
1.05,0.02,1.81,3.46,4.58,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alcohol_30s_100.mp4
1.1,0.1,1.81,3.4,4.6,gaze started: p_2_2
1.15,0.1,1.81,3.4,4.59,-       
1.2,0.19,1.82,3.4,4.6,gaze started: p_2_3
1.25,0.19,1.82,3.4,4.6,-       
1.3,0.13,1.82,3.46,4.59,-       
1.35,0.13,1.82,3.4,4.5,-       
1.4,0.62,0.8,-0.33,,-       
1.45,0.62,0.8,-0.33,,-       
1.5,0.62,0.8,-0.33,,-       
1.55,0.62,0.8,-0.33,,-       
1.6,0.62,0.8,-0.33,,-       
1.65,0.62,0.8,-0.33,,-       
1.7,0.31,1.26,3.4,4.47,-       
1.75,0.32,1.3,3.4,4.47,-       
1.8,0.32,1.28,3.4,4.51,-       
1.85,0.32,1.29,3.4,4.54,-       
1.9,0.32,1.29,3.4,4.55,-       
1.95,0.32,1.3,3.4,4.58,-       
2.0,0.32,1.3,3.4,4.61,-       
2.05,0.32,1.3,3.4,4.63,-       
2.1,0.31,1.31,3.4,4.64,-       
2.15,0.31,1.32,3.4,4.64,-       
2.2,0.32,1.3,3.4,4.64,-       
2.25,0.31,1.31,3.4,4.63,-       
