time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.2,1.94,3.4,4.12,-       
0.05,-0.2,1.95,3.4,4.14,-       
0.1,-0.19,1.95,3.4,4.15,-       
0.15,0.17,1.87,3.4,4.14,gaze started: p_2_3
0.2,0.14,1.89,3.46,4.14,-       
0.25,0.23,1.87,3.4,4.15,-       
0.3,0.22,1.87,3.4,4.15,-       
0.35,0.26,1.86,3.4,4.18,-       
0.4,0.24,1.85,3.4,4.21,-       
0.45,0.22,1.85,3.4,4.23,-       
0.5,0.22,1.85,3.4,4.23,-       
0.55,0.22,1.86,3.4,4.24,-       
0.6,0.21,1.85,3.4,4.19,-       
0.65,0.21,1.85,3.4,4.19,-       
0.7,0.21,1.85,3.4,4.19,-       
0.75,0.21,1.85,3.4,4.19,-       
0.8,0.21,1.85,3.4,4.19,-       
0.85,0.21,1.85,3.4,4.19,-       
0.9,0.21,1.85,3.4,4.19,-       
0.95,0.21,1.85,3.4,4.19,-       
1.0,0.21,1.85,3.4,4.19,-       
1.05,0.35,1.86,3.4,4.24,-       
1.1,0.35,1.86,3.4,4.21,-       
1.15,0.34,1.85,3.4,4.2,-       
1.2,0.34,1.86,3.4,4.2,-       
1.25,0.33,1.86,3.4,4.2,-       
1.3,0.34,1.86,3.4,4.2,-       
1.35,0.39,1.87,3.4,4.17,-       
1.4,0.64,0.79,-0.32,,gaze ended: p_2_3
1.45,0.64,0.79,-0.32,,-       
1.5,0.64,0.79,-0.32,,-       
1.55,0.64,0.79,-0.32,,-       
1.6,0.64,0.79,-0.32,,-       
1.65,0.64,0.79,-0.32,,-       
1.7,0.2,1.45,3.4,4.33,gaze started: p_3_3
1.75,0.18,1.45,3.4,4.25,-       
1.8,0.18,1.47,3.4,4.35,-       
1.85,0.18,1.48,3.4,4.34,-       
1.9,0.18,1.47,3.4,4.36,-       
1.95,0.18,1.46,3.4,4.38,gaze fixated: p_3_3
2.0,0.18,1.46,3.4,4.4,-       
2.05,0.18,1.47,3.4,4.41,-       
2.1,0.18,1.47,3.4,4.44,-       
2.15,0.17,1.49,3.4,4.47,-       
2.2,0.17,1.46,3.4,4.46,-       
2.25,0.18,1.45,3.4,4.44,-       
2.3,0.18,1.46,3.4,4.45,-       
2.35,0.18,1.47,3.4,4.47,-       
2.4,0.16,1.49,3.4,4.49,-       
2.45,0.37,1.59,3.4,4.13,-       
2.5,0.52,1.69,3.4,3.91,-       
2.55,0.49,1.69,3.4,3.66,-       
2.6,0.56,1.66,3.4,3.49,-       
2.65,0.53,1.66,3.4,3.41,-       
2.7,0.49,1.67,3.4,3.2,-       
2.75,0.56,1.66,3.4,3.06,-       
