time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.19,0.47,2.94,4.79,-       
0.05,1.19,0.47,2.94,4.79,-       
0.1,1.19,0.47,2.94,4.79,-       
0.15,1.19,0.47,2.94,4.79,-       
0.2,1.19,0.47,2.94,4.79,-       
0.25,1.19,0.47,2.94,4.79,-       
0.3,1.19,0.47,2.94,4.79,-       
0.35,1.19,0.47,2.94,4.79,-       
0.4,1.19,0.47,2.94,4.79,-       
0.45,1.19,0.47,2.94,4.79,-       
0.5,1.19,0.47,2.94,4.79,-       
0.55,0.03,1.12,3.4,5.0,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_50nd.mp4
0.6,0.03,1.12,3.4,5.0,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_50nd.mp4
0.65,0.03,1.12,3.4,5.0,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_50nd.mp4
0.7,0.04,1.17,3.4,5.06,gaze started: p_4_2
0.75,-1.14,0.69,3.57,4.75,-       
0.8,-1.5,0.63,3.38,5.22,-       
0.85,-1.48,0.87,3.4,4.81,-       
0.9,-1.48,0.87,3.4,4.81,-       
0.95,-1.47,0.71,3.38,5.09,gaze started: p_4_1
1.0,-1.46,0.7,3.38,5.06,-       
1.05,-1.46,0.7,3.38,5.07,-       
1.1,-1.48,0.72,3.38,5.05,-       
1.15,-1.49,0.7,3.38,4.72,-       
1.2,-1.48,0.7,3.38,4.72,-       
1.25,-1.79,0.77,3.57,4.75,-       
1.3,-2.11,1.28,3.57,5.04,-       
1.35,-2.2,1.15,3.57,5.05,-       
1.4,-2.21,1.21,3.57,5.06,-       
1.45,-2.23,1.24,3.57,5.1,-       
1.5,-2.2,1.23,3.57,5.37,-       
1.55,-2.2,1.27,3.57,5.37,-       
1.6,-2.03,1.25,3.57,5.07,-       
1.65,-1.49,0.84,3.45,4.94,-       
1.7,-1.48,0.92,3.4,5.21,-       
1.75,-1.49,0.92,3.4,4.89,gaze started: p_4_1
1.8,-1.49,0.89,3.4,5.25,-       
1.85,-1.48,0.88,3.4,5.25,-       
1.9,-1.45,0.84,3.37,4.9,-       
1.95,-0.72,1.19,3.4,5.34,-       
2.0,0.5,1.43,3.4,5.12,gaze started: p_4_1
2.05,0.52,1.37,3.4,4.94,gaze started: p_3_3
2.1,0.47,1.42,3.4,4.75,-       
2.15,0.47,1.45,3.4,4.7,-       
2.2,0.47,1.45,3.4,4.7,-       
2.25,-0.43,0.63,3.57,3.99,gaze started: p_4_3
2.3,-0.43,0.63,3.57,3.99,gaze started: p_4_3
2.35,-0.56,0.59,3.57,3.88,-       
