time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.12,1.97,3.4,4.6,-       
0.05,-0.12,1.97,3.4,4.6,-       
0.1,-0.19,1.92,3.4,4.63,-       
0.15,-0.19,1.92,3.4,4.63,-       
0.2,0.12,1.9,3.4,4.53,gaze fixated: p_2_2
0.25,0.12,1.9,3.4,4.53,gaze fixated: p_2_2
0.3,0.12,1.9,3.4,4.53,gaze fixated: p_2_2
0.35,0.12,1.9,3.4,4.53,gaze fixated: p_2_2
0.4,0.12,1.9,3.4,4.53,gaze fixated: p_2_2
0.45,0.12,1.9,3.4,4.53,gaze fixated: p_2_2
0.5,0.12,1.9,3.4,4.53,gaze fixated: p_2_2
0.55,0.12,1.9,3.4,4.53,gaze fixated: p_2_2
0.6,0.12,1.9,3.4,4.53,gaze fixated: p_2_2
0.65,0.12,1.9,3.4,4.53,gaze fixated: p_2_2
0.7,0.12,1.9,3.4,4.53,gaze fixated: p_2_2
0.75,0.12,1.9,3.4,4.53,gaze fixated: p_2_2
0.8,0.12,1.85,3.4,3.71,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_jersey_mikes_30s_100.mp4
0.85,0.19,1.85,3.4,3.71,-       
0.9,0.15,1.87,3.4,3.66,gaze started: p_2_3
0.95,0.09,1.92,3.4,3.66,-       
1.0,0.17,1.9,3.4,3.6,gaze started: p_2_2
1.05,0.16,1.9,3.4,3.57,gaze started: p_2_3
1.1,0.2,1.91,3.4,3.54,-       
1.15,0.3,1.85,3.4,3.53,-       
1.2,0.34,1.82,3.4,3.52,-       
1.25,0.07,1.94,3.4,3.5,-       
1.3,0.12,1.81,3.46,3.53,gaze started: p_2_2
1.35,0.11,1.84,3.4,3.56,-       
1.4,-0.0,1.98,3.4,3.61,gaze started: p_2_2
1.45,0.11,1.91,3.4,3.68,-       
1.5,0.12,1.9,3.4,3.8,-       
1.55,0.11,1.86,3.4,3.86,-       
1.6,0.21,1.83,3.4,3.94,-       
1.65,0.08,1.76,3.4,4.06,gaze started: p_2_3
1.7,0.23,1.83,3.4,4.1,gaze started: p_3_2
1.75,0.08,1.75,3.4,4.11,gaze started: p_2_3
1.8,0.09,1.72,3.4,4.17,gaze started: p_3_2
1.85,-0.04,1.77,3.4,4.26,-       
1.9,-0.02,1.72,3.4,4.26,-       
1.95,-0.14,1.21,3.4,4.37,-       
2.0,-0.32,1.14,3.4,4.44,gaze started: p_4_2
2.05,-0.16,1.09,3.4,4.45,-       
2.1,-0.16,1.09,3.4,4.45,-       
2.15,-0.17,1.09,3.4,4.45,-       
2.2,-0.18,1.09,3.4,4.45,-       
2.25,0.24,1.43,3.4,4.4,-       
2.3,0.41,1.48,3.4,4.2,gaze started: p_3_3
2.35,0.41,1.47,3.4,4.03,-       
2.4,0.45,1.48,3.4,3.63,-       
2.45,0.44,1.46,3.4,3.52,-       
2.5,0.5,1.45,3.4,3.37,-       
2.55,0.49,1.45,3.4,3.22,-       
2.6,0.49,1.47,3.4,3.15,gaze fixated: p_3_3
2.65,0.24,1.57,3.4,3.1,-       
2.7,0.24,1.57,3.4,3.08,-       
2.75,0.31,1.53,3.4,3.04,-       
2.8,0.31,1.52,3.4,3.01,-       
2.85,0.31,1.5,3.4,2.99,-       
2.9,0.32,1.51,3.4,2.98,-       
2.95,0.3,1.53,3.4,2.96,-       
3.0,0.3,1.53,3.4,2.96,-       
3.05,0.3,1.51,3.4,2.98,-       
3.1,0.43,1.45,3.4,2.96,-       
3.15,0.35,1.5,3.4,2.97,-       
3.2,0.33,1.51,3.4,3.03,-       
3.25,0.33,1.51,3.4,3.03,-       
3.3,0.27,1.54,3.4,3.03,-       
3.35,0.22,1.56,3.4,3.02,-       
3.4,-0.14,1.96,3.4,3.14,-       
3.45,-0.18,2.02,3.4,3.14,gaze started: p_2_2
3.5,-0.17,2.03,3.4,3.18,-       
