time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.07,1.16,3.4,3.74,-       
0.05,0.07,1.16,3.4,3.67,-       
0.1,0.07,1.16,3.4,3.67,-       
0.15,0.13,1.03,3.4,3.55,gaze started: p_4_3
0.2,0.13,1.03,3.4,3.55,gaze started: p_4_3
0.25,0.05,1.04,3.4,3.53,-       
0.3,0.05,1.04,3.4,3.53,-       
0.35,0.05,1.04,3.4,3.53,-       
0.4,0.05,1.04,3.4,3.53,-       
0.45,0.05,1.04,3.4,3.53,-       
0.5,0.05,1.04,3.4,3.53,-       
0.55,0.05,1.04,3.4,3.53,-       
0.6,0.05,1.04,3.4,3.53,-       
0.65,0.05,1.04,3.4,3.53,-       
0.7,0.05,1.04,3.4,3.53,-       
0.75,0.05,1.04,3.4,3.53,-       
0.8,0.05,1.04,3.4,3.53,-       
0.85,0.04,0.97,3.4,3.59,gaze fixated: p_4_2
0.9,0.04,0.97,3.4,3.59,gaze fixated: p_4_2
0.95,0.06,0.99,3.4,3.62,-       
1.0,0.06,0.99,3.4,3.6,-       
1.05,0.06,0.99,3.4,3.57,-       
1.1,0.04,0.98,3.4,3.54,-       
1.15,0.03,0.96,3.4,3.51,-       
1.2,0.04,0.99,3.4,3.51,-       
1.25,0.09,0.98,3.4,3.52,-       
1.3,-0.13,0.53,2.94,3.61,-       
1.35,-0.16,0.44,2.94,3.77,gaze ended: p_4_2
1.4,-0.23,0.34,2.94,3.82,-       
1.45,-0.23,0.35,2.94,3.79,-       
1.5,-0.23,0.34,2.94,3.81,-       
1.55,-0.2,0.37,2.94,3.81,-       
1.6,-0.21,0.36,2.94,3.85,-       
1.65,-0.19,0.36,2.94,3.91,-       
1.7,-0.04,0.32,2.94,3.91,-       
1.75,-0.04,0.35,2.94,3.91,-       
1.8,-0.04,0.35,2.94,3.91,-       
1.85,-0.06,0.36,2.94,3.91,-       
1.9,-0.05,0.35,2.94,3.9,-       
1.95,-0.04,0.34,2.94,3.9,-       
