time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.6,2.12,3.4,4.99,-       
0.05,-0.6,2.12,3.4,4.99,-       
0.1,-0.6,2.12,3.4,4.99,-       
0.15,-0.6,2.12,3.4,4.99,-       
0.2,-0.6,2.12,3.4,4.99,-       
0.25,-0.6,2.12,3.4,4.99,-       
0.3,-0.6,2.12,3.4,4.99,-       
0.35,-0.6,2.12,3.4,4.99,-       
0.4,-0.6,2.12,3.4,4.99,-       
0.45,-0.6,2.12,3.4,4.99,-       
0.5,-0.6,2.12,3.4,4.99,-       
0.55,-0.77,2.19,3.4,4.87,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alcohol_30s_50wd.mp4
0.6,-0.77,2.19,3.4,4.87,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alcohol_30s_50wd.mp4
0.65,-0.77,2.19,3.4,4.87,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alcohol_30s_50wd.mp4
0.7,-0.79,2.25,3.4,4.89,gaze started: p_2_1
0.75,-0.77,2.24,3.4,4.86,-       
0.8,-0.78,2.26,3.4,4.89,-       
0.85,-0.78,2.23,3.4,4.86,gaze fixated: p_2_1
0.9,-0.77,2.19,3.4,4.82,-       
0.95,-0.8,2.2,3.4,4.9,-       
1.0,-0.77,2.21,3.4,4.91,-       
1.05,-0.81,2.2,3.4,4.91,-       
1.1,-0.77,2.16,3.4,4.88,-       
1.15,-0.69,2.14,3.4,4.89,-       
1.2,-0.27,1.88,3.4,4.87,gaze started: p_2_2
1.25,-0.26,1.84,3.4,4.87,-       
1.3,-0.25,1.83,3.4,4.92,-       
1.35,-0.27,1.85,3.4,4.94,-       
1.4,-0.3,1.86,3.4,4.96,-       
1.45,0.01,1.85,3.4,4.95,gaze fixated: p_2_2
1.5,0.07,1.71,3.4,4.97,-       
1.55,0.03,1.75,3.4,5.0,gaze started: p_3_2
1.6,0.04,1.75,3.4,5.01,-       
1.65,0.09,1.72,3.4,5.02,-       
1.7,0.09,1.73,3.4,5.03,-       
1.75,0.09,1.73,3.4,5.03,-       
1.8,0.09,1.73,3.4,5.03,-       
1.85,0.1,1.72,3.4,5.04,gaze fixated: p_3_2
1.9,0.05,1.75,3.4,5.04,-       
1.95,0.19,1.63,3.4,4.88,-       
2.0,0.58,1.58,3.4,4.67,gaze started: p_3_3
2.05,0.55,1.58,3.4,4.64,-       
2.1,0.59,1.55,3.4,4.51,-       
2.15,0.58,1.55,3.4,4.34,-       
2.2,0.41,1.51,3.4,4.08,-       
2.25,-0.12,1.55,3.4,3.9,gaze fixated: p_3_3
2.3,-0.08,1.54,3.4,3.88,gaze started: p_3_2
2.35,-0.2,1.55,3.4,3.84,-       
2.4,-0.2,1.56,3.4,3.82,-       
2.45,-0.22,1.55,3.4,3.77,-       
2.5,-0.23,1.53,3.4,3.72,-       
2.55,-0.24,1.51,3.4,3.66,gaze fixated: p_3_2
2.6,-0.22,1.54,3.4,3.64,-       
2.65,-0.21,1.53,3.4,3.63,-       
2.7,-0.2,1.51,3.4,3.61,-       
2.75,-0.21,1.51,3.4,3.59,-       
2.8,-0.22,1.53,3.4,3.59,-       
2.85,0.05,1.93,3.4,3.64,-       
2.9,0.05,1.93,3.4,3.64,-       
2.95,-0.04,2.06,3.4,3.67,gaze started: p_2_2
3.0,0.09,1.97,3.4,3.6,-       
3.05,0.07,2.01,3.4,3.63,-       
3.1,0.06,2.02,3.4,3.65,-       
3.15,0.05,2.04,3.4,3.65,-       
3.2,0.05,2.04,3.4,3.66,gaze fixated: p_2_2
3.25,0.05,2.04,3.4,3.67,-       
3.3,0.1,1.97,3.4,3.72,-       
3.35,-0.0,2.04,3.4,3.76,-       
3.4,0.11,1.97,3.4,3.72,-       
3.45,0.08,2.02,3.4,3.75,-       
3.5,0.08,1.99,3.4,3.75,-       
3.55,0.08,1.99,3.4,3.78,-       
3.6,0.07,1.97,3.4,3.8,-       
3.65,-0.08,1.9,3.4,3.99,-       
3.7,-0.16,1.85,3.4,4.0,-       
3.75,-0.18,1.88,3.4,4.03,-       
3.8,-0.09,1.9,3.4,4.07,-       
3.85,-0.09,1.89,3.4,4.09,-       
3.9,-0.1,1.89,3.4,4.11,-       
3.95,-0.11,1.86,3.4,4.13,-       
4.0,-0.11,1.84,3.4,4.15,-       
4.05,-0.11,1.84,3.4,4.15,-       
4.1,-0.36,1.85,3.4,4.32,gaze started: p_3_2
