time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.43,1.15,3.4,5.09,-       
0.05,-0.41,1.16,3.4,5.07,-       
0.1,-0.41,1.14,3.4,5.06,-       
0.15,0.0,1.15,3.4,5.08,-       
0.2,-0.2,1.19,3.4,5.15,-       
0.25,-0.08,1.22,3.4,5.14,gaze fixated: p_4_2
0.3,-0.06,1.24,3.4,5.16,-       
0.35,-0.04,1.23,3.4,5.17,-       
0.4,-0.07,1.23,3.4,5.12,-       
0.45,-0.15,1.23,3.4,5.11,-       
0.5,-0.28,1.2,3.4,5.13,-       
0.55,-0.28,1.18,3.4,5.05,-       
0.6,-0.26,1.16,3.4,5.07,-       
0.65,-0.28,1.08,3.4,4.97,-       
0.7,-0.36,1.14,3.4,4.97,-       
0.75,-0.36,1.14,3.4,4.97,-       
0.8,-0.36,1.14,3.4,4.97,-       
0.85,-0.36,1.14,3.4,4.97,-       
0.9,-0.36,1.14,3.4,4.97,-       
0.95,-0.36,1.14,3.4,4.97,-       
1.0,-0.36,1.14,3.4,4.97,-       
1.05,-0.36,1.14,3.4,4.97,-       
1.1,-0.36,1.14,3.4,4.97,-       
1.15,-0.36,1.14,3.4,4.97,-       
1.2,-0.36,1.14,3.4,4.97,-       
1.25,0.19,1.61,3.4,5.06,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_prediabetes_30s_100.mp4
1.3,0.38,1.72,3.4,4.98,gaze started: p_3_3
1.35,0.37,1.76,3.4,4.97,-       
1.4,0.4,1.77,3.4,4.96,-       
1.45,0.55,1.89,3.4,4.92,-       
1.5,0.54,1.84,3.4,4.89,gaze started: p_2_3
1.55,0.54,1.86,3.4,4.94,-       
1.6,0.42,1.78,3.4,4.9,-       
1.65,0.47,1.83,3.4,4.88,gaze started: p_3_3
1.7,0.47,1.81,3.4,4.86,gaze started: p_2_3
1.75,0.41,1.76,3.4,4.85,-       
1.8,0.41,1.77,3.4,4.86,gaze started: p_3_3
1.85,0.42,1.78,3.4,4.89,-       
1.9,0.42,1.78,3.4,4.9,-       
1.95,0.42,1.78,3.4,4.9,-       
2.0,0.43,1.78,3.4,4.93,-       
2.05,0.42,1.77,3.4,4.98,-       
2.1,0.43,1.77,3.4,4.97,gaze fixated: p_3_3
2.15,0.21,1.81,3.46,5.09,-       
2.2,0.2,1.7,3.4,5.01,gaze ended: p_3_3
2.25,0.09,1.71,3.4,5.05,gaze started: p_3_3
2.3,0.1,1.71,3.4,5.06,gaze started: p_3_2
2.35,0.11,1.69,3.4,5.06,-       
2.4,0.09,1.69,3.4,5.06,-       
2.45,0.03,1.71,3.4,5.09,-       
2.5,0.04,1.71,3.4,5.1,-       
2.55,0.07,1.73,3.4,5.11,gaze fixated: p_3_2
2.6,0.08,1.73,3.4,5.1,-       
2.65,0.03,1.67,3.4,5.08,-       
2.7,0.3,1.49,3.4,4.93,-       
2.75,0.36,1.5,3.4,4.86,gaze started: p_3_3
2.8,0.36,1.52,3.4,4.73,-       
2.85,0.37,1.54,3.4,4.58,-       
2.9,0.38,1.56,3.4,4.45,-       
2.95,0.39,1.59,3.4,4.32,-       
3.0,0.4,1.62,3.4,4.23,-       
3.05,0.41,1.62,3.4,4.15,gaze fixated: p_3_3
3.1,0.42,1.61,3.4,4.13,-       
3.15,0.41,1.63,3.4,4.11,-       
3.2,0.41,1.65,3.4,4.09,-       
3.25,0.41,1.68,3.4,4.09,-       
3.3,0.42,1.66,3.4,4.07,-       
3.35,0.34,1.69,3.4,4.08,-       
3.4,0.37,1.69,3.4,4.1,-       
3.45,0.4,1.66,3.4,4.13,-       
3.5,0.38,1.64,3.4,4.12,-       
3.55,0.38,1.64,3.4,4.12,-       
3.6,0.38,1.64,3.4,4.15,-       
3.65,0.4,1.66,3.4,4.16,-       
3.7,0.4,1.65,3.4,4.17,-       
3.75,0.39,1.63,3.4,4.17,-       
3.8,0.38,1.61,3.4,4.17,-       
3.85,0.39,1.58,3.4,4.19,-       
3.9,0.4,1.57,3.4,4.22,-       
3.95,0.38,1.58,3.4,4.26,-       
4.0,0.37,1.59,3.4,4.3,-       
4.05,0.37,1.59,3.4,4.37,-       
4.1,0.37,1.59,3.4,4.37,-       
4.15,0.4,1.58,3.4,4.42,-       
4.2,0.33,1.75,3.4,4.45,-       
4.25,0.33,1.75,3.4,4.35,-       
4.3,0.17,1.73,3.4,4.35,-       
4.35,0.24,1.75,3.4,4.4,-       
4.4,0.24,1.75,3.4,4.43,-       
4.45,0.24,1.75,3.4,4.43,-       
4.5,0.25,1.75,3.4,4.44,-       
4.55,0.26,1.74,3.4,4.43,-       
4.6,0.25,1.74,3.4,4.41,-       
4.65,0.25,1.72,3.4,4.38,-       
4.7,0.25,1.72,3.4,4.37,-       
4.75,0.5,0.8,-0.34,,-       
4.8,0.5,0.8,-0.34,,gaze ended: p_3_3
4.85,0.5,0.8,-0.34,,-       
4.9,0.5,0.8,-0.34,,-       
4.95,0.5,0.8,-0.34,,-       
5.0,0.5,0.8,-0.34,,-       
5.05,0.5,0.8,-0.34,,-       
5.1,0.5,0.8,-0.34,,-       
5.15,0.5,0.8,-0.34,,-       
5.2,0.5,0.8,-0.33,,-       
5.25,0.5,0.8,-0.33,,-       
5.3,0.5,0.8,-0.34,,-       
5.35,0.5,0.8,-0.34,,-       
5.4,0.5,0.8,-0.34,,-       
5.45,0.5,0.8,-0.34,,-       
5.5,0.5,0.8,-0.34,,-       
5.55,0.5,0.8,-0.34,,-       
5.6,0.5,0.8,-0.33,,-       
5.65,0.5,0.8,-0.33,,-       
5.7,0.5,0.8,-0.33,,-       
5.75,0.5,0.8,-0.33,,-       
5.8,0.5,0.8,-0.33,,-       
5.85,0.5,0.8,-0.33,,-       
5.9,0.5,0.8,-0.33,,-       
5.95,0.5,0.8,-0.33,,-       
6.0,0.5,0.8,-0.33,,-       
6.05,0.5,0.8,-0.33,,-       
6.1,0.5,0.8,-0.33,,-       
6.15,0.5,0.8,-0.33,,-       
6.2,-0.12,0.55,3.57,4.45,-       
6.25,-0.12,0.62,3.57,3.84,-       
6.3,-0.35,0.58,3.57,4.52,-       
6.35,-0.18,0.61,3.57,4.47,-       
6.4,-0.31,0.69,3.57,3.87,-       
6.45,-0.15,0.82,3.57,4.36,-       
6.5,0.14,0.38,2.93,3.34,-       
6.55,0.5,0.79,-0.33,,-       
6.6,0.5,0.79,-0.33,,-       
6.65,0.51,0.8,-0.33,,-       
6.7,0.51,0.8,-0.33,,-       
6.75,0.52,0.8,-0.33,,-       
6.8,0.52,0.8,-0.33,,-       
6.85,0.53,0.8,-0.34,,-       
6.9,0.53,0.8,-0.34,,-       
6.95,0.54,0.8,-0.34,,-       
7.0,0.55,0.8,-0.34,,-       
7.05,0.55,0.8,-0.34,,-       
7.1,0.55,0.81,-0.34,,-       
7.15,0.56,0.81,-0.35,,-       
7.2,0.6,0.83,-0.37,,-       
7.25,0.63,0.83,-0.38,,-       
7.3,0.65,0.84,-0.4,,-       
7.35,0.67,0.84,-0.41,,-       
7.4,0.67,0.85,-0.42,,-       
7.45,0.64,0.84,-0.42,,-       
7.5,0.63,0.85,-0.42,,-       
7.55,0.62,0.85,-0.42,,-       
7.6,0.7,0.79,-0.49,,-       
7.65,0.7,0.8,-0.49,,-       
7.7,0.68,0.8,-0.5,,-       
7.75,0.66,0.81,-0.5,,-       
7.8,0.65,0.81,-0.5,,-       
7.85,0.64,0.81,-0.5,,-       
7.9,0.64,0.81,-0.5,,-       
7.95,0.64,0.81,-0.5,,-       
8.0,0.63,0.8,-0.5,,-       
8.05,0.63,0.8,-0.5,,-       
8.1,0.63,0.79,-0.49,,-       
8.15,0.63,0.79,-0.49,,-       
8.2,0.54,0.84,-0.41,,-       
8.25,0.54,0.84,-0.41,,-       
8.3,0.53,0.84,-0.4,,-       
8.35,0.53,0.84,-0.4,,-       
8.4,0.52,0.84,-0.4,,-       
8.45,0.52,0.84,-0.4,,-       
8.5,0.52,0.84,-0.39,,-       
8.55,-0.23,0.57,3.57,4.09,-       
8.6,-0.28,0.88,3.4,4.73,-       
8.65,-0.09,0.89,3.4,4.9,gaze started: p_4_2
8.7,-0.06,0.92,3.4,4.91,-       
8.75,-0.17,0.99,3.4,4.97,-       
8.8,-0.09,1.01,3.4,4.97,-       
8.85,-0.18,1.04,3.4,4.95,-       
8.9,-0.17,1.01,3.4,4.64,gaze fixated: p_4_2
8.95,-0.17,1.01,3.4,4.64,gaze fixated: p_4_2
9.0,0.02,1.34,3.46,4.48,gaze started: p_3_2
9.05,0.02,1.34,3.46,4.48,gaze started: p_3_2
9.1,0.04,1.39,3.4,4.44,-       
9.15,-0.1,1.51,3.4,4.28,gaze started: p_3_2
9.2,-0.12,1.76,3.4,4.24,-       
9.25,-0.12,1.76,3.4,4.24,-       
9.3,0.24,1.84,3.4,4.23,-       
9.35,0.24,1.84,3.4,4.23,-       
9.4,0.19,1.87,3.4,4.19,gaze started: p_2_3
9.45,0.25,1.84,3.4,4.15,-       
9.5,0.16,1.85,3.4,4.09,-       
9.55,0.16,1.85,3.4,4.09,-       
9.6,-0.3,1.86,3.4,4.13,gaze started: p_2_2
9.65,-0.3,1.86,3.4,4.13,gaze started: p_2_2
9.7,-0.4,1.81,3.4,4.1,-       
9.75,-0.38,1.75,3.4,4.08,-       
9.8,-0.42,1.79,3.4,4.08,gaze started: p_3_2
9.85,0.06,1.75,3.4,4.15,-       
9.9,-0.07,1.86,3.4,4.23,-       
9.95,-0.05,1.85,3.4,4.22,gaze started: p_2_2
10.0,-0.07,1.84,3.4,4.22,-       
10.05,-0.07,1.84,3.4,4.22,-       
10.1,-0.01,1.82,3.46,4.27,-       
10.15,-0.01,1.82,3.46,4.27,-       
10.2,-0.34,1.9,3.4,4.26,gaze started: p_2_2
10.25,-0.38,1.91,3.4,4.36,-       
10.3,-0.4,1.88,3.4,4.35,-       
10.35,-0.44,1.89,3.4,4.36,-       
10.4,-0.41,1.9,3.4,4.35,-       
10.45,-0.42,1.89,3.4,4.33,-       
10.5,-0.42,1.89,3.4,4.36,gaze fixated: p_2_2
10.55,-0.39,1.91,3.4,4.39,-       
10.6,-0.41,1.93,3.4,4.41,-       
10.65,-0.41,1.91,3.4,4.43,-       
10.7,-0.4,1.91,3.4,4.45,-       
10.75,-0.14,1.62,3.4,4.46,-       
10.8,-0.18,1.51,3.4,4.49,gaze started: p_3_2
10.85,-0.13,1.53,3.4,4.5,-       
10.9,-0.11,1.55,3.4,4.52,-       
10.95,-0.11,1.54,3.4,4.57,-       
11.0,-0.13,1.54,3.4,4.6,-       
11.05,-0.11,1.48,3.4,4.65,-       
11.1,-0.03,1.49,3.4,4.7,gaze fixated: p_3_2
11.15,-0.06,1.49,3.4,4.71,-       
11.2,-0.11,1.46,3.4,4.8,-       
11.25,0.52,0.81,-0.35,,-       
11.3,0.52,0.81,-0.35,,gaze ended: p_3_2
11.35,0.52,0.81,-0.35,,-       
11.4,0.52,0.81,-0.35,,-       
