time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.5,2.28,3.46,4.05,gaze ended: p_1_2
0.05,-0.5,2.29,3.46,4.09,-       
0.1,-0.5,2.29,3.46,4.11,-       
0.15,-0.52,2.26,3.4,4.13,-       
0.2,-0.8,2.24,3.4,4.23,gaze started: p_2_2
0.25,-0.8,2.24,3.4,4.23,gaze started: p_2_2
0.3,-0.8,2.24,3.4,4.23,gaze started: p_2_2
0.35,-0.8,2.24,3.4,4.23,gaze started: p_2_2
0.4,-0.8,2.24,3.4,4.23,gaze started: p_2_2
0.45,-0.8,2.24,3.4,4.23,gaze started: p_2_2
0.5,-0.8,2.24,3.4,4.23,gaze started: p_2_2
0.55,-0.8,2.24,3.4,4.23,gaze started: p_2_2
0.6,-0.8,2.24,3.4,4.23,gaze started: p_2_2
0.65,-0.8,2.24,3.4,4.23,gaze started: p_2_2
0.7,-0.8,2.24,3.4,4.23,gaze started: p_2_2
0.75,-0.82,2.26,3.4,4.35,gaze started: p_2_1
0.8,-0.82,2.25,3.4,4.35,-       
0.85,-0.82,2.25,3.4,4.33,-       
0.9,-0.82,2.25,3.4,4.33,-       
0.95,-0.82,2.25,3.4,4.33,-       
1.0,-0.65,2.2,3.4,4.26,gaze fixated: p_2_1
1.05,-0.42,2.08,3.4,4.2,gaze started: p_2_2
1.1,-0.41,2.05,3.4,4.24,-       
1.15,-0.41,2.05,3.4,4.25,-       
1.2,-0.41,2.03,3.4,4.26,-       
1.25,-0.4,2.03,3.4,4.28,-       
1.3,-0.4,2.03,3.4,4.28,gaze fixated: p_2_2
1.35,-0.39,2.03,3.4,4.28,-       
1.4,-0.39,2.03,3.4,4.31,-       
1.45,-0.39,2.03,3.4,4.34,-       
1.5,-0.16,1.84,3.4,4.39,-       
1.55,-0.01,1.59,3.4,4.37,-       
1.6,-0.01,1.63,3.4,4.43,gaze started: p_3_2
1.65,0.25,1.33,3.46,4.45,-       
1.7,0.26,1.33,3.46,4.44,-       
1.75,0.25,1.3,3.4,4.46,-       
1.8,0.25,1.31,3.4,4.47,gaze started: p_4_3
1.85,0.25,1.3,3.4,4.49,-       
1.9,0.24,1.29,3.4,4.49,-       
1.95,0.24,1.29,3.4,4.49,-       
2.0,0.24,1.29,3.4,4.52,-       
2.05,-0.04,1.69,3.4,4.51,gaze fixated: p_4_3
2.1,-0.08,1.75,3.4,4.46,gaze started: p_3_2
2.15,-0.09,1.72,3.4,4.26,-       
2.2,-0.09,1.73,3.4,4.17,-       
2.25,0.49,1.65,3.4,3.62,-       
2.3,0.54,1.64,3.4,3.47,gaze started: p_3_3
2.35,0.54,1.63,3.4,3.32,-       
2.4,0.54,1.63,3.4,3.21,-       
2.45,0.55,1.64,3.4,3.08,-       
2.5,0.28,1.69,3.4,2.86,-       
2.55,-0.0,1.75,3.4,2.8,gaze fixated: p_3_3
2.6,-0.08,1.75,3.4,2.77,gaze started: p_3_2
2.65,-0.08,1.75,3.4,2.74,-       
2.7,-0.07,1.75,3.4,2.73,-       
2.75,-0.07,1.75,3.4,2.68,-       
2.8,-0.08,1.75,3.4,2.66,-       
2.85,-0.09,1.75,3.4,2.64,-       
2.9,-0.09,1.75,3.4,2.63,gaze fixated: p_3_2
2.95,0.0,1.85,3.4,2.59,-       
3.0,0.02,1.87,3.4,2.54,gaze started: p_2_2
3.05,0.03,1.87,3.4,2.55,-       
3.1,0.03,1.87,3.4,2.55,-       
3.15,0.03,1.86,3.4,2.54,-       
3.2,0.03,1.87,3.4,2.55,-       
3.25,0.04,1.87,3.4,2.57,-       
3.3,0.03,1.87,3.4,2.59,gaze fixated: p_2_2
3.35,0.04,1.87,3.4,2.6,-       
3.4,0.04,1.87,3.4,2.64,-       
3.45,0.04,1.86,3.4,2.66,-       
3.5,0.04,1.86,3.4,2.67,-       
3.55,0.04,1.86,3.4,2.71,-       
3.6,0.04,1.87,3.4,2.74,-       
3.65,0.03,1.86,3.4,2.78,-       
3.7,0.04,1.86,3.4,2.84,-       
3.75,0.05,1.86,3.4,2.89,-       
3.8,0.05,1.86,3.4,2.91,-       
3.85,0.05,1.86,3.4,2.96,-       
3.9,0.05,1.86,3.4,2.98,-       
3.95,0.05,1.86,3.4,3.01,-       
4.0,0.05,1.86,3.4,3.02,-       
4.05,0.2,1.81,3.4,3.1,-       
4.1,0.15,1.8,3.46,3.02,gaze started: p_2_3
4.15,0.13,1.81,3.46,3.01,-       
4.2,0.13,1.81,3.46,3.02,-       
4.25,0.14,1.81,3.46,3.01,-       
4.3,0.14,1.81,3.46,3.0,-       
4.35,0.16,1.8,3.46,2.97,-       
4.4,0.2,1.81,3.46,2.94,-       
4.45,0.15,1.81,3.46,2.93,-       
4.5,0.15,1.81,3.46,2.93,-       
4.55,0.14,1.81,3.4,2.9,-       
4.6,0.14,1.82,3.46,2.89,gaze started: p_2_3
4.65,0.15,1.81,3.4,2.85,-       
4.7,0.15,1.81,3.4,2.84,gaze started: p_2_3
4.75,0.15,1.81,3.4,2.83,-       
4.8,0.14,1.82,3.46,2.83,-       
4.85,0.16,1.81,3.4,2.82,-       
4.9,0.16,1.81,3.4,2.82,gaze started: p_2_3
4.95,0.15,1.81,3.4,2.81,-       
5.0,0.15,1.82,3.4,2.81,-       
5.05,0.15,1.81,3.4,2.8,-       
5.1,0.06,1.79,3.4,2.79,-       
5.15,0.14,1.8,3.46,2.81,gaze started: p_3_2
5.2,0.14,1.8,3.46,2.81,-       
5.25,0.13,1.8,3.46,2.8,-       
5.3,0.14,1.8,3.46,2.78,-       
5.35,0.14,1.81,3.46,2.75,-       
5.4,0.13,1.81,3.46,2.72,-       
5.45,0.14,1.81,3.46,2.69,-       
5.5,0.16,1.81,3.46,2.68,-       
5.55,0.14,1.81,3.46,2.69,-       
5.6,0.13,1.81,3.46,2.71,-       
5.65,0.13,1.81,3.46,2.72,-       
5.7,0.13,1.81,3.46,2.72,-       
5.75,0.13,1.79,3.4,2.73,-       
5.8,0.13,1.79,3.4,2.75,gaze started: p_3_2
5.85,0.13,1.8,3.46,2.76,-       
5.9,0.13,1.81,3.46,2.75,-       
5.95,0.14,1.81,3.46,2.75,-       
6.0,0.14,1.81,3.46,2.74,-       
6.05,0.14,1.81,3.46,2.75,-       
6.1,0.14,1.81,3.46,2.75,-       
6.15,0.15,1.79,3.4,2.74,-       
6.2,0.14,1.8,3.46,2.73,gaze started: p_3_3
6.25,0.15,1.79,3.4,2.71,-       
6.3,0.15,1.79,3.4,2.71,-       
6.35,0.14,1.81,3.46,2.71,-       
6.4,0.14,1.81,3.46,2.71,-       
6.45,0.14,1.81,3.46,2.7,-       
6.5,0.14,1.81,3.46,2.7,-       
6.55,0.13,1.81,3.46,2.71,-       
6.6,0.13,1.81,3.46,2.71,-       
6.65,0.16,1.79,3.4,2.75,gaze started: p_3_2
6.7,0.16,1.79,3.4,2.75,gaze started: p_3_2
6.75,0.18,1.81,3.46,2.73,-       
6.8,0.18,1.81,3.46,2.73,-       
6.85,0.18,1.8,3.46,2.73,-       
6.9,0.18,1.79,3.4,2.72,-       
6.95,0.18,1.79,3.4,2.71,-       
7.0,0.18,1.79,3.4,2.71,-       
7.05,0.17,1.79,3.4,2.67,-       
7.1,0.18,1.79,3.4,2.65,-       
7.15,0.19,1.79,3.4,2.63,-       
7.2,0.18,1.79,3.4,2.64,gaze fixated: p_3_3
7.25,0.18,1.8,3.46,2.65,-       
7.3,0.18,1.8,3.46,2.63,gaze ended: p_3_3
7.35,0.18,1.79,3.4,2.64,-       
7.4,0.17,1.79,3.4,2.64,gaze started: p_3_3
7.45,0.18,1.79,3.4,2.64,-       
7.5,0.18,1.79,3.4,2.64,-       
7.55,0.18,1.79,3.4,2.64,-       
7.6,0.18,1.79,3.4,2.67,-       
7.65,0.04,1.83,3.4,2.71,gaze fixated: p_3_3
7.7,0.04,1.83,3.4,2.71,gaze fixated: p_3_3
7.75,0.06,1.81,3.4,2.67,-       
7.8,0.06,1.81,3.4,2.67,-       
7.85,0.06,1.81,3.4,2.67,-       
7.9,0.06,1.81,3.4,2.67,-       
7.95,0.2,1.85,3.4,2.69,gaze started: p_2_3
8.0,0.2,1.85,3.4,2.69,gaze started: p_2_3
8.05,0.17,1.85,3.4,2.65,-       
8.1,0.17,1.85,3.4,2.63,-       
8.15,0.16,1.85,3.4,2.61,-       
8.2,0.16,1.85,3.4,2.59,-       
8.25,0.09,1.9,3.4,2.51,gaze fixated: p_2_3
8.3,0.07,1.9,3.4,2.48,gaze started: p_2_2
8.35,0.06,1.91,3.4,2.46,-       
8.4,0.06,1.91,3.4,2.46,-       
8.45,0.08,1.92,3.4,2.38,-       
8.5,-0.29,2.05,3.4,2.44,-       
8.55,-0.29,2.04,3.4,2.45,-       
8.6,-0.32,2.03,3.4,2.45,gaze fixated: p_2_2
8.65,-0.32,2.03,3.4,2.45,gaze fixated: p_2_2
8.7,-0.34,2.03,3.4,2.47,-       
8.75,-0.35,2.03,3.4,2.49,-       
8.8,-0.34,2.03,3.4,2.5,-       
8.85,-0.04,1.94,3.4,2.46,-       
8.9,0.06,1.92,3.4,2.47,-       
8.95,0.11,1.91,3.4,2.47,-       
9.0,0.06,1.91,3.4,2.47,-       
9.05,0.07,1.91,3.4,2.48,-       
9.1,0.07,1.91,3.4,2.51,-       
9.15,0.08,1.91,3.4,2.53,-       
9.2,-0.37,2.1,3.4,2.57,-       
9.25,-0.52,2.09,3.4,2.63,-       
9.3,-0.49,2.1,3.4,2.61,-       
9.35,-0.49,2.09,3.4,2.6,-       
9.4,-0.5,2.09,3.4,2.56,-       
9.45,0.13,1.9,3.4,2.53,-       
9.5,0.1,1.9,3.4,2.53,-       
9.55,0.15,1.9,3.4,2.53,-       
9.6,0.14,1.91,3.46,2.53,gaze started: p_2_3
9.65,0.14,1.89,3.4,2.55,-       
9.7,0.14,1.9,3.46,2.56,gaze started: p_2_3
9.75,0.15,1.89,3.4,2.57,-       
9.8,0.07,1.88,3.4,2.58,gaze started: p_2_3
9.85,-0.44,2.04,3.4,2.57,gaze started: p_2_2
9.9,-0.45,2.06,3.4,2.58,-       
9.95,-0.49,2.04,3.4,2.58,-       
10.0,-0.49,2.03,3.4,2.57,-       
10.05,-0.5,2.03,3.4,2.57,-       
10.1,-0.5,2.04,3.4,2.57,-       
10.15,-0.53,2.06,3.4,2.62,gaze fixated: p_2_2
10.2,-0.64,2.25,3.4,2.65,-       
10.25,-0.63,2.24,3.4,2.64,-       
10.3,-0.64,2.24,3.4,2.68,-       
10.35,-0.64,2.24,3.4,2.73,-       
10.4,-0.64,2.24,3.4,2.82,-       
10.45,-0.65,2.23,3.4,2.86,-       
10.5,-0.64,2.23,3.4,2.93,-       
10.55,-0.64,2.23,3.4,2.99,-       
10.6,-0.63,2.22,3.4,3.05,-       
10.65,-0.63,2.22,3.4,3.09,-       
10.7,-0.63,2.21,3.4,3.1,-       
10.75,-0.63,2.21,3.4,3.12,-       
10.8,-0.63,2.21,3.4,3.15,-       
10.85,-0.63,2.21,3.4,3.16,-       
10.9,-0.63,2.21,3.4,3.16,-       
10.95,-0.63,2.21,3.4,3.16,-       
11.0,-0.63,2.22,3.4,3.15,-       
11.05,-0.63,2.22,3.4,3.13,-       
11.1,-0.63,2.23,3.4,3.13,-       
11.15,-0.64,2.22,3.4,3.14,-       
11.2,-0.65,2.22,3.4,3.15,-       
11.25,-0.64,2.22,3.4,3.16,-       
11.3,-0.64,2.22,3.4,3.14,-       
11.35,-0.64,2.22,3.4,3.12,-       
11.4,-0.64,2.22,3.4,3.13,-       
11.45,-0.64,2.23,3.4,3.13,-       
11.5,-0.63,2.23,3.4,3.13,-       
11.55,-0.63,2.23,3.4,3.12,-       
11.6,-0.63,2.23,3.4,3.12,-       
11.65,-0.64,2.23,3.4,3.11,-       
11.7,-0.62,2.22,3.4,3.11,-       
11.75,-0.63,2.22,3.4,3.12,-       
11.8,-0.44,2.22,3.4,3.17,-       
11.85,-0.44,2.22,3.4,3.18,-       
11.9,-0.44,2.21,3.4,3.17,-       
11.95,-0.44,2.21,3.4,3.17,-       
12.0,-0.44,2.21,3.4,3.17,-       
12.05,-0.5,2.19,3.4,3.19,-       
12.1,-0.9,2.14,3.4,3.23,-       
12.15,-0.88,2.14,3.4,3.21,gaze started: p_2_1
12.2,-0.89,2.13,3.4,3.21,-       
12.25,-0.89,2.13,3.4,3.22,-       
12.3,-0.89,2.13,3.4,3.19,-       
12.35,-1.11,2.14,3.4,3.17,-       
12.4,-1.12,2.14,3.4,3.17,gaze fixated: p_2_1
12.45,-1.12,2.14,3.4,3.18,-       
12.5,-1.11,2.14,3.4,3.18,-       
12.55,-1.11,2.14,3.4,3.2,-       
12.6,-0.97,2.14,3.4,3.19,-       
12.65,-0.28,1.97,3.4,3.12,-       
12.7,-0.26,1.97,3.4,3.03,gaze started: p_2_2
12.75,-0.26,1.97,3.4,3.05,-       
12.8,-0.26,1.97,3.4,3.03,-       
12.85,-0.26,1.97,3.4,3.03,-       
12.9,-0.26,1.96,3.4,3.01,-       
12.95,-0.34,2.11,3.4,2.96,gaze fixated: p_2_2
13.0,-0.34,2.11,3.4,2.97,-       
13.05,-0.35,2.09,3.4,2.99,-       
13.1,-0.36,2.09,3.4,2.99,-       
13.15,-0.36,2.09,3.4,3.0,-       
13.2,-0.39,2.15,3.4,3.02,-       
13.25,-0.49,2.22,3.4,3.08,-       
13.3,-0.49,2.21,3.4,3.06,-       
13.35,-0.49,2.21,3.4,3.05,-       
13.4,-0.49,2.21,3.4,3.04,-       
13.45,-0.49,2.2,3.4,3.03,-       
13.5,-0.49,2.2,3.4,3.02,-       
13.55,-0.49,2.2,3.4,3.0,-       
13.6,-0.49,2.21,3.4,3.01,-       
13.65,-0.91,2.15,3.4,3.12,-       
13.7,-0.96,2.15,3.4,3.13,gaze started: p_2_1
13.75,-0.96,2.14,3.4,3.17,-       
13.8,-0.97,2.15,3.4,3.18,-       
13.85,-0.97,2.14,3.4,3.2,-       
13.9,-0.97,2.14,3.4,3.22,-       
13.95,-0.97,2.14,3.4,3.24,gaze fixated: p_2_1
14.0,-0.43,2.19,3.4,3.17,-       
14.05,-0.46,2.21,3.4,3.22,gaze started: p_2_2
14.1,-0.45,2.21,3.4,3.24,-       
14.15,-0.45,2.21,3.4,3.24,-       
14.2,-0.45,2.21,3.4,3.27,-       
14.25,-0.44,2.21,3.4,3.29,-       
14.3,-0.44,2.2,3.4,3.32,gaze fixated: p_2_2
14.35,-0.44,2.2,3.4,3.34,-       
14.4,-0.44,2.2,3.4,3.36,-       
14.45,-0.44,2.2,3.4,3.41,-       
14.5,-0.44,2.2,3.4,3.44,-       
14.55,-0.44,2.2,3.4,3.48,-       
14.6,-0.43,2.19,3.4,3.51,-       
14.65,-0.43,2.19,3.4,3.53,-       
14.7,-0.48,2.21,3.4,3.6,-       
14.75,-0.63,2.35,3.4,3.64,-       
14.8,-0.63,2.37,3.4,3.68,gaze started: p_1_2
14.85,-0.63,2.37,3.4,3.69,-       
14.9,-0.63,2.37,3.4,3.7,-       
