time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.39,2.11,3.4,3.22,gaze started: p_2_2
0.05,-0.38,2.12,3.4,3.24,-       
0.1,-0.38,2.12,3.4,3.24,-       
0.15,-0.38,2.12,3.4,3.25,-       
0.2,-0.38,2.12,3.4,3.25,-       
0.25,-0.38,2.12,3.4,3.25,-       
0.3,-0.38,2.12,3.4,3.25,-       
0.35,-0.38,2.12,3.4,3.25,-       
0.4,-0.38,2.12,3.4,3.25,-       
0.45,-0.38,2.12,3.4,3.25,-       
0.5,-0.38,2.12,3.4,3.25,-       
0.55,-0.38,2.12,3.4,3.25,-       
0.6,-0.33,2.51,3.4,3.34,gaze fixated: p_2_2
0.65,-0.34,2.51,3.4,3.35,gaze started: p_1_2
0.7,-0.34,2.51,3.4,3.35,gaze started: p_1_2
0.75,-0.34,2.5,3.4,3.37,-       
0.8,-0.34,2.5,3.4,3.38,-       
0.85,-0.34,2.5,3.4,3.44,-       
0.9,-0.34,2.5,3.4,3.5,-       
0.95,-0.39,2.29,3.4,3.56,gaze fixated: p_1_2
1.0,-0.39,2.29,3.4,3.56,gaze fixated: p_1_2
1.05,-0.41,1.96,3.4,3.51,-       
1.1,-0.41,1.95,3.4,3.54,gaze started: p_2_2
1.15,-0.41,1.94,3.4,3.56,-       
1.2,-0.41,1.95,3.4,3.59,-       
1.25,-0.41,1.96,3.4,3.63,-       
1.3,-0.42,1.96,3.4,3.65,-       
1.35,-0.42,1.95,3.4,3.68,gaze fixated: p_2_2
1.4,-0.42,1.94,3.4,3.73,-       
1.45,-0.42,1.94,3.4,3.79,-       
1.5,-0.12,1.36,3.4,3.86,-       
1.55,0.14,0.88,3.47,3.96,gaze started: p_3_2
1.6,0.11,0.77,3.57,3.94,-       
1.65,0.12,0.78,3.57,3.98,-       
1.7,0.12,0.78,3.57,3.98,-       
1.75,0.12,0.76,3.57,4.01,-       
1.8,0.12,0.76,3.57,4.05,-       
1.85,0.13,0.76,3.57,4.1,-       
1.9,-0.19,0.53,3.43,4.2,-       
1.95,-0.2,0.53,3.45,4.15,-       
2.0,-0.19,0.53,3.43,4.13,-       
2.05,-0.04,1.18,3.4,4.0,-       
2.1,-0.03,1.23,3.4,3.84,gaze started: p_4_2
2.15,-0.01,1.25,3.4,3.59,-       
2.2,-0.01,1.25,3.4,3.59,-       
2.25,0.43,1.57,3.4,3.23,-       
2.3,0.36,1.56,3.4,3.03,gaze started: p_3_3
2.35,0.38,1.56,3.4,2.96,-       
2.4,0.14,1.68,3.46,2.69,-       
2.45,0.02,1.78,3.4,2.62,-       
2.5,-0.05,1.79,3.4,2.57,gaze started: p_3_2
2.55,-0.05,1.79,3.4,2.55,-       
2.6,-0.06,1.81,3.46,2.51,-       
2.65,-0.26,1.88,3.4,2.49,-       
2.7,-0.26,1.88,3.4,2.49,-       
2.75,-0.31,1.85,3.4,2.5,gaze started: p_2_2
2.8,-0.3,1.85,3.4,2.49,-       
2.85,-0.29,1.85,3.4,2.46,-       
2.9,-0.36,1.84,3.4,2.46,-       
2.95,0.03,2.01,3.4,2.42,-       
3.0,0.05,2.02,3.4,2.41,gaze fixated: p_2_2
3.05,-0.0,2.02,3.4,2.41,-       
3.1,-0.0,2.02,3.4,2.4,-       
3.15,0.01,2.02,3.4,2.39,-       
3.2,0.0,2.02,3.4,2.4,-       
3.25,0.0,2.03,3.4,2.43,-       
3.3,0.0,2.03,3.4,2.43,-       
3.35,0.0,2.03,3.4,2.46,-       
3.4,-0.0,2.03,3.4,2.5,-       
3.45,0.0,2.02,3.4,2.57,-       
3.5,-0.0,2.03,3.4,2.63,-       
3.55,0.03,2.03,3.4,2.69,-       
3.6,0.03,2.03,3.4,2.76,-       
3.65,0.04,2.04,3.4,2.81,-       
3.7,0.07,2.04,3.4,2.84,-       
3.75,0.02,2.04,3.4,2.86,-       
3.8,0.02,2.04,3.4,2.86,-       
3.85,-0.04,2.02,3.4,2.9,-       
3.9,-0.04,2.02,3.4,2.9,-       
3.95,-0.01,2.02,3.4,2.9,-       
4.0,-0.01,2.02,3.4,2.92,-       
4.05,-0.01,2.02,3.4,2.92,-       
4.1,-0.02,2.02,3.4,2.91,-       
4.15,-0.01,2.02,3.4,2.91,-       
4.2,-0.01,2.02,3.4,2.89,-       
4.25,-0.01,2.02,3.4,2.87,-       
4.3,-0.01,2.02,3.4,2.87,-       
4.35,-0.01,2.02,3.4,2.86,-       
4.4,-0.02,2.02,3.4,2.83,-       
4.45,-0.02,2.01,3.4,2.81,-       
4.5,-0.02,2.02,3.4,2.83,-       
4.55,-0.03,2.01,3.4,2.85,-       
4.6,-0.02,2.01,3.4,2.87,-       
4.65,-0.01,2.01,3.4,2.89,-       
4.7,-0.02,2.01,3.4,2.92,-       
4.75,0.04,1.87,3.4,2.93,-       
4.8,0.04,1.87,3.4,2.93,-       
4.85,0.09,1.87,3.4,2.93,-       
4.9,0.11,1.87,3.4,2.93,-       
4.95,0.11,1.87,3.4,2.92,-       
5.0,0.11,1.86,3.4,2.91,-       
5.05,0.1,1.87,3.4,2.89,-       
5.1,0.09,1.87,3.4,2.87,-       
5.15,0.09,1.87,3.4,2.83,-       
5.2,0.1,1.87,3.4,2.79,-       
5.25,0.1,1.87,3.4,2.75,-       
5.3,0.1,1.87,3.4,2.7,-       
5.35,0.1,1.88,3.4,2.66,-       
5.4,0.1,1.88,3.4,2.65,-       
5.45,0.1,1.88,3.4,2.65,-       
5.5,0.09,1.87,3.4,2.63,-       
5.55,0.1,1.87,3.4,2.6,-       
5.6,0.1,1.88,3.4,2.61,-       
5.65,0.1,1.88,3.4,2.6,-       
5.7,0.1,1.88,3.4,2.61,-       
5.75,0.1,1.87,3.4,2.61,-       
5.8,0.11,1.87,3.4,2.61,-       
5.85,0.11,1.87,3.4,2.61,-       
5.9,0.1,1.87,3.4,2.6,-       
5.95,0.11,1.87,3.4,2.61,-       
6.0,0.11,1.87,3.4,2.62,-       
6.05,0.11,1.88,3.4,2.62,-       
6.1,0.11,1.88,3.4,2.62,-       
6.15,0.11,1.87,3.4,2.59,-       
6.2,0.11,1.87,3.4,2.6,-       
6.25,0.1,1.87,3.4,2.61,-       
6.3,0.11,1.86,3.4,2.62,-       
6.35,0.11,1.86,3.4,2.63,-       
6.4,0.11,1.86,3.4,2.63,-       
6.45,0.11,1.87,3.4,2.66,-       
6.5,0.11,1.87,3.4,2.68,-       
6.55,0.16,1.89,3.4,2.7,-       
6.6,0.12,1.86,3.4,2.73,gaze started: p_2_3
6.65,0.11,1.86,3.4,2.76,gaze started: p_2_2
6.7,0.11,1.85,3.4,2.76,-       
6.75,0.15,1.87,3.4,2.77,-       
6.8,0.11,1.86,3.4,2.76,gaze started: p_2_3
6.85,0.15,1.88,3.4,2.78,gaze started: p_2_2
6.9,0.15,1.88,3.4,2.78,gaze started: p_2_2
6.95,0.16,1.88,3.4,2.78,gaze started: p_2_3
