time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.41,1.89,3.4,2.85,-       
0.05,0.41,1.85,3.4,2.83,gaze started: p_2_3
0.1,0.38,1.86,3.4,2.86,-       
0.15,0.41,1.9,3.4,2.83,-       
0.2,0.59,2.06,3.4,2.85,-       
0.25,0.59,2.05,3.4,2.83,-       
0.3,0.59,2.05,3.4,2.78,-       
0.35,0.59,2.06,3.4,2.75,gaze fixated: p_2_3
0.4,0.47,1.69,3.4,2.71,-       
0.45,0.51,1.35,3.4,2.69,gaze started: p_3_3
0.5,0.41,1.34,3.4,2.72,-       
0.55,0.44,1.35,3.4,2.73,-       
0.6,0.44,1.35,3.4,2.73,-       
0.65,0.44,1.35,3.4,2.73,-       
0.7,0.44,1.35,3.4,2.73,-       
0.75,0.44,1.35,3.4,2.73,-       
0.8,0.44,1.35,3.4,2.73,-       
0.85,0.44,1.35,3.4,2.73,-       
0.9,0.44,1.35,3.4,2.73,-       
0.95,0.44,1.35,3.4,2.73,-       
1.0,0.44,1.35,3.4,2.73,-       
1.05,0.41,1.26,3.4,2.79,gaze fixated: p_3_3
1.1,0.39,1.24,3.4,2.79,gaze started: p_4_3
1.15,0.39,1.24,3.4,2.79,-       
1.2,0.4,1.24,3.4,2.79,-       
1.25,0.39,1.24,3.4,2.79,-       
1.3,0.4,1.25,3.4,2.78,-       
1.35,0.4,1.44,3.4,2.75,gaze fixated: p_4_3
1.4,0.1,1.81,3.4,2.63,gaze started: p_3_3
1.45,-0.09,1.84,3.4,2.66,gaze started: p_2_2
1.5,-0.11,1.79,3.4,2.65,-       
1.55,-0.02,1.83,3.4,2.69,gaze started: p_3_2
1.6,-0.05,1.84,3.4,2.73,gaze started: p_2_2
1.65,-0.04,1.83,3.4,2.74,-       
1.7,-0.04,1.83,3.4,2.76,-       
1.75,-0.04,1.83,3.4,2.8,-       
1.8,-0.18,1.79,3.4,2.91,-       
1.85,-0.35,1.77,3.4,3.01,gaze started: p_3_2
1.9,-0.47,1.76,3.4,3.05,-       
1.95,-0.47,1.76,3.4,3.05,-       
2.0,-0.4,1.77,3.4,3.1,-       
2.05,-0.4,1.77,3.4,3.1,-       
2.1,-0.73,1.7,3.4,3.2,gaze fixated: p_3_2
2.15,-0.73,1.7,3.4,3.2,gaze fixated: p_3_2
2.2,-0.76,1.66,3.4,3.26,-       
2.25,-0.76,1.66,3.4,3.26,-       
2.3,-0.77,1.66,3.4,3.29,-       
2.35,-0.78,1.65,3.4,3.31,-       
2.4,-0.78,1.65,3.4,3.32,-       
2.45,-0.77,1.65,3.4,3.34,gaze fixated: p_3_1
2.5,-0.15,1.75,3.4,3.19,-       
2.55,-0.1,1.75,3.4,3.01,gaze started: p_3_2
2.6,-0.08,1.76,3.4,2.8,-       
2.65,-0.1,1.76,3.4,2.75,-       
2.7,-0.01,1.79,3.4,2.64,-       
2.75,-0.11,1.78,3.4,2.52,-       
2.8,-0.02,1.76,3.4,2.4,gaze fixated: p_3_2
2.85,-0.03,1.76,3.4,2.36,-       
2.9,-0.04,1.77,3.4,2.32,-       
2.95,-0.04,1.77,3.4,2.29,-       
3.0,-0.03,1.78,3.4,2.27,-       
3.05,-0.28,1.84,3.4,2.22,-       
3.1,-0.12,1.79,3.4,2.21,gaze started: p_2_2
3.15,-0.17,1.81,3.46,2.23,gaze started: p_3_2
3.2,-0.17,1.82,3.46,2.23,-       
3.25,-0.16,1.81,3.4,2.23,-       
3.3,-0.16,1.81,3.4,2.24,gaze started: p_2_2
3.35,-0.16,1.81,3.46,2.25,-       
3.4,-0.16,1.81,3.46,2.25,-       
3.45,0.05,1.81,3.4,2.25,-       
3.5,0.01,1.82,3.4,2.27,gaze started: p_2_2
3.55,-0.0,1.83,3.4,2.27,-       
3.6,0.02,1.82,3.4,2.3,-       
3.65,0.02,1.82,3.4,2.33,-       
3.7,0.01,1.83,3.4,2.34,-       
3.75,0.01,1.83,3.4,2.35,gaze fixated: p_2_2
3.8,0.01,1.83,3.4,2.35,gaze fixated: p_2_2
3.85,0.02,1.83,3.4,2.36,-       
3.9,0.01,1.82,3.4,2.39,-       
3.95,0.01,1.83,3.4,2.42,-       
4.0,0.01,1.83,3.4,2.42,-       
4.05,0.02,1.83,3.4,2.45,-       
4.1,0.02,1.82,3.4,2.47,-       
4.15,0.02,1.82,3.4,2.52,-       
4.2,0.02,1.82,3.4,2.54,-       
4.25,0.02,1.82,3.4,2.56,-       
4.3,0.02,1.82,3.4,2.57,-       
4.35,0.01,1.82,3.4,2.57,-       
4.4,0.01,1.82,3.4,2.56,-       
4.45,0.02,1.82,3.4,2.55,-       
4.5,0.02,1.82,3.4,2.58,-       
4.55,0.01,1.82,3.4,2.59,-       
4.6,0.02,1.81,3.4,2.61,-       
4.65,0.02,1.82,3.4,2.63,-       
4.7,0.02,1.82,3.4,2.63,-       
4.75,0.02,1.81,3.4,2.65,-       
4.8,0.02,1.81,3.46,2.65,-       
4.85,0.01,1.81,3.46,2.63,gaze ended: p_2_2
4.9,0.19,1.82,3.4,2.7,-       
4.95,0.05,1.82,3.4,2.69,gaze started: p_2_3
5.0,0.12,1.82,3.4,2.69,gaze started: p_2_2
5.05,0.12,1.82,3.4,2.68,-       
5.1,0.12,1.81,3.4,2.68,-       
5.15,0.12,1.81,3.4,2.67,-       
5.2,0.12,1.81,3.4,2.67,-       
5.25,0.12,1.82,3.4,2.67,-       
5.3,0.12,1.82,3.4,2.66,gaze fixated: p_2_2
5.35,0.12,1.82,3.4,2.65,-       
5.4,0.12,1.82,3.4,2.64,-       
5.45,0.12,1.82,3.4,2.61,-       
5.5,0.12,1.82,3.4,2.58,-       
5.55,-0.04,1.82,3.4,2.41,-       
5.6,-0.18,1.79,3.4,2.36,-       
5.65,-0.25,1.78,3.4,2.35,gaze started: p_3_2
5.7,-0.25,1.78,3.4,2.34,-       
5.75,-0.25,1.78,3.4,2.38,-       
5.8,-0.25,1.78,3.4,2.28,-       
5.85,-0.21,1.77,3.4,2.28,-       
5.9,0.19,1.69,3.4,2.33,gaze fixated: p_3_2
5.95,0.1,1.73,3.4,2.29,gaze started: p_3_3
6.0,0.15,1.71,3.4,2.28,gaze started: p_3_2
6.05,0.12,1.73,3.4,2.27,gaze started: p_3_3
6.1,0.06,1.73,3.4,2.3,gaze started: p_3_2
6.15,0.13,1.72,3.4,2.29,-       
6.2,0.22,1.71,3.4,2.29,-       
6.25,0.15,1.72,3.4,2.28,gaze started: p_3_3
6.3,0.14,1.71,3.46,2.29,-       
6.35,0.16,1.69,3.4,2.28,-       
6.4,0.12,1.7,3.4,2.28,gaze started: p_3_3
6.45,0.15,1.7,3.4,2.28,gaze started: p_3_2
6.5,0.11,1.71,3.4,2.27,gaze started: p_3_3
6.55,0.11,1.71,3.4,2.25,gaze started: p_3_2
6.6,0.11,1.7,3.4,2.23,-       
6.65,0.17,1.74,3.4,2.21,-       
6.7,0.19,1.76,3.4,2.21,gaze started: p_3_3
6.75,0.16,1.77,3.4,2.21,-       
6.8,0.17,1.76,3.4,2.21,-       
6.85,0.2,1.76,3.4,2.21,-       
6.9,0.16,1.76,3.4,2.23,-       
6.95,0.15,1.77,3.4,2.24,gaze fixated: p_3_3
7.0,0.15,1.77,3.4,2.24,-       
7.05,0.14,1.78,3.46,2.26,-       
7.1,0.14,1.78,3.4,2.28,gaze ended: p_3_3
7.15,0.15,1.78,3.4,2.29,gaze started: p_3_3
7.2,0.15,1.77,3.4,2.28,-       
7.25,0.15,1.78,3.4,2.28,-       
7.3,0.15,1.78,3.4,2.3,-       
7.35,0.15,1.78,3.4,2.31,-       
7.4,0.15,1.78,3.4,2.31,-       
7.45,0.14,1.78,3.4,2.31,gaze fixated: p_3_3
7.5,0.15,1.78,3.4,2.32,-       
7.55,0.16,1.78,3.4,2.34,-       
7.6,0.15,1.78,3.4,2.34,-       
7.65,0.15,1.78,3.4,2.37,-       
7.7,0.15,1.78,3.4,2.37,-       
7.75,0.15,1.78,3.4,2.37,-       
7.8,0.16,1.77,3.4,2.37,-       
7.85,0.14,1.77,3.4,2.37,-       
7.9,0.15,1.78,3.4,2.39,-       
7.95,0.16,1.78,3.4,2.39,-       
8.0,0.15,1.77,3.4,2.39,-       
8.05,0.15,1.77,3.4,2.41,-       
8.1,0.14,1.77,3.4,2.42,-       
8.15,0.15,1.77,3.4,2.45,-       
8.2,0.15,1.77,3.4,2.44,-       
8.25,0.15,1.78,3.4,2.44,-       
8.3,0.15,1.77,3.4,2.46,-       
8.35,0.15,1.77,3.4,2.46,-       
8.4,0.15,1.77,3.4,2.47,gaze ended: p_3_3
8.45,0.15,1.77,3.4,2.47,gaze ended: p_3_3
8.5,0.06,1.85,3.4,2.45,gaze started: p_2_3
8.55,0.06,1.85,3.4,2.45,gaze started: p_2_3
8.6,0.16,1.87,3.4,2.41,gaze started: p_2_3
8.65,0.16,1.87,3.4,2.41,gaze started: p_2_3
8.7,0.23,1.87,3.4,2.32,-       
