time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.02,1.44,3.4,2.27,-       
0.05,0.39,1.43,3.4,2.27,-       
0.1,0.36,1.43,3.4,2.29,gaze started: p_3_3
0.15,0.32,1.44,3.4,2.29,-       
0.2,0.33,1.44,3.4,2.29,-       
0.25,0.33,1.45,3.4,2.29,-       
0.3,0.33,1.46,3.4,2.31,-       
0.35,0.41,1.44,3.4,2.31,-       
0.4,0.41,1.43,3.4,2.3,gaze fixated: p_3_3
0.45,0.19,1.16,3.4,2.3,-       
0.5,0.16,1.11,3.4,2.3,gaze started: p_4_3
0.55,0.14,1.1,3.46,2.32,-       
0.6,0.14,1.1,3.46,2.32,-       
0.65,0.13,1.1,3.4,2.33,-       
0.7,0.15,1.31,3.4,2.35,gaze started: p_4_2
0.75,0.15,1.31,3.4,2.35,gaze started: p_4_2
0.8,0.15,1.31,3.4,2.35,gaze started: p_4_2
0.85,0.15,1.31,3.4,2.35,gaze started: p_4_2
0.9,0.15,1.31,3.4,2.35,gaze started: p_4_2
0.95,0.15,1.31,3.4,2.35,gaze started: p_4_2
1.0,0.15,1.31,3.4,2.35,gaze started: p_4_2
1.05,0.15,1.31,3.4,2.35,gaze started: p_4_2
1.1,0.15,1.31,3.4,2.35,gaze started: p_4_2
1.15,0.15,1.31,3.4,2.35,gaze started: p_4_2
1.2,0.16,1.95,3.4,2.41,gaze started: p_4_3
1.25,0.15,1.95,3.4,2.41,gaze started: p_2_3
1.3,0.15,1.96,3.4,2.39,-       
1.35,0.14,1.96,3.4,2.39,-       
1.4,0.15,1.96,3.4,2.41,-       
1.45,0.14,1.97,3.46,2.43,-       
1.5,0.15,1.96,3.4,2.43,-       
1.55,0.16,1.95,3.4,2.45,gaze started: p_2_3
1.6,0.16,1.95,3.4,2.45,gaze started: p_2_3
1.65,0.15,1.96,3.4,2.48,-       
1.7,0.15,1.96,3.4,2.48,-       
1.75,0.15,1.96,3.4,2.56,-       
1.8,0.15,1.96,3.4,2.56,-       
1.85,0.2,1.9,3.4,2.68,gaze fixated: p_2_3
1.9,0.77,0.83,-0.51,,-       
1.95,0.77,0.83,-0.51,,-       
2.0,0.77,0.83,-0.51,,-       
2.05,0.77,0.82,-0.51,,-       
2.1,0.78,0.82,-0.5,,-       
2.15,0.19,1.5,3.4,3.05,-       
2.2,0.23,1.52,3.4,2.97,gaze started: p_3_3
2.25,0.4,1.53,3.4,3.09,-       
2.3,0.22,1.53,3.4,3.12,-       
2.35,0.24,1.52,3.4,3.14,-       
2.4,0.11,1.59,3.4,3.06,-       
2.45,-0.03,1.61,3.4,3.16,-       
2.5,0.02,1.64,3.4,3.19,-       
2.55,0.01,1.62,3.4,3.15,-       
2.6,0.01,1.62,3.4,3.15,-       
2.65,0.29,1.66,3.4,2.94,-       
2.7,0.52,1.66,3.4,2.76,gaze started: p_3_3
2.75,0.54,1.67,3.4,2.68,-       
2.8,0.55,1.67,3.4,2.59,-       
2.85,0.56,1.67,3.4,2.51,-       
2.9,0.57,1.67,3.4,2.44,-       
2.95,0.39,1.68,3.4,2.29,gaze fixated: p_3_3
3.0,0.16,1.72,3.4,2.23,-       
3.05,0.1,1.72,3.4,2.24,-       
3.1,0.08,1.72,3.4,2.26,gaze started: p_3_2
3.15,0.07,1.7,3.4,2.22,-       
3.2,0.07,1.71,3.4,2.23,-       
3.25,0.07,1.7,3.4,2.24,-       
3.3,0.08,1.69,3.4,2.24,-       
3.35,0.07,1.7,3.4,2.26,gaze fixated: p_3_2
3.4,0.06,1.7,3.4,2.26,-       
3.45,0.35,2.0,3.4,2.28,-       
3.5,0.33,2.05,3.4,2.29,gaze started: p_2_3
3.55,0.3,2.04,3.4,2.33,-       
3.6,0.3,2.04,3.4,2.33,-       
3.65,0.29,2.04,3.4,2.33,-       
3.7,0.29,2.04,3.4,2.35,-       
3.75,0.29,2.04,3.4,2.39,-       
3.8,0.29,2.03,3.4,2.41,gaze fixated: p_2_3
3.85,0.29,2.03,3.4,2.47,-       
3.9,0.3,2.03,3.4,2.48,-       
3.95,0.29,2.03,3.4,2.53,-       
4.0,0.32,2.04,3.4,2.53,-       
4.05,0.28,2.05,3.4,2.56,-       
4.1,0.18,1.99,3.4,2.83,-       
4.15,0.75,0.82,-0.5,,-       
4.2,0.75,0.82,-0.5,,gaze ended: p_2_3
4.25,0.75,0.82,-0.5,,-       
4.3,0.75,0.82,-0.5,,-       
4.35,0.74,0.82,-0.5,,-       
4.4,0.74,0.82,-0.5,,-       
4.45,0.14,1.5,3.46,2.57,-       
4.5,0.08,1.5,3.4,2.61,-       
4.55,0.21,1.51,3.4,2.64,gaze started: p_3_2
4.6,0.06,1.49,3.4,2.7,gaze started: p_3_3
4.65,0.18,1.68,3.4,2.68,gaze started: p_3_2
4.7,0.28,1.69,3.4,2.64,gaze started: p_3_3
4.75,0.27,1.67,3.4,2.57,-       
4.8,0.25,1.67,3.4,2.55,-       
4.85,0.24,1.67,3.4,2.52,-       
4.9,0.29,1.65,3.4,2.48,-       
4.95,0.26,1.68,3.4,2.53,gaze fixated: p_3_3
5.0,0.69,0.83,-0.51,,-       
5.05,0.69,0.83,-0.51,,gaze ended: p_3_3
5.1,0.69,0.82,-0.5,,-       
5.15,0.7,0.82,-0.5,,-       
5.2,0.7,0.82,-0.5,,-       
5.25,0.71,0.82,-0.5,,-       
5.3,0.72,0.81,-0.5,,-       
5.35,0.08,1.83,3.4,2.65,-       
5.4,0.01,1.84,3.4,2.77,gaze started: p_2_2
5.45,0.13,1.9,3.46,2.83,-       
5.5,0.12,1.89,3.4,2.81,-       
5.55,0.11,1.87,3.4,2.88,gaze started: p_2_2
5.6,0.07,1.86,3.4,2.87,-       
5.65,0.02,1.82,3.4,2.85,-       
5.7,0.08,1.84,3.4,2.78,-       
5.75,0.08,1.83,3.4,2.74,-       
5.8,0.08,1.82,3.4,2.71,gaze fixated: p_2_2
5.85,0.1,1.84,3.4,2.65,-       
5.9,0.08,1.83,3.4,2.62,-       
5.95,0.07,1.83,3.4,2.58,-       
6.0,0.08,1.85,3.4,2.55,-       
6.05,0.09,1.86,3.4,2.54,-       
6.1,0.1,1.86,3.4,2.53,-       
6.15,0.09,1.86,3.4,2.52,-       
6.2,0.1,1.86,3.4,2.52,-       
6.25,0.08,1.81,3.4,2.51,-       
6.3,0.09,1.8,3.46,2.52,-       
