time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.3,2.38,3.4,3.05,-       
0.05,-0.35,2.35,3.4,3.03,gaze started: p_1_2
0.1,-0.41,2.3,3.4,3.01,-       
0.15,-0.39,2.3,3.4,3.0,-       
0.2,-0.34,2.31,3.4,2.98,-       
0.25,-0.32,2.33,3.4,2.97,-       
0.3,-0.34,2.29,3.4,3.0,-       
0.35,0.66,0.68,-0.24,,gaze fixated: p_1_2
0.4,0.66,0.68,-0.24,,gaze fixated: p_1_2
0.45,0.66,0.68,-0.24,,gaze ended: p_1_2
0.5,0.66,0.67,-0.24,,-       
0.55,0.66,0.67,-0.24,,-       
0.6,0.66,0.67,-0.24,,-       
0.65,0.66,0.67,-0.24,,-       
0.7,0.66,0.67,-0.24,,-       
0.75,0.66,0.67,-0.24,,-       
0.8,0.66,0.67,-0.24,,-       
0.85,0.66,0.67,-0.24,,-       
0.9,0.66,0.67,-0.24,,-       
0.95,0.66,0.67,-0.24,,-       
1.0,-0.38,2.28,3.46,3.38,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_progressive_30s_50wd.mp4
1.05,-0.36,2.29,3.46,3.32,-       
1.1,-0.35,2.29,3.46,3.34,-       
1.15,-0.34,2.29,3.46,3.35,-       
1.2,-0.32,2.28,3.4,3.38,-       
1.25,-0.34,2.29,3.46,3.4,gaze started: p_1_2
1.3,-0.29,2.34,3.4,3.41,-       
1.35,-0.3,2.35,3.4,3.42,gaze started: p_1_2
1.4,-0.46,2.25,3.4,3.6,-       
1.45,0.66,0.67,-0.24,,gaze started: p_2_2
1.5,0.66,0.67,-0.24,,gaze started: p_2_2
1.55,0.66,0.67,-0.24,,-       
1.6,0.66,0.67,-0.24,,-       
1.65,0.66,0.67,-0.24,,-       
1.7,0.66,0.67,-0.24,,-       
1.75,0.66,0.67,-0.24,,-       
1.8,0.66,0.67,-0.24,,-       
1.85,0.36,1.85,3.4,3.58,-       
1.9,0.26,1.88,3.4,3.6,gaze started: p_2_3
1.95,0.28,1.89,3.4,3.58,-       
2.0,0.28,1.89,3.4,3.58,-       
2.05,0.66,0.67,-0.24,,gaze started: p_3_3
2.1,0.66,0.67,-0.24,,gaze started: p_3_3
2.15,0.66,0.67,-0.24,,-       
2.2,0.66,0.67,-0.24,,-       
2.25,0.66,0.67,-0.24,,-       
2.3,0.66,0.67,-0.24,,-       
2.35,0.66,0.67,-0.24,,-       
2.4,-0.7,0.66,3.57,3.39,-       
2.45,-0.84,0.68,3.57,3.31,-       
2.5,0.66,0.67,-0.24,,-       
2.55,0.66,0.67,-0.24,,-       
2.6,0.66,0.67,-0.24,,-       
2.65,0.66,0.67,-0.24,,-       
2.7,0.66,0.67,-0.24,,-       
2.75,0.31,1.14,3.4,2.18,-       
2.8,0.6,1.55,3.4,2.98,gaze started: p_4_3
2.85,0.58,1.6,3.4,2.94,gaze started: p_3_3
2.9,0.58,1.59,3.4,2.87,-       
2.95,0.62,1.53,3.4,2.85,-       
3.0,0.62,1.53,3.4,2.85,-       
3.05,0.61,1.54,3.4,2.81,-       
3.1,0.6,1.55,3.4,2.78,gaze fixated: p_3_3
3.15,0.59,1.56,3.4,2.74,-       
3.2,0.59,1.56,3.4,2.74,-       
3.25,0.6,1.57,3.4,2.73,-       
3.3,0.31,1.64,3.4,2.63,-       
3.35,0.27,1.66,3.4,2.55,-       
3.4,0.27,1.66,3.4,2.55,-       
3.45,0.19,1.7,3.4,2.51,-       
3.5,0.19,1.7,3.4,2.51,-       
3.55,0.16,1.71,3.4,2.51,-       
3.6,0.15,1.71,3.4,2.5,-       
