time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.08,1.78,3.4,3.58,-       
0.05,0.08,1.78,3.4,3.58,-       
0.1,0.08,1.79,3.4,3.58,-       
0.15,0.07,1.81,3.46,3.6,-       
0.2,0.07,1.82,3.46,3.63,gaze ended: p_3_2
0.25,-0.02,1.87,3.4,3.65,-       
0.3,-0.02,1.87,3.4,3.65,-       
0.35,-0.02,1.87,3.4,3.65,-       
0.4,-0.02,1.87,3.4,3.65,-       
0.45,-0.02,1.87,3.4,3.65,-       
0.5,-0.02,1.87,3.4,3.65,-       
0.55,-0.02,1.87,3.4,3.65,-       
0.6,-0.02,1.87,3.4,3.65,-       
0.65,-0.02,1.87,3.4,3.65,-       
0.7,-0.02,1.87,3.4,3.65,-       
0.75,-0.02,1.87,3.4,3.65,-       
0.8,0.69,0.61,-0.22,,gaze started: p_2_2
0.85,0.69,0.61,-0.22,,gaze started: p_2_2
0.9,0.69,0.61,-0.22,,gaze started: p_2_2
0.95,0.68,0.61,-0.22,,-       
1.0,0.69,0.61,-0.22,,-       
1.05,0.68,0.61,-0.22,,-       
1.1,0.68,0.61,-0.22,,-       
1.15,-0.47,1.82,3.4,3.66,-       
1.2,-0.47,1.77,3.4,3.65,gaze started: p_2_2
1.25,-0.49,1.78,3.4,3.68,gaze started: p_3_2
1.3,-0.11,1.82,3.4,3.68,-       
1.35,-0.0,1.84,3.4,3.73,gaze started: p_2_2
1.4,-0.01,1.84,3.4,3.72,-       
1.45,-0.01,1.83,3.4,3.7,-       
1.5,-0.0,1.82,3.4,3.69,-       
1.55,0.1,1.86,3.4,3.67,-       
1.6,0.32,1.78,3.4,3.73,gaze fixated: p_2_2
1.65,0.27,1.86,3.4,3.7,gaze started: p_3_3
1.7,0.22,1.91,3.4,3.71,gaze started: p_2_3
1.75,0.23,1.88,3.4,3.71,-       
1.8,0.24,1.87,3.4,3.71,-       
1.85,0.24,1.87,3.4,3.74,-       
1.9,0.23,1.87,3.4,3.73,-       
1.95,0.24,1.85,3.4,3.74,gaze fixated: p_2_3
2.0,0.23,1.86,3.4,3.76,-       
2.05,0.3,1.82,3.4,3.8,-       
2.1,0.68,0.61,-0.22,,-       
2.15,0.68,0.61,-0.22,,gaze ended: p_2_3
2.2,0.68,0.61,-0.22,,-       
2.25,0.68,0.61,-0.22,,-       
2.3,0.68,0.61,-0.22,,-       
2.35,0.68,0.61,-0.22,,-       
2.4,0.68,0.61,-0.22,,-       
2.45,0.32,1.6,3.4,2.73,-       
2.5,0.32,1.6,3.4,2.73,-       
2.55,0.32,1.62,3.4,2.62,gaze started: p_3_3
2.6,0.25,1.68,3.4,2.58,-       
2.65,0.22,1.69,3.4,2.57,-       
2.7,0.29,1.65,3.4,2.56,-       
2.75,0.3,1.65,3.4,2.54,-       
2.8,0.3,1.65,3.4,2.51,gaze fixated: p_3_3
