time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.61,0.74,-0.29,,-       
0.05,0.61,0.74,-0.29,,-       
0.1,0.61,1.53,3.4,2.56,-       
0.15,0.68,1.48,3.4,2.64,gaze started: p_3_3
0.2,0.25,0.59,3.57,2.59,-       
0.25,0.23,0.6,3.57,2.74,-       
0.3,0.16,0.53,3.27,2.5,-       
0.35,0.2,0.53,3.57,2.43,-       
0.4,0.22,0.53,3.51,2.43,-       
0.45,0.19,0.53,3.36,2.5,-       
0.5,0.21,0.53,3.37,2.46,-       
0.55,0.23,0.53,3.37,2.45,-       
0.6,0.19,0.53,3.14,2.4,-       
0.65,0.31,0.53,3.25,2.59,-       
0.7,0.67,0.55,3.57,2.71,-       
0.75,0.67,0.55,3.57,2.71,-       
0.8,0.67,0.55,3.57,2.71,-       
0.85,0.67,0.55,3.57,2.71,-       
0.9,0.67,0.55,3.57,2.71,-       
0.95,0.67,0.55,3.57,2.71,-       
1.0,0.67,0.55,3.57,2.71,-       
1.05,0.67,0.55,3.57,2.71,-       
1.1,0.67,0.55,3.57,2.71,-       
1.15,0.67,0.55,3.57,2.71,-       
1.2,0.67,0.55,3.57,2.71,-       
1.25,0.12,1.86,3.4,2.65,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_fitness_30s_50nd.mp4
1.3,0.21,1.91,3.4,2.67,gaze started: p_2_2
1.35,0.15,1.94,3.4,2.67,gaze started: p_2_3
1.4,0.18,1.94,3.4,2.68,-       
1.45,0.19,1.94,3.4,2.73,-       
1.5,0.09,1.97,3.4,2.73,-       
1.55,0.14,1.93,3.46,2.73,gaze started: p_2_2
1.6,0.2,1.9,3.4,2.71,-       
1.65,0.6,2.12,3.4,2.73,gaze started: p_2_3
1.7,0.57,2.17,3.4,2.75,-       
1.75,0.56,2.15,3.4,2.75,-       
1.8,0.66,2.1,3.4,2.78,-       
1.85,1.02,2.33,3.4,2.88,-       
1.9,1.54,2.67,3.4,3.05,gaze started: p_1_4
1.95,1.49,2.65,3.4,2.97,-       
2.0,1.51,2.63,3.4,3.03,-       
2.05,1.5,2.63,3.4,3.04,-       
2.1,1.5,2.63,3.4,3.06,-       
2.15,1.51,2.64,3.4,3.08,gaze fixated: p_1_4
2.2,1.49,2.72,3.4,3.29,-       
2.25,0.61,0.74,-0.29,,-       
2.3,0.61,0.74,-0.29,,gaze ended: p_1_4
2.35,0.61,0.74,-0.29,,-       
2.4,0.61,0.74,-0.29,,-       
2.45,0.61,0.74,-0.29,,-       
2.5,0.08,1.78,3.4,3.1,-       
2.55,0.11,1.76,3.4,3.16,gaze started: p_3_2
2.6,0.03,1.79,3.4,3.15,-       
