time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.51,1.65,3.4,3.57,-       
0.05,0.51,1.65,3.4,3.57,-       
0.1,0.35,1.68,3.4,3.45,gaze fixated: p_3_3
0.15,0.36,1.68,3.4,3.44,-       
0.2,0.35,1.67,3.4,3.41,-       
0.25,0.35,1.68,3.4,3.4,-       
0.3,0.19,1.64,3.4,3.39,-       
0.35,-0.07,1.51,3.4,3.36,-       
0.4,-0.1,1.49,3.4,3.36,gaze started: p_3_2
0.45,-0.1,1.49,3.4,3.37,-       
0.5,-0.1,1.49,3.4,3.4,-       
0.55,-0.1,1.48,3.4,3.45,-       
0.6,-0.1,1.48,3.4,3.45,-       
0.65,-0.1,1.48,3.4,3.45,-       
0.7,-0.1,1.48,3.4,3.45,-       
0.75,-0.1,1.48,3.4,3.45,-       
0.8,-0.1,1.48,3.4,3.45,-       
0.85,-0.1,1.48,3.4,3.45,-       
0.9,-0.1,1.48,3.4,3.45,-       
0.95,-0.1,1.48,3.4,3.45,-       
1.0,-0.1,1.48,3.4,3.45,-       
1.05,-0.1,1.48,3.4,3.45,-       
1.1,-0.94,1.61,3.4,3.46,gaze fixated: p_3_2
1.15,-0.96,1.59,3.4,3.46,gaze started: p_3_1
1.2,-0.96,1.6,3.4,3.47,-       
1.25,-0.85,1.59,3.4,3.55,-       
1.3,-0.15,1.55,3.4,3.58,-       
1.35,-0.16,1.57,3.4,3.62,gaze started: p_3_2
1.4,-0.14,1.57,3.4,3.64,-       
1.45,0.37,1.42,3.4,3.62,-       
1.5,1.06,1.51,3.4,3.89,gaze started: p_3_3
1.55,0.52,0.83,-0.37,,gaze started: p_3_4
1.6,0.52,0.83,-0.37,,-       
1.65,0.52,0.83,-0.37,,-       
1.7,0.52,0.83,-0.37,,-       
1.75,0.52,0.83,-0.37,,-       
1.8,1.38,1.36,3.4,4.04,-       
1.85,1.37,1.32,3.4,4.05,gaze started: p_3_4
1.9,0.35,0.57,3.57,4.06,gaze started: p_4_4
1.95,0.19,0.53,3.19,4.04,-       
2.0,0.19,0.53,3.1,4.02,-       
2.05,0.17,0.53,3.07,4.04,-       
2.1,0.17,0.53,2.95,4.08,-       
2.15,0.17,0.53,2.93,4.11,-       
2.2,0.14,0.53,2.94,4.14,-       
2.25,-0.27,0.53,3.33,4.22,-       
2.3,-0.29,0.53,3.3,4.19,-       
2.35,-0.29,0.53,3.29,4.18,-       
2.4,-0.3,0.53,3.32,4.18,-       
2.45,-0.32,0.53,3.45,4.17,-       
2.5,0.53,1.2,3.4,4.14,-       
2.55,0.53,1.22,3.4,4.05,gaze started: p_4_3
2.6,0.5,1.23,3.4,3.81,-       
2.65,0.5,1.25,3.4,3.7,-       
2.7,0.51,1.26,3.4,3.53,-       
2.75,0.5,1.26,3.4,3.41,-       
2.8,0.5,1.26,3.4,3.25,-       
