time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.21,1.09,3.4,3.79,-       
0.05,-0.21,1.09,3.4,3.79,-       
0.1,-0.22,1.09,3.4,3.75,-       
0.15,-0.21,1.08,3.4,3.71,-       
0.2,-0.21,1.08,3.4,3.71,-       
0.25,-0.21,1.08,3.4,3.71,-       
0.3,-0.21,1.08,3.4,3.71,-       
0.35,-0.21,1.08,3.4,3.71,-       
0.4,-0.21,1.08,3.4,3.71,-       
0.45,-0.21,1.08,3.4,3.71,-       
0.5,-0.21,1.08,3.4,3.71,-       
0.55,-0.21,1.08,3.4,3.71,-       
0.6,-0.21,1.08,3.4,3.71,-       
0.65,-0.21,1.08,3.4,3.71,-       
0.7,-0.66,0.43,2.94,3.84,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alzheimers_30s_50wd.mp4
0.75,-0.66,0.43,2.94,3.84,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alzheimers_30s_50wd.mp4
0.8,-0.66,0.43,2.94,3.84,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alzheimers_30s_50wd.mp4
0.85,-0.66,0.43,2.94,3.84,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alzheimers_30s_50wd.mp4
0.9,-1.04,0.46,1.28,3.91,-       
0.95,-1.02,0.46,1.2,3.98,-       
1.0,-1.04,0.46,1.32,4.0,-       
1.05,-1.02,0.46,1.37,4.01,-       
1.1,-1.06,0.46,1.45,4.09,-       
1.15,-1.03,0.46,1.44,4.16,-       
1.2,-1.01,0.46,1.46,4.18,-       
1.25,-0.6,0.15,2.94,4.21,-       
1.3,0.18,0.37,2.94,4.39,-       
1.35,0.49,0.25,2.94,4.37,-       
1.4,0.53,0.22,2.94,4.34,-       
1.45,0.41,0.27,2.94,4.29,-       
1.5,0.51,0.24,2.94,4.36,-       
1.55,0.27,0.29,2.94,4.35,-       
1.6,1.5,0.55,2.99,4.52,-       
