time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.05,1.05,3.4,3.01,-       
0.05,-0.05,1.04,3.4,3.0,-       
0.1,-0.04,1.03,3.4,3.0,-       
0.15,-0.02,1.02,3.4,2.98,-       
0.2,-0.04,1.04,3.4,2.96,gaze fixated: p_4_2
0.25,-0.08,1.03,3.4,2.99,-       
0.3,0.06,1.2,3.4,2.69,-       
0.35,0.53,0.79,-0.33,,-       
0.4,0.53,0.79,-0.33,,gaze ended: p_4_2
0.45,0.53,0.79,-0.33,,-       
0.5,0.53,0.79,-0.33,,-       
0.55,0.53,0.79,-0.33,,-       
0.6,0.26,1.63,3.4,3.13,-       
0.65,0.26,1.63,3.4,3.13,-       
0.7,0.26,1.63,3.4,3.13,-       
0.75,0.26,1.63,3.4,3.13,-       
0.8,0.26,1.63,3.4,3.13,-       
0.85,0.26,1.63,3.4,3.13,-       
0.9,0.26,1.63,3.4,3.13,-       
0.95,0.26,1.63,3.4,3.13,-       
1.0,0.26,1.63,3.4,3.13,-       
1.05,0.26,1.63,3.4,3.13,-       
1.1,0.43,0.89,3.4,2.94,gaze started: p_3_3
1.15,0.41,0.9,3.4,2.94,gaze started: p_4_3
1.2,0.41,0.83,3.57,2.98,-       
1.25,0.41,0.86,3.46,3.02,-       
1.3,0.42,0.84,3.57,3.02,-       
1.35,0.43,0.83,3.57,3.03,-       
1.4,0.27,1.26,3.4,2.98,-       
1.45,0.21,1.47,3.4,2.97,gaze started: p_4_3
1.5,0.24,1.44,3.4,2.94,gaze started: p_3_3
1.55,0.23,1.44,3.4,2.99,-       
1.6,0.22,1.45,3.4,3.02,-       
1.65,0.24,1.42,3.4,3.05,-       
1.7,0.2,1.46,3.4,3.13,-       
1.75,0.91,1.89,3.4,3.39,gaze fixated: p_3_3
1.8,1.48,2.4,3.4,3.55,gaze started: p_2_3
1.85,1.46,2.38,3.4,3.54,gaze started: p_1_4
1.9,1.47,2.37,3.4,3.57,-       
1.95,1.69,2.82,3.54,3.63,-       
2.0,1.67,2.77,3.46,3.65,-       
2.05,1.72,2.82,3.56,3.69,-       
2.1,1.6,2.7,3.4,3.76,-       
2.15,0.53,0.79,-0.33,,gaze started: p_1_4
2.2,0.53,0.79,-0.33,,-       
2.25,0.53,0.79,-0.33,,-       
2.3,0.53,0.79,-0.33,,-       
2.35,0.53,0.79,-0.33,,-       
2.4,0.53,0.79,-0.33,,-       
2.45,0.2,1.36,3.4,3.8,-       
2.5,0.2,1.37,3.4,3.82,gaze started: p_3_3
2.55,0.18,1.37,3.4,3.79,-       
2.6,0.59,1.55,3.4,3.52,-       
2.65,0.6,1.55,3.4,3.33,-       
2.7,0.6,1.54,3.4,3.15,-       
2.75,0.6,1.51,3.4,3.01,-       
2.8,0.6,1.51,3.4,2.96,gaze fixated: p_3_3
2.85,0.61,1.52,3.4,2.88,-       
2.9,0.25,1.59,3.4,2.75,-       
2.95,0.09,1.65,3.4,2.75,-       
3.0,0.1,1.66,3.4,2.74,gaze started: p_3_2
3.05,0.1,1.65,3.4,2.74,-       
3.1,0.11,1.66,3.4,2.73,-       
3.15,0.1,1.66,3.4,2.72,-       
3.2,0.22,1.73,3.4,2.71,-       
3.25,0.27,1.79,3.4,2.75,gaze started: p_3_3
3.3,0.26,1.78,3.4,2.74,-       
3.35,0.26,1.78,3.4,2.74,-       
3.4,0.26,1.78,3.4,2.73,-       
3.45,0.26,1.77,3.4,2.73,-       
3.5,0.27,1.76,3.4,2.7,-       
3.55,0.53,0.79,-0.33,,gaze ended: p_3_3
3.6,0.53,0.79,-0.33,,-       
3.65,0.53,0.79,-0.33,,-       
3.7,0.28,1.63,3.4,3.07,-       
3.75,0.25,1.49,3.4,3.03,gaze started: p_3_3
3.8,0.23,1.57,3.4,3.05,-       
3.85,0.26,1.56,3.4,3.14,-       
3.9,0.16,1.67,3.4,3.25,-       
3.95,0.13,1.98,3.4,3.18,-       
4.0,0.13,2.0,3.46,3.17,gaze started: p_2_2
4.05,0.13,1.99,3.4,3.14,-       
4.1,0.12,1.99,3.4,3.11,gaze started: p_2_2
4.15,0.13,1.97,3.4,3.06,-       
4.2,0.13,1.98,3.4,3.04,-       
4.25,0.14,1.98,3.4,3.02,-       
4.3,0.14,2.01,3.46,3.14,gaze started: p_2_3
4.35,0.53,0.79,-0.33,,-       
4.4,0.53,0.79,-0.33,,-       
4.45,0.53,0.79,-0.33,,-       
4.5,0.53,0.79,-0.33,,-       
4.55,0.53,0.79,-0.33,,-       
4.6,0.53,0.79,-0.33,,-       
4.65,0.53,0.79,-0.33,,-       
4.7,0.53,0.79,-0.33,,-       
4.75,0.53,0.79,-0.33,,-       
4.8,0.53,0.79,-0.33,,-       
4.85,0.53,0.79,-0.33,,-       
4.9,0.53,0.79,-0.33,,-       
4.95,0.53,0.79,-0.33,,-       
5.0,0.53,0.79,-0.33,,-       
5.05,0.53,0.79,-0.33,,-       
5.1,0.53,0.79,-0.33,,-       
5.15,0.53,0.79,-0.33,,-       
5.2,0.53,0.79,-0.33,,-       
5.25,0.53,0.79,-0.33,,-       
5.3,0.53,0.79,-0.33,,-       
5.35,0.53,0.79,-0.33,,-       
5.4,0.53,0.79,-0.33,,-       
5.45,0.53,0.79,-0.33,,-       
5.5,0.18,1.14,3.4,3.52,-       
5.55,0.31,1.03,3.4,3.24,gaze started: p_4_3
5.6,0.27,1.03,3.4,3.19,-       
5.65,0.28,0.92,3.4,3.02,-       
5.7,0.28,0.99,3.4,2.99,-       
5.75,0.3,0.99,3.4,2.9,-       
5.8,0.31,1.02,3.4,2.87,gaze fixated: p_4_3
5.85,0.29,1.02,3.4,2.82,-       
5.9,0.29,1.02,3.4,2.82,-       
5.95,0.32,1.02,3.4,2.74,-       
6.0,0.32,0.99,3.4,2.71,-       
6.05,0.32,0.99,3.4,2.71,-       
6.1,-0.23,0.38,2.94,2.69,-       
6.15,-0.35,0.36,2.94,2.71,gaze ended: p_4_3
6.2,-0.33,0.34,2.94,2.64,-       
6.25,-0.34,0.53,2.93,2.78,-       
6.3,0.53,0.79,-0.33,,-       
6.35,0.53,0.79,-0.33,,-       
6.4,0.53,0.79,-0.33,,-       
6.45,0.53,0.79,-0.33,,-       
6.5,0.53,0.79,-0.33,,-       
6.55,0.29,1.21,3.4,2.87,-       
6.6,0.27,1.22,3.4,2.89,gaze started: p_4_3
6.65,0.28,1.22,3.4,2.87,-       
6.7,0.26,1.18,3.4,2.89,-       
6.75,0.21,1.6,3.4,2.87,-       
6.8,0.23,1.62,3.4,2.86,gaze started: p_3_3
6.85,0.23,1.6,3.4,2.82,-       
6.9,0.24,1.6,3.4,2.77,-       
6.95,0.23,1.61,3.4,2.75,-       
7.0,0.23,1.61,3.4,2.75,-       
7.05,0.24,1.6,3.4,2.73,gaze fixated: p_3_3
7.1,0.26,1.6,3.4,2.73,-       
7.15,0.26,1.6,3.4,2.75,-       
7.2,0.26,1.61,3.4,2.74,-       
7.25,0.23,1.62,3.4,2.76,-       
7.3,0.23,1.61,3.4,2.79,-       
7.35,0.24,1.59,3.4,2.82,-       
7.4,0.26,1.6,3.4,2.85,-       
7.45,0.26,1.59,3.4,2.86,-       
7.5,0.27,1.58,3.4,2.92,-       
7.55,0.27,1.59,3.4,2.92,-       
7.6,0.26,1.58,3.4,2.91,-       
7.65,0.27,1.59,3.4,2.92,-       
7.7,0.26,1.59,3.4,2.92,-       
7.75,0.27,1.58,3.4,2.91,-       
7.8,0.29,1.58,3.4,2.91,-       
7.85,0.27,1.59,3.4,2.88,-       
7.9,0.27,1.58,3.4,2.89,-       
7.95,0.27,1.59,3.4,2.93,-       
8.0,0.22,1.59,3.4,2.99,-       
8.05,0.25,1.58,3.4,3.01,-       
8.1,0.26,1.58,3.4,3.03,-       
8.15,0.26,1.58,3.4,3.03,-       
8.2,0.27,1.58,3.4,3.03,-       
8.25,0.19,1.58,3.4,3.03,-       
8.3,0.19,1.58,3.4,3.03,-       
8.35,0.26,1.57,3.4,3.02,-       
8.4,0.26,1.57,3.4,3.01,-       
8.45,0.26,1.57,3.4,3.01,-       
8.5,0.18,1.58,3.4,3.01,-       
8.55,0.21,1.56,3.4,3.03,-       
8.6,0.26,1.54,3.4,3.05,-       
8.65,0.27,1.53,3.4,2.93,-       
8.7,0.53,0.79,-0.33,,gaze ended: p_3_3
8.75,0.53,0.79,-0.33,,-       
8.8,0.18,1.92,3.4,2.89,-       
8.85,0.16,1.84,3.4,2.75,gaze started: p_2_3
8.9,0.22,1.84,3.4,2.82,-       
8.95,0.18,1.83,3.4,2.78,-       
9.0,0.17,1.83,3.4,2.82,-       
9.05,0.15,1.86,3.4,2.88,-       
9.1,0.22,1.81,3.4,2.88,-       
9.15,0.19,1.83,3.4,2.85,gaze fixated: p_2_3
9.2,0.18,1.83,3.4,2.82,-       
9.25,0.22,1.89,3.4,2.76,-       
9.3,0.23,1.89,3.4,2.76,-       
9.35,0.22,1.9,3.4,2.74,-       
9.4,0.23,1.9,3.4,2.73,-       
9.45,0.23,1.91,3.4,2.76,-       
9.5,0.23,1.9,3.4,2.78,-       
9.55,0.23,1.88,3.4,2.82,-       
9.6,0.23,1.88,3.4,2.82,-       
9.65,0.23,1.88,3.4,2.88,-       
9.7,0.24,1.88,3.4,2.95,-       
9.75,0.24,1.88,3.4,2.95,-       
9.8,0.24,1.86,3.4,3.01,-       
9.85,0.24,1.86,3.4,3.01,-       
9.9,0.23,1.86,3.4,3.03,-       
9.95,0.25,1.86,3.4,3.04,-       
10.0,0.24,1.86,3.4,3.04,-       
10.05,0.24,1.87,3.4,3.06,-       
10.1,0.25,1.87,3.4,3.06,-       
10.15,0.25,1.85,3.4,3.05,-       
10.2,0.25,1.86,3.4,3.07,-       
10.25,0.25,1.86,3.4,3.09,-       
10.3,0.25,1.86,3.4,3.1,-       
10.35,0.25,1.85,3.4,3.1,-       
10.4,0.25,1.85,3.4,3.12,-       
10.45,0.26,1.84,3.4,3.14,-       
10.5,0.24,1.85,3.4,3.15,-       
10.55,0.26,1.85,3.4,3.16,-       
10.6,0.25,1.85,3.4,3.17,-       
10.65,0.53,0.79,-0.33,,-       
10.7,0.53,0.79,-0.33,,gaze ended: p_2_3
10.75,0.53,0.79,-0.33,,-       
10.8,0.53,0.79,-0.33,,-       
10.85,0.72,1.86,3.4,3.33,-       
10.9,0.75,1.94,3.4,3.38,gaze started: p_2_3
10.95,0.75,1.89,3.4,3.44,-       
11.0,0.74,1.9,3.4,3.46,-       
11.05,0.74,1.9,3.4,3.47,-       
11.1,0.72,1.87,3.4,3.45,gaze fixated: p_2_3
11.15,0.46,1.83,3.4,3.39,-       
11.2,0.47,1.83,3.4,3.34,-       
11.25,0.47,1.83,3.4,3.34,-       
11.3,0.47,1.83,3.4,3.33,-       
11.35,-0.82,1.45,3.4,3.44,-       
11.4,-1.1,1.38,3.4,3.45,gaze started: p_3_1
11.45,-1.08,1.38,3.4,3.45,-       
11.5,-1.08,1.37,3.4,3.45,-       
11.55,-0.48,1.18,3.4,3.51,-       
11.6,-0.28,1.09,3.4,3.38,gaze started: p_4_2
11.65,-0.23,1.08,3.4,3.27,-       
11.7,-0.22,1.08,3.4,3.21,-       
11.75,-0.24,1.06,3.4,3.13,-       
11.8,-0.25,1.07,3.4,3.09,-       
11.85,-0.21,1.06,3.4,3.02,gaze fixated: p_4_2
11.9,0.53,0.79,-0.33,,-       
11.95,0.53,0.79,-0.33,,gaze ended: p_4_2
12.0,0.54,0.79,-0.32,,-       
12.05,0.75,0.97,3.4,3.28,-       
12.1,0.73,0.95,3.4,3.27,gaze started: p_4_3
12.15,0.77,0.97,3.4,3.32,-       
12.2,0.74,0.91,3.4,3.35,-       
12.25,0.75,0.91,3.4,3.34,-       
12.3,0.76,0.89,3.4,3.32,-       
12.35,1.51,0.82,3.57,3.18,gaze fixated: p_4_3
12.4,1.39,0.91,3.4,3.26,gaze ended: p_4_3
12.45,1.42,0.92,3.4,3.24,gaze started: p_4_4
12.5,1.41,0.92,3.4,3.25,-       
12.55,1.41,0.9,3.4,3.27,-       
