time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.14,1.01,3.4,3.72,-       
0.05,-0.15,1.01,3.4,3.71,-       
0.1,-0.15,1.01,3.4,3.72,-       
0.15,-0.15,1.02,3.4,3.72,-       
0.2,-0.15,1.02,3.4,3.76,-       
0.25,-0.15,1.02,3.4,3.77,-       
0.3,-0.14,1.02,3.4,3.79,-       
0.35,-0.13,1.01,3.4,3.81,-       
0.4,-0.13,1.02,3.4,3.85,-       
0.45,-0.12,1.01,3.4,3.87,-       
0.5,-0.09,1.03,3.4,3.88,-       
0.55,-0.12,1.03,3.4,3.82,-       
0.6,-0.12,1.03,3.4,3.82,-       
0.65,-0.12,1.03,3.4,3.82,-       
0.7,-0.12,1.03,3.4,3.82,-       
0.75,-0.12,1.03,3.4,3.82,-       
0.8,-0.12,1.03,3.4,3.82,-       
0.85,-0.12,1.03,3.4,3.82,-       
0.9,-0.12,1.03,3.4,3.82,-       
0.95,-0.12,1.03,3.4,3.82,-       
1.0,-0.12,1.03,3.4,3.82,-       
1.05,-0.12,1.03,3.4,3.82,-       
1.1,-0.13,1.02,3.4,3.52,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_mantherapy_30s_100.mp4
1.15,-0.12,1.02,3.4,3.53,-       
1.2,-0.13,1.02,3.4,3.54,-       
1.25,-0.13,1.03,3.4,3.53,-       
1.3,-0.13,1.03,3.4,3.51,-       
1.35,-0.13,1.03,3.4,3.49,-       
1.4,-0.13,1.03,3.4,3.47,-       
1.45,-0.14,1.03,3.4,3.43,-       
1.5,-0.14,1.03,3.4,3.43,-       
1.55,-0.13,1.03,3.4,3.45,-       
1.6,-0.13,1.02,3.4,3.47,-       
1.65,-0.11,1.03,3.4,3.54,-       
1.7,-0.12,1.03,3.4,3.62,-       
1.75,-0.11,1.04,3.4,3.68,-       
1.8,-0.12,1.03,3.4,3.72,-       
1.85,-0.12,1.03,3.4,3.75,-       
1.9,-0.12,1.04,3.4,3.8,-       
1.95,-0.11,1.04,3.4,3.85,-       
2.0,-0.11,1.03,3.4,3.91,-       
2.05,-0.11,1.02,3.4,3.97,-       
2.1,-0.11,1.0,3.4,4.01,-       
2.15,-0.12,1.01,3.4,4.04,-       
2.2,-0.11,1.02,3.4,4.07,-       
2.25,-0.11,1.03,3.4,4.1,-       
2.3,-0.13,1.01,3.4,4.14,-       
2.35,-0.12,1.0,3.4,4.18,-       
2.4,-0.13,0.99,3.4,4.19,-       
2.45,-0.13,0.98,3.4,4.24,-       
2.5,-0.15,0.97,3.4,4.21,-       
2.55,0.2,1.19,3.4,3.88,-       
2.6,0.61,0.69,-0.27,,gaze started: p_4_3
2.65,0.61,0.69,-0.27,,-       
2.7,0.45,1.36,3.4,3.36,-       
2.75,0.42,1.35,3.4,3.29,gaze started: p_3_3
2.8,0.45,1.37,3.4,3.14,-       
2.85,0.48,1.38,3.4,3.08,-       
2.9,0.45,1.37,3.4,2.94,-       
2.95,0.48,1.38,3.4,2.92,-       
3.0,0.48,1.36,3.4,2.9,gaze fixated: p_3_3
3.05,0.47,1.37,3.4,2.89,-       
3.1,0.48,1.39,3.4,2.86,-       
3.15,0.49,1.4,3.4,2.85,-       
3.2,0.49,1.41,3.4,2.86,-       
3.25,0.48,1.4,3.4,2.86,-       
3.3,0.48,1.4,3.4,2.87,-       
3.35,0.48,1.41,3.4,2.89,-       
3.4,0.5,1.41,3.4,2.92,-       
3.45,0.49,1.41,3.4,2.94,-       
3.5,0.48,1.4,3.4,2.99,-       
3.55,0.49,1.41,3.4,3.03,-       
3.6,0.47,1.39,3.4,3.05,-       
3.65,0.48,1.39,3.4,3.07,-       
3.7,0.48,1.39,3.4,3.1,-       
3.75,0.48,1.39,3.4,3.12,-       
3.8,0.49,1.39,3.4,3.13,-       
3.85,0.49,1.38,3.4,3.15,-       
3.9,0.48,1.38,3.4,3.14,-       
3.95,0.48,1.38,3.4,3.13,-       
4.0,0.47,1.38,3.4,3.1,-       
4.05,0.47,1.38,3.4,3.1,-       
4.1,0.47,1.39,3.4,3.1,-       
4.15,0.46,1.39,3.4,3.1,-       
4.2,0.46,1.39,3.4,3.11,-       
4.25,0.46,1.38,3.4,3.14,-       
4.3,0.46,1.38,3.4,3.16,-       
4.35,0.47,1.38,3.4,3.21,-       
4.4,0.46,1.39,3.4,3.25,-       
4.45,0.46,1.38,3.4,3.28,-       
4.5,0.46,1.38,3.4,3.31,-       
4.55,0.46,1.39,3.4,3.32,-       
4.6,0.46,1.4,3.4,3.34,-       
4.65,0.46,1.4,3.4,3.34,-       
4.7,0.41,1.34,3.46,3.29,-       
4.75,0.47,1.4,3.4,3.26,gaze ended: p_3_3
4.8,0.39,1.34,3.4,3.18,gaze started: p_3_3
4.85,0.4,1.36,3.4,3.15,-       
4.9,0.4,1.36,3.4,3.15,-       
4.95,0.41,1.37,3.4,3.05,-       
5.0,0.44,1.38,3.4,3.06,-       
5.05,0.45,1.38,3.4,3.06,gaze fixated: p_3_3
5.1,0.46,1.39,3.4,3.08,-       
5.15,0.46,1.39,3.4,3.11,-       
5.2,0.46,1.39,3.4,3.11,-       
5.25,0.46,1.39,3.4,3.15,-       
5.3,0.46,1.39,3.4,3.15,-       
5.35,0.42,1.37,3.4,3.19,-       
5.4,0.41,1.35,3.4,3.2,-       
5.45,0.42,1.34,3.46,3.22,gaze ended: p_3_3
5.5,0.46,1.38,3.4,3.23,-       
5.55,0.41,1.34,3.46,3.24,gaze started: p_3_3
5.6,0.41,1.34,3.4,3.26,-       
5.65,0.42,1.35,3.4,3.25,gaze started: p_3_3
5.7,0.41,1.35,3.4,3.21,-       
5.75,0.43,1.37,3.4,3.2,-       
5.8,0.47,1.39,3.4,3.16,-       
5.85,0.46,1.39,3.4,3.14,-       
5.9,0.47,1.39,3.4,3.1,-       
5.95,0.46,1.38,3.4,3.09,gaze fixated: p_3_3
6.0,0.47,1.39,3.4,3.09,-       
6.05,0.47,1.39,3.4,3.12,-       
6.1,0.48,1.39,3.4,3.14,-       
6.15,0.48,1.38,3.4,3.16,-       
6.2,0.47,1.39,3.4,3.2,-       
6.25,0.48,1.4,3.4,3.23,-       
6.3,0.49,1.4,3.4,3.25,-       
6.35,0.49,1.39,3.4,3.25,-       
6.4,0.49,1.39,3.4,3.24,-       
6.45,0.49,1.39,3.4,3.22,-       
6.5,0.49,1.39,3.4,3.2,-       
6.55,0.49,1.4,3.4,3.16,-       
6.6,0.49,1.4,3.4,3.14,-       
6.65,0.49,1.4,3.4,3.12,-       
6.7,0.49,1.41,3.4,3.11,-       
6.75,0.5,1.42,3.4,3.1,-       
6.8,0.5,1.42,3.4,3.08,-       
6.85,0.49,1.42,3.4,3.06,-       
6.9,0.48,1.42,3.4,3.0,-       
6.95,0.48,1.43,3.4,2.98,-       
7.0,0.49,1.44,3.4,2.96,-       
7.05,0.49,1.44,3.4,2.96,-       
7.1,0.47,1.44,3.4,2.97,-       
7.15,0.47,1.44,3.4,2.97,-       
7.2,0.48,1.44,3.4,3.04,-       
7.25,0.48,1.44,3.4,3.1,-       
7.3,0.48,1.44,3.4,3.12,-       
7.35,0.49,1.44,3.4,3.15,-       
7.4,0.48,1.43,3.4,3.18,-       
7.45,0.48,1.43,3.4,3.19,-       
7.5,0.48,1.43,3.4,3.19,-       
7.55,0.48,1.43,3.4,3.19,-       
7.6,0.48,1.43,3.4,3.19,-       
7.65,0.48,1.43,3.4,3.19,-       
7.7,0.48,1.42,3.4,3.19,-       
7.75,0.48,1.42,3.4,3.19,-       
7.8,0.48,1.42,3.4,3.18,-       
7.85,0.47,1.43,3.4,3.14,-       
7.9,0.48,1.42,3.4,3.13,-       
7.95,0.47,1.42,3.4,3.14,-       
8.0,0.47,1.42,3.4,3.13,-       
8.05,0.47,1.42,3.4,3.12,-       
8.1,0.48,1.42,3.4,3.1,-       
8.15,0.48,1.41,3.4,3.11,-       
8.2,0.47,1.42,3.4,3.12,-       
8.25,0.48,1.41,3.4,3.13,-       
8.3,0.48,1.41,3.4,3.15,-       
8.35,0.48,1.41,3.4,3.18,-       
8.4,0.48,1.41,3.4,3.19,-       
8.45,0.47,1.39,3.4,3.2,-       
8.5,0.47,1.39,3.4,3.22,-       
8.55,0.43,1.38,3.4,3.25,-       
8.6,0.42,1.38,3.4,3.24,-       
8.65,0.47,1.4,3.4,3.24,-       
8.7,0.48,1.4,3.4,3.21,-       
8.75,0.48,1.41,3.4,3.09,-       
8.8,0.48,1.41,3.4,3.04,-       
8.85,0.48,1.41,3.4,2.96,-       
8.9,0.49,1.4,3.4,2.93,-       
8.95,0.49,1.41,3.4,2.89,-       
9.0,0.49,1.41,3.4,2.89,-       
9.05,0.49,1.41,3.4,2.89,-       
9.1,0.48,1.41,3.4,2.89,-       
9.15,0.49,1.41,3.4,2.91,-       
