time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.24,1.03,3.4,2.75,-       
0.05,-0.05,1.12,3.4,2.74,-       
0.1,-0.12,1.08,3.4,2.74,-       
0.15,-0.12,1.07,3.4,2.75,-       
0.2,-0.13,1.1,3.4,2.66,-       
0.25,-0.1,1.11,3.4,2.68,gaze fixated: p_4_2
0.3,-0.18,1.08,3.4,2.67,-       
0.35,0.06,1.07,3.4,2.61,-       
0.4,0.05,1.06,3.4,2.59,-       
0.45,0.01,1.06,3.4,2.58,-       
0.5,-0.01,1.06,3.4,2.58,-       
0.55,-0.04,1.35,3.4,2.54,-       
0.6,0.2,1.9,3.4,2.65,gaze started: p_3_2
0.65,0.2,1.9,3.4,2.65,gaze started: p_3_2
0.7,0.2,1.9,3.4,2.65,gaze started: p_3_2
0.75,0.2,1.9,3.4,2.65,gaze started: p_3_2
0.8,0.2,1.9,3.4,2.65,gaze started: p_3_2
0.85,0.2,1.9,3.4,2.65,gaze started: p_3_2
0.9,0.2,1.9,3.4,2.65,gaze started: p_3_2
0.95,0.2,1.9,3.4,2.65,gaze started: p_3_2
1.0,0.2,1.9,3.4,2.65,gaze started: p_3_2
1.05,0.2,1.9,3.4,2.65,gaze started: p_3_2
1.1,0.27,1.77,3.4,2.46,gaze started: p_2_3
1.15,0.19,1.82,3.46,2.44,gaze started: p_3_3
1.2,0.2,1.81,3.4,2.42,-       
1.25,0.2,1.82,3.46,2.41,gaze started: p_2_3
1.3,0.19,1.81,3.46,2.38,-       
1.35,0.19,1.81,3.46,2.37,-       
1.4,0.18,1.81,3.4,2.37,-       
1.45,0.18,1.82,3.46,2.37,gaze started: p_2_3
1.5,0.16,1.82,3.46,2.41,-       
1.55,0.25,1.74,3.4,2.42,-       
1.6,0.58,0.72,-0.29,,gaze started: p_3_3
1.65,0.58,0.72,-0.29,,-       
1.7,0.58,0.72,-0.29,,-       
1.75,0.58,0.72,-0.29,,-       
1.8,0.58,0.72,-0.29,,-       
1.85,0.58,0.72,-0.29,,-       
