time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.38,2.29,3.46,5.02,-       
0.05,1.38,2.29,3.46,5.02,-       
0.1,1.38,2.29,3.46,5.02,-       
0.15,1.38,2.29,3.46,5.02,-       
0.2,1.38,2.29,3.46,5.02,-       
0.25,1.38,2.29,3.46,5.02,-       
0.3,1.38,2.29,3.46,5.02,-       
0.35,1.38,2.29,3.46,5.02,-       
0.4,1.38,2.29,3.46,5.02,-       
0.45,1.38,2.29,3.46,5.02,-       
0.5,1.38,2.29,3.46,5.02,-       
0.55,0.12,1.62,3.4,4.85,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_carscom_30s_100.mp4
0.6,0.12,1.62,3.4,4.85,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_carscom_30s_100.mp4
0.65,0.12,1.62,3.4,4.85,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_carscom_30s_100.mp4
0.7,0.12,1.65,3.4,4.89,gaze started: p_3_2
0.75,0.12,1.64,3.4,4.89,-       
0.8,-0.24,1.52,3.4,4.85,-       
0.85,-1.23,0.9,3.4,4.84,gaze fixated: p_3_2
0.9,-1.23,0.9,3.4,4.84,gaze fixated: p_3_2
0.95,-1.18,0.88,3.4,4.83,gaze started: p_4_1
1.0,-1.18,0.9,3.4,4.85,-       
1.05,-1.25,0.86,3.46,4.84,-       
1.1,-1.37,0.67,3.39,4.86,-       
1.15,-1.38,0.66,3.38,4.85,-       
1.2,-1.39,0.65,3.38,4.84,-       
1.25,-1.39,0.66,3.38,4.85,-       
1.3,-1.39,0.68,3.38,4.86,-       
1.35,-0.35,1.82,3.4,4.9,-       
1.4,-0.35,1.82,3.4,4.9,-       
1.45,0.19,1.84,3.4,4.9,gaze started: p_2_2
1.5,0.2,1.81,3.46,4.86,gaze started: p_2_3
1.55,0.17,1.84,3.4,4.87,-       
1.6,0.17,1.84,3.4,4.86,gaze started: p_2_3
1.65,0.18,1.83,3.4,4.86,-       
1.7,0.2,1.83,3.4,4.85,-       
1.75,0.21,1.83,3.4,4.85,-       
1.8,0.2,1.83,3.4,4.85,-       
1.85,0.19,1.82,3.4,4.85,-       
1.9,0.2,1.82,3.4,4.86,gaze fixated: p_2_3
1.95,0.2,1.82,3.4,4.86,-       
2.0,0.2,1.82,3.46,4.86,-       
2.05,0.19,1.79,3.4,4.65,gaze ended: p_2_3
2.1,0.18,1.77,3.4,4.44,gaze started: p_3_3
2.15,0.17,1.75,3.4,4.1,-       
2.2,0.16,1.74,3.4,3.93,-       
2.25,0.15,1.74,3.4,3.74,-       
2.3,0.15,1.76,3.4,3.65,-       
2.35,0.15,1.76,3.4,3.65,-       
2.4,0.15,1.76,3.4,3.52,gaze fixated: p_3_3
2.45,0.14,1.72,3.4,3.47,-       
2.5,0.14,1.72,3.4,3.44,-       
2.55,0.16,1.72,3.4,3.42,-       
2.6,0.17,1.72,3.4,3.36,-       
2.65,0.16,1.72,3.4,3.34,-       
2.7,0.16,1.72,3.4,3.32,-       
2.75,0.16,1.72,3.4,3.32,-       
2.8,0.16,1.73,3.4,3.32,-       
2.85,0.16,1.73,3.4,3.33,-       
2.9,0.16,1.84,3.4,3.44,-       
2.95,0.17,1.83,3.4,3.44,gaze started: p_2_3
3.0,0.16,1.82,3.4,3.44,-       
3.05,0.16,1.82,3.4,3.46,-       
3.1,0.19,1.82,3.46,3.49,-       
3.15,0.19,1.84,3.4,3.54,-       
3.2,0.2,1.84,3.4,3.57,gaze started: p_2_3
3.25,0.19,1.84,3.4,3.61,-       
3.3,0.19,1.84,3.4,3.61,-       
3.35,0.19,1.84,3.4,3.67,-       
3.4,0.19,1.86,3.4,3.76,-       
3.45,0.2,1.75,3.4,3.8,-       
3.5,0.19,1.75,3.4,3.8,gaze started: p_3_3
3.55,0.2,1.75,3.4,3.81,-       
3.6,0.19,1.75,3.4,3.84,-       
3.65,0.21,1.47,3.4,3.99,-       
3.7,0.24,1.51,3.4,3.98,-       
3.75,0.23,1.51,3.4,3.98,gaze fixated: p_3_3
3.8,0.24,1.51,3.4,4.0,-       
3.85,0.23,1.54,3.4,4.05,-       
3.9,0.24,1.56,3.4,4.09,-       
3.95,0.24,1.55,3.4,4.1,-       
4.0,0.23,1.56,3.4,4.14,-       
4.05,0.24,1.56,3.4,4.15,-       
4.1,0.23,1.55,3.4,4.15,-       
4.15,0.22,1.54,3.4,4.15,-       
4.2,0.23,1.55,3.4,4.14,-       
4.25,0.24,1.55,3.4,4.08,-       
4.3,0.24,1.55,3.4,4.04,-       
4.35,0.24,1.55,3.4,4.04,-       
4.4,0.24,1.54,3.4,3.98,-       
4.45,0.24,1.55,3.4,3.95,-       
4.5,0.42,1.58,3.4,3.93,-       
4.55,0.42,1.58,3.4,3.93,-       
4.6,0.59,0.81,-0.35,,gaze ended: p_3_3
4.65,0.59,0.81,-0.35,,gaze ended: p_3_3
4.7,0.22,1.92,3.4,3.93,-       
4.75,0.22,1.92,3.4,3.93,-       
4.8,0.2,1.95,3.4,3.86,-       
4.85,0.2,1.95,3.4,3.86,-       
4.9,0.22,1.92,3.4,3.84,-       
4.95,0.22,1.92,3.4,3.84,-       
5.0,0.26,1.79,3.4,3.86,gaze started: p_3_3
5.05,0.26,1.79,3.4,3.86,gaze started: p_3_3
5.1,0.25,1.79,3.4,3.86,-       
5.15,0.25,1.79,3.4,3.86,-       
5.2,0.25,1.79,3.4,3.82,-       
5.25,0.25,1.79,3.4,3.8,-       
5.3,0.25,1.81,3.46,3.81,gaze fixated: p_3_3
5.35,0.25,1.79,3.4,3.81,gaze ended: p_3_3
5.4,0.26,1.82,3.46,3.83,gaze started: p_3_3
5.45,0.27,1.82,3.46,3.86,-       
5.5,0.27,1.82,3.46,3.86,-       
5.55,0.17,1.48,3.4,4.0,-       
5.6,0.17,1.48,3.4,3.99,gaze started: p_3_3
5.65,0.12,1.48,3.4,4.0,-       
5.7,0.13,1.5,3.4,4.04,gaze started: p_3_2
5.75,0.13,1.5,3.46,4.07,-       
5.8,0.13,1.49,3.4,4.09,-       
5.85,0.12,1.48,3.4,4.12,gaze started: p_3_2
5.9,0.11,1.47,3.4,4.15,-       
5.95,0.11,1.46,3.4,4.16,-       
6.0,0.13,1.47,3.4,4.17,-       
6.05,0.19,1.75,3.4,4.2,-       
6.1,0.24,1.77,3.4,4.2,gaze started: p_3_3
6.15,0.21,1.77,3.4,4.19,-       
6.2,0.2,1.77,3.4,4.18,-       
6.25,0.21,1.77,3.4,4.19,-       
6.3,0.23,1.78,3.4,4.2,-       
6.35,0.23,1.78,3.4,4.2,-       
6.4,0.21,1.77,3.4,4.24,-       
6.45,0.21,1.77,3.4,4.24,-       
6.5,0.21,1.77,3.4,4.25,-       
6.55,0.22,1.78,3.4,4.27,-       
6.6,0.23,1.79,3.4,4.27,-       
6.65,0.21,1.77,3.4,4.3,-       
6.7,0.43,1.77,3.4,4.35,-       
6.75,0.41,1.77,3.4,4.35,-       
6.8,0.41,1.77,3.4,4.35,-       
6.85,0.42,1.77,3.4,4.34,-       
6.9,0.42,1.78,3.4,4.31,-       
6.95,0.42,1.78,3.4,4.27,-       
7.0,0.42,1.79,3.4,4.21,-       
7.05,0.41,1.81,3.46,4.14,-       
7.1,0.4,1.79,3.4,4.06,gaze ended: p_3_3
7.15,0.43,1.82,3.46,3.99,gaze started: p_3_3
7.2,0.2,1.14,3.4,3.41,-       
7.25,0.32,1.63,3.4,3.88,gaze started: p_4_3
7.3,0.3,1.79,3.4,3.9,gaze started: p_3_3
7.35,0.26,1.82,3.4,3.91,-       
7.4,0.27,1.84,3.4,3.93,gaze started: p_2_3
7.45,0.26,1.84,3.4,3.9,-       
7.5,0.27,1.83,3.4,3.93,-       
7.55,0.27,1.82,3.46,3.95,-       
7.6,0.26,1.75,3.4,3.94,-       
7.65,0.16,1.45,3.4,4.01,gaze started: p_3_3
7.7,0.16,1.45,3.4,4.01,gaze started: p_3_3
7.75,0.18,1.46,3.4,4.04,-       
7.8,0.18,1.46,3.4,4.04,-       
7.85,0.23,1.4,3.4,4.04,-       
7.9,0.23,1.4,3.4,4.04,-       
7.95,0.26,1.4,3.4,4.05,gaze fixated: p_3_3
8.0,0.26,1.4,3.4,4.05,-       
8.05,0.26,1.42,3.4,4.06,-       
8.1,0.26,1.42,3.4,4.04,-       
8.15,0.14,1.82,3.4,3.8,-       
8.2,0.21,1.72,3.4,3.68,gaze started: p_2_3
8.25,0.21,1.73,3.4,3.58,gaze started: p_3_3
8.3,0.22,1.75,3.4,3.52,-       
8.35,0.22,1.75,3.4,3.33,-       
8.4,0.12,1.7,3.4,3.18,-       
8.45,0.12,1.7,3.4,3.18,-       
8.5,0.13,1.73,3.46,3.19,-       
8.55,0.13,1.73,3.46,3.19,-       
8.6,0.13,1.71,3.4,3.18,-       
8.65,0.12,1.71,3.4,3.17,gaze started: p_3_2
8.7,0.15,1.75,3.4,3.21,-       
8.75,0.14,1.73,3.4,3.24,gaze started: p_3_3
8.8,0.14,1.73,3.46,3.25,-       
8.85,0.13,1.71,3.4,3.29,-       
8.9,0.14,1.73,3.4,3.32,gaze started: p_3_2
8.95,0.15,1.71,3.4,3.36,gaze started: p_3_3
9.0,0.16,1.7,3.4,3.42,-       
9.05,0.15,1.7,3.4,3.46,-       
9.1,0.16,1.7,3.4,3.5,-       
9.15,0.16,1.7,3.4,3.52,-       
9.2,0.15,1.7,3.4,3.58,-       
9.25,0.16,1.7,3.4,3.63,gaze fixated: p_3_3
9.3,0.16,1.7,3.4,3.63,gaze fixated: p_3_3
9.35,0.16,1.71,3.4,3.69,-       
9.4,0.26,1.76,3.4,3.76,-       
9.45,0.24,1.76,3.4,3.79,-       
9.5,0.23,1.76,3.4,3.79,-       
9.55,0.24,1.76,3.4,3.79,-       
9.6,0.24,1.74,3.4,3.8,-       
9.65,0.24,1.73,3.4,3.79,-       
9.7,0.23,1.75,3.4,3.79,-       
9.75,0.17,1.76,3.4,3.71,-       
9.8,0.18,1.73,3.4,3.71,-       
9.85,0.18,1.72,3.4,3.68,-       
9.9,0.19,1.74,3.4,3.64,-       
9.95,0.16,1.73,3.4,3.48,-       
10.0,0.16,1.72,3.4,3.43,-       
10.05,0.17,1.72,3.4,3.37,-       
10.1,0.16,1.74,3.4,3.34,-       
10.15,0.16,1.75,3.4,3.35,-       
10.2,0.16,1.75,3.4,3.35,-       
10.25,0.07,1.76,3.4,3.39,-       
10.3,0.01,1.75,3.4,3.43,gaze started: p_3_2
10.35,0.02,1.74,3.4,3.45,-       
10.4,0.02,1.75,3.4,3.5,-       
10.45,-0.43,1.78,3.4,3.71,-       
10.5,-0.42,1.73,3.4,3.71,-       
10.55,-0.42,1.73,3.4,3.74,gaze fixated: p_3_2
10.6,-0.43,1.76,3.4,3.8,-       
10.65,0.46,1.81,3.4,3.89,-       
10.7,0.44,1.79,3.4,3.89,gaze started: p_2_3
10.75,0.45,1.81,3.46,3.9,gaze started: p_3_3
10.8,0.44,1.81,3.46,3.91,-       
10.85,0.44,1.81,3.46,3.91,-       
10.9,0.45,1.78,3.4,3.95,-       
10.95,0.44,1.79,3.4,3.96,gaze started: p_3_3
11.0,0.45,1.79,3.4,3.98,-       
11.05,0.44,1.78,3.4,4.0,-       
11.1,0.45,1.78,3.4,4.04,-       
11.15,0.32,1.82,3.4,4.06,-       
11.2,0.29,1.82,3.4,4.06,gaze started: p_2_3
11.25,0.28,1.82,3.4,4.09,-       
11.3,0.27,1.82,3.4,4.14,-       
11.35,0.29,1.82,3.4,4.16,-       
11.4,0.22,1.79,3.4,4.21,-       
11.45,0.22,1.81,3.46,4.18,gaze started: p_3_3
11.5,0.22,1.82,3.46,4.2,-       
11.55,0.22,1.81,3.4,4.21,-       
11.6,0.21,1.81,3.4,4.23,gaze started: p_2_3
11.65,0.21,1.82,3.46,4.23,-       
11.7,0.21,1.82,3.46,4.23,-       
11.75,0.63,1.91,3.4,4.37,-       
11.8,0.62,1.9,3.4,4.36,gaze started: p_2_3
11.85,0.6,1.91,3.4,4.33,-       
11.9,0.6,1.9,3.4,4.3,-       
11.95,0.58,1.89,3.4,4.17,-       
12.0,0.59,1.87,3.4,3.98,-       
12.05,0.62,1.67,3.4,3.92,gaze fixated: p_2_3
12.1,0.59,1.67,3.4,3.92,gaze started: p_3_3
12.15,0.59,1.68,3.4,3.92,-       
12.2,0.59,1.69,3.4,3.93,-       
12.25,0.59,1.68,3.4,3.94,-       
12.3,0.6,1.68,3.4,3.98,-       
12.35,0.59,1.66,3.4,4.04,gaze fixated: p_3_3
12.4,0.6,1.72,3.4,4.13,-       
12.45,0.62,1.98,3.4,4.28,-       
12.5,0.6,1.97,3.4,4.29,gaze started: p_2_3
12.55,0.59,1.96,3.4,4.29,-       
12.6,0.6,1.96,3.4,4.33,-       
12.65,0.63,1.95,3.4,4.35,-       
12.7,0.62,1.96,3.4,4.36,-       
12.75,0.62,1.94,3.4,4.36,gaze fixated: p_2_3
12.8,0.64,1.94,3.4,4.35,-       
12.85,0.64,1.94,3.4,4.35,-       
12.9,0.59,1.89,3.4,4.38,-       
12.95,0.59,1.89,3.4,4.38,-       
13.0,0.59,1.9,3.4,4.4,-       
13.05,0.59,1.9,3.4,4.4,-       
13.1,0.4,1.68,3.4,4.37,gaze started: p_3_3
13.15,0.4,1.68,3.4,4.37,gaze started: p_3_3
13.2,0.39,1.69,3.4,4.39,-       
13.25,0.39,1.69,3.4,4.39,-       
13.3,0.41,1.84,3.4,4.52,-       
13.35,0.41,1.83,3.4,4.49,gaze started: p_2_3
13.4,0.4,1.83,3.4,4.49,-       
13.45,0.4,1.83,3.4,4.5,-       
13.5,0.4,1.82,3.4,4.51,-       
13.55,0.41,1.82,3.4,4.51,-       
13.6,0.4,1.77,3.4,4.5,gaze fixated: p_2_3
13.65,0.18,1.53,3.4,4.52,gaze started: p_3_3
13.7,0.22,1.54,3.4,4.5,-       
13.75,0.27,1.5,3.4,4.5,-       
13.8,0.27,1.5,3.4,4.51,-       
13.85,0.26,1.52,3.4,4.51,-       
13.9,0.28,1.51,3.4,4.53,gaze fixated: p_3_3
13.95,0.27,1.69,3.4,4.57,-       
14.0,0.24,1.92,3.4,4.46,-       
14.05,0.23,1.89,3.4,4.37,gaze started: p_2_3
14.1,0.23,1.87,3.4,4.25,-       
14.15,0.23,1.85,3.4,4.11,-       
14.2,0.23,1.85,3.4,4.01,-       
14.25,0.26,1.86,3.4,3.94,-       
14.3,0.25,1.86,3.4,3.9,gaze fixated: p_2_3
14.35,0.26,1.86,3.4,3.88,-       
14.4,0.28,1.86,3.4,3.88,-       
14.45,0.28,1.86,3.4,3.89,-       
14.5,0.25,1.72,3.4,3.98,-       
14.55,0.25,1.72,3.4,4.0,gaze started: p_3_3
14.6,0.26,1.73,3.4,4.04,-       
14.65,0.26,1.74,3.4,4.11,-       
14.7,0.26,1.73,3.4,4.15,-       
14.75,0.23,1.86,3.4,4.24,-       
14.8,0.23,1.87,3.4,4.3,gaze started: p_2_3
14.85,0.23,1.86,3.4,4.3,-       
14.9,0.23,1.85,3.4,4.31,-       
14.95,0.23,1.85,3.4,4.32,-       
15.0,0.23,1.84,3.4,4.35,-       
15.05,0.22,1.7,3.4,4.39,gaze fixated: p_2_3
15.1,0.23,1.71,3.4,4.39,gaze started: p_3_3
15.15,0.23,1.71,3.4,4.39,-       
15.2,0.22,1.7,3.4,4.4,-       
15.25,0.22,1.7,3.4,4.4,-       
15.3,0.22,1.72,3.4,4.42,-       
15.35,0.22,1.7,3.4,4.43,-       
15.4,0.22,1.7,3.4,4.44,gaze fixated: p_3_3
15.45,0.21,1.69,3.4,4.45,-       
15.5,0.21,1.72,3.4,4.47,-       
15.55,0.21,1.71,3.4,4.49,-       
15.6,0.75,1.53,3.4,4.48,-       
15.65,0.73,1.51,3.4,4.38,-       
15.7,0.73,1.51,3.4,4.34,-       
15.75,0.73,1.53,3.4,4.31,-       
15.8,0.46,1.56,3.4,4.09,-       
15.85,-0.56,1.72,3.4,4.06,-       
15.9,-0.56,1.71,3.4,4.06,gaze started: p_3_2
15.95,-0.54,1.72,3.4,4.03,-       
16.0,-0.54,1.7,3.4,4.02,-       
16.05,-0.64,1.71,3.4,3.99,-       
16.1,-0.64,1.71,3.4,4.01,-       
16.15,-0.64,1.71,3.4,4.01,-       
16.2,-0.64,1.68,3.4,4.01,gaze fixated: p_3_2
16.25,-0.63,1.67,3.4,3.99,-       
16.3,-0.52,1.69,3.4,3.98,-       
16.35,0.55,1.43,3.4,3.94,-       
16.4,0.49,1.47,3.4,3.93,gaze started: p_3_3
16.45,0.49,1.47,3.4,3.93,gaze started: p_3_3
16.5,0.48,1.5,3.4,3.93,-       
16.55,0.48,1.5,3.4,3.93,-       
16.6,0.62,1.54,3.4,3.98,-       
16.65,0.63,1.53,3.4,4.02,-       
16.7,0.62,1.53,3.4,4.02,-       
16.75,0.62,1.53,3.4,4.02,-       
16.8,0.63,1.54,3.4,4.03,-       
16.85,0.63,1.54,3.4,4.03,-       
16.9,0.64,1.56,3.4,4.07,-       
16.95,0.64,1.56,3.4,4.07,-       
17.0,0.63,1.55,3.4,4.07,-       
17.05,-0.53,1.68,3.4,4.15,-       
17.1,-0.62,1.7,3.4,4.17,gaze started: p_3_2
17.15,-0.62,1.71,3.4,4.18,-       
17.2,-0.63,1.7,3.4,4.17,-       
17.25,-0.73,1.66,3.4,4.22,-       
17.3,-0.73,1.66,3.4,4.22,-       
17.35,-0.72,1.63,3.4,4.22,gaze started: p_3_1
17.4,-0.71,1.6,3.4,4.2,-       
17.45,-0.72,1.64,3.4,4.16,-       
17.5,-0.59,0.97,3.4,4.13,-       
17.55,-0.58,1.03,3.4,4.14,gaze started: p_4_2
17.6,-0.58,1.02,3.4,4.13,-       
17.65,-0.56,0.99,3.4,4.13,-       
17.7,-0.4,0.98,3.4,4.19,-       
17.75,0.53,1.23,3.4,4.27,-       
17.8,0.52,1.23,3.4,4.3,gaze started: p_4_3
17.85,0.65,1.37,3.4,4.34,-       
17.9,0.9,1.48,3.4,4.35,gaze started: p_3_3
17.95,0.84,1.53,3.4,4.35,-       
18.0,0.85,1.52,3.4,4.36,-       
18.05,0.84,1.52,3.4,4.36,-       
18.1,0.84,1.52,3.4,4.37,-       
18.15,0.84,1.52,3.4,4.37,gaze fixated: p_3_3
18.2,0.83,1.52,3.4,4.38,-       
18.25,0.83,1.52,3.4,4.38,-       
18.3,0.84,1.53,3.4,4.39,-       
18.35,0.44,1.62,3.4,4.43,-       
18.4,0.44,1.69,3.4,4.48,-       
18.45,0.46,1.67,3.4,4.49,-       
18.5,0.46,1.67,3.4,4.5,-       
18.55,0.45,1.66,3.4,4.5,-       
18.6,0.45,1.66,3.4,4.5,-       
18.65,0.46,1.66,3.4,4.51,-       
18.7,0.46,1.66,3.4,4.51,-       
18.75,0.48,1.66,3.4,4.52,-       
18.8,0.49,1.64,3.4,4.53,-       
18.85,0.48,1.63,3.4,4.53,-       
18.9,0.51,1.63,3.4,4.54,-       
18.95,0.51,1.62,3.4,4.54,-       
19.0,0.52,1.62,3.4,4.55,-       
19.05,0.54,1.58,3.4,4.55,-       
19.1,0.11,1.86,3.4,4.74,-       
19.15,0.1,1.89,3.4,4.74,gaze started: p_2_2
19.2,0.1,1.89,3.4,4.74,gaze started: p_2_2
19.25,0.11,1.91,3.4,4.66,-       
19.3,-0.0,2.08,3.4,4.68,-       
19.35,0.01,2.13,3.4,4.7,-       
19.4,0.01,2.13,3.4,4.7,-       
19.45,0.01,2.12,3.4,4.7,gaze fixated: p_2_2
19.5,0.01,2.11,3.4,4.7,-       
19.55,0.02,2.11,3.4,4.7,-       
19.6,-0.0,2.3,3.4,4.78,-       
19.65,-0.02,2.33,3.4,4.79,gaze started: p_1_2
19.7,-0.02,2.31,3.4,4.76,-       
19.75,-0.01,2.31,3.4,4.75,-       
19.8,-0.01,2.31,3.4,4.77,-       
19.85,-0.01,2.32,3.4,4.79,-       
19.9,-0.0,2.31,3.4,4.8,-       
19.95,0.04,2.29,3.4,4.76,gaze fixated: p_1_2
20.0,0.07,1.87,3.4,4.68,-       
20.05,0.1,1.88,3.4,4.71,gaze started: p_2_2
20.1,0.54,1.62,3.4,4.64,-       
20.15,0.67,1.59,3.4,4.6,gaze started: p_3_3
20.2,0.65,1.58,3.4,4.57,-       
20.25,0.66,1.59,3.4,4.52,-       
20.3,0.66,1.59,3.4,4.52,-       
20.35,0.67,1.59,3.4,4.42,-       
20.4,0.67,1.59,3.4,4.36,-       
20.45,0.68,1.59,3.4,4.31,gaze fixated: p_3_3
20.5,0.67,1.6,3.4,4.28,-       
20.55,0.11,1.66,3.4,4.33,-       
20.6,-0.27,1.43,3.4,4.31,gaze started: p_3_2
20.65,-0.26,1.5,3.4,4.29,-       
20.7,-0.21,1.52,3.4,4.32,-       
20.75,-0.24,1.52,3.4,4.34,-       
20.8,-0.26,1.53,3.4,4.37,-       
20.85,-0.26,1.51,3.4,4.38,gaze fixated: p_3_2
20.9,-0.25,1.52,3.4,4.37,-       
20.95,-0.16,1.4,3.4,4.32,-       
21.0,0.87,1.38,3.4,4.33,-       
