time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.16,0.98,3.4,3.76,-       
0.05,-0.15,0.98,3.4,3.77,-       
0.1,-0.11,1.03,3.4,3.78,-       
0.15,-0.12,1.03,3.4,3.79,-       
0.2,-0.12,1.02,3.4,3.79,-       
0.25,-0.14,0.97,3.4,3.79,-       
0.3,-0.14,0.95,3.4,3.78,-       
0.35,0.19,1.48,3.4,3.74,-       
0.4,0.21,1.32,3.4,3.59,gaze started: p_3_3
0.45,0.21,1.32,3.4,3.59,gaze started: p_3_3
0.5,0.21,1.32,3.4,3.59,gaze started: p_3_3
0.55,0.21,1.32,3.4,3.59,gaze started: p_3_3
0.6,0.21,1.32,3.4,3.59,gaze started: p_3_3
0.65,0.21,1.32,3.4,3.59,gaze started: p_3_3
0.7,0.21,1.32,3.4,3.59,gaze started: p_3_3
0.75,0.21,1.32,3.4,3.59,gaze started: p_3_3
0.8,0.21,1.32,3.4,3.59,gaze started: p_3_3
0.85,0.21,1.32,3.4,3.59,gaze started: p_3_3
0.9,0.21,1.32,3.4,3.59,gaze started: p_3_3
0.95,0.21,1.32,3.4,3.59,gaze started: p_3_3
1.0,0.22,1.67,3.4,3.0,gaze started: p_4_3
1.05,0.23,1.68,3.4,3.02,gaze started: p_3_3
1.1,0.22,1.68,3.4,3.07,-       
1.15,0.21,1.68,3.4,3.11,-       
1.2,0.22,1.68,3.4,3.2,-       
1.25,0.24,1.71,3.4,3.35,-       
1.3,0.64,0.8,-0.34,,gaze fixated: p_3_3
1.35,0.64,0.8,-0.34,,gaze ended: p_3_3
1.4,0.64,0.8,-0.34,,-       
1.45,-0.92,0.99,3.4,3.32,-       
1.5,-0.9,1.03,3.4,3.35,-       
1.55,-0.9,1.03,3.4,3.35,-       
1.6,-0.91,1.02,3.4,3.38,-       
1.65,-1.38,0.74,3.57,3.45,-       
1.7,-1.38,0.7,3.57,3.49,-       
1.75,-1.39,0.75,3.57,3.51,-       
1.8,-1.39,0.7,3.57,3.52,-       
1.85,-1.33,0.7,3.46,3.55,-       
1.9,-1.05,0.77,3.57,3.68,-       
1.95,-0.12,0.59,3.57,3.69,-       
2.0,-0.1,0.53,3.33,3.75,-       
2.05,-0.04,0.48,2.94,3.78,-       
2.1,-0.08,0.53,3.28,3.85,-       
2.15,-0.06,0.52,2.93,3.82,-       
2.2,0.09,0.53,3.43,3.9,-       
2.25,0.61,0.7,3.57,3.87,-       
2.3,0.54,0.65,3.57,3.83,-       
2.35,0.65,0.63,3.57,3.83,-       
2.4,0.54,0.98,3.4,3.72,-       
2.45,0.57,1.52,3.4,3.57,gaze started: p_4_3
2.5,0.61,1.34,3.46,3.35,gaze started: p_3_3
2.55,0.58,1.37,3.4,3.2,-       
2.6,0.58,1.37,3.4,2.98,gaze started: p_3_3
2.65,0.62,1.39,3.4,2.94,-       
2.7,0.61,1.45,3.4,2.94,-       
2.75,0.59,1.41,3.4,2.91,-       
2.8,0.64,0.81,-0.34,,-       
2.85,0.64,0.81,-0.34,,-       
2.9,0.64,0.81,-0.34,,-       
2.95,0.64,0.81,-0.34,,-       
3.0,0.64,0.81,-0.34,,-       
3.05,0.64,0.81,-0.34,,-       
3.1,0.64,0.81,-0.34,,-       
3.15,0.64,0.81,-0.34,,-       
3.2,0.14,1.41,3.46,3.16,-       
3.25,0.08,1.53,3.4,3.17,-       
3.3,0.05,1.47,3.4,3.21,gaze started: p_3_2
3.35,0.13,1.47,3.46,3.3,-       
3.4,0.13,1.42,3.4,3.29,-       
3.45,0.13,1.48,3.46,3.3,gaze started: p_3_2
3.5,0.64,0.81,-0.34,,-       
3.55,0.64,0.81,-0.34,,-       
3.6,0.64,0.8,-0.34,,-       
3.65,0.26,1.77,3.4,3.5,-       
3.7,0.26,1.78,3.4,3.5,gaze started: p_3_3
3.75,0.24,1.71,3.4,3.44,-       
3.8,0.25,1.72,3.4,3.46,-       
3.85,0.24,1.81,3.46,3.5,-       
3.9,0.23,1.78,3.4,3.5,-       
3.95,0.24,1.81,3.46,3.51,gaze started: p_3_3
4.0,0.22,1.81,3.46,3.52,-       
4.05,0.23,1.81,3.46,3.52,-       
4.1,0.23,1.82,3.46,3.54,-       
4.15,0.23,1.81,3.4,3.54,-       
4.2,0.22,1.79,3.4,3.56,gaze started: p_2_3
4.25,0.24,1.82,3.46,3.58,gaze started: p_3_3
4.3,0.16,1.38,3.4,3.59,-       
4.35,0.13,1.42,3.4,3.61,gaze started: p_3_3
4.4,0.12,1.4,3.4,3.63,gaze started: p_3_2
4.45,0.1,1.45,3.4,3.64,-       
4.5,0.14,1.44,3.4,3.67,-       
4.55,0.18,1.39,3.4,3.71,gaze started: p_3_3
4.6,0.17,1.39,3.4,3.73,-       
4.65,0.17,1.4,3.4,3.74,-       
4.7,0.18,1.39,3.4,3.76,-       
4.75,0.19,1.38,3.4,3.79,-       
4.8,0.14,1.45,3.4,3.81,gaze fixated: p_3_3
4.85,0.2,1.4,3.4,3.8,-       
4.9,0.21,1.48,3.4,3.8,-       
4.95,0.21,1.48,3.4,3.8,-       
5.0,0.64,0.8,-0.34,,-       
5.05,0.64,0.8,-0.34,,gaze ended: p_3_3
5.1,0.64,0.8,-0.34,,-       
5.15,0.63,0.8,-0.34,,-       
5.2,0.63,0.8,-0.34,,-       
5.25,0.27,1.66,3.4,3.75,-       
5.3,0.29,1.68,3.4,3.73,gaze started: p_3_3
5.35,0.27,1.65,3.4,3.71,-       
5.4,0.27,1.64,3.4,3.72,-       
5.45,0.26,1.67,3.4,3.72,-       
5.5,0.26,1.67,3.4,3.58,-       
5.55,-0.38,1.44,3.4,3.37,gaze fixated: p_3_3
5.6,-0.29,1.43,3.4,3.3,gaze started: p_3_2
5.65,-0.25,1.43,3.4,3.28,-       
5.7,-0.25,1.42,3.4,3.23,-       
5.75,-0.22,1.41,3.4,3.2,-       
5.8,-0.2,1.39,3.4,3.16,-       
5.85,-0.19,1.39,3.4,3.13,-       
5.9,-0.19,1.4,3.4,3.09,gaze fixated: p_3_2
5.95,-0.18,1.39,3.4,3.04,-       
6.0,-0.23,1.39,3.4,3.01,-       
6.05,-0.23,1.4,3.4,2.99,-       
6.1,-0.2,1.39,3.4,3.07,-       
6.15,-0.02,1.47,3.4,3.07,-       
6.2,-0.0,1.46,3.4,3.13,-       
6.25,-0.0,1.46,3.4,3.13,-       
