time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.64,2.12,3.4,5.19,-       
0.05,-0.67,2.1,3.4,5.22,gaze started: p_2_2
0.1,-0.71,2.11,3.46,5.21,-       
0.15,-0.69,2.09,3.4,5.2,-       
0.2,-0.68,2.09,3.4,5.2,gaze started: p_2_2
0.25,-0.69,2.1,3.4,5.28,-       
0.3,-0.89,2.14,3.4,5.23,-       
0.35,-0.91,2.11,3.4,5.25,gaze started: p_2_1
0.4,-0.93,2.09,3.4,5.24,-       
0.45,-0.81,1.97,3.4,5.09,-       
0.5,-0.75,1.97,3.4,5.16,-       
0.55,-0.81,1.96,3.4,5.14,-       
0.6,-0.81,1.96,3.4,5.12,-       
0.65,-0.81,1.96,3.4,5.12,-       
0.7,-0.81,1.96,3.4,5.12,-       
0.75,-0.81,1.96,3.4,5.12,-       
0.8,-0.81,1.96,3.4,5.12,-       
0.85,-0.81,1.96,3.4,5.12,-       
0.9,-0.81,1.96,3.4,5.12,-       
0.95,-0.81,1.96,3.4,5.12,-       
1.0,-0.81,1.96,3.4,5.12,-       
1.05,-0.81,1.96,3.4,5.12,-       
1.1,-0.7,2.29,3.46,5.14,gaze fixated: p_2_1
1.15,-0.7,2.29,3.46,5.18,gaze ended: p_2_1
1.2,-0.69,2.28,3.4,5.18,-       
1.25,-0.73,2.3,3.4,5.21,gaze started: p_1_2
1.3,-0.73,2.3,3.4,5.21,gaze started: p_1_2
1.35,-0.74,2.31,3.4,5.21,gaze started: p_1_1
1.4,-0.74,2.3,3.4,5.21,-       
1.45,-0.53,2.21,3.4,5.22,-       
1.5,-0.34,2.11,3.4,5.16,gaze started: p_2_2
1.55,-0.37,2.11,3.4,5.15,-       
1.6,-0.33,2.12,3.4,5.15,-       
1.65,-0.34,2.12,3.4,5.16,-       
1.7,-0.37,2.11,3.4,5.2,-       
1.75,-0.37,2.1,3.4,5.21,gaze fixated: p_2_2
1.8,-0.36,2.11,3.4,5.23,-       
1.85,-0.36,2.11,3.4,5.23,-       
1.9,-0.37,2.1,3.4,5.22,-       
1.95,-0.37,2.09,3.4,5.25,-       
2.0,-0.35,2.09,3.4,5.27,-       
2.05,-0.34,2.09,3.4,5.25,-       
2.1,-0.35,2.09,3.4,5.26,-       
2.15,-0.36,2.09,3.4,5.28,-       
2.2,-0.35,2.09,3.4,5.27,-       
2.25,-0.36,2.09,3.4,5.3,-       
2.3,-0.36,2.09,3.4,5.3,-       
2.35,-0.45,2.09,3.4,5.33,-       
2.4,-0.45,2.1,3.4,5.34,-       
2.45,-0.52,2.08,3.4,5.32,-       
2.5,-0.52,2.09,3.4,5.33,-       
2.55,-0.52,2.08,3.4,5.25,-       
2.6,-0.51,2.08,3.4,5.09,-       
2.65,-0.49,2.07,3.4,4.77,-       
2.7,-0.51,2.06,3.4,4.44,-       
2.75,-0.51,2.05,3.4,4.19,-       
2.8,-0.52,2.04,3.4,4.03,-       
2.85,-0.53,2.04,3.4,3.81,-       
2.9,-0.52,2.04,3.4,3.68,-       
2.95,-0.48,2.04,3.4,3.49,-       
3.0,0.64,0.77,-0.3,,-       
3.05,0.64,0.77,-0.3,,gaze ended: p_2_2
3.1,0.64,0.77,-0.3,,-       
3.15,0.64,0.77,-0.3,,-       
3.2,0.64,0.77,-0.3,,-       
3.25,0.64,0.77,-0.3,,-       
3.3,-0.32,1.98,3.4,3.32,-       
3.35,-0.17,2.01,3.4,3.4,gaze started: p_2_2
3.4,-0.17,2.02,3.4,3.39,-       
3.45,-0.27,2.0,3.4,3.4,-       
3.5,-0.25,2.0,3.4,3.4,-       
3.55,-0.23,2.01,3.4,3.41,-       
3.6,-0.27,1.99,3.4,3.37,gaze fixated: p_2_2
3.65,-0.26,1.99,3.4,3.32,-       
3.7,-0.33,1.95,3.4,3.28,-       
3.75,-0.27,1.97,3.4,3.27,-       
3.8,-0.25,1.97,3.4,3.26,-       
3.85,-0.1,1.89,3.4,3.34,-       
3.9,-0.01,1.81,3.46,3.36,-       
3.95,-0.01,1.79,3.4,3.42,gaze ended: p_2_2
4.0,-0.02,1.79,3.4,3.41,gaze started: p_3_2
4.05,-0.02,1.79,3.4,3.41,gaze started: p_3_2
4.1,-0.03,1.79,3.4,3.48,-       
4.15,0.02,1.78,3.4,3.52,-       
4.2,-0.01,1.78,3.4,3.6,-       
4.25,0.07,1.78,3.4,3.6,-       
4.3,0.06,1.77,3.4,3.58,gaze fixated: p_3_2
4.35,0.07,1.77,3.4,3.52,-       
4.4,0.06,1.77,3.4,3.5,-       
4.45,0.07,1.76,3.4,3.51,-       
4.5,0.06,1.77,3.4,3.54,-       
4.55,0.05,1.77,3.4,3.57,-       
4.6,0.06,1.77,3.4,3.61,-       
4.65,0.07,1.77,3.4,3.66,-       
4.7,0.09,1.77,3.4,3.71,-       
4.75,0.08,1.76,3.4,3.76,-       
4.8,0.07,1.76,3.4,3.82,-       
4.85,-0.06,1.83,3.4,3.83,-       
4.9,0.0,1.84,3.4,3.89,gaze started: p_2_2
4.95,-0.05,1.84,3.4,3.9,-       
5.0,0.06,1.9,3.4,4.1,-       
5.05,0.64,0.77,-0.3,,-       
5.1,0.64,0.77,-0.3,,-       
5.15,0.64,0.77,-0.3,,-       
5.2,0.64,0.77,-0.3,,-       
5.25,0.64,0.77,-0.3,,-       
5.3,0.64,0.77,-0.3,,-       
5.35,0.64,0.77,-0.3,,-       
5.4,-0.19,2.12,3.4,3.72,-       
5.45,-0.1,2.09,3.4,3.69,gaze started: p_2_2
5.5,-0.11,2.1,3.4,3.71,-       
5.55,-0.11,2.09,3.4,3.69,-       
5.6,-0.15,2.08,3.4,3.59,-       
5.65,0.1,1.82,3.4,3.35,-       
5.7,0.07,1.81,3.46,3.28,-       
5.75,0.07,1.82,3.46,3.24,-       
5.8,0.15,1.82,3.46,3.17,-       
5.85,0.15,1.82,3.46,3.17,-       
5.9,0.15,1.82,3.46,3.11,-       
5.95,0.1,1.82,3.46,3.1,-       
6.0,0.14,1.82,3.46,3.06,-       
6.05,0.14,1.81,3.46,3.05,-       
6.1,0.2,1.77,3.4,2.99,-       
6.15,0.2,1.75,3.4,3.03,gaze started: p_3_3
6.2,0.23,1.75,3.4,3.03,-       
6.25,0.23,1.74,3.4,3.04,-       
6.3,0.22,1.74,3.4,3.05,-       
6.35,0.22,1.74,3.4,3.06,-       
6.4,0.21,1.74,3.4,3.06,gaze fixated: p_3_3
6.45,0.22,1.73,3.4,3.07,-       
6.5,0.22,1.73,3.4,3.08,-       
6.55,0.23,1.73,3.4,3.09,-       
6.6,0.23,1.73,3.4,3.09,-       
6.65,0.23,1.73,3.4,3.11,-       
6.7,0.24,1.73,3.4,3.11,-       
6.75,0.24,1.72,3.4,3.17,-       
6.8,0.24,1.74,3.4,3.2,-       
6.85,0.23,1.74,3.4,3.22,-       
6.9,0.23,1.74,3.4,3.25,-       
6.95,0.23,1.74,3.4,3.25,-       
7.0,0.23,1.74,3.4,3.29,-       
7.05,0.22,1.74,3.4,3.32,-       
7.1,0.23,1.74,3.4,3.37,-       
7.15,0.23,1.74,3.4,3.42,-       
7.2,0.23,1.75,3.4,3.49,-       
7.25,0.21,1.74,3.4,3.51,-       
7.3,0.22,1.74,3.4,3.57,-       
7.35,0.21,1.74,3.4,3.59,-       
7.4,0.22,1.73,3.4,3.6,-       
7.45,0.23,1.73,3.4,3.67,-       
7.5,0.22,1.73,3.4,3.71,-       
7.55,0.22,1.72,3.4,3.73,-       
7.6,0.22,1.72,3.4,3.72,-       
7.65,0.21,1.72,3.4,3.66,-       
7.7,0.22,1.72,3.4,3.62,-       
7.75,0.24,1.72,3.4,3.59,-       
7.8,0.23,1.72,3.4,3.54,-       
7.85,0.23,1.72,3.4,3.54,-       
7.9,0.22,1.72,3.4,3.53,-       
7.95,0.22,1.72,3.4,3.54,-       
8.0,0.2,1.72,3.4,3.53,-       
8.05,0.21,1.72,3.4,3.53,-       
8.1,0.22,1.72,3.4,3.54,-       
8.15,0.22,1.72,3.4,3.55,-       
8.2,0.22,1.71,3.4,3.55,-       
8.25,0.23,1.72,3.4,3.58,-       
8.3,0.22,1.72,3.4,3.57,-       
8.35,0.22,1.72,3.4,3.57,-       
8.4,0.22,1.71,3.4,3.56,-       
8.45,0.22,1.71,3.4,3.59,-       
8.5,0.22,1.72,3.4,3.55,-       
8.55,0.23,1.72,3.4,3.55,-       
8.6,0.23,1.72,3.4,3.55,-       
8.65,0.23,1.72,3.4,3.51,-       
8.7,0.22,1.72,3.4,3.44,-       
8.75,0.22,1.72,3.4,3.44,-       
8.8,0.21,1.7,3.4,3.3,-       
8.85,0.22,1.7,3.4,3.19,-       
8.9,0.22,1.7,3.4,3.14,-       
8.95,0.21,1.7,3.4,3.11,-       
9.0,0.21,1.7,3.4,3.11,-       
9.05,0.21,1.71,3.4,3.08,-       
9.1,0.21,1.7,3.4,3.09,-       
9.15,0.21,1.7,3.4,3.1,-       
9.2,0.21,1.7,3.4,3.1,-       
