time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.65,1.99,3.4,4.58,gaze started: p_2_1
0.05,-0.65,1.98,3.4,4.57,gaze started: p_2_2
0.1,-0.67,1.99,3.4,4.6,-       
0.15,-0.71,2.0,3.4,4.62,-       
0.2,-0.71,2.0,3.4,4.62,-       
0.25,-0.71,2.0,3.4,4.62,-       
0.3,-0.71,2.0,3.4,4.62,-       
0.35,-0.71,2.0,3.4,4.62,-       
0.4,-0.71,2.0,3.4,4.62,-       
0.45,-0.71,2.0,3.4,4.62,-       
0.5,-0.71,2.0,3.4,4.62,-       
0.55,-0.71,2.0,3.4,4.62,-       
0.6,-0.71,2.0,3.4,4.62,-       
0.65,-0.27,2.33,3.4,4.42,gaze started: p_2_1
0.7,-0.3,2.3,3.4,4.43,gaze started: p_1_2
0.75,-0.3,2.3,3.4,4.43,gaze started: p_1_2
0.8,-0.29,2.3,3.4,4.46,-       
0.85,-0.29,2.3,3.4,4.47,-       
0.9,-0.29,2.3,3.4,4.47,-       
0.95,-0.29,2.31,3.4,4.49,-       
1.0,-0.29,2.32,3.4,4.54,gaze fixated: p_1_2
1.05,-0.28,2.4,3.4,4.66,-       
1.1,0.61,0.75,-0.3,,-       
1.15,0.61,0.75,-0.3,,gaze ended: p_1_2
1.2,0.61,0.75,-0.3,,-       
1.25,0.61,0.75,-0.3,,-       
1.3,0.61,0.75,-0.3,,-       
1.35,0.61,0.75,-0.3,,-       
1.4,-0.68,2.01,3.4,4.8,-       
1.45,-0.68,2.01,3.4,4.78,gaze started: p_2_2
1.5,-0.65,2.01,3.4,4.82,-       
1.55,-0.64,2.04,3.4,4.89,-       
1.6,0.61,0.75,-0.3,,-       
1.65,0.61,0.75,-0.3,,-       
1.7,0.61,0.75,-0.3,,-       
1.75,0.61,0.75,-0.3,,-       
1.8,0.61,0.75,-0.3,,-       
1.85,0.61,0.75,-0.3,,-       
1.9,0.61,0.75,-0.3,,-       
1.95,0.55,1.53,3.4,4.99,-       
2.0,0.55,1.53,3.4,4.99,-       
2.05,0.61,0.75,-0.3,,gaze started: p_3_3
2.1,0.61,0.75,-0.3,,-       
2.15,0.61,0.75,-0.3,,-       
2.2,0.61,0.75,-0.3,,-       
2.25,0.61,0.75,-0.3,,-       
2.3,-0.38,2.24,3.4,3.73,-       
2.35,-0.36,2.23,3.4,3.56,gaze started: p_2_2
2.4,-0.33,2.12,3.4,3.29,-       
2.45,-0.04,1.83,3.4,3.11,-       
2.5,0.09,1.75,3.4,3.0,-       
2.55,0.07,1.75,3.4,2.98,gaze started: p_3_2
2.6,0.07,1.75,3.4,2.96,-       
2.65,-0.0,1.74,3.4,2.91,-       
2.7,-0.0,1.74,3.4,2.89,-       
2.75,0.06,1.75,3.4,2.84,-       
2.8,0.08,1.75,3.4,2.83,-       
2.85,-0.01,1.74,3.4,2.8,gaze fixated: p_3_2
2.9,0.0,1.74,3.4,2.8,-       
2.95,-0.01,1.73,3.4,2.77,-       
3.0,-0.0,1.73,3.4,2.78,-       
3.05,0.0,1.73,3.4,2.79,-       
3.1,-0.12,1.93,3.4,2.8,-       
3.15,-0.22,2.1,3.4,2.9,gaze started: p_2_2
3.2,-0.17,2.11,3.4,2.9,-       
3.25,-0.13,2.12,3.4,2.92,-       
3.3,-0.12,2.12,3.4,2.97,-       
3.35,-0.11,2.1,3.4,3.07,-       
3.4,0.38,2.17,3.4,3.2,gaze fixated: p_2_2
3.45,0.39,2.19,3.4,3.24,gaze started: p_2_3
3.5,0.31,2.16,3.4,3.27,-       
3.55,0.3,2.16,3.4,3.31,-       
3.6,0.29,2.15,3.4,3.36,-       
3.65,0.28,2.15,3.4,3.41,-       
3.7,0.28,2.14,3.4,3.48,-       
3.75,0.12,2.02,3.4,3.57,gaze fixated: p_2_3
3.8,0.08,2.02,3.4,3.57,gaze started: p_2_2
3.85,0.01,2.01,3.4,3.58,-       
3.9,0.09,2.02,3.4,3.6,-       
3.95,0.03,2.01,3.4,3.67,-       
4.0,0.21,2.05,3.4,3.77,-       
4.05,0.32,2.11,3.4,3.82,gaze started: p_2_3
4.1,0.28,2.11,3.4,3.84,-       
4.15,0.28,2.12,3.4,3.88,-       
4.2,0.26,2.12,3.4,3.89,-       
4.25,-0.18,2.15,3.4,3.95,-       
4.3,-0.12,2.17,3.4,3.89,gaze started: p_2_2
4.35,-0.17,2.16,3.4,3.93,-       
4.4,-0.2,2.16,3.4,3.93,-       
4.45,-0.21,2.15,3.4,4.0,-       
4.5,0.61,0.75,-0.3,,-       
4.55,0.61,0.75,-0.3,,-       
4.6,0.61,0.76,-0.3,,-       
4.65,0.61,0.76,-0.3,,-       
4.7,0.61,0.76,-0.3,,-       
4.75,0.24,2.14,3.4,4.09,-       
4.8,0.25,2.13,3.4,4.11,gaze started: p_2_3
4.85,0.32,2.16,3.4,4.1,-       
4.9,0.12,1.98,3.4,4.19,-       
4.95,0.11,1.98,3.4,4.13,gaze started: p_2_2
5.0,0.13,1.99,3.46,4.1,-       
5.05,0.06,1.96,3.4,4.0,-       
5.1,0.14,1.96,3.46,3.98,gaze started: p_2_2
5.15,0.24,1.79,3.4,3.84,-       
5.2,0.21,1.81,3.46,3.78,gaze started: p_3_3
5.25,0.21,1.79,3.4,3.75,-       
5.3,0.2,1.78,3.4,3.71,gaze started: p_3_3
5.35,0.2,1.78,3.4,3.71,-       
5.4,0.2,1.78,3.4,3.71,-       
5.45,0.2,1.78,3.4,3.7,-       
5.5,0.28,1.75,3.4,3.8,-       
5.55,0.61,0.76,-0.3,,gaze fixated: p_3_3
5.6,0.61,0.76,-0.3,,gaze ended: p_3_3
5.65,0.61,0.75,-0.3,,-       
5.7,0.61,0.75,-0.3,,-       
5.75,0.61,0.75,-0.3,,-       
5.8,0.61,0.75,-0.3,,-       
5.85,0.18,1.75,3.4,3.93,-       
5.9,0.17,1.77,3.4,4.01,gaze started: p_3_3
5.95,0.18,1.75,3.4,3.98,-       
6.0,0.2,1.76,3.4,3.98,-       
6.05,0.22,1.75,3.4,3.93,-       
6.1,0.21,1.75,3.4,3.81,-       
6.15,0.29,1.75,3.4,3.66,-       
6.2,0.28,1.76,3.4,3.61,gaze fixated: p_3_3
6.25,0.17,1.81,3.4,3.5,-       
6.3,0.14,1.82,3.46,3.52,gaze started: p_2_3
6.35,0.21,1.82,3.4,3.52,-       
6.4,0.11,1.81,3.46,3.55,gaze started: p_2_3
6.45,0.11,1.79,3.4,3.56,-       
6.5,0.2,1.81,3.46,3.66,gaze started: p_3_2
6.55,0.21,1.9,3.4,3.75,gaze started: p_2_3
6.6,0.16,1.88,3.4,3.77,-       
6.65,0.15,1.87,3.4,3.79,-       
6.7,0.21,1.89,3.4,3.83,-       
6.75,0.14,1.89,3.46,3.87,-       
6.8,0.15,1.88,3.4,3.92,-       
6.85,0.15,1.89,3.4,3.93,gaze started: p_2_3
6.9,0.15,1.89,3.4,3.94,-       
6.95,0.22,1.89,3.4,3.92,-       
7.0,0.22,1.89,3.4,3.92,-       
7.05,0.14,1.88,3.4,3.86,-       
7.1,0.14,1.88,3.4,3.86,-       
7.15,0.2,1.81,3.46,3.84,gaze ended: p_2_3
7.2,0.2,1.81,3.46,3.84,gaze ended: p_2_3
7.25,0.23,1.81,3.46,3.85,-       
7.3,0.22,1.81,3.46,3.86,-       
7.35,0.22,1.81,3.46,3.92,-       
7.4,0.22,1.81,3.46,3.99,-       
7.45,0.23,1.81,3.46,4.06,-       
7.5,0.22,1.79,3.4,4.08,-       
7.55,0.22,1.81,3.46,4.15,gaze started: p_3_3
7.6,0.21,1.81,3.46,4.17,-       
7.65,0.27,1.83,3.4,4.23,-       
7.7,0.18,1.85,3.4,4.25,gaze started: p_2_3
7.75,0.19,1.85,3.4,4.26,-       
7.8,0.19,1.85,3.4,4.25,-       
7.85,0.26,1.87,3.4,4.26,-       
7.9,0.26,1.87,3.4,4.26,-       
7.95,0.2,1.86,3.4,4.26,-       
8.0,0.2,1.86,3.4,4.25,gaze fixated: p_2_3
8.05,0.2,1.86,3.4,4.23,-       
8.1,0.2,1.86,3.4,4.23,-       
8.15,0.21,1.86,3.4,4.23,-       
8.2,0.2,1.85,3.4,4.15,-       
8.25,0.23,1.83,3.4,3.83,-       
8.3,0.23,1.84,3.4,3.8,-       
8.35,0.23,1.85,3.4,3.77,-       
8.4,0.23,1.85,3.4,3.73,-       
8.45,0.26,1.85,3.4,3.7,-       
8.5,0.61,0.76,-0.3,,-       
8.55,0.61,0.76,-0.3,,gaze ended: p_2_3
8.6,0.61,0.76,-0.3,,-       
8.65,0.61,0.76,-0.3,,-       
8.7,0.61,0.76,-0.3,,-       
8.75,0.16,1.87,3.4,3.79,-       
8.8,0.25,1.88,3.4,3.88,gaze started: p_2_3
8.85,0.26,1.89,3.4,3.89,-       
8.9,0.17,1.87,3.4,3.89,-       
8.95,0.17,1.88,3.4,3.89,-       
9.0,0.2,1.84,3.4,3.73,-       
9.05,0.3,1.87,3.4,3.69,gaze fixated: p_2_3
9.1,0.3,1.87,3.4,3.64,-       
9.15,0.3,1.88,3.4,3.59,-       
9.2,0.26,1.85,3.4,3.53,-       
9.25,0.28,1.87,3.4,3.52,-       
9.3,0.2,1.84,3.4,3.5,-       
9.35,0.18,1.83,3.4,3.52,-       
9.4,0.18,1.83,3.4,3.53,-       
9.45,0.18,1.83,3.4,3.54,-       
9.5,0.2,1.87,3.4,3.74,-       
9.55,0.23,1.92,3.4,3.75,-       
9.6,0.25,1.92,3.4,3.76,-       
9.65,0.2,1.9,3.4,3.79,-       
9.7,0.19,1.89,3.4,3.81,-       
9.75,0.2,1.89,3.4,3.84,-       
9.8,0.28,1.93,3.4,3.83,-       
9.85,0.29,1.9,3.4,3.88,-       
9.9,0.6,0.76,-0.3,,-       
9.95,0.6,0.76,-0.3,,gaze ended: p_2_3
10.0,0.6,0.76,-0.3,,-       
10.05,0.6,0.76,-0.3,,-       
10.1,0.29,1.88,3.4,3.79,-       
10.15,0.18,1.83,3.4,3.69,gaze started: p_2_3
10.2,-0.39,2.12,3.4,3.78,-       
10.25,-0.54,2.18,3.4,3.65,-       
10.3,-0.54,2.18,3.4,3.65,-       
10.35,-0.55,2.18,3.4,3.68,-       
10.4,-0.75,2.13,3.4,3.83,-       
10.45,-0.75,2.13,3.4,3.83,gaze started: p_2_1
10.5,-0.75,2.12,3.4,3.84,-       
10.55,-0.75,2.13,3.4,3.91,-       
10.6,-0.74,2.13,3.4,3.93,-       
10.65,-0.74,2.14,3.4,3.96,-       
10.7,-0.76,2.27,3.4,4.1,gaze fixated: p_2_1
10.75,-0.79,2.28,3.4,4.11,gaze started: p_1_1
10.8,-0.77,2.28,3.4,4.1,-       
10.85,-0.77,2.29,3.4,4.11,-       
10.9,-0.76,2.29,3.4,4.14,-       
10.95,-0.75,2.28,3.4,4.16,-       
11.0,-0.75,2.28,3.4,4.16,-       
11.05,-0.77,2.28,3.4,4.19,-       
11.1,-0.8,2.29,3.4,4.23,-       
11.15,-0.84,2.24,3.4,4.33,-       
11.2,-0.82,2.25,3.4,4.34,gaze started: p_2_1
11.25,-0.82,2.25,3.4,4.38,-       
11.3,-0.82,2.25,3.4,4.4,-       
11.35,-0.82,2.24,3.4,4.42,-       
11.4,-0.82,2.24,3.4,4.47,-       
11.45,-0.82,2.24,3.4,4.45,-       
11.5,-0.82,2.29,3.46,4.52,gaze fixated: p_2_1
11.55,-0.81,2.28,3.4,4.53,gaze ended: p_2_1
11.6,-0.81,2.28,3.4,4.53,gaze started: p_1_1
11.65,-0.83,2.29,3.46,4.53,-       
11.7,-0.86,2.29,3.4,4.45,-       
11.75,0.61,0.75,-0.3,,gaze started: p_1_1
11.8,0.61,0.75,-0.3,,-       
11.85,0.61,0.75,-0.3,,-       
11.9,0.61,0.75,-0.3,,-       
11.95,-0.88,2.36,3.4,4.67,-       
12.0,-0.85,2.32,3.4,4.61,gaze started: p_1_1
12.05,-0.83,2.35,3.4,4.6,-       
12.1,-0.84,2.35,3.4,4.6,-       
12.15,-0.83,2.32,3.4,4.59,-       
12.2,-0.84,2.32,3.4,4.57,-       
12.25,-0.88,2.32,3.4,4.55,-       
12.3,-0.74,2.29,3.4,4.46,gaze fixated: p_1_1
12.35,-0.25,2.21,3.4,4.37,-       
12.4,-0.24,2.2,3.4,4.37,gaze started: p_2_2
12.45,-0.26,2.17,3.4,4.35,-       
12.5,-0.28,2.16,3.4,4.34,-       
12.55,-0.28,2.15,3.4,4.36,-       
12.6,-0.28,2.15,3.4,4.36,-       
12.65,-0.68,2.38,3.4,4.38,gaze started: p_1_2
12.7,-0.68,2.38,3.4,4.38,gaze started: p_1_2
12.75,-0.72,2.33,3.46,4.31,-       
12.8,-0.7,2.31,3.4,4.24,-       
12.85,-0.69,2.31,3.4,4.2,gaze started: p_1_1
12.9,-0.69,2.31,3.4,4.2,gaze started: p_1_1
12.95,-0.68,2.48,3.4,4.16,gaze started: p_1_2
13.0,-0.68,2.48,3.4,4.14,-       
13.05,-0.68,2.49,3.4,4.15,-       
13.1,-0.67,2.49,3.4,4.17,-       
13.15,-0.65,2.49,3.4,4.19,gaze fixated: p_1_2
13.2,-0.64,2.49,3.4,4.22,-       
13.25,-0.64,2.49,3.4,4.26,-       
13.3,0.61,0.75,-0.3,,-       
13.35,0.61,0.75,-0.3,,gaze ended: p_1_2
13.4,0.61,0.75,-0.3,,-       
13.45,0.61,0.75,-0.3,,-       
13.5,0.61,0.75,-0.3,,-       
13.55,0.61,0.75,-0.3,,-       
13.6,-0.62,2.35,3.4,4.23,-       
13.65,-0.56,2.37,3.4,4.54,gaze started: p_1_2
13.7,-0.56,2.4,3.4,4.56,-       
13.75,-0.59,2.39,3.4,4.56,-       
13.8,-0.57,2.38,3.4,4.56,-       
13.85,-0.23,2.38,3.4,4.49,-       
13.9,-0.21,2.35,3.4,4.46,-       
13.95,-0.21,2.35,3.4,4.45,gaze fixated: p_1_2
14.0,-0.24,2.28,3.4,4.44,-       
14.05,-0.23,2.29,3.4,4.46,-       
14.1,-0.23,2.29,3.4,4.5,-       
14.15,-0.24,2.29,3.4,4.54,-       
14.2,-0.24,2.29,3.4,4.56,-       
14.25,-0.24,2.28,3.4,4.58,-       
14.3,-0.24,2.28,3.4,4.56,-       
14.35,-0.24,2.29,3.46,4.54,-       
14.4,-0.66,2.28,3.4,4.4,gaze ended: p_1_2
14.45,-0.66,2.28,3.4,4.36,gaze started: p_1_2
14.5,-0.68,2.29,3.46,4.37,-       
14.55,-0.68,2.28,3.46,4.36,-       
14.6,-0.69,2.29,3.46,4.36,-       
14.65,-0.68,2.29,3.46,4.37,-       
14.7,-0.67,2.29,3.46,4.39,-       
14.75,-0.66,2.26,3.4,4.42,-       
14.8,-0.68,2.29,3.46,4.49,gaze started: p_2_2
14.85,-0.24,2.25,3.4,4.65,-       
14.9,-0.24,2.29,3.46,4.59,gaze started: p_2_2
14.95,-0.27,2.29,3.46,4.59,-       
