time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-1.5,0.6,3.37,4.33,-       
0.05,-1.5,0.6,3.37,4.33,-       
0.1,-1.5,0.6,3.37,4.33,-       
0.15,-1.5,0.6,3.37,4.33,-       
0.2,-1.5,0.6,3.37,4.33,-       
0.25,-1.5,0.6,3.37,4.33,-       
0.3,-1.5,0.6,3.37,4.33,-       
0.35,-1.5,0.6,3.37,4.33,-       
0.4,-1.5,0.6,3.37,4.33,-       
0.45,-1.5,0.6,3.37,4.33,-       
0.5,-1.5,0.6,3.37,4.33,-       
0.55,-1.44,0.71,3.37,4.33,-       
0.6,-1.44,0.71,3.37,4.33,-       
0.65,-1.45,0.72,3.37,4.34,-       
0.7,-1.45,0.72,3.37,4.36,-       
0.75,-1.39,0.69,3.57,4.31,-       
0.8,-1.06,0.8,3.57,4.37,-       
0.85,-1.03,0.8,3.57,4.37,-       
0.9,-1.03,0.8,3.57,4.38,-       
0.95,-1.01,0.79,3.57,4.37,-       
1.0,-1.01,0.79,3.57,4.37,-       
1.05,-1.01,0.8,3.57,4.38,-       
1.1,-1.0,0.8,3.57,4.38,-       
1.15,-0.33,0.5,2.93,4.38,-       
1.2,-0.33,0.5,2.93,4.38,-       
1.25,-0.31,0.49,2.93,4.38,-       
1.3,-0.31,0.49,2.93,4.38,-       
1.35,-0.32,0.48,2.94,4.4,-       
1.4,-0.32,0.48,2.94,4.4,-       
1.45,-0.33,0.47,2.94,4.42,-       
1.5,-0.33,0.47,2.94,4.42,-       
1.55,-0.32,0.47,2.94,4.42,-       
1.6,-0.31,0.48,2.94,4.41,-       
1.65,-0.31,0.48,2.94,4.4,-       
1.7,-0.31,0.48,2.94,4.4,-       
1.75,-0.31,0.48,2.94,4.37,-       
1.8,-0.31,0.48,2.94,4.37,-       
1.85,0.2,0.26,2.94,4.26,-       
1.9,0.25,0.28,2.94,4.24,-       
1.95,0.38,0.51,2.93,4.22,-       
2.0,0.59,0.84,-0.39,,-       
2.05,0.59,0.84,-0.39,,-       
2.1,0.55,1.58,3.4,4.01,-       
2.15,0.5,1.5,3.4,3.64,gaze started: p_3_3
2.2,0.48,1.53,3.4,3.41,-       
2.25,0.49,1.51,3.4,3.33,-       
2.3,0.48,1.53,3.4,3.23,-       
2.35,0.5,1.5,3.4,3.16,-       
2.4,0.5,1.5,3.4,3.09,-       
2.45,0.5,1.52,3.4,2.99,gaze fixated: p_3_3
2.5,0.26,1.58,3.4,2.72,-       
2.55,0.22,1.63,3.4,2.69,-       
2.6,0.22,1.63,3.4,2.69,-       
2.65,0.13,1.61,3.4,2.69,-       
2.7,0.18,1.65,3.4,2.68,gaze started: p_3_2
2.75,0.22,1.65,3.4,2.64,gaze started: p_3_3
2.8,0.17,1.65,3.4,2.64,-       
2.85,0.19,1.65,3.4,2.62,-       
2.9,0.14,2.03,3.4,2.7,-       
2.95,0.08,2.06,3.4,2.69,gaze started: p_2_3
3.0,0.08,2.07,3.4,2.71,gaze started: p_2_2
3.05,0.08,2.08,3.4,2.74,-       
3.1,0.09,2.08,3.4,2.76,-       
3.15,0.09,2.07,3.4,2.77,-       
3.2,0.14,2.04,3.4,2.81,-       
3.25,0.59,0.84,-0.39,,gaze started: p_2_3
3.3,0.6,0.84,-0.39,,-       
3.35,0.6,0.84,-0.39,,-       
3.4,0.16,1.82,3.4,3.0,-       
3.45,0.16,1.82,3.46,3.05,gaze started: p_2_3
3.5,0.17,1.82,3.4,3.04,-       
3.55,0.18,1.83,3.4,3.07,gaze started: p_2_3
3.6,0.17,1.84,3.4,3.09,-       
3.65,0.18,1.82,3.4,3.13,-       
3.7,0.22,1.67,3.4,3.18,-       
3.75,0.22,1.7,3.4,3.17,gaze started: p_3_3
3.8,0.26,1.68,3.4,3.2,-       
3.85,0.21,1.66,3.4,3.22,-       
3.9,0.21,1.66,3.4,3.22,-       
3.95,0.26,1.68,3.4,3.29,-       
4.0,0.26,1.68,3.4,3.29,-       
4.05,0.19,1.68,3.4,3.36,-       
4.1,0.19,1.68,3.4,3.36,-       
4.15,0.19,1.68,3.4,3.42,-       
4.2,0.2,1.67,3.4,3.43,-       
4.25,0.22,1.65,3.4,3.47,-       
4.3,0.31,1.69,3.4,3.5,-       
4.35,0.29,1.68,3.4,3.48,-       
4.4,0.29,1.67,3.4,3.49,-       
4.45,0.29,1.67,3.4,3.49,-       
4.5,0.29,1.67,3.4,3.51,-       
4.55,0.29,1.67,3.4,3.51,-       
4.6,0.29,1.67,3.4,3.52,-       
