time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.25,1.52,3.4,4.54,-       
0.05,0.25,1.52,3.4,4.54,-       
0.1,0.26,1.52,3.4,4.56,-       
0.15,0.26,1.52,3.4,4.58,-       
0.2,0.26,1.52,3.4,4.59,-       
0.25,0.25,1.52,3.4,4.6,-       
0.3,0.25,1.52,3.4,4.49,-       
0.35,0.27,1.51,3.4,4.33,-       
0.4,0.27,1.5,3.4,4.06,-       
0.45,0.27,1.5,3.4,4.06,-       
0.5,0.27,1.5,3.4,4.06,-       
0.55,0.27,1.5,3.4,4.06,-       
0.6,0.27,1.5,3.4,4.06,-       
0.65,0.27,1.5,3.4,4.06,-       
0.7,0.27,1.5,3.4,4.06,-       
0.75,0.27,1.5,3.4,4.06,-       
0.8,0.27,1.5,3.4,4.06,-       
0.85,0.27,1.5,3.4,4.06,-       
0.9,0.27,1.5,3.4,4.06,-       
0.95,0.27,1.5,3.4,3.25,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_carscom_30s_50nd.mp4
1.0,0.26,1.39,3.4,3.21,-       
1.05,0.27,1.29,3.4,3.19,-       
1.1,0.22,1.29,3.4,3.19,gaze started: p_4_3
1.15,0.26,1.28,3.4,3.19,-       
1.2,0.26,1.28,3.4,3.19,-       
1.25,0.23,1.29,3.4,3.16,-       
1.3,0.25,1.3,3.4,3.13,-       
1.35,0.21,1.3,3.4,3.12,-       
1.4,0.21,1.3,3.4,3.13,gaze fixated: p_4_3
1.45,0.21,1.3,3.4,3.1,-       
1.5,0.06,1.32,3.4,3.13,-       
1.55,0.02,1.33,3.46,3.16,gaze started: p_4_2
1.6,0.01,1.34,3.46,3.19,-       
1.65,0.01,1.34,3.46,3.28,-       
1.7,0.02,1.34,3.46,3.38,-       
1.75,-0.26,1.26,3.4,3.57,-       
1.8,-1.23,0.95,3.4,3.59,gaze started: p_4_2
1.85,-1.62,0.84,3.54,3.61,gaze started: p_4_1
1.9,-1.62,0.84,3.54,3.61,gaze started: p_4_1
1.95,-1.56,0.84,3.47,3.71,-       
2.0,-1.63,0.85,3.57,3.79,-       
2.05,-1.57,0.86,3.46,3.78,-       
2.1,-1.6,0.84,3.5,3.87,-       
2.15,-1.4,0.68,3.38,3.91,-       
2.2,-1.39,0.69,3.4,3.95,-       
2.25,-1.39,0.69,3.39,4.01,-       
2.3,-1.39,0.68,3.38,3.99,-       
2.35,-1.4,0.69,3.38,4.02,-       
