time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.02,1.31,3.4,3.29,gaze fixated: p_4_2
0.05,-0.02,1.31,3.4,3.29,gaze fixated: p_4_2
0.1,0.16,1.12,3.4,3.27,-       
0.15,0.09,1.18,3.4,3.22,gaze started: p_4_3
0.2,0.13,2.2,3.4,3.47,gaze started: p_4_2
0.25,-0.01,2.37,3.4,3.44,gaze started: p_2_2
0.3,0.1,2.31,3.4,3.39,gaze started: p_1_2
0.35,0.11,2.29,3.4,3.38,-       
0.4,0.11,2.28,3.4,3.4,-       
0.45,0.23,2.09,3.4,3.36,-       
0.5,0.24,1.89,3.4,3.44,gaze started: p_2_3
0.55,0.25,1.87,3.4,3.39,-       
0.6,0.29,1.85,3.4,3.4,-       
0.65,0.35,1.81,3.46,3.4,-       
0.7,0.35,1.79,3.4,3.42,-       
0.75,0.59,1.83,3.4,3.43,gaze started: p_3_3
0.8,0.59,1.83,3.4,3.43,gaze started: p_3_3
0.85,0.71,1.83,3.4,3.4,gaze started: p_2_3
0.9,0.68,1.85,3.4,3.4,-       
0.95,0.68,1.84,3.4,3.39,-       
1.0,0.74,1.83,3.4,3.41,-       
1.05,0.77,1.84,3.4,3.42,-       
1.1,0.77,1.84,3.4,3.42,-       
1.15,0.77,1.84,3.4,3.42,-       
1.2,0.77,1.84,3.4,3.42,-       
1.25,0.77,1.84,3.4,3.42,-       
1.3,0.77,1.84,3.4,3.42,-       
1.35,0.77,1.84,3.4,3.42,-       
1.4,0.77,1.84,3.4,3.42,-       
1.45,0.77,1.84,3.4,3.42,-       
1.5,0.77,1.84,3.4,3.42,-       
1.55,0.77,1.84,3.4,3.42,-       
1.6,1.44,1.2,3.4,3.52,gaze fixated: p_2_3
1.65,0.58,1.32,3.4,3.41,gaze started: p_4_4
1.7,0.24,1.28,3.4,3.44,gaze started: p_4_3
1.75,0.22,1.27,3.4,3.47,-       
1.8,0.16,1.34,3.46,3.51,-       
1.85,0.24,1.3,3.4,3.58,-       
1.9,0.24,1.3,3.4,3.58,-       
1.95,0.22,1.3,3.4,3.59,gaze started: p_4_3
2.0,0.14,1.34,3.4,3.61,-       
2.05,0.15,1.35,3.4,3.64,gaze started: p_3_3
2.1,0.17,1.34,3.46,3.66,-       
2.15,0.16,1.34,3.4,3.7,-       
2.2,0.23,1.34,3.46,3.77,gaze started: p_3_3
2.25,0.47,0.79,-0.33,,-       
2.3,0.47,0.79,-0.33,,-       
2.35,0.28,1.68,3.4,3.8,-       
2.4,0.23,1.64,3.4,3.95,gaze started: p_3_3
2.45,0.23,1.64,3.4,3.95,gaze started: p_3_3
2.5,0.26,1.63,3.4,3.93,-       
2.55,0.18,1.69,3.4,3.91,-       
2.6,0.19,1.69,3.4,3.92,-       
2.65,0.18,1.68,3.4,3.91,-       
2.7,0.18,1.69,3.4,3.94,gaze fixated: p_3_3
2.75,0.17,1.69,3.4,3.96,-       
2.8,0.16,1.69,3.4,3.97,-       
2.85,0.17,1.69,3.4,3.98,-       
2.9,0.17,1.67,3.4,4.0,-       
2.95,0.19,1.67,3.4,4.02,-       
3.0,0.19,1.67,3.4,4.02,-       
3.05,0.15,1.68,3.4,4.03,-       
3.1,0.19,1.68,3.4,3.91,-       
3.15,0.21,1.68,3.4,3.68,-       
3.2,0.2,1.67,3.4,3.48,-       
3.25,0.22,1.68,3.4,3.23,-       
3.3,0.19,1.67,3.4,3.13,-       
3.35,0.18,1.67,3.4,3.01,-       
3.4,0.18,1.68,3.4,2.94,-       
3.45,0.18,1.68,3.4,2.9,-       
3.5,0.27,1.7,3.4,2.9,-       
3.55,0.18,1.75,3.4,2.92,-       
3.6,0.47,0.79,-0.33,,-       
3.65,0.47,0.79,-0.33,,-       
3.7,0.47,0.79,-0.33,,gaze ended: p_3_3
3.75,0.3,1.77,3.4,2.82,-       
3.8,0.29,1.81,3.46,2.98,gaze started: p_3_3
3.85,0.27,1.83,3.4,2.94,-       
3.9,0.26,1.79,3.4,2.96,gaze started: p_2_3
3.95,0.47,0.79,-0.33,,gaze started: p_3_3
4.0,0.47,0.79,-0.33,,-       
4.05,0.47,0.79,-0.33,,-       
4.1,0.47,0.79,-0.33,,-       
4.15,0.47,0.79,-0.33,,-       
4.2,0.47,0.79,-0.33,,-       
4.25,0.47,0.79,-0.33,,-       
4.3,0.62,1.34,3.46,3.16,-       
4.35,0.6,1.29,3.4,3.09,-       
4.4,0.61,1.31,3.4,3.25,gaze started: p_4_3
4.45,-0.07,1.12,3.4,3.34,-       
4.5,-0.07,1.12,3.4,3.34,gaze started: p_4_2
4.55,-0.23,1.13,3.4,3.35,-       
4.6,-0.19,1.11,3.4,3.36,-       
4.65,-0.19,1.11,3.4,3.36,-       
4.7,-0.07,1.09,3.4,3.29,-       
4.75,-0.13,1.15,3.4,3.24,-       
4.8,-0.11,1.14,3.4,3.19,gaze fixated: p_4_2
4.85,-0.15,1.15,3.4,3.16,-       
4.9,-0.16,1.15,3.4,3.14,-       
4.95,-0.2,1.11,3.4,3.11,-       
5.0,-1.51,0.74,3.57,3.14,-       
5.05,-1.51,0.72,3.57,3.13,gaze ended: p_4_2
5.1,-1.46,0.73,3.48,3.08,-       
5.15,-1.46,0.73,3.47,3.07,-       
5.2,-1.46,0.73,3.47,3.07,-       
5.25,-1.49,0.75,3.57,3.08,-       
5.3,-1.47,0.74,3.57,3.06,-       
5.35,-1.35,0.58,3.39,3.03,-       
5.4,-1.35,0.59,3.39,3.0,-       
5.45,-1.33,0.61,3.38,3.02,-       
5.5,-1.33,0.61,3.38,3.06,-       
5.55,-1.33,0.62,3.38,3.12,-       
5.6,-1.33,0.62,3.38,3.17,-       
5.65,-1.35,0.62,3.39,3.24,-       
5.7,-1.36,0.64,3.39,3.3,-       
5.75,-1.36,0.64,3.39,3.3,-       
5.8,-1.33,0.63,3.38,3.35,-       
5.85,-1.34,0.62,3.38,3.41,-       
5.9,-1.36,0.61,3.39,3.45,-       
5.95,-1.36,0.61,3.39,3.46,-       
6.0,-1.37,0.61,3.39,3.47,-       
6.05,-0.66,1.04,3.4,3.3,-       
6.1,-0.02,1.32,3.4,3.29,gaze started: p_4_2
6.15,0.05,1.31,3.4,3.29,-       
6.2,0.03,1.34,3.4,3.27,-       
6.25,0.01,1.34,3.46,3.26,gaze started: p_3_2
6.3,0.01,1.34,3.46,3.26,gaze started: p_3_2
6.35,-0.0,1.35,3.4,3.24,-       
6.4,0.04,1.34,3.46,3.21,gaze started: p_3_2
6.45,0.05,1.32,3.4,3.18,-       
6.5,-0.07,1.34,3.46,3.11,gaze started: p_4_2
6.55,-0.07,1.34,3.46,3.06,-       
6.6,-0.07,1.34,3.4,3.03,-       
6.65,0.24,1.63,3.4,3.01,gaze started: p_3_2
6.7,0.25,1.69,3.4,2.99,gaze started: p_3_3
6.75,0.11,1.75,3.4,2.99,-       
6.8,0.16,1.73,3.4,2.99,gaze started: p_3_2
6.85,0.25,1.66,3.4,2.96,gaze started: p_3_3
6.9,0.19,1.68,3.4,2.94,-       
6.95,0.19,1.68,3.4,2.94,-       
7.0,0.16,1.71,3.4,2.95,-       
7.05,0.18,1.74,3.4,2.88,-       
7.1,0.47,0.79,-0.33,,-       
7.15,0.47,0.79,-0.33,,-       
7.2,0.47,0.79,-0.33,,-       
7.25,0.47,0.79,-0.33,,-       
7.3,0.22,1.77,3.4,2.97,-       
7.35,0.26,1.78,3.4,3.06,gaze started: p_3_3
7.4,0.22,1.78,3.4,3.07,-       
7.45,0.16,1.82,3.4,3.16,-       
7.5,0.16,1.82,3.4,3.16,-       
7.55,0.0,1.77,3.4,3.23,gaze started: p_2_3
7.6,0.47,0.79,-0.33,,gaze started: p_3_2
7.65,0.47,0.79,-0.33,,-       
7.7,0.47,0.79,-0.33,,-       
7.75,0.47,0.79,-0.33,,-       
7.8,0.47,0.79,-0.33,,-       
7.85,0.47,0.79,-0.33,,-       
7.9,0.27,1.7,3.4,3.18,-       
7.95,0.2,1.82,3.4,3.16,gaze started: p_3_3
8.0,0.25,1.73,3.4,3.18,gaze started: p_2_3
8.05,0.04,1.77,3.4,3.46,gaze started: p_3_3
8.1,0.47,0.79,-0.33,,gaze started: p_3_2
8.15,0.47,0.79,-0.33,,-       
8.2,0.47,0.79,-0.33,,-       
8.25,0.47,0.79,-0.33,,-       
8.3,0.47,0.79,-0.33,,-       
8.35,0.47,0.79,-0.33,,-       
8.4,0.24,1.82,3.4,3.09,-       
8.45,0.25,1.82,3.46,3.17,gaze started: p_2_3
8.5,0.26,1.85,3.4,3.25,-       
8.55,0.25,1.85,3.4,3.24,gaze started: p_2_3
8.6,0.24,1.85,3.4,3.25,-       
8.65,0.19,1.87,3.4,3.24,-       
8.7,0.19,1.87,3.4,3.24,-       
8.75,0.24,1.84,3.4,3.2,-       
8.8,0.26,1.83,3.4,3.13,-       
