time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.45,1.78,3.4,3.23,-       
0.05,0.45,1.78,3.4,3.23,-       
0.1,0.45,1.77,3.4,3.21,-       
0.15,0.47,1.76,3.4,3.2,-       
0.2,0.46,1.76,3.4,3.18,-       
0.25,0.38,1.75,3.4,3.12,gaze fixated: p_3_3
0.3,0.1,1.76,3.4,3.12,-       
0.35,0.06,1.76,3.4,3.13,gaze started: p_3_2
0.4,0.07,1.77,3.4,3.15,-       
0.45,0.12,1.75,3.4,3.15,-       
0.5,0.12,1.75,3.4,3.15,-       
0.55,1.39,1.46,3.4,3.17,-       
0.6,1.48,1.1,3.4,3.18,gaze started: p_3_4
0.65,1.5,1.15,3.4,3.19,gaze started: p_4_4
0.7,1.48,1.14,3.4,3.21,-       
0.75,1.57,1.05,3.4,3.14,-       
0.8,1.57,1.07,3.4,3.19,-       
0.85,1.57,1.06,3.4,3.15,-       
0.9,1.23,1.13,3.4,3.24,gaze fixated: p_4_4
0.95,1.23,1.13,3.4,3.24,gaze fixated: p_4_4
1.0,1.23,1.13,3.4,3.24,gaze fixated: p_4_4
1.05,1.23,1.13,3.4,3.24,gaze fixated: p_4_4
1.1,1.23,1.13,3.4,3.24,gaze fixated: p_4_4
1.15,1.23,1.13,3.4,3.24,gaze fixated: p_4_4
1.2,1.23,1.13,3.4,3.24,gaze fixated: p_4_4
1.25,1.23,1.13,3.4,3.24,gaze fixated: p_4_4
1.3,1.23,1.13,3.4,3.24,gaze fixated: p_4_4
1.35,1.23,1.13,3.4,3.24,gaze fixated: p_4_4
1.4,1.23,1.13,3.4,3.24,gaze fixated: p_4_4
1.45,1.28,1.05,3.4,3.32,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alzheimers_30s_50nd.mp4
1.5,0.25,1.12,3.4,3.18,-       
1.55,0.33,1.14,3.4,3.19,gaze started: p_4_3
1.6,0.33,1.13,3.4,3.2,-       
1.65,0.27,1.13,3.4,3.21,-       
1.7,0.29,1.13,3.4,3.2,-       
1.75,0.28,1.14,3.4,3.07,-       
1.8,0.28,1.14,3.4,3.07,-       
1.85,0.02,0.81,3.57,3.15,gaze fixated: p_4_3
1.9,-0.05,0.82,3.57,3.13,gaze ended: p_4_3
1.95,-0.08,0.83,3.57,3.13,-       
2.0,-0.2,0.53,3.23,3.23,-       
2.05,-0.34,0.53,3.22,3.28,-       
2.1,-0.35,0.53,3.23,3.29,-       
2.15,-0.34,0.53,3.26,3.34,-       
2.2,-0.34,0.53,3.26,3.34,-       
2.25,-0.35,0.53,3.28,3.42,-       
2.3,-0.88,0.58,3.57,3.59,-       
2.35,-1.48,0.63,3.38,3.79,-       
2.4,-1.51,0.66,3.37,3.75,-       
2.45,-1.51,0.65,3.37,3.89,-       
2.5,-1.5,0.65,3.38,3.81,-       
2.55,-1.51,0.63,3.37,3.85,-       
2.6,-1.35,0.6,3.39,3.88,-       
2.65,-1.33,0.62,3.38,3.91,-       
2.7,-1.33,0.61,3.38,3.91,-       
2.75,-1.33,0.61,3.38,3.91,-       
2.8,-1.31,0.59,3.4,3.95,-       
2.85,-1.32,0.58,3.38,3.97,-       
2.9,-0.77,0.97,3.4,3.86,-       
2.95,0.31,1.32,3.4,3.74,gaze started: p_4_1
3.0,0.46,1.52,3.4,3.48,gaze started: p_4_3
3.05,0.49,1.5,3.4,3.32,gaze started: p_3_3
3.1,0.49,1.5,3.4,3.32,gaze started: p_3_3
3.15,0.47,1.51,3.4,3.25,-       
3.2,0.47,1.5,3.4,3.19,-       
3.25,0.47,1.5,3.4,3.1,-       
3.3,0.45,1.54,3.4,3.04,-       
3.35,0.45,1.55,3.4,3.02,gaze fixated: p_3_3
3.4,0.45,1.55,3.4,2.99,-       
3.45,0.43,1.55,3.4,2.97,-       
3.5,0.43,1.55,3.4,2.97,-       
3.55,0.43,1.55,3.4,2.94,-       
3.6,0.42,1.55,3.4,2.9,-       
3.65,0.43,1.55,3.4,2.88,-       
3.7,0.43,1.57,3.4,2.87,-       
3.75,0.16,1.86,3.4,3.0,-       
3.8,0.15,1.98,3.4,2.93,gaze started: p_2_3
3.85,0.07,2.0,3.4,2.93,-       
3.9,0.07,2.0,3.4,2.93,-       
3.95,0.07,1.99,3.4,2.94,gaze started: p_2_2
4.0,0.04,1.99,3.4,2.99,-       
4.05,0.56,0.79,-0.33,,-       
4.1,0.56,0.79,-0.33,,-       
4.15,0.56,0.79,-0.33,,-       
4.2,0.56,0.79,-0.33,,-       
4.25,0.96,1.3,3.4,3.14,-       
4.3,0.96,1.3,3.4,3.14,-       
4.35,0.99,1.27,3.4,3.13,gaze started: p_4_3
4.4,0.94,1.3,3.4,3.2,gaze started: p_4_4
4.45,1.04,1.18,3.4,3.18,gaze started: p_4_3
4.5,1.04,1.2,3.4,3.24,gaze started: p_4_4
4.55,1.07,1.19,3.4,3.23,-       
4.6,0.56,0.8,-0.33,,-       
4.65,0.56,0.8,-0.33,,-       
4.7,0.56,0.8,-0.33,,-       
4.75,0.09,1.39,3.4,3.17,-       
4.8,0.06,1.43,3.4,3.11,gaze started: p_3_2
4.85,0.07,1.44,3.4,3.15,-       
4.9,0.07,1.44,3.4,3.15,-       
4.95,0.06,1.45,3.4,3.17,-       
5.0,0.01,1.46,3.4,3.2,-       
5.05,-0.02,1.46,3.4,3.24,-       
5.1,-0.0,1.44,3.4,3.21,gaze fixated: p_3_2
5.15,0.16,1.17,3.4,3.19,-       
5.2,0.11,1.21,3.4,3.21,gaze started: p_4_3
5.25,0.12,1.21,3.4,3.2,gaze started: p_4_2
5.3,0.13,1.19,3.4,3.19,-       
5.35,0.13,1.2,3.4,3.2,-       
5.4,0.1,1.16,3.4,3.23,-       
5.45,0.1,1.14,3.4,3.18,-       
5.5,0.1,1.14,3.4,3.18,-       
5.55,0.05,1.17,3.4,3.17,gaze fixated: p_4_2
5.6,0.07,1.16,3.4,3.16,-       
5.65,0.07,1.16,3.4,3.14,-       
5.7,0.1,1.14,3.4,3.11,-       
5.75,0.08,1.15,3.4,3.08,-       
5.8,0.07,1.15,3.4,3.09,-       
5.85,0.07,1.14,3.4,3.08,-       
5.9,0.18,1.38,3.4,3.08,-       
5.95,0.23,1.56,3.4,3.04,gaze started: p_3_3
6.0,0.2,1.56,3.4,3.05,-       
6.05,0.2,1.57,3.4,3.04,-       
6.1,0.2,1.57,3.4,3.04,-       
6.15,0.18,1.57,3.4,3.0,-       
6.2,0.2,1.56,3.4,2.99,-       
6.25,0.23,1.57,3.4,2.94,gaze fixated: p_3_3
6.3,0.56,0.8,-0.33,,-       
6.35,0.56,0.8,-0.33,,gaze ended: p_3_3
6.4,0.56,0.8,-0.33,,gaze ended: p_3_3
6.45,0.55,0.8,-0.33,,-       
6.5,0.55,0.8,-0.33,,-       
6.55,0.55,0.8,-0.33,,-       
6.6,0.54,0.8,-0.33,,-       
6.65,0.27,1.55,3.4,3.14,-       
6.7,0.32,1.55,3.4,3.3,gaze started: p_3_3
6.75,0.29,1.57,3.4,3.35,-       
6.8,0.29,1.57,3.4,3.35,-       
6.85,0.53,0.8,-0.33,,-       
6.9,0.52,0.8,-0.34,,-       
6.95,0.52,0.8,-0.34,,-       
7.0,0.51,0.8,-0.34,,-       
7.05,0.24,1.68,3.4,3.36,-       
7.1,0.27,1.65,3.4,3.42,gaze started: p_3_3
7.15,0.29,1.71,3.4,3.42,-       
7.2,0.3,1.74,3.4,3.42,-       
7.25,0.3,1.74,3.4,3.42,-       
7.3,0.5,0.8,-0.34,,-       
7.35,0.49,0.8,-0.33,,-       
7.4,0.49,0.8,-0.33,,-       
7.45,0.48,0.79,-0.33,,-       
7.5,0.48,0.79,-0.33,,-       
7.55,0.48,0.79,-0.33,,-       
7.6,0.48,0.79,-0.33,,-       
7.65,0.27,1.81,3.46,3.34,-       
7.7,0.27,1.84,3.4,3.33,-       
7.75,0.23,1.87,3.4,3.38,gaze started: p_2_3
7.8,0.2,1.9,3.4,3.44,-       
7.85,0.47,0.79,-0.32,,-       
7.9,0.47,0.78,-0.32,,-       
7.95,0.46,0.78,-0.31,,-       
8.0,0.46,0.78,-0.31,,-       
8.05,0.29,1.87,3.4,3.38,-       
8.1,0.26,1.92,3.4,3.33,gaze started: p_2_3
8.15,0.37,1.91,3.4,3.4,-       
8.2,0.37,1.91,3.4,3.4,-       
8.25,0.28,1.94,3.4,3.39,-       
8.3,0.34,1.89,3.4,3.4,-       
8.35,0.28,1.82,3.46,3.36,-       
8.4,0.22,1.86,3.4,3.3,-       
8.45,0.23,1.85,3.4,3.26,gaze started: p_2_3
8.5,0.23,1.85,3.4,3.26,gaze started: p_2_3
8.55,0.23,1.85,3.4,3.28,-       
8.6,0.31,1.81,3.46,3.23,-       
8.65,0.3,1.84,3.4,3.24,-       
8.7,0.31,1.83,3.4,3.22,gaze started: p_2_3
8.75,0.31,1.82,3.4,3.22,-       
8.8,0.3,1.82,3.46,3.14,-       
8.85,0.3,1.82,3.46,3.14,-       
8.9,0.25,1.83,3.4,3.18,-       
8.95,0.25,1.82,3.46,3.18,gaze started: p_2_3
9.0,0.25,1.79,3.4,3.16,-       
9.05,0.23,1.82,3.4,3.12,gaze started: p_3_3
9.1,0.23,1.83,3.4,3.09,gaze started: p_2_3
9.15,0.26,1.81,3.46,3.07,-       
9.2,0.26,1.81,3.46,3.07,-       
9.25,0.23,1.84,3.4,3.03,-       
9.3,0.19,1.86,3.4,3.01,gaze started: p_2_3
9.35,0.26,1.79,3.4,3.01,-       
9.4,0.2,1.82,3.46,3.02,gaze started: p_3_3
9.45,0.17,1.87,3.4,3.01,-       
9.5,0.23,1.83,3.4,3.0,gaze started: p_2_3
9.55,0.22,1.88,3.4,3.01,-       
9.6,0.22,1.88,3.4,3.01,-       
9.65,-0.31,2.7,3.4,3.08,-       
9.7,-0.31,2.76,3.46,3.12,gaze started: p_1_2
9.75,-0.31,2.76,3.46,3.12,gaze started: p_1_2
9.8,-0.25,2.67,3.4,3.13,-       
9.85,-0.23,2.67,3.4,3.17,gaze started: p_1_2
9.9,-0.23,2.67,3.4,3.17,gaze started: p_1_2
9.95,-0.22,2.67,3.4,3.2,-       
10.0,-0.03,2.6,3.4,3.28,-       
10.05,-0.02,2.61,3.4,3.34,-       
10.1,-0.02,2.6,3.4,3.35,gaze fixated: p_1_2
10.15,-0.02,2.6,3.4,3.35,gaze fixated: p_1_2
10.2,-0.02,2.58,3.4,3.39,-       
10.25,-0.02,2.56,3.4,3.46,-       
10.3,-0.01,2.54,3.4,3.52,-       
10.35,-0.03,2.53,3.4,3.57,-       
10.4,-0.04,2.55,3.4,3.64,-       
