time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.43,2.06,3.4,3.63,-       
0.05,-0.44,2.06,3.4,3.62,-       
0.1,-0.45,2.07,3.4,3.6,-       
0.15,-0.44,2.07,3.4,3.58,-       
0.2,-0.44,2.07,3.4,3.58,-       
0.25,-0.44,2.07,3.4,3.55,-       
0.3,-0.44,2.07,3.4,3.55,-       
0.35,-0.44,2.07,3.4,3.55,-       
0.4,-0.44,2.07,3.4,3.55,-       
0.45,-0.44,2.07,3.4,3.55,-       
0.5,-0.44,2.07,3.4,3.55,-       
0.55,-0.44,2.07,3.4,3.55,-       
0.6,-0.44,2.07,3.4,3.55,-       
0.65,-0.44,2.07,3.4,3.55,-       
0.7,-0.44,2.07,3.4,3.55,-       
0.75,-0.58,2.19,3.4,3.47,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_mantherapy_30s_50wd.mp4
0.8,-0.58,2.19,3.4,3.47,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_mantherapy_30s_50wd.mp4
0.85,-0.58,2.19,3.4,3.47,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_mantherapy_30s_50wd.mp4
0.9,-0.56,2.18,3.4,3.45,-       
0.95,-0.34,2.18,3.4,3.51,-       
1.0,0.56,2.03,3.4,3.5,-       
1.05,0.47,2.01,3.4,3.66,gaze started: p_2_3
1.1,0.55,2.01,3.4,3.39,-       
1.15,-0.05,2.0,3.4,3.29,-       
1.2,-0.05,2.02,3.4,3.51,gaze started: p_2_2
1.25,-0.09,2.0,3.4,3.53,-       
1.3,-0.1,1.98,3.4,3.53,-       
1.35,-0.09,1.98,3.4,3.52,-       
1.4,-0.1,1.98,3.4,3.52,-       
1.45,-0.11,1.98,3.4,3.56,gaze fixated: p_2_2
1.5,-0.11,1.98,3.4,3.59,-       
1.55,-0.11,1.97,3.4,3.6,-       
1.6,-0.1,1.98,3.4,3.62,-       
1.65,-0.1,1.98,3.4,3.67,-       
1.7,-0.1,1.98,3.4,3.68,-       
1.75,-0.1,1.97,3.4,3.7,-       
1.8,-0.1,1.97,3.4,3.7,-       
1.85,-0.1,1.97,3.4,3.73,-       
1.9,-0.1,1.96,3.4,3.72,-       
1.95,-0.1,1.97,3.4,3.73,-       
2.0,-0.17,1.73,3.4,3.75,-       
2.05,-0.19,1.7,3.4,3.76,gaze started: p_3_2
2.1,-0.14,1.69,3.4,3.75,-       
2.15,-0.15,1.69,3.4,3.75,-       
2.2,0.42,1.6,3.4,3.63,-       
2.25,0.42,1.6,3.4,3.63,-       
2.3,0.57,1.57,3.4,3.36,gaze started: p_3_3
2.35,0.62,1.56,3.4,3.26,-       
2.4,0.62,1.56,3.4,3.12,-       
2.45,0.62,1.56,3.4,3.0,-       
2.5,0.53,1.57,3.4,2.79,-       
2.55,0.13,1.56,3.4,2.74,gaze fixated: p_3_3
2.6,0.09,1.55,3.4,2.69,gaze started: p_3_2
2.65,0.05,1.56,3.4,2.68,-       
2.7,0.08,1.55,3.4,2.67,-       
2.75,0.09,1.56,3.4,2.66,-       
2.8,0.06,1.56,3.4,2.66,-       
2.85,0.05,1.56,3.4,2.64,gaze fixated: p_3_2
2.9,0.07,1.55,3.4,2.64,-       
2.95,0.06,1.54,3.4,2.65,-       
3.0,0.06,1.54,3.4,2.69,-       
3.05,0.05,1.53,3.4,2.71,-       
3.1,0.06,1.53,3.4,2.72,-       
3.15,0.07,1.54,3.4,2.74,-       
3.2,0.05,1.54,3.4,2.76,-       
3.25,0.05,1.54,3.4,2.76,-       
3.3,0.12,1.53,3.4,2.79,-       
3.35,0.06,1.51,3.4,2.81,-       
3.4,0.05,1.52,3.4,2.88,-       
3.45,0.05,1.52,3.4,2.88,-       
3.5,0.05,1.51,3.4,2.91,-       
3.55,0.04,1.51,3.4,2.93,-       
3.6,0.03,1.51,3.4,2.97,-       
3.65,0.06,1.52,3.4,2.98,-       
3.7,0.06,1.52,3.4,3.01,-       
3.75,0.07,1.52,3.4,3.02,-       
3.8,0.06,1.52,3.4,3.05,-       
3.85,0.07,1.52,3.4,3.06,-       
3.9,0.06,1.5,3.4,3.05,-       
3.95,0.06,1.51,3.4,3.02,-       
4.0,0.06,1.51,3.4,3.01,-       
4.05,0.06,1.51,3.4,3.01,-       
4.1,0.06,1.51,3.4,3.01,-       
4.15,0.06,1.52,3.4,2.98,-       
4.2,0.06,1.51,3.4,2.98,-       
4.25,0.06,1.51,3.4,2.98,-       
4.3,0.05,1.51,3.4,2.99,-       
4.35,0.05,1.52,3.4,3.0,-       
4.4,0.07,1.51,3.4,3.01,-       
4.45,0.07,1.52,3.4,3.01,-       
4.5,0.19,1.61,3.4,3.03,-       
4.55,0.14,1.61,3.4,3.04,gaze started: p_3_3
4.6,0.15,1.61,3.4,3.04,-       
4.65,0.15,1.61,3.4,3.07,-       
4.7,0.15,1.62,3.4,3.11,-       
4.75,0.15,1.62,3.4,3.11,-       
4.8,0.15,1.63,3.4,3.14,-       
4.85,0.16,1.62,3.4,3.14,gaze fixated: p_3_3
4.9,0.15,1.62,3.4,3.14,-       
4.95,0.15,1.62,3.4,3.15,-       
5.0,0.16,1.63,3.4,3.18,-       
5.05,0.16,1.63,3.4,3.2,-       
5.1,0.15,1.62,3.4,3.24,-       
5.15,0.15,1.61,3.4,3.27,-       
5.2,0.15,1.61,3.4,3.27,-       
5.25,0.14,1.61,3.4,3.26,-       
5.3,0.13,1.6,3.4,3.24,-       
5.35,0.13,1.62,3.46,3.15,gaze started: p_3_2
5.4,0.14,1.63,3.46,3.08,-       
5.45,0.14,1.63,3.46,3.06,-       
5.5,0.13,1.63,3.46,3.04,-       
5.55,0.14,1.62,3.4,3.04,-       
5.6,0.14,1.62,3.4,3.03,gaze started: p_3_3
5.65,0.14,1.62,3.46,3.03,-       
5.7,0.14,1.62,3.4,3.07,-       
5.75,0.16,1.63,3.4,3.09,gaze started: p_3_3
5.8,0.16,1.63,3.4,3.09,-       
5.85,0.15,1.64,3.4,3.09,-       
5.9,0.17,1.64,3.4,3.07,-       
5.95,0.04,1.66,3.4,3.11,-       
6.0,0.1,1.71,3.4,3.08,gaze started: p_3_2
6.05,0.04,1.7,3.4,3.09,-       
6.1,0.03,1.7,3.4,3.09,-       
6.15,0.04,1.69,3.4,3.1,-       
6.2,0.04,1.69,3.4,3.1,-       
6.25,0.04,1.69,3.4,3.09,-       
6.3,0.04,1.7,3.4,3.09,gaze fixated: p_3_2
6.35,0.04,1.7,3.4,3.08,-       
6.4,0.05,1.7,3.4,3.07,-       
6.45,0.05,1.69,3.4,3.07,-       
6.5,-0.03,1.66,3.4,3.06,-       
6.55,0.04,1.68,3.4,3.05,-       
6.6,0.04,1.68,3.4,3.05,-       
6.65,0.04,1.69,3.4,3.03,-       
6.7,0.04,1.69,3.4,3.02,-       
6.75,-0.05,1.67,3.4,3.02,-       
6.8,0.04,1.7,3.4,3.01,-       
6.85,-0.05,1.67,3.4,2.98,-       
6.9,0.03,1.68,3.4,2.98,-       
6.95,0.04,1.68,3.4,2.96,-       
7.0,0.04,1.68,3.4,2.96,-       
7.05,0.05,1.69,3.4,2.94,-       
7.1,0.05,1.68,3.4,2.94,-       
7.15,0.05,1.68,3.4,2.93,-       
7.2,0.07,1.69,3.4,2.93,-       
7.25,0.07,1.69,3.4,2.93,-       
7.3,-0.04,1.66,3.4,2.93,-       
7.35,0.05,1.72,3.4,2.92,-       
7.4,0.06,1.71,3.4,2.92,-       
7.45,-0.04,1.66,3.4,2.88,-       
7.5,0.24,1.81,3.46,2.88,-       
7.55,0.26,1.76,3.4,2.86,gaze ended: p_3_2
7.6,0.23,1.75,3.4,2.86,gaze started: p_3_3
7.65,0.2,1.74,3.4,2.84,-       
7.7,0.2,1.75,3.4,2.83,-       
7.75,0.2,1.74,3.4,2.79,-       
7.8,0.2,1.74,3.4,2.77,-       
7.85,0.21,1.74,3.4,2.74,gaze fixated: p_3_3
7.9,0.22,1.74,3.4,2.72,-       
7.95,0.23,1.75,3.4,2.7,-       
8.0,0.21,1.75,3.4,2.69,-       
8.05,0.25,1.75,3.4,2.68,-       
8.1,0.25,1.75,3.4,2.69,-       
8.15,0.21,1.74,3.4,2.71,-       
8.2,0.22,1.74,3.4,2.72,-       
8.25,0.22,1.74,3.4,2.72,-       
8.3,0.21,1.75,3.4,2.73,-       
8.35,0.21,1.74,3.4,2.74,-       
8.4,0.21,1.75,3.4,2.71,-       
8.45,0.21,1.76,3.4,2.71,-       
8.5,0.21,1.76,3.4,2.67,-       
8.55,0.21,1.76,3.4,2.67,-       
8.6,0.21,1.76,3.4,2.67,-       
8.65,0.21,1.77,3.4,2.66,-       
8.7,0.21,1.77,3.4,2.66,-       
8.75,0.21,1.77,3.4,2.68,-       
8.8,0.22,1.78,3.4,2.67,-       
8.85,0.21,1.77,3.4,2.66,-       
8.9,0.21,1.76,3.4,2.65,-       
8.95,0.18,1.82,3.4,2.69,-       
9.0,0.21,1.85,3.4,2.69,gaze started: p_2_3
9.05,0.21,1.84,3.4,2.7,-       
9.1,0.22,1.84,3.4,2.69,-       
9.15,0.19,1.84,3.4,2.69,-       
9.2,0.23,1.85,3.4,2.68,-       
9.25,0.21,1.85,3.4,2.69,gaze fixated: p_2_3
9.3,0.21,1.85,3.4,2.68,-       
9.35,0.21,1.85,3.4,2.68,-       
9.4,0.21,1.85,3.4,2.68,-       
9.45,0.19,1.84,3.4,2.68,-       
9.5,0.21,1.84,3.4,2.7,-       
9.55,0.22,1.85,3.4,2.7,-       
9.6,0.21,1.84,3.4,2.76,-       
9.65,0.21,1.84,3.4,2.76,-       
9.7,0.2,1.84,3.4,2.78,-       
9.75,0.19,1.83,3.4,2.78,-       
9.8,0.2,1.83,3.4,2.75,-       
9.85,0.25,1.83,3.4,2.75,-       
9.9,0.25,1.84,3.4,2.75,-       
9.95,0.2,1.84,3.4,2.73,-       
10.0,0.19,1.84,3.4,2.7,-       
10.05,0.25,1.84,3.4,2.69,-       
10.1,0.19,1.83,3.4,2.67,-       
10.15,0.19,1.83,3.4,2.67,-       
10.2,0.19,1.83,3.4,2.67,-       
10.25,0.19,1.82,3.4,2.66,-       
10.3,-0.32,2.06,3.4,2.69,-       
10.35,-0.28,2.09,3.4,2.73,gaze started: p_2_2
10.4,-0.28,2.09,3.4,2.73,gaze started: p_2_2
10.45,-0.5,2.24,3.4,2.88,-       
10.5,-0.54,2.22,3.4,2.84,-       
10.55,-0.53,2.21,3.4,2.86,-       
10.6,-0.54,2.21,3.4,2.92,-       
10.65,-0.54,2.2,3.4,2.96,gaze fixated: p_2_2
10.7,-0.53,2.2,3.4,3.0,-       
10.75,-0.54,2.2,3.4,3.05,-       
10.8,-0.54,2.19,3.4,3.06,-       
10.85,-0.55,2.19,3.4,3.07,-       
10.9,-0.55,2.18,3.4,3.09,-       
10.95,-0.54,2.18,3.4,3.12,-       
11.0,-0.54,2.18,3.4,3.12,-       
11.05,-0.54,2.18,3.4,3.12,-       
11.1,-0.53,2.2,3.4,3.14,-       
11.15,-0.56,2.19,3.4,3.16,-       
11.2,-0.56,2.19,3.4,3.16,-       
11.25,-0.56,2.19,3.4,3.16,-       
11.3,-0.56,2.2,3.4,3.2,-       
11.35,-0.56,2.2,3.4,3.2,-       
11.4,-0.55,2.2,3.4,3.22,-       
11.45,-0.55,2.2,3.4,3.23,-       
11.5,-0.66,2.14,3.4,3.44,-       
11.55,0.59,0.75,-0.3,,-       
11.6,0.59,0.75,-0.29,,gaze ended: p_2_2
11.65,0.59,0.75,-0.29,,-       
11.7,-0.5,2.2,3.4,3.27,-       
11.75,-0.57,2.12,3.4,3.24,gaze started: p_2_2
11.8,-0.56,2.16,3.4,3.21,-       
11.85,-0.55,2.14,3.4,3.21,-       
11.9,-0.54,2.17,3.4,3.26,-       
11.95,-0.54,2.17,3.4,3.25,-       
12.0,-0.53,2.16,3.4,3.25,gaze fixated: p_2_2
12.05,-0.54,2.16,3.4,3.28,-       
12.1,-0.53,2.17,3.4,3.3,-       
12.15,-0.53,2.17,3.4,3.32,-       
12.2,-0.53,2.17,3.4,3.31,-       
12.25,-0.53,2.17,3.4,3.31,-       
12.3,-0.53,2.18,3.4,3.31,-       
12.35,-0.54,2.19,3.4,3.3,-       
12.4,-0.55,2.19,3.4,3.3,-       
12.45,-0.56,2.18,3.4,3.31,-       
12.5,-0.55,2.18,3.4,3.3,-       
12.55,-0.55,2.18,3.4,3.29,-       
12.6,-0.62,2.19,3.4,3.27,-       
12.65,-0.56,2.19,3.4,3.24,-       
12.7,-0.57,2.19,3.4,3.25,-       
12.75,-0.57,2.19,3.4,3.24,-       
12.8,-0.58,2.2,3.4,3.21,-       
12.85,-0.57,2.19,3.4,3.2,-       
12.9,-0.57,2.2,3.4,3.18,-       
12.95,-0.56,2.2,3.4,3.18,-       
13.0,-0.56,2.2,3.4,3.17,-       
13.05,-0.56,2.2,3.4,3.16,-       
13.1,-0.57,2.2,3.4,3.14,-       
13.15,-0.57,2.2,3.4,3.14,-       
13.2,-0.57,2.2,3.4,3.12,-       
13.25,-0.56,2.19,3.4,3.1,-       
13.3,-0.56,2.19,3.4,3.07,-       
13.35,-0.56,2.19,3.4,3.07,-       
13.4,-0.55,2.2,3.4,3.07,-       
13.45,-0.55,2.2,3.4,3.07,-       
13.5,-0.55,2.2,3.4,3.05,-       
13.55,-0.56,2.21,3.4,3.06,-       
13.6,-0.55,2.21,3.4,3.07,-       
13.65,-0.55,2.2,3.4,3.06,-       
13.7,-0.55,2.2,3.4,3.06,-       
13.75,-0.56,2.21,3.4,3.07,-       
13.8,-0.54,2.2,3.4,3.09,-       
13.85,-0.54,2.19,3.4,3.12,-       
13.9,-0.54,2.19,3.4,3.14,-       
13.95,-0.55,2.2,3.4,3.15,-       
14.0,-0.55,2.2,3.4,3.16,-       
14.05,-0.55,2.2,3.4,3.18,-       
14.1,-0.54,2.2,3.4,3.19,-       
14.15,-0.54,2.2,3.4,3.22,-       
14.2,-0.55,2.21,3.4,3.24,-       
14.25,-0.54,2.21,3.4,3.25,-       
14.3,-0.53,2.2,3.4,3.26,-       
14.35,-0.53,2.2,3.4,3.26,-       
14.4,-0.54,2.21,3.4,3.28,-       
14.45,-0.55,2.2,3.4,3.29,-       
14.5,-0.54,2.2,3.4,3.3,-       
14.55,-0.54,2.19,3.4,3.34,-       
14.6,-0.56,2.18,3.4,3.4,-       
14.65,-0.63,2.25,3.4,3.4,-       
14.7,-0.63,2.25,3.4,3.4,-       
14.75,-0.64,2.24,3.4,3.4,-       
14.8,-0.64,2.24,3.4,3.42,-       
14.85,-0.64,2.24,3.4,3.42,-       
14.9,-0.63,2.24,3.4,3.44,-       
14.95,-0.63,2.24,3.4,3.44,-       
15.0,-0.65,2.24,3.4,3.47,-       
15.05,-0.62,2.21,3.4,3.46,-       
15.1,-0.62,2.21,3.4,3.44,-       
15.15,-0.63,2.2,3.4,3.44,-       
15.2,-0.63,2.2,3.4,3.44,-       
15.25,-0.63,2.2,3.4,3.42,-       
15.3,-0.63,2.2,3.4,3.42,-       
15.35,-0.63,2.2,3.4,3.42,-       
15.4,-0.63,2.21,3.4,3.42,-       
15.45,-0.64,2.22,3.4,3.43,-       
15.5,-0.63,2.22,3.4,3.43,-       
15.55,-0.63,2.22,3.4,3.44,-       
15.6,-0.63,2.22,3.4,3.43,-       
15.65,-0.63,2.22,3.4,3.43,-       
15.7,-0.63,2.22,3.4,3.44,-       
15.75,-0.64,2.22,3.4,3.42,-       
15.8,-0.63,2.22,3.4,3.41,-       
15.85,-0.62,2.21,3.4,3.39,-       
15.9,-0.62,2.21,3.4,3.39,-       
15.95,-0.62,2.21,3.4,3.38,-       
16.0,-0.62,2.21,3.4,3.37,-       
16.05,-0.62,2.21,3.4,3.38,-       
