time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-1.14,1.99,3.4,3.92,-       
0.05,-1.14,1.99,3.4,3.92,-       
0.1,-1.15,1.99,3.4,3.91,gaze fixated: p_2_1
0.15,-1.15,1.99,3.4,3.91,-       
0.2,-1.14,2.0,3.4,3.93,-       
0.25,-1.14,1.99,3.4,3.94,-       
0.3,-1.07,2.01,3.4,3.99,-       
0.35,-1.0,2.01,3.4,4.04,-       
0.4,-1.01,2.01,3.4,4.06,-       
0.45,-1.01,2.01,3.4,4.06,-       
0.5,-1.01,2.01,3.4,4.06,-       
0.55,-1.01,2.01,3.4,4.06,-       
0.6,-1.01,2.01,3.4,4.06,-       
0.65,-1.01,2.01,3.4,4.06,-       
0.7,-1.01,2.01,3.4,4.06,-       
0.75,-1.01,2.01,3.4,4.06,-       
0.8,-1.01,2.01,3.4,4.06,-       
0.85,-1.01,2.01,3.4,4.06,-       
0.9,-0.9,2.11,3.4,3.96,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_covid_vaccine_30s_100.mp4
0.95,-0.9,2.11,3.4,3.96,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_covid_vaccine_30s_100.mp4
1.0,-0.87,1.98,3.4,3.94,-       
1.05,-0.66,2.08,3.4,3.93,-       
1.1,-0.69,1.99,3.4,3.95,gaze started: p_2_2
1.15,-0.72,2.0,3.46,3.99,-       
1.2,-0.57,1.99,3.4,4.07,-       
1.25,0.4,1.79,3.4,4.04,gaze started: p_2_2
1.3,0.71,1.77,3.4,4.09,gaze started: p_3_3
1.35,0.71,1.77,3.4,4.09,gaze started: p_3_3
1.4,0.55,0.78,-0.31,,-       
1.45,0.55,0.78,-0.32,,-       
1.5,0.7,1.76,3.4,4.1,-       
1.55,0.68,1.75,3.4,4.13,gaze started: p_3_3
1.6,0.7,1.71,3.4,4.21,-       
1.65,0.7,1.71,3.4,4.21,-       
1.7,0.89,2.32,3.4,4.34,-       
1.75,0.96,2.64,3.4,4.45,gaze started: p_1_3
1.8,0.98,2.61,3.4,4.44,-       
1.85,0.99,2.62,3.46,4.47,gaze started: p_1_4
1.9,0.99,2.64,3.46,4.53,-       
1.95,0.54,0.8,-0.33,,-       
2.0,0.54,0.79,-0.33,,-       
2.05,0.54,0.79,-0.33,,-       
2.1,0.54,0.79,-0.33,,-       
2.15,0.54,0.8,-0.33,,-       
2.2,-0.29,1.05,3.4,4.65,-       
2.25,-0.28,1.02,3.4,4.67,gaze started: p_4_2
2.3,0.23,1.35,3.4,4.65,-       
2.35,0.43,1.66,3.4,4.4,gaze started: p_3_3
2.4,0.44,1.61,3.4,4.08,-       
2.45,0.47,1.59,3.4,3.8,-       
2.5,0.48,1.59,3.4,3.71,-       
2.55,0.49,1.59,3.4,3.54,-       
2.6,0.49,1.59,3.4,3.54,-       
2.65,0.46,1.6,3.4,3.23,gaze fixated: p_3_3
2.7,0.18,1.84,3.4,2.89,-       
2.75,0.18,1.84,3.4,2.89,-       
2.8,0.22,1.83,3.4,2.87,gaze started: p_2_3
2.85,0.14,1.83,3.4,2.81,-       
2.9,0.11,1.82,3.4,2.76,-       
2.95,0.15,1.82,3.4,2.72,gaze started: p_2_2
3.0,0.14,1.81,3.4,2.67,gaze started: p_2_3
3.05,0.2,1.81,3.4,2.65,-       
3.1,0.14,1.83,3.4,2.63,-       
3.15,0.14,1.83,3.4,2.63,-       
3.2,0.15,1.83,3.4,2.63,-       
3.25,0.14,1.82,3.4,2.65,-       
3.3,0.15,1.82,3.4,2.66,gaze fixated: p_2_3
3.35,0.15,1.82,3.4,2.68,-       
3.4,0.14,1.83,3.46,2.69,-       
3.45,0.13,1.83,3.46,2.75,gaze ended: p_2_3
3.5,0.13,1.82,3.4,2.78,-       
3.55,0.13,1.82,3.4,2.78,-       
3.6,0.13,1.81,3.4,2.85,gaze started: p_2_2
3.65,0.14,1.83,3.46,2.95,-       
3.7,0.13,1.83,3.46,3.03,-       
3.75,0.14,1.83,3.46,3.09,-       
3.8,0.14,1.83,3.46,3.09,-       
3.85,0.14,1.83,3.46,3.21,-       
3.9,0.14,1.83,3.46,3.26,-       
3.95,0.15,1.81,3.4,3.33,-       
4.0,0.15,1.81,3.4,3.39,gaze started: p_2_3
4.05,0.15,1.81,3.4,3.43,-       
4.1,0.14,1.82,3.46,3.45,-       
4.15,0.14,1.82,3.46,3.43,-       
4.2,0.15,1.82,3.46,3.41,-       
4.25,0.15,1.82,3.46,3.41,-       
4.3,0.15,1.81,3.46,3.39,-       
4.35,0.15,1.81,3.46,3.37,-       
4.4,0.29,1.75,3.4,3.37,-       
4.45,0.35,1.71,3.4,3.39,gaze started: p_3_3
4.5,0.27,1.73,3.4,3.4,-       
4.55,0.27,1.73,3.4,3.42,-       
4.6,0.26,1.73,3.4,3.46,-       
4.65,0.27,1.72,3.4,3.49,-       
4.7,0.27,1.72,3.4,3.49,-       
4.75,0.26,1.71,3.4,3.54,gaze fixated: p_3_3
4.8,0.27,1.71,3.4,3.58,-       
4.85,0.27,1.71,3.4,3.61,-       
4.9,0.27,1.71,3.4,3.63,-       
4.95,0.27,1.71,3.4,3.62,-       
5.0,0.27,1.71,3.4,3.62,-       
5.05,0.27,1.71,3.4,3.62,-       
5.1,0.27,1.71,3.4,3.62,-       
5.15,0.27,1.71,3.4,3.62,-       
5.2,0.27,1.71,3.4,3.64,-       
5.25,0.27,1.71,3.4,3.64,-       
5.3,0.27,1.72,3.4,3.64,-       
5.35,0.27,1.71,3.4,3.59,-       
5.4,0.27,1.72,3.4,3.52,-       
5.45,0.29,1.72,3.4,3.42,-       
5.5,0.28,1.72,3.4,3.32,-       
5.55,0.28,1.72,3.4,3.21,-       
5.6,0.28,1.72,3.4,3.21,-       
5.65,0.28,1.71,3.4,3.15,-       
5.7,0.31,1.71,3.4,3.12,-       
5.75,0.21,1.72,3.4,3.13,-       
5.8,0.21,1.72,3.4,3.15,-       
5.85,0.21,1.72,3.4,3.15,-       
5.9,0.28,1.71,3.4,3.14,-       
5.95,0.27,1.71,3.4,3.16,-       
6.0,0.28,1.72,3.4,3.2,-       
6.05,0.28,1.72,3.4,3.24,-       
6.1,0.28,1.71,3.4,3.25,-       
6.15,0.28,1.71,3.4,3.25,-       
6.2,0.28,1.71,3.4,3.25,-       
6.25,0.28,1.7,3.4,3.26,-       
6.3,0.28,1.7,3.4,3.26,-       
6.35,0.21,1.71,3.4,3.24,-       
6.4,0.21,1.72,3.4,3.2,-       
6.45,0.28,1.71,3.4,3.17,-       
6.5,0.21,1.73,3.4,3.13,-       
6.55,0.22,1.73,3.4,3.09,-       
6.6,0.22,1.73,3.4,3.09,-       
6.65,0.21,1.71,3.4,3.08,-       
6.7,0.22,1.72,3.4,3.09,-       
6.75,0.21,1.72,3.4,3.09,-       
6.8,0.2,1.72,3.4,3.12,-       
6.85,0.2,1.71,3.4,3.13,-       
6.9,0.2,1.71,3.4,3.13,-       
6.95,0.2,1.71,3.4,3.13,-       
7.0,0.2,1.71,3.4,3.11,-       
7.05,0.21,1.71,3.4,3.1,-       
7.1,0.27,1.69,3.4,3.07,-       
7.15,0.28,1.68,3.4,3.03,-       
7.2,0.28,1.68,3.4,3.01,-       
7.25,0.29,1.68,3.4,3.01,-       
7.3,0.29,1.68,3.4,3.01,-       
7.35,0.29,1.68,3.4,3.01,-       
7.4,0.28,1.69,3.4,3.0,-       
7.45,0.28,1.69,3.4,3.0,-       
7.5,0.28,1.69,3.4,3.0,-       
7.55,0.28,1.69,3.4,2.99,-       
7.6,0.28,1.69,3.4,2.98,-       
7.65,0.28,1.68,3.4,2.98,-       
7.7,0.29,1.68,3.4,2.98,-       
7.75,0.29,1.68,3.4,2.98,-       
7.8,0.29,1.69,3.4,3.0,-       
7.85,0.3,1.68,3.4,2.99,-       
7.9,0.3,1.68,3.4,2.99,-       
7.95,0.3,1.68,3.4,3.01,-       
8.0,0.29,1.68,3.4,3.03,-       
8.05,0.29,1.68,3.4,3.04,-       
8.1,0.2,1.74,3.4,3.02,-       
8.15,0.22,1.73,3.4,3.04,-       
8.2,0.22,1.74,3.4,3.04,-       
8.25,0.22,1.73,3.4,3.04,-       
8.3,0.17,1.81,3.46,2.96,-       
8.35,0.17,1.81,3.46,2.96,-       
8.4,0.18,1.82,3.4,2.93,gaze ended: p_3_3
8.45,0.18,1.82,3.4,2.92,gaze started: p_2_3
8.5,0.18,1.82,3.4,2.85,-       
8.55,0.18,1.81,3.4,2.78,-       
8.6,0.18,1.81,3.4,2.78,-       
8.65,0.19,1.82,3.4,2.71,-       
8.7,0.17,1.82,3.4,2.64,gaze fixated: p_2_3
8.75,0.19,1.83,3.4,2.58,-       
8.8,0.19,1.82,3.4,2.54,-       
8.85,0.19,1.81,3.4,2.52,-       
8.9,0.2,1.81,3.4,2.5,-       
8.95,0.19,1.81,3.4,2.48,-       
9.0,0.19,1.82,3.4,2.47,-       
9.05,0.19,1.82,3.4,2.47,-       
9.1,0.18,1.81,3.4,2.46,-       
9.15,0.18,1.81,3.4,2.47,-       
9.2,0.17,1.82,3.46,2.47,-       
9.25,0.19,1.82,3.46,2.49,gaze ended: p_2_3
9.3,0.2,1.82,3.46,2.49,-       
9.35,0.19,1.82,3.46,2.51,-       
9.4,0.18,1.82,3.46,2.51,-       
9.45,0.18,1.82,3.46,2.52,-       
9.5,0.18,1.82,3.46,2.52,-       
9.55,0.19,1.82,3.46,2.55,-       
