time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.97,2.77,3.46,5.89,gaze started: p_2_1
0.05,-0.97,2.77,3.46,5.89,gaze started: p_2_1
0.1,-0.79,2.69,3.4,5.87,-       
0.15,-0.78,2.67,3.4,5.86,gaze started: p_1_1
0.2,-0.78,2.67,3.4,5.86,gaze started: p_1_1
0.25,-0.78,2.67,3.4,5.86,gaze started: p_1_1
0.3,-0.78,2.67,3.4,5.86,gaze started: p_1_1
0.35,-0.78,2.67,3.4,5.86,gaze started: p_1_1
0.4,-0.78,2.67,3.4,5.86,gaze started: p_1_1
0.45,-0.78,2.67,3.4,5.86,gaze started: p_1_1
0.5,-0.78,2.67,3.4,5.86,gaze started: p_1_1
0.55,-0.78,2.67,3.4,5.86,gaze started: p_1_1
0.6,-1.35,2.82,3.42,6.04,gaze fixated: p_1_1
0.65,-1.35,2.82,3.42,6.04,gaze fixated: p_1_1
0.7,-1.35,2.82,3.42,6.04,gaze ended: p_1_1
0.75,-1.27,2.61,3.4,5.99,-       
0.8,-1.34,2.37,3.4,5.94,gaze started: p_1_1
0.85,-1.15,2.35,3.4,5.86,-       
0.9,-1.18,2.35,3.4,5.84,-       
0.95,-1.24,2.36,3.4,5.87,-       
1.0,-1.18,1.9,3.4,5.55,-       
1.05,-1.18,1.9,3.4,5.55,-       
1.1,-0.61,1.46,3.4,5.5,gaze started: p_2_1
1.15,-0.55,1.68,3.4,5.69,gaze started: p_3_2
1.2,1.05,0.69,-0.46,,-       
1.25,1.05,0.69,-0.45,,-       
1.3,1.05,0.69,-0.45,,-       
1.35,1.05,0.69,-0.46,,-       
1.4,1.05,0.69,-0.46,,-       
1.45,1.05,0.69,-0.46,,-       
1.5,1.05,0.69,-0.46,,-       
1.55,1.05,0.69,-0.46,,-       
1.6,1.04,0.69,-0.46,,-       
1.65,1.04,0.69,-0.46,,-       
1.7,1.04,0.69,-0.46,,-       
1.75,1.04,0.69,-0.46,,-       
1.8,1.04,0.7,-0.46,,-       
1.85,0.06,0.97,3.4,5.71,-       
1.9,-0.26,0.57,3.57,5.88,gaze started: p_4_2
1.95,-0.26,0.57,3.57,5.88,gaze started: p_4_2
2.0,-0.45,0.57,3.57,5.85,-       
2.05,-0.47,0.56,3.57,5.85,-       
2.1,0.45,1.37,3.4,5.3,-       
2.15,0.55,1.65,3.4,5.37,gaze started: p_3_3
2.2,0.55,1.69,3.4,5.14,-       
2.25,0.61,1.65,3.4,4.85,-       
2.3,0.62,1.61,3.4,4.75,-       
2.35,0.62,1.61,3.4,4.75,-       
2.4,0.61,1.61,3.4,4.54,-       
2.45,0.6,1.6,3.4,4.25,gaze fixated: p_3_3
2.5,0.58,1.6,3.4,3.95,-       
2.55,0.57,1.61,3.4,3.78,-       
2.6,0.56,1.61,3.4,3.58,-       
2.65,0.52,1.61,3.4,3.39,-       
2.7,0.52,1.61,3.4,3.28,-       
2.75,0.13,1.79,3.4,3.1,-       
2.8,0.13,1.79,3.4,3.1,-       
2.85,0.09,1.83,3.4,3.17,gaze started: p_3_2
2.9,0.14,1.82,3.4,3.13,gaze started: p_2_2
2.95,-0.08,2.14,3.4,3.19,gaze started: p_2_3
